Team_A, Team_B, Score_Differential
North Carolina Central,UC Davis,4
Southern California,Providence,-4
Mount St. Mary's,Villanova,20
South Dakota State,Gonzaga,20
North Dakota,Arizona,18
Bucknell,West Virginia,6
Princeton,Notre Dame,2
Vermont,Purdue,10
Florida Gulf Coast,Florida State,6
Nevada,Iowa State,11
East Tennessee State,Florida,15
Winthrop,Butler,8
UNC Greensboro,Virginia,5
Virginia Tech,Wisconsin,10
Middle Tennessee,Minnesota,-9
Vanderbilt,Northwestern,2
Xavier,Maryland,-11
UC Davis,Kansas,38
Michigan State,Miami (FL),-20
Texas Southern,North Carolina,39
Northern Kentucky,Kentucky,9
Troy,Duke,22
Kent State,UCLA,17
Iona,Oregon,16
Jacksonville State,Louisville,15
Southern California,Southern Mississippi,-1
New Mexico State,Baylor,18
Kansas State,Cincinnati,14
Wichita State,Dayton,-6
Oklahoma State,Michigan,1
Seton Hall,Arkansas,6
Rhode Island,Creighton,-12
Marquette,South Carolina,20
Wisconsin,Villanova,-3
Northwestern,Gonzaga,6
Saint Mary's (CA),Arizona,9
Notre Dame,West Virginia,12
Iowa State,Purdue,4
Xavier,Florida State,-25
Virginia,Florida,26
Middle Tennessee,Butler,9
Michigan State,Kansas,20
Arkansas,North Carolina,7
Wichita State,Kentucky,3
South Carolina,Duke,-7
Cincinnati,UCLA,12
Rhode Island,Oregon,3
Michigan,Louisville,-4
Southern California,Baylor,4
Purdue,Kansas,32
West Virginia,Gonzaga,3
Xavier,Arizona,-2
Michigan,Oregon,1
Butler,North Carolina,12
UCLA,Kentucky,11
South Carolina,Baylor,-20
Wisconsin,Florida,1
Oregon,Kansas,-14
Xavier,Gonzaga,24
Kentucky,North Carolina,2
South Carolina,Florida,-7
South Carolina,Gonzaga,4
Oregon,North Carolina,1
Gonzaga,North Carolina,6
