Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,29,13,16,.448,-11.86,-7.10,,7,11,,9,5,,4,11,,2009,2073,,1180,708,1557,.455,210,581,.361,447,671,.666,294,1017,393,178,88,427,502
2,Air Force,33,12,21,.364,-3.06,1.00,,4,14,,11,7,,0,11,,2411,2477,,1335,861,1883,.457,320,880,.364,435,613,.710,275,1135,514,199,113,407,684
3,Akron,36,27,9,.750,3.59,-1.21,,14,4,,13,2,,7,6,,2772,2550,,1440,913,2058,.444,249,683,.365,475,673,.706,347,1188,411,210,72,415,671
4,Alabama,34,19,15,.559,11.29,7.47,,10,8,,11,6,,5,6,,2330,2200,,1380,748,1848,.405,209,628,.333,495,738,.671,329,1138,325,215,100,460,662
5,Alabama A&M,29,2,27,.069,-26.99,-11.09,,2,16,,1,9,,1,18,,1794,2255,,1175,821,1724,.476,214,588,.364,399,586,.681,356,1055,410,199,100,268,532
6,Alabama State,31,8,23,.258,-19.75,-10.75,,6,12,,6,5,,1,17,,2042,2305,,1260,798,1799,.444,196,572,.343,513,755,.679,363,1170,392,230,93,394,568
7,Albany (NY),35,21,14,.600,-0.16,-4.69,,10,6,,11,5,,9,8,,2496,2301,,1400,808,1873,.431,276,809,.341,409,578,.708,262,1008,442,197,144,399,630
8,Alcorn State,32,18,14,.563,-12.33,-10.95,,13,5,,11,2,,6,11,,2221,2175,,1285,768,1838,.418,181,592,.306,458,707,.648,370,1173,424,220,82,418,555
9,American,30,8,22,.267,-10.30,-3.50,,5,13,,4,11,,4,11,,1845,2049,,1205,716,1528,.469,172,468,.368,445,632,.704,258,996,384,198,84,397,493
10,Appalachian State,30,9,21,.300,-8.67,-1.60,,4,14,,8,6,,1,14,,2208,2279,,1205,788,1718,.459,194,516,.376,509,742,.686,284,1097,394,180,105,382,621
11,Arizona NCAA,37,32,5,.865,18.25,7.63,,16,2,,15,1,,9,1,,2833,2440,,1480,893,2121,.421,239,772,.310,415,607,.684,339,1107,477,175,109,432,729
12,Arizona State,33,15,18,.455,4.02,7.11,,7,11,,9,7,,4,6,,2593,2695,,1325,978,2040,.479,304,835,.364,435,611,.712,366,1310,621,171,130,440,604
