Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,29,13,16,.448,-11.86,-7.10,,7,11,,9,5,,4,11,,2009,2073,,68.0,103.3,.431,.373,.553,52.9,55.5,8.9,8.8,.522,18.5,30.1,.287
2,Air Force,33,12,21,.364,-3.06,1.00,,4,14,,11,7,,0,11,,2411,2477,,68.9,107.6,.326,.467,.570,49.7,59.7,8.6,9.8,.542,15.8,24.7,.231
3,Akron,36,27,9,.750,3.59,-1.21,,14,4,,13,2,,7,6,,2772,2550,,68.0,104.1,.327,.332,.536,48.8,45.0,8.6,6.9,.504,14.9,28.1,.231
4,Alabama,34,19,15,.559,11.29,7.47,,10,8,,11,6,,5,6,,2330,2200,,67.4,94.7,.399,.340,.500,46.2,43.4,9.3,8.3,.461,17.3,26.6,.268
5,Alabama A&M,29,2,27,.069,-26.99,-11.09,,2,16,,1,9,,1,18,,1794,2255,,65.4,117.4,.340,.341,.563,53.6,49.9,10.4,9.1,.538,11.8,36.7,.231
6,Alabama State,31,8,23,.258,-19.75,-10.75,,6,12,,6,5,,1,17,,2042,2305,,69.6,105.2,.420,.318,.534,49.6,49.1,10.5,8.0,.498,15.4,32.3,.285
7,Albany (NY),35,21,14,.600,-0.16,-4.69,,10,6,,11,5,,9,8,,2496,2301,,65.3,100.7,.309,.432,.536,44.5,54.7,8.6,10.1,.505,15.7,23.0,.218
8,Alcorn State,32,18,14,.563,-12.33,-10.95,,13,5,,11,2,,6,11,,2221,2175,,69.2,97.9,.385,.322,.500,48.6,55.2,9.9,6.9,.467,16.1,30.2,.249
9,American,30,8,22,.267,-10.30,-3.50,,5,13,,4,11,,4,11,,1845,2049,,65.2,104.4,.414,.306,.560,53.4,53.6,10.1,8.3,.525,17.8,28.0,.291
10,Appalachian State,30,9,21,.300,-8.67,-1.60,,4,14,,8,6,,1,14,,2208,2279,,72.1,104.9,.432,.300,.550,49.3,50.0,8.3,10.1,.515,15.6,26.5,.296
11,Arizona NCAA,37,32,5,.865,18.25,7.63,,16,2,,15,1,,9,1,,2833,2440,,67.3,98.0,.286,.364,.506,44.9,53.4,7.0,7.7,.477,15.2,25.7,.196
12,Arizona State,33,15,18,.455,4.02,7.11,,7,11,,9,7,,4,6,,2593,2695,,72.5,112.2,.300,.409,.578,54.9,63.5,7.1,11.3,.554,15.9,32.2,.213
13,Arkansas NCAA,36,26,10,.722,14.04,8.60,,12,6,,15,3,,6,5,,2855,2659,,71.7,103.1,.390,.367,.519,50.5,50.4,7.2,7.7,.478,15.7,33.9,.275
14,Arkansas State,32,20,12,.625,0.87,-2.10,,11,7,,12,1,,7,9,,2346,2211,,68.8,100.0,.413,.352,.527,47.9,54.1,8.2,10.3,.489,16.7,27.2,.283
15,Arkansas-Pine Bluff,32,7,25,.219,-22.81,-10.28,,6,12,,6,6,,1,19,,1977,2320,,68.7,103.5,.564,.399,.561,53.2,59.1,13.6,8.4,.512,20.6,34.9,.399
16,Army,32,13,19,.406,-5.84,-4.10,,6,12,,9,8,,4,10,,2324,2340,,72.0,100.3,.336,.349,.529,48.2,51.7,10.2,11.4,.498,15.4,23.5,.232
17,Auburn,32,18,14,.563,8.17,7.33,,7,11,,10,5,,6,6,,2573,2546,,75.2,105.0,.388,.388,.545,51.6,50.5,8.1,7.9,.506,17.1,33.2,.279
18,Austin Peay,30,11,19,.367,-11.00,-2.32,,7,9,,5,8,,4,11,,2331,2515,,71.8,115.3,.297,.380,.587,55.1,51.3,7.7,7.9,.562,16.0,35.3,.217
19,Ball State,34,21,13,.618,-1.45,-3.57,,11,7,,11,5,,7,7,,2677,2567,,72.7,102.4,.352,.358,.524,48.8,46.9,9.8,9.5,.486,15.1,28.2,.253
