Rk,School,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,68.0,-3.200000000000003,-0.082,-0.019,0.001,-5.799999999999997,1.1000000000000014,1.5999999999999996,-0.3000000000000007,0.008,0.0,-6.600000000000001,-0.0549999999999999
2,Air Force,68.9,-2.799999999999997,0.0549999999999999,-0.079,-0.0259999999999999,0.5999999999999943,0.7999999999999972,0.0,-4.1000000000000005,-0.036,-0.8000000000000007,1.8000000000000007,0.042
3,Akron,68.0,9.0,0.0389999999999999,0.1519999999999999,0.0439999999999999,2.4000000000000057,9.5,-0.5,1.6999999999999993,0.052,0.0999999999999996,1.6999999999999993,0.0189999999999999
4,Alabama,67.4,5.599999999999994,-0.008,0.0319999999999999,0.015,7.599999999999994,4.800000000000004,-0.7000000000000011,3.299999999999999,0.0219999999999999,0.0,7.5,-0.013
5,Alabama A&M,65.4,-24.0,0.0559999999999999,-0.052,-0.0759999999999999,-7.200000000000003,2.0,-5.2,-4.699999999999999,-0.092,5.5,-6.700000000000003,0.034
6,Alabama State,69.6,-12.0,-0.074,0.0499999999999999,-0.056,0.7999999999999972,-7.399999999999999,-3.7,0.0,-0.0509999999999999,3.200000000000001,2.3000000000000043,-0.0649999999999999
7,Albany (NY),65.3,8.5,0.024,-0.1659999999999999,0.019,11.0,-5.700000000000003,-0.7999999999999998,-4.5,0.012,-0.0999999999999996,10.700000000000005,0.034
8,Alcorn State,69.2,2.0999999999999943,-0.0569999999999999,0.0369999999999999,0.015,2.799999999999997,-2.1000000000000014,-0.5,2.299999999999999,0.0209999999999999,1.1999999999999993,2.3000000000000007,-0.035
9,American,65.2,-10.400000000000006,-0.1069999999999999,0.037,-0.038,-6.799999999999997,-4.600000000000001,0.5,-1.4000000000000004,-0.022,0.5,-6.300000000000001,-0.1009999999999999
10,Appalachian State,72.1,-3.200000000000003,-0.0539999999999999,0.1169999999999999,-0.025,1.4000000000000057,5.299999999999997,-0.6000000000000005,-2.5,-0.024,0.9000000000000004,2.8999999999999986,-0.0379999999999999
11,Arizona,67.3,15.799999999999995,0.119,-0.059,0.0739999999999999,10.200000000000005,-2.1000000000000014,1.0999999999999996,1.1000000000000003,0.06,-0.6999999999999993,7.400000000000002,0.1139999999999999
12,Arizona State,72.5,-4.200000000000003,0.019,0.029,-0.0279999999999999,-9.799999999999995,-15.1,1.0,-2.5,-0.04,-3.200000000000001,-7.800000000000004,0.0259999999999999
13,Arkansas,71.7,7.600000000000008,-0.009,-0.072,0.039,-1.0,-0.6000000000000014,3.6000000000000005,4.7,0.036,-1.3999999999999986,-2.1999999999999997,0.0149999999999999
14,Arkansas State,68.8,6.099999999999994,0.002,-0.0289999999999999,0.02,4.200000000000003,-6.0,-0.3999999999999994,-3.000000000000001,0.033,-0.5,4.199999999999999,-0.0179999999999999
15,Arkansas-Pine Bluff,68.7,-15.299999999999995,-0.2269999999999999,-0.039,-0.067,-6.400000000000006,-11.0,-1.1999999999999993,1.0999999999999996,-0.0489999999999999,1.7999999999999972,-5.099999999999998,-0.179
16,Army,72.0,-0.5999999999999943,-0.0559999999999999,0.084,0.009,3.5999999999999943,10.099999999999994,-2.6,-6.5,0.02,2.9000000000000004,3.6000000000000014,-0.049
17,Auburn,75.2,1.0999999999999943,0.0369999999999999,0.013,-0.001,-3.200000000000003,-2.200000000000003,1.5,5.5,0.005,-1.6000000000000014,-2.900000000000002,0.0059999999999999
18,Austin Peay,71.8,-8.399999999999991,0.108,-0.007,-0.018,-10.200000000000005,-11.099999999999994,0.0999999999999996,-1.6000000000000003,-0.027,-0.5999999999999996,-10.9,0.0689999999999999
19,Ball State,72.7,4.299999999999997,-0.006,0.06,0.0469999999999999,2.4000000000000057,10.0,-1.700000000000001,-0.6999999999999993,0.054,2.4000000000000004,0.1000000000000014,-0.005
20,Baylor,65.3,14.0,0.039,-0.0229999999999999,0.064,13.0,0.8999999999999986,-0.4000000000000003,3.4000000000000004,0.068,2.0000000000000018,11.6,0.031
21,Belmont,69.0,10.700000000000005,-0.015,0.205,0.0719999999999999,4.200000000000003,14.5,-1.8999999999999997,-4.000000000000001,0.08,1.8000000000000007,1.6000000000000014,-0.004
22,Bethune-Cookman,70.1,-9.399999999999991,-0.1139999999999999,-0.004,-0.059,-6.0,-6.300000000000004,2.5,-1.5,-0.057,-2.0,-3.899999999999999,-0.079
23,Binghamton,67.4,-4.399999999999992,-0.001,0.011,-0.006,-2.799999999999997,-1.6000000000000014,-0.8999999999999995,-2.1,-0.01,1.1999999999999993,-3.400000000000002,0.007
24,Boise State,70.4,5.6000000000000085,0.0,0.103,0.033,2.5999999999999943,-1.0999999999999943,-1.5,-7.6,0.043,1.1999999999999993,1.8999999999999984,-0.006
25,Boston College,72.5,-8.099999999999994,-0.1,0.012,-0.0329999999999999,0.4000000000000057,-1.8999999999999984,-2.8999999999999995,-2.7,-0.016,2.4999999999999982,1.599999999999998,-0.0979999999999999
26,Boston University,69.8,3.299999999999997,-0.0289999999999999,0.002,0.014,0.2000000000000028,-2.299999999999997,1.799999999999999,-1.9999999999999991,0.016,-1.0,0.0999999999999978,-0.0159999999999999
27,Bowling Green State,72.7,-4.200000000000003,0.0239999999999999,-0.0279999999999999,-0.045,-2.4000000000000057,-0.8999999999999986,0.9000000000000004,-2.5,-0.044,-2.6,0.1999999999999993,-0.004
