Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Ron Cottrell,Houston Christian,Southland,,17,14,0.548,,,,,2008-09,98,181,0.351,,,,,,98,181,0.351,,,,
Tim Craft,Gardner-Webb,Big South,,19,14,0.576,,,,,2013-14,74,60,0.552,,,,,,74,60,0.552,,,,
Gravelle Craig,Bethune-Cookman,MEAC,,10,22,0.312,,,,,2011-12,74,123,0.376,,,,,,74,123,0.376,,,,
Tom Crean,Indiana,Big Ten,,18,16,0.529,11.0,,,,2008-09,166,135,0.551,4.0,3.0,,,,356,231,0.606,9.0,4.0,1.0,
Mick Cronin,Cincinnati,AAC,,30,6,0.833,,18.0,Lost Second Round,,2006-07,237,135,0.637,7.0,1.0,,,,306,159,0.658,9.0,1.0,,
Scott Cross,UT Arlington,Sun Belt,,27,9,0.75,,,,,2006-07,204,148,0.58,1.0,,,,,204,148,0.58,1.0,,,
Phil Cunningham,Troy,Sun Belt,,22,15,0.595,,,Lost First Round,,2013-14,52,76,0.406,1.0,,,,,52,76,0.406,1.0,,,
Michael Curry,Florida Atlantic,CUSA,,10,20,0.333,,,,,2014-15,27,65,0.293,,,,,,27,65,0.293,,,,
Dennis Cutts,UC Riverside,Big West,,8,21,0.276,,,,,2013-14,46,78,0.371,,,,,,46,78,0.371,,,,
Dan D'Antoni II,Marshall,CUSA,,20,15,0.571,,,,,2014-15,48,52,0.48,,,,,,48,52,0.48,,,,
Keith Dambrot,Akron,MAC,,27,9,0.75,,,,,2004-05,305,139,0.687,3.0,,,,,325,173,0.653,3.0,,,
Linc Darner,Green Bay,Horizon,,18,14,0.562,,,,,2015-16,41,27,0.603,1.0,,,,,41,27,0.603,1.0,,,
Keno Davis,Central Michigan,MAC,,16,16,0.5,,,,,2012-13,77,82,0.484,,,,,,151,137,0.524,1.0,,,
Kermit Davis Jr,Middle Tennessee,CUSA,,31,5,0.861,,,Lost Second Round,,2002-03,307,180,0.63,3.0,,,,,378,230,0.622,5.0,,,
Mike Davis,Texas Southern,SWAC,,23,12,0.657,,,Lost First Round,,2012-13,99,69,0.589,3.0,,,,,336,221,0.603,8.0,1.0,1.0,
Nathan Davis,Bucknell,Patriot,,26,9,0.743,,,Lost First Round,,2015-16,43,23,0.652,1.0,,,,,43,23,0.652,1.0,,,
Johnny Dawkins Jr,Central Florida,AAC,,24,12,0.667,,,,,2016-17,24,12,0.667,,,,,,180,127,0.586,1.0,1.0,,
Ed DeChellis,Navy,Patriot,,16,16,0.5,,,,,2011-12,68,119,0.364,,,,,,287,350,0.451,2.0,,,
Travis DeCuire,Montana,Big Sky,,16,16,0.5,,,,,2014-15,57,41,0.582,,,,,,57,41,0.582,,,,
Tommy Dempsey,Binghamton,AEC,,12,20,0.375,,,,,2012-13,36,118,0.234,,,,,,155,223,0.41,,,,
Tracy Dildy,Chicago State,WAC,,6,26,0.188,,,,,2010-11,52,171,0.233,,,,,,52,171,0.233,,,,
Jamie Dixon,TCU,Big 12,,24,15,0.615,,,,,2016-17,24,15,0.615,,,,,,352,138,0.718,11.0,3.0,,
Cameron Dollar,Seattle,WAC,,13,17,0.433,,,,,2009-10,107,138,0.437,,,,,,107,138,0.437,,,,
Steve Donahue,Pennsylvania,Ivy,,13,15,0.464,,,,,2015-16,24,32,0.429,,,,,,224,246,0.477,3.0,1.0,,
Joe Dooley,Florida Gulf Coast,A-Sun,,26,8,0.765,,,Lost First Round,,2013-14,91,46,0.664,2.0,,,,,148,98,0.602,2.0,,,
