Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Mike Adras,Northern Arizona,Big Sky,,19,13,0.594,,,,,1999-00,191,163,0.54,1.0,,,,,191,163,0.54,1.0,,,
Jesse Agel,Brown,Ivy,,11,17,0.393,,,,,2008-09,31,56,0.356,,,,,,31,56,0.356,,,,
Steve Alford,New Mexico,MWC,,22,13,0.629,,,,,2007-08,98,39,0.715,1.0,,,,,328,193,0.63,5.0,1.0,,
Frankie Allen,Maryland-Eastern Shore,MEAC,,9,22,0.29,,,,,2008-09,27,66,0.29,,,,,,250,360,0.41,2.0,,,
Jerome Allen,Pennsylvania,Ivy,,13,15,0.464,,,,,2009-10,19,30,0.388,,,,,,19,30,0.388,,,,
Dana Altman,Oregon,Pac-10,,21,18,0.538,,,,,2010-11,21,18,0.538,,,,,,431,261,0.623,8.0,,,
Tommy Amaker,Harvard,Ivy,,23,7,0.767,,,,,2007-08,66,51,0.564,,,,,,242,190,0.56,1.0,1.0,,
Mike Anderson Sr,Missouri,Big 12,,23,11,0.676,15.0,,Lost Second Round,,2006-07,111,57,0.661,3.0,1.0,,,,200,98,0.671,6.0,2.0,,
Tevester Anderson,Jackson State,SWAC,,17,15,0.531,,,,,2003-04,131,128,0.506,1.0,,,,,234,180,0.565,3.0,,,
Gib Arnold,Hawaii,WAC,,19,13,0.594,,,,,2010-11,19,13,0.594,,,,,,19,13,0.594,,,,
Ronnie Arrow,South Alabama,Sun Belt,,12,16,0.429,,,,,1987-88,189,144,0.568,3.0,,,,,284,193,0.595,4.0,,,
Tom Asbury,Pepperdine,WCC,,12,21,0.364,,,,,1988-89,153,127,0.546,3.0,,,,,238,215,0.525,4.0,,,
Dave Balza,Florida Gulf Coast,A-Sun,,10,20,0.333,,,,,2007-08,39,82,0.322,,,,,,39,82,0.322,,,,
Tony Barbee,Auburn,SEC,,11,20,0.355,,,,,2010-11,11,20,0.355,,,,,,93,72,0.564,1.0,,,
Rick Barnes,Texas,Big 12,,28,8,0.778,,8.0,Lost Third Round,,1998-99,322,123,0.724,13.0,5.0,1.0,,,524,257,0.671,19.0,6.0,1.0,
Rod Barnes,Georgia State,CAA,,12,19,0.387,,,,,2007-08,45,80,0.36,,,,,,186,189,0.496,3.0,1.0,,
Jim Baron,Rhode Island,A-10,,20,14,0.588,,,,,2001-02,176,143,0.552,,,,,,382,345,0.525,2.0,,,
Murry Bartow,East Tennessee State,A-Sun,,24,12,0.667,,,,,2003-04,162,99,0.621,3.0,,,,,265,182,0.593,4.0,,,
Duggar Baucom,VMI,Big South,,18,13,0.581,,,,,2005-06,87,94,0.481,,,,,,87,94,0.481,,,,
John Beilein,Michigan,Big Ten,,21,14,0.6,,,Lost Third Round,,2007-08,67,67,0.5,2.0,,,,,360,242,0.598,6.0,2.0,,
Randy Bennett,Saint Mary's (CA),WCC,,25,9,0.735,,,,,2001-02,208,112,0.65,3.0,1.0,,,,208,112,0.65,3.0,1.0,,
Tony Bennett,Virginia,ACC,,16,15,0.516,,,,,2009-10,31,31,0.5,,,,,,100,64,0.61,2.0,1.0,,
Eddie Biedenbach,UNC Asheville,Big South,,20,14,0.588,,,Lost Second Round,,1996-97,216,232,0.482,2.0,,,,,245,283,0.464,2.0,,,
Dave Bike,Sacred Heart,NEC,,11,18,0.379,,,,,1999-00,131,217,0.376,,,,,,131,217,0.376,,,,
Jim Boeheim *,Syracuse,Big East,,27,8,0.771,10.0,12.0,Lost Third Round,,1976-77,856,301,0.74,28.0,15.0,3.0,1.0,,856,301,0.74,28.0,15.0,3.0,1.0
Ken Bone,Washington State,Pac-10,,22,13,0.629,,,,,2009-10,38,28,0.576,,,,,,115,77,0.599,2.0,,,
David Boots,South Dakota,GWC,,18,15,0.545,,,,,2009-10,40,25,0.615,,,,,,40,25,0.615,,,,
Tad Boyle,Colorado,Big 12,,24,14,0.632,,,,,2010-11,24,14,0.632,,,,,,80,80,0.5,,,,
Jim Boylen,Utah,MWC,,13,18,0.419,,,,,2007-08,69,60,0.535,1.0,,,,,69,60,0.535,1.0,,,
Todd Bozeman *,Morgan State,MEAC,,17,14,0.548,,,,,2006-07,102,65,0.611,2.0,,,,,165,100,0.623,5.0,1.0,,
