Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
John Brady,Arkansas State,Sun Belt,,17,15,0.531,,,,,2008-09,47,46,0.505,,,,,,328,262,0.556,4.0,2.0,1.0,
Matt Brady,James Madison,CAA,,21,12,0.636,,,,,2008-09,55,47,0.539,,,,,,128,97,0.569,,,,
Glenn Braica,St. Francis (NY),NEC,,15,15,0.5,,,,,2010-11,15,15,0.5,,,,,,15,15,0.5,,,,
Bobby Braswell,Cal State Northridge,Big West,,14,18,0.438,,,,,1996-97,230,220,0.511,2.0,,,,,230,220,0.511,2.0,,,
Ben Braun,Rice,CUSA,,14,18,0.438,,,,,2008-09,32,63,0.337,,,,,,435,350,0.554,8.0,2.0,,
Mike Brey,Notre Dame,Big East,,27,7,0.794,,5.0,Lost Third Round,,2000-01,238,120,0.665,7.0,1.0,,,,337,172,0.662,9.0,1.0,,
Horace Broadnax,Savannah State,Ind,,12,18,0.4,,,,,2005-06,65,111,0.369,,,,,,107,199,0.35,,,,
Keith Brown,Cal State Bakersfield,Ind,,9,19,0.321,,,,,2006-07,47,97,0.326,,,,,,47,97,0.326,,,,
Matt Brown,Kansas City,Summit,,16,14,0.533,,,,,2007-08,46,77,0.374,,,,,,46,77,0.374,,,,
Milan Brown,Holy Cross,Patriot,,8,21,0.276,,,,,2010-11,8,21,0.276,,,,,,103,141,0.422,1.0,,,
Will Brown,Albany (NY),AEC,,16,16,0.5,,,,,2001-02,129,165,0.439,2.0,,,,,129,165,0.439,2.0,,,
Brad Brownell,Clemson,ACC,,22,12,0.647,,,Lost Second Round,,2010-11,22,12,0.647,1.0,,,,,189,97,0.661,4.0,,,
Mitch Buonaguro,Siena,MAAC,,13,18,0.419,,,,,2010-11,13,18,0.419,,,,,,85,121,0.413,2.0,,,
Robert Burke,Mount St. Mary's,NEC,,11,21,0.344,,,,,2010-11,11,21,0.344,,,,,,11,21,0.344,,,,
Bob Burton,Cal State Fullerton,Big West,,11,20,0.355,,,,,2003-04,134,112,0.545,1.0,,,,,134,112,0.545,1.0,,,
Rick Byrd,Belmont,A-Sun,,30,5,0.857,,,Lost Second Round,,1999-00,220,150,0.595,4.0,,,,,220,150,0.595,4.0,,,
Jeff Bzdelik,Wake Forest,ACC,,8,24,0.25,,,,,2010-11,8,24,0.25,,,,,,119,129,0.48,1.0,,,
Jim Calhoun,Connecticut,Big East,,32,9,0.78,,9.0,Won National Final,,1986-87,609,231,0.725,17.0,13.0,4.0,3.0,,857,368,0.7,22.0,13.0,4.0,3.0
John Calipari *,Kentucky,SEC,,29,9,0.763,11.0,11.0,Lost National Semifinal,,2009-10,64,12,0.842,2.0,2.0,1.0,,,509,152,0.77,13.0,9.0,3.0,
Joe Callero,Cal Poly,Big West,,15,15,0.5,,,,,2009-10,27,34,0.443,,,,,,27,34,0.443,,,,
Dave Calloway,Monmouth,NEC,,9,21,0.3,,,,,1997-98,178,227,0.44,3.0,,,,,178,227,0.44,3.0,,,
Jason Capel,Appalachian State,Southern,,16,15,0.516,,,,,2010-11,16,15,0.516,,,,,,16,15,0.516,,,,
Jeff Capel III *,Oklahoma,Big 12,,14,18,0.438,,,,,2006-07,96,69,0.582,2.0,1.0,,,,175,110,0.614,3.0,1.0,,
Bill Carmody,Northwestern,Big Ten,,20,14,0.588,,,,,2000-01,160,177,0.475,,,,,,252,202,0.555,2.0,,,
David Carter,Nevada,WAC,,13,19,0.406,,,,,2009-10,34,32,0.515,,,,,,34,32,0.515,,,,
Tim Carter,South Carolina State,MEAC,,10,22,0.312,,,,,2007-08,58,70,0.453,,,,,,218,222,0.495,2.0,,,
Mo Cassara,Hofstra,CAA,,21,12,0.636,,,,,2010-11,21,12,0.636,,,,,,21,12,0.636,,,,
Patrick Chambers,Boston University,AEC,,21,14,0.6,,,Lost Second Round,,2009-10,42,28,0.6,1.0,,,,,42,28,0.6,1.0,,,
Scott Cherry,High Point,Big South,,12,19,0.387,,,,,2009-10,27,34,0.443,,,,,,27,34,0.443,,,,
Jim Christian,TCU,MWC,,11,22,0.333,,,,,2008-09,38,58,0.396,,,,,,175,117,0.599,2.0,,,
Perry Clark,Texas A&M-Corpus Christi,Southland,,10,21,0.323,,,,,2007-08,54,71,0.432,,,,,,304,270,0.53,4.0,,,
Steve Cleveland,Fresno State,WAC,,14,17,0.452,,,,,2005-06,92,98,0.484,,,,,,230,206,0.528,3.0,,,
Tim Cluess,Iona,MAAC,,25,12,0.676,,,,,2010-11,25,12,0.676,,,,,,25,12,0.676,,,,
Bill Coen,Northeastern,CAA,,11,20,0.355,,,,,2006-07,77,82,0.484,,,,,,77,82,0.484,,,,
Charlie Coles,Miami (OH),MAC,,16,17,0.485,,,,,1996-97,257,205,0.556,3.0,1.0,,,,348,290,0.545,4.0,1.0,,
Ed Conroy,Tulane,CUSA,,13,17,0.433,,,,,2010-11,13,17,0.433,,,,,,62,93,0.4,,,,
Ed Cooley,Fairfield,MAAC,,25,8,0.758,,,,,2006-07,92,69,0.571,,,,,,92,69,0.571,,,,
John Cooper,Tennessee State,OVC,,14,16,0.467,,,,,2009-10,23,39,0.371,,,,,,23,39,0.371,,,,
Paul Cormier,Dartmouth,Ivy,,5,23,0.179,,,,,1984-85,92,118,0.438,,,,,,178,229,0.437,1.0,,,
Ron Cottrell,Houston Christian,GWC,,5,26,0.161,,,,,2008-09,22,72,0.234,,,,,,22,72,0.234,,,,
Bill Courtney,Cornell,Ivy,,10,18,0.357,,,,,2010-11,10,18,0.357,,,,,,10,18,0.357,,,,
Tom Crean,Indiana,Big Ten,,12,20,0.375,,,,,2008-09,28,66,0.298,,,,,,218,162,0.574,5.0,1.0,1.0,
Bobby Cremins,College of Charleston,Southern,,26,11,0.703,,,,,2006-07,113,60,0.653,,,,,,567,367,0.607,11.0,5.0,1.0,
Mick Cronin,Cincinnati,Big East,,26,9,0.743,,,Lost Third Round,,2006-07,87,77,0.53,1.0,,,,,156,101,0.607,3.0,,,
Scott Cross,UT Arlington,Southland,,13,16,0.448,,,,,2006-07,79,73,0.52,1.0,,,,,79,73,0.52,1.0,,,
Keith Dambrot,Akron,MAC,,23,13,0.639,,,Lost Second Round,,2004-05,162,75,0.684,2.0,,,,,182,109,0.625,2.0,,,
Doug Davalos,Texas State,Southland,,16,16,0.5,,,,,2006-07,67,84,0.444,,,,,,67,84,0.444,,,,
Emmett Davis,Colgate,Patriot,,7,23,0.233,,,,,1998-99,163,214,0.432,,,,,,163,214,0.432,,,,
Keno Davis,Providence,Big East,,15,17,0.469,,,,,2008-09,46,50,0.479,,,,,,74,55,0.574,1.0,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,,16,16,0.5,,,,,2002-03,153,126,0.548,,,,,,224,176,0.56,2.0,,,
Mike Davis,UAB,CUSA,,22,9,0.71,,,Lost First Round,,2006-07,107,57,0.652,1.0,,,,,222,136,0.62,5.0,1.0,1.0,
Johnny Dawkins Jr,Stanford,Pac-10,,15,16,0.484,,,,,2008-09,49,48,0.505,,,,,,49,48,0.505,,,,
Ed DeChellis,Penn State,Big Ten,,19,15,0.559,,,Lost Second Round,,2003-04,114,138,0.452,1.0,,,,,219,231,0.487,2.0,,,
Mike Dement,UNC Greensboro,Southern,,7,24,0.226,,,,,1991-92,122,173,0.414,,,,,,329,363,0.475,1.0,,,
Tommy Dempsey,Rider,MAAC,,23,11,0.676,,,,,2005-06,106,86,0.552,,,,,,106,86,0.552,,,,
Howie Dickenman,Central Connecticut State,NEC,,19,12,0.613,,,,,1996-97,236,208,0.532,3.0,,,,,236,208,0.532,3.0,,,
James Dickey,Houston,CUSA,,12,18,0.4,,,,,2010-11,12,18,0.4,,,,,,178,142,0.556,2.0,1.0,,
Tracy Dildy,Chicago State,GWC,,6,26,0.188,,,,,2010-11,6,26,0.188,,,,,,6,26,0.188,,,,
Jamie Dixon,Pittsburgh,Big East,,28,6,0.824,5.0,4.0,Lost Third Round,,2003-04,216,60,0.783,8.0,3.0,,,,216,60,0.783,8.0,3.0,,
Matt Doherty,Southern Mississippi,CUSA,,20,15,0.571,,,,,2006-07,67,90,0.427,,,,,,157,161,0.494,1.0,,,
Cameron Dollar,Seattle,Ind,,11,20,0.355,,,,,2009-10,28,34,0.452,,,,,,28,34,0.452,,,,
Steve Donahue,Boston College,ACC,,21,13,0.618,,,,,2010-11,21,13,0.618,,,,,,167,151,0.525,3.0,1.0,,
Billy Donlon,Wright State,Horizon,,19,14,0.576,,,,,2010-11,19,14,0.576,,,,,,19,14,0.576,,,,
Billy Donovan,Florida,SEC,,29,8,0.784,9.0,15.0,Lost Regional Final,,1996-97,360,147,0.71,11.0,5.0,3.0,2.0,,395,167,0.703,11.0,5.0,3.0,2.0
Homer Drew,Valparaiso,Horizon,,23,12,0.657,,,,,1988-89,370,306,0.547,7.0,1.0,,,,370,306,0.547,7.0,1.0,,
Scott Drew,Baylor,Big 12,,18,13,0.581,16.0,,,,2003-04,127,116,0.523,2.0,1.0,,,,147,127,0.536,2.0,1.0,,
Chuck Driesell,The Citadel,Southern,,10,22,0.312,,,,,2010-11,10,22,0.312,,,,,,10,22,0.312,,,,
Matthew Driscoll,North Florida,A-Sun,,15,19,0.441,,,,,2009-10,28,37,0.431,,,,,,28,37,0.431,,,,
John Dunne,Saint Peter's,MAAC,,20,14,0.588,,,Lost Second Round,,2006-07,58,96,0.377,1.0,,,,,58,96,0.377,1.0,,,
Fran Dunphy,Temple,A-10,,26,8,0.765,22.0,,Lost Third Round,,2006-07,110,57,0.659,4.0,,,,,420,220,0.656,13.0,,,
Kirk Earlywine,Eastern Washington,Big Sky,,10,20,0.333,,,,,2007-08,42,78,0.35,,,,,,42,78,0.35,,,,
Jerry Eaves,North Carolina A&T,MEAC,,15,17,0.469,,,,,2003-04,87,160,0.352,,,,,,87,160,0.352,,,,
Cliff Ellis,Coastal Carolina,Big South,,28,6,0.824,,,,,2007-08,80,48,0.625,,,,,,616,386,0.615,8.0,3.0,,
Jim Engles,NJIT,GWC,,15,15,0.5,,,,,2008-09,26,66,0.283,,,,,,26,66,0.283,,,,
Larry Eustachy,Southern Miss,CUSA,,22,10,0.688,,,,,2004-05,117,104,0.529,,,,,,377,249,0.602,3.0,1.0,,
Anthony Evans,Norfolk State,MEAC,,12,20,0.375,,,,,2007-08,52,72,0.419,,,,,,52,72,0.419,,,,
Ron Everhart,Duquesne,A-10,,19,13,0.594,,,,,2006-07,83,74,0.529,,,,,,257,246,0.511,,,,
Jim Ferry,Long Island University,NEC,,27,6,0.818,,,Lost Second Round,,2002-03,125,140,0.472,1.0,,,,,125,140,0.472,1.0,,,
Mark Few,Gonzaga,WCC,,25,10,0.714,12.0,,Lost Third Round,,1999-00,316,83,0.792,12.0,4.0,,,,316,83,0.792,12.0,4.0,,
Dane Fife,Purdue Fort Wayne,Summit,,18,12,0.6,,,,,2005-06,82,97,0.458,,,,,,82,97,0.458,,,,
Steve Fisher *,San Diego State,MWC,,34,3,0.919,25.0,6.0,Lost Regional Semifinal,,1999-00,232,152,0.604,4.0,1.0,,,,417,233,0.642,11.0,5.0,3.0,1.0
Bruiser Flint,Drexel,CAA,,21,10,0.677,,,,,2001-02,170,134,0.559,,,,,,256,206,0.554,2.0,,,
Tim Floyd *,UTEP,CUSA,,25,10,0.714,,,,,2010-11,25,10,0.714,,,,,,352,191,0.648,8.0,2.0,,
Geno Ford,Kent State,MAC,,25,12,0.676,,,,,2008-09,68,37,0.648,,,,,,68,37,0.648,,,,
Travis Ford,Oklahoma State,Big 12,,20,14,0.588,,,,,2008-09,65,37,0.637,2.0,,,,,188,152,0.553,3.0,,,
Lennox Forrester,SIU Edwardsville,Ind,,8,21,0.276,,,,,2008-09,23,64,0.264,,,,,,23,64,0.264,,,,
Mark Fox,Georgia,SEC,,21,12,0.636,,,Lost Second Round,,2009-10,35,29,0.547,1.0,,,,,158,72,0.687,4.0,,,
Don Friday,Saint Francis (PA),NEC,,9,21,0.3,,,,,2008-09,26,63,0.292,,,,,,26,63,0.292,,,,
John Gallagher,Hartford,AEC,,11,20,0.355,,,,,2010-11,11,20,0.355,,,,,,11,20,0.355,,,,
Tyler Geving,Portland State,Big Sky,,14,16,0.467,,,,,2009-10,27,35,0.435,,,,,,27,35,0.435,,,,
John Giannini,La Salle,A-10,,15,18,0.455,,,,,2004-05,98,115,0.46,,,,,,223,226,0.497,,,,
Mike Gillian,Longwood,Ind,,12,19,0.387,,,,,2004-05,70,146,0.324,,,,,,70,146,0.324,,,,
Max Good,Loyola Marymount,WCC,,11,21,0.344,,,,,2008-09,32,62,0.34,,,,,,141,200,0.413,,,,
Anthony Grant,Alabama,SEC,,25,12,0.676,,,,,2009-10,42,27,0.609,,,,,,118,52,0.694,2.0,,,
James Green,Jacksonville State,OVC,,5,25,0.167,,,,,2008-09,27,61,0.307,,,,,,194,223,0.465,1.0,,,
Brad Greenberg,Radford,Big South,,5,24,0.172,,,,,2007-08,55,68,0.447,1.0,,,,,55,68,0.447,1.0,,,
Seth Greenberg,Virginia Tech,ACC,,22,12,0.647,21.0,,,,2003-04,154,106,0.592,1.0,,,,,367,276,0.571,3.0,,,
Brian Gregory,Dayton,A-10,,22,14,0.611,,,,,2003-04,172,94,0.647,2.0,,,,,172,94,0.647,2.0,,,
Bill Grier,San Diego,WCC,,6,24,0.2,,,,,2007-08,55,75,0.423,1.0,,,,,55,75,0.423,1.0,,,
John Groce,Ohio,MAC,,19,16,0.543,,,,,2008-09,56,48,0.538,1.0,,,,,56,48,0.538,1.0,,,
Frank Haith,Miami (FL),ACC,,21,15,0.583,,,,,2004-05,129,101,0.561,1.0,,,,,129,101,0.561,1.0,,,
Leonard Hamilton *,Florida State,ACC,,23,11,0.676,,,Lost Regional Semifinal,,2002-03,176,117,0.601,3.0,1.0,,,,376,327,0.535,6.0,2.0,,
Eugene Harris,Florida A&M,MEAC,,12,20,0.375,,,,,2007-08,46,80,0.365,,,,,,46,80,0.365,,,,
Tony Harvey,Texas Southern,SWAC,,19,13,0.594,,,,,2008-09,43,54,0.443,,,,,,43,54,0.443,,,,
Steve Hawkins,Western Michigan,MAC,,21,13,0.618,,,,,2003-04,145,112,0.564,1.0,,,,,145,112,0.564,1.0,,,
Stan Heath,South Florida,Big East,,10,23,0.303,,,,,2007-08,51,77,0.398,,,,,,163,154,0.514,3.0,1.0,,
Bill Herrion,New Hampshire,AEC,,12,18,0.4,,,,,2005-06,70,108,0.393,,,,,,307,277,0.526,3.0,,,
Tom Herrion,Marshall,CUSA,,22,12,0.647,,,,,2010-11,22,12,0.647,,,,,,102,50,0.671,,,,
Paul Hewitt,Georgia Tech,ACC,,13,18,0.419,,,,,2000-01,190,162,0.54,5.0,1.0,1.0,,,256,189,0.575,6.0,1.0,1.0,
B.J. Hill *,Northern Colorado,Big Sky,,21,11,0.656,,,Lost Second Round,,2010-11,21,11,0.656,1.0,,,,,21,11,0.656,1.0,,,
Karl Hobbs,George Washington,A-10,,17,14,0.548,,,,,2001-02,166,129,0.563,3.0,,,,,166,129,0.563,3.0,,,
Bob Hoffman,Mercer,A-Sun,,15,18,0.455,,,,,2008-09,48,50,0.49,,,,,,116,127,0.477,,,,
Fred Hoiberg,Iowa State,Big 12,,16,16,0.5,,,,,2010-11,16,16,0.5,,,,,,16,16,0.5,,,,
Chris Holtmann,Gardner-Webb,Big South,,11,21,0.344,,,,,2010-11,11,21,0.344,,,,,,11,21,0.344,,,,
Jason Hooten,Sam Houston,Southland,,18,13,0.581,,,,,2010-11,18,13,0.581,,,,,,18,13,0.581,,,,
Darrin Horn,South Carolina,SEC,,14,16,0.467,,,,,2008-09,50,42,0.543,,,,,,161,90,0.641,1.0,1.0,,
Ben Howland,UCLA,Pac-10,,23,11,0.676,,,Lost Third Round,,2003-04,189,83,0.695,6.0,3.0,3.0,,,355,184,0.659,9.0,5.0,3.0,
Bob Huggins,West Virginia,Big East,,21,12,0.636,,22.0,Lost Third Round,,2007-08,101,42,0.706,4.0,2.0,1.0,,,619,228,0.731,19.0,6.0,2.0,
Dick Hunsaker,Utah Valley,GWC,,19,11,0.633,,,,,2004-05,117,86,0.576,,,,,,232,132,0.637,2.0,1.0,,
Larry Hunter,Western Carolina,Southern,,18,15,0.545,,,,,2005-06,90,100,0.474,,,,,,294,248,0.542,1.0,,,
Ron Hunter,IUPUI,Summit,,19,14,0.576,,,,,1998-99,221,179,0.552,1.0,,,,,221,179,0.552,1.0,,,
Dan Hurley,Wagner,NEC,,13,17,0.433,,,,,2010-11,13,17,0.433,,,,,,13,17,0.433,,,,
Brad Huse,Montana State,Big Sky,,13,18,0.419,,,,,2006-07,68,83,0.45,,,,,,68,83,0.45,,,,
Tony Ingle,Kennesaw State,A-Sun,,8,23,0.258,,,,,2005-06,63,120,0.344,,,,,,63,139,0.312,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,7,24,0.226,,,,,2008-09,38,58,0.396,1.0,,,,,38,58,0.396,1.0,,,
Tom Izzo,Michigan State,Big Ten,,19,15,0.559,2.0,,Lost Second Round,,1995-96,383,161,0.704,14.0,9.0,6.0,1.0,,383,161,0.704,14.0,9.0,6.0,1.0
Greg Jackson,Delaware State,MEAC,,9,21,0.3,,,,,2000-01,166,169,0.496,1.0,,,,,166,169,0.496,1.0,,,
Jeff Jackson,Furman,Southern,,22,11,0.667,,,,,2006-07,63,91,0.409,,,,,,84,151,0.357,,,,
Lewis Jackson,Alabama State,SWAC,,17,18,0.486,,,Lost First Round,,2005-06,97,92,0.513,2.0,,,,,97,92,0.513,2.0,,,
Ben Jacobson,Northern Iowa,MVC,,20,14,0.588,,,,,2006-07,109,57,0.657,2.0,1.0,,,,109,57,0.657,2.0,1.0,,
Jason James,Tennessee-Martin,OVC,,12,21,0.364,,,,,2009-10,16,46,0.258,,,,,,16,46,0.258,,,,
Tim Jankovich,Illinois State,MVC,,12,19,0.387,,,,,2007-08,83,50,0.624,,,,,,136,107,0.56,,,,
Mike Jarvis,Florida Atlantic,Sun Belt,,21,11,0.656,,,,,2008-09,41,53,0.436,,,,,,404,255,0.613,9.0,2.0,,
Rob Jeter,Milwaukee,Horizon,,19,14,0.576,,,,,2005-06,101,89,0.532,1.0,,,,,101,89,0.532,1.0,,,
Sydney Johnson,Princeton,Ivy,,25,7,0.781,,,Lost Second Round,,2007-08,66,53,0.555,1.0,,,,,66,53,0.555,1.0,,,
Trent Johnson,Louisiana State,SEC,,11,21,0.344,,,,,2008-09,49,49,0.5,1.0,,,,,208,171,0.549,5.0,2.0,,
Brian Jones,North Dakota,GWC,,19,15,0.559,,,,,2009-10,27,38,0.415,,,,,,27,38,0.415,,,,
Donnie Jones *,Central Florida,CUSA,,21,12,0.636,,,,,2010-11,21,12,0.636,,,,,,76,53,0.589,,,,
James Jones,Yale,Ivy,,15,13,0.536,,,,,1999-00,157,181,0.464,,,,,,157,181,0.464,,,,
Jeff Jones,American,Patriot,,22,9,0.71,,,,,2000-01,181,151,0.545,2.0,,,,,327,255,0.562,7.0,2.0,,
Johnny Jones,North Texas,Sun Belt,,22,11,0.667,,,,,2001-02,172,132,0.566,2.0,,,,,187,148,0.558,2.0,,,
Edward Joyner Jr,Hampton,MEAC,,24,9,0.727,,,Lost Second Round,,2009-10,38,27,0.585,1.0,,,,,38,27,0.585,1.0,,,
Greg Kampe,Oakland,Summit,,25,10,0.714,,,Lost Second Round,,1999-00,206,171,0.546,3.0,,,,,206,171,0.546,3.0,,,
Danny Kaspar,Stephen F. Austin,Southland,,18,11,0.621,,,,,2000-01,199,124,0.616,1.0,,,,,199,124,0.616,1.0,,,
Brian Katz,Sacramento State,Big Sky,,7,21,0.25,,,,,2008-09,18,69,0.207,,,,,,18,69,0.207,,,,
Kerry Keating,Santa Clara,WCC,,24,14,0.632,,,,,2007-08,66,68,0.493,,,,,,66,68,0.493,,,,
Derek Kellogg,Massachusetts,A-10,,15,15,0.5,,,,,2008-09,39,53,0.424,,,,,,39,53,0.424,,,,
Andy Kennedy,Mississippi,SEC,,20,14,0.588,,,,,2006-07,105,64,0.621,,,,,,126,77,0.621,,,,
Billy Kennedy,Murray State,OVC,,23,9,0.719,,,,,2006-07,107,53,0.669,1.0,,,,,211,179,0.541,2.0,,,
Pat Kennedy,Towson,CAA,,4,26,0.133,,,,,2004-05,71,144,0.33,,,,,,487,455,0.517,8.0,2.0,,
Pat Knight,Texas Tech,Big 12,,13,19,0.406,,,,,2007-08,50,61,0.45,,,,,,50,61,0.45,,,,
Tod Kowalczyk,Toledo,MAC,,4,28,0.125,,,,,2010-11,4,28,0.125,,,,,,140,140,0.5,,,,
Lon Kruger,Nevada-Las Vegas,MWC,,24,9,0.727,,,Lost Second Round,,2004-05,161,71,0.694,4.0,1.0,,,,479,304,0.612,13.0,3.0,1.0,
Mike Krzyzewski,Duke,ACC,,32,5,0.865,1.0,3.0,Lost Regional Semifinal,,1980-81,827,225,0.786,27.0,20.0,11.0,4.0,,900,284,0.76,27.0,20.0,11.0,4.0
Robbie Laing,Campbell,A-Sun,,12,19,0.387,,,,,2003-04,84,150,0.359,,,,,,84,150,0.359,,,,
Billy Lange,Navy,Patriot,,11,20,0.355,,,,,2004-05,92,115,0.444,,,,,,92,115,0.444,,,,
Fred Langley,Wyoming,MWC,,1,5,0.167,,,,,2010-11,1,5,0.167,,,,,,1,5,0.167,,,,
Greg Lansing,Indiana State,MVC,,20,14,0.588,,,Lost Second Round,,2010-11,20,14,0.588,1.0,,,,,20,14,0.588,1.0,,,
Jim Larranaga,George Mason,CAA,,27,7,0.794,,,Lost Third Round,,1997-98,273,164,0.625,5.0,1.0,1.0,,,442,309,0.589,5.0,1.0,1.0,
Steve Lavin,St. John's (NY),Big East,,21,12,0.636,,18.0,Lost Second Round,,2010-11,21,12,0.636,1.0,,,,,166,90,0.648,7.0,5.0,,
Dale Layer,Liberty,Big South,,19,13,0.594,,,,,2009-10,34,29,0.54,,,,,,137,135,0.504,1.0,,,
Jeff Lebo,East Carolina,CUSA,,18,16,0.529,,,,,2010-11,18,16,0.529,,,,,,229,172,0.571,,,,
Jim Les,Bradley,MVC,,12,20,0.375,,,,,2002-03,154,140,0.524,1.0,1.0,,,,154,140,0.524,1.0,1.0,,
Mike Lonergan,Vermont,AEC,,23,9,0.719,,,,,2005-06,126,68,0.649,1.0,,,,,126,68,0.649,1.0,,,
Dave Loos,Austin Peay,OVC,,20,14,0.588,,,,,1990-91,351,290,0.548,3.0,,,,,351,290,0.548,3.0,,,
Sidney Lowe,NC State,ACC,,15,16,0.484,,,,,2006-07,86,78,0.524,,,,,,86,78,0.524,,,,
Chris Lowery,Southern Illinois,MVC,,13,19,0.406,,,,,2004-05,137,93,0.596,3.0,1.0,,,,137,93,0.596,3.0,1.0,,
Chris Mack,Xavier,A-10,,24,8,0.75,,20.0,Lost Second Round,,2009-10,50,17,0.746,2.0,1.0,,,,50,17,0.746,2.0,1.0,,
Mark Macon,Binghamton,AEC,,8,23,0.258,,,,,2009-10,21,41,0.339,,,,,,21,41,0.339,,,,
Don Maestri,Troy,Sun Belt,,8,21,0.276,,,,,1993-94,269,257,0.511,1.0,,,,,269,257,0.511,1.0,,,
