Team_A, Team_B, Score_Differential
UNC Asheville,Little Rock,-4
Clemson,UAB,-18
UTSA,Alabama State,-9
Virginia Commonwealth,Southern California,-13
Michigan State,UCLA,2
UNC Asheville,Pittsburgh,23
Northern Colorado,San Diego State,18
Bucknell,Connecticut,29
Wofford,Brigham Young,8
Princeton,Kentucky,2
Morehead State,Louisville,-1
UC Santa Barbara,Florida,28
Belmont,Wisconsin,14
Gonzaga,St. John's (NY),-15
Utah State,Kansas State,5
Clemson,West Virginia,8
Richmond,Vanderbilt,-3
Old Dominion,Butler,2
Penn State,Temple,2
Missouri,Cincinnati,15
Boston University,Kansas,19
UTSA,Ohio State,29
Hampton,Duke,42
Akron,Notre Dame,13
Long Island University,North Carolina,15
Oakland,Texas,4
Indiana State,Syracuse,17
Saint Peter's,Purdue,22
Memphis,Arizona,2
Marquette,Xavier,-11
Georgia,Washington,3
Florida State,Texas A&M,-7
Tennessee,Michigan,30
Villanova,George Mason,4
Illinois,Nevada-Las Vegas,-11
Virginia Commonwealth,Georgetown,-18
Butler,Pittsburgh,-1
Temple,San Diego State,7
Cincinnati,Connecticut,11
Gonzaga,Brigham Young,22
West Virginia,Kentucky,8
UCLA,Florida,8
Kansas State,Wisconsin,5
Morehead State,Richmond,17
Illinois,Kansas,14
George Mason,Ohio State,32
Michigan,Duke,2
Florida State,Notre Dame,-14
Washington,North Carolina,3
Arizona,Texas,-1
Marquette,Syracuse,-4
Virginia Commonwealth,Purdue,-18
Connecticut,San Diego State,-7
Brigham Young,Florida,9
Arizona,Duke,-16
Butler,Wisconsin,-7
Richmond,Kansas,20
Marquette,North Carolina,18
Kentucky,Ohio State,-2
Virginia Commonwealth,Florida State,-1
Butler,Florida,-3
Arizona,Connecticut,2
Virginia Commonwealth,Kansas,-10
Kentucky,North Carolina,-7
Virginia Commonwealth,Butler,8
Kentucky,Connecticut,1
Butler,Connecticut,12
