Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,32,16,16,.500,2.71,3.31,,6,10,,12,5,,3,11,,2074,2082,,62.5,102.9,.326,.454,.519,54.7,63.7,8.6,10.3,.482,16.9,34.3,.234
2,Akron NCAA,36,23,13,.639,2.15,-1.02,,9,7,,14,2,,5,9,,2524,2365,,67.0,96.4,.383,.302,.499,52.1,51.1,8.8,6.6,.464,17.8,32.7,.253
3,Alabama,37,25,12,.676,11.70,4.27,,12,4,,19,0,,4,6,,2473,2198,,65.3,90.3,.363,.320,.477,48.0,50.1,9.1,9.1,.437,20.1,33.8,.245
4,Alabama A&M,28,13,15,.464,-15.19,-11.75,,10,8,,9,4,,4,10,,1808,1870,,71.6,92.9,.415,.277,.490,51.2,55.2,11.0,10.1,.457,19.6,33.6,.259
5,Alabama State NCAA,35,17,18,.486,-13.37,-10.31,,11,7,,10,3,,4,14,,2146,2234,,66.5,95.3,.515,.296,.506,49.3,55.9,11.2,6.8,.454,19.8,33.4,.352
6,Albany (NY),32,16,16,.500,-7.05,-5.96,,9,7,,7,6,,7,8,,2013,2048,,61.0,102.9,.278,.404,.500,48.3,59.3,10.3,9.8,.478,14.0,33.0,.177
7,Alcorn State,28,4,24,.143,-23.02,-8.02,,4,14,,2,7,,2,17,,1838,2258,,77.6,103.4,.421,.309,.524,56.5,60.4,10.8,10.2,.492,16.5,37.8,.275
8,American,31,22,9,.710,-3.13,-5.64,,11,3,,10,3,,10,5,,2051,1973,,61.9,101.2,.374,.300,.519,47.6,51.8,8.7,6.2,.475,14.4,26.2,.273
9,Appalachian State,31,16,15,.516,-4.81,-2.95,,10,8,,9,3,,6,8,,2265,2269,,68.9,105.8,.310,.318,.543,50.1,52.4,9.1,6.7,.516,15.5,30.7,.214
10,Arizona NCAA,38,30,8,.789,16.54,7.99,,14,4,,17,0,,7,4,,2905,2580,,66.9,100.2,.366,.283,.520,46.9,52.8,8.7,9.8,.486,16.1,29.2,.248
11,Arizona State,31,12,19,.387,4.30,7.20,,4,14,,8,7,,2,10,,1983,2073,,64.4,103.4,.393,.359,.529,52.7,63.0,10.1,10.7,.491,16.9,33.0,.274
12,Arkansas,31,18,13,.581,6.28,2.34,,7,9,,15,3,,2,7,,2191,2069,,67.7,97.0,.315,.280,.496,52.0,49.5,8.6,12.4,.456,17.6,35.6,.229
13,Arkansas State,32,17,15,.531,-3.38,-3.31,,11,5,,13,0,,4,10,,2188,2066,,65.6,98.0,.395,.314,.513,46.6,49.1,9.2,9.6,.474,17.3,29.2,.271
14,Arkansas-Pine Bluff,31,7,24,.226,-20.00,-8.03,,7,11,,5,4,,2,19,,1850,2221,,68.4,103.5,.554,.334,.558,53.3,64.0,11.4,12.0,.524,19.4,31.5,.362
15,Army,30,11,19,.367,-10.71,-6.58,,3,11,,4,8,,7,10,,2038,2141,,68.2,104.6,.415,.361,.548,51.2,58.8,8.6,11.6,.512,17.7,31.5,.289
16,Auburn,31,11,20,.355,-2.47,2.40,,4,12,,9,11,,2,7,,1933,2051,,65.7,99.5,.451,.413,.534,50.6,61.4,10.5,11.9,.495,19.9,33.5,.305
17,Austin Peay,34,20,14,.588,-0.15,-3.77,,13,5,,10,3,,8,9,,2510,2279,,68.6,95.7,.359,.342,.512,49.2,55.8,9.9,8.5,.479,20.3,34.0,.240
