Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,13,18,.419,-13.93,-7.53,,8,10,,10,5,,2,12,,2209,2272,,1250,792,1662,.477,168,486,.346,520,735,.707,266,1031,376,160,98,448,596
2,Air Force,32,14,18,.438,-5.51,0.66,,5,13,,12,5,,2,13,,2189,2330,,1300,784,1823,.430,290,843,.344,472,667,.708,326,1187,470,211,133,436,664
3,Akron,35,26,9,.743,5.55,-1.24,,13,5,,15,0,,6,8,,2682,2381,,1405,862,2103,.410,205,698,.294,452,667,.678,401,1315,393,206,80,408,630
4,Alabama,33,18,15,.545,7.14,8.62,,8,10,,10,4,,5,8,,2193,2242,,1330,769,1878,.409,211,642,.329,493,735,.671,431,1259,370,189,96,402,647
5,Alabama A&M,29,11,18,.379,-13.47,-10.75,,6,12,,6,5,,4,12,,1974,2042,,1175,726,1599,.454,168,520,.323,422,637,.662,307,1025,351,171,84,316,590
6,Alabama State,31,14,17,.452,-13.11,-9.35,,9,9,,8,3,,5,12,,2217,2308,,1260,808,1744,.463,193,569,.339,499,768,.650,324,1170,404,187,106,400,548
7,Albany (NY),33,24,9,.727,0.93,-7.57,,13,3,,14,1,,10,8,,2495,2180,,1335,801,1899,.422,229,750,.305,349,516,.676,310,1027,404,177,131,428,695
8,Alcorn State,30,15,15,.500,-16.01,-9.94,,13,5,,9,2,,6,9,,2014,2164,,1225,748,1673,.447,215,592,.363,453,646,.701,324,1038,384,205,95,357,583
9,American,31,12,19,.387,-14.18,-6.08,,9,9,,5,7,,7,12,,1785,2036,,1250,735,1568,.469,147,473,.311,419,628,.667,284,992,362,225,75,370,530
10,Appalachian State,31,9,22,.290,-7.91,-1.10,,7,13,,6,7,,2,12,,2187,2398,,1240,856,1852,.462,183,474,.386,503,738,.682,357,1157,373,197,116,349,673
11,Arizona NCAA,34,25,9,.735,18.79,7.23,,12,6,,17,1,,5,5,,2735,2342,,1390,853,2067,.413,204,646,.316,432,606,.713,320,1055,412,187,117,388,743
12,Arizona State,32,15,17,.469,8.28,8.96,,5,13,,11,6,,3,9,,2345,2367,,1290,830,1812,.458,224,633,.354,483,690,.700,302,1159,483,186,150,411,670
13,Arkansas,32,16,16,.500,10.23,6.76,,9,9,,13,4,,3,8,,2501,2390,,1305,803,1844,.435,231,644,.359,553,790,.700,349,1187,447,165,140,454,658
14,Arkansas State,31,11,20,.355,-7.48,-2.37,,7,13,,9,6,,2,14,,2282,2353,,1260,791,1983,.399,259,737,.351,512,757,.676,401,1257,399,195,94,355,675
15,Arkansas-Pine Bluff,33,8,25,.242,-19.31,-5.52,,6,12,,3,6,,4,17,,1867,2322,,1325,747,1701,.439,180,557,.323,648,913,.710,408,1248,441,271,99,438,524
16,Army,33,19,14,.576,-7.32,-8.13,,9,9,,7,8,,11,6,,2539,2474,,1350,918,2064,.445,199,575,.346,439,656,.669,342,1230,417,235,111,402,646
17,Auburn,31,11,20,.355,0.15,7.54,,5,13,,8,7,,2,11,,2192,2421,,1245,832,1877,.443,232,667,.348,525,752,.698,376,1270,439,187,122,400,656
18,Austin Peay NCAA,36,18,18,.500,-6.04,-2.98,,7,9,,7,7,,7,9,,2740,2765,,1460,995,2159,.461,302,840,.360,471,667,.706,378,1236,524,252,108,478,765
19,Ball State,35,21,14,.600,0.11,-2.98,,10,8,,13,6,,6,8,,2479,2338,,1430,790,1951,.405,242,697,.347,516,732,.705,335,1189,399,230,75,397,638
20,Baylor NCAA,34,22,12,.647,16.13,9.76,,10,8,,15,5,,6,5,,2621,2366,,1375,823,1843,.447,233,638,.365,485,693,.700,314,1011,598,223,134,463,666
21,Belmont,32,20,12,.625,1.19,-2.10,,12,4,,11,1,,8,10,,2638,2510,,1285,873,1977,.442,242,689,.351,522,725,.720,370,1137,420,229,100,390,665
22,Bethune-Cookman,32,14,18,.438,-14.35,-9.18,,10,6,,9,2,,5,13,,2258,2330,,1295,830,1923,.432,228,672,.339,442,647,.683,428,1258,478,173,86,389,582
23,Binghamton,30,8,22,.267,-14.08,-6.35,,5,11,,5,9,,3,13,,1827,2059,,1205,728,1675,.435,204,606,.337,399,576,.693,298,1108,397,211,84,372,553
24,Boise State,32,20,12,.625,7.23,3.13,,11,7,,14,2,,5,7,,2480,2246,,1290,785,1765,.445,234,669,.350,442,631,.700,264,1054,388,169,105,472,675
25,Boston College,32,7,25,.219,-1.61,7.67,,0,18,,6,11,,0,10,,1959,2256,,1285,796,1732,.460,224,587,.382,440,641,.686,302,1175,467,234,110,415,504
26,Boston University,34,19,15,.559,-6.79,-6.37,,11,7,,9,6,,10,9,,2483,2464,,1375,875,2009,.436,247,744,.332,467,681,.686,346,1184,486,217,90,406,628
27,Bowling Green State,34,16,18,.471,-5.88,-1.85,,5,13,,7,8,,7,8,,2400,2457,,1360,853,1978,.431,278,745,.373,473,685,.691,350,1208,379,207,103,403,684
28,Bradley,32,5,27,.156,-10.91,3.70,,3,15,,4,11,,1,12,,1793,2238,,1290,737,1675,.440,188,544,.346,576,866,.665,288,1121,397,247,99,374,647
29,Brigham Young,37,26,11,.703,12.36,2.36,,13,5,,17,2,,6,6,,3093,2692,,1485,943,2269,.416,287,863,.333,519,725,.716,359,1340,509,205,136,487,728
