Rk,School,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G
1,Abilene Christian,0.419,-13.93,-7.53,-0.0249999999999999,84,0.021,-0.006,-3,0,0,0,0,0,0,0,0.4444444444444444,0.6666666666666666,0.14285714285714285,1.3225806451612903,2.7096774193548385,-0.6774193548387096,1.3548387096774193,-2.0,-2.6451612903225805,0.0967741935483871,-1.2903225806451613,1.4838709677419355,2.3548387096774195,-0.6451612903225806,-0.967741935483871,2.7419354838709675
2,Air Force,0.438,-5.51,0.66,-0.002,-247,-0.0049999999999999,-0.0249999999999999,-5,0,0,0,0,0,0,0,0.2777777777777778,0.7058823529411765,0.13333333333333333,-2.75,-7.71875,-1.0,-2.03125,0.34375,1.25,-1.28125,-2.5,-1.5625,-0.46875,-2.34375,-0.40625,-1.46875
3,Akron,0.743,5.55,-1.24,0.022,371,0.089,0.006,8,0,0,0,0,0,0,0,0.7222222222222222,1.0,0.42857142857142855,5.828571428571428,10.6,1.4,0.22857142857142856,-0.02857142857142857,-0.22857142857142856,-0.8,-0.14285714285714285,3.257142857142857,-0.45714285714285713,1.6285714285714286,-0.7714285714285715,-0.34285714285714286
4,Alabama,0.545,7.14,8.62,0.013,121,0.01,-0.028,-2,0,0,0,1,0,0,0,0.4444444444444444,0.7142857142857143,0.38461538461538464,1.4545454545454546,3.6666666666666665,-0.9393939393939394,-3.878787878787879,-1.0606060606060606,-0.696969696969697,-3.1515151515151514,-3.5757575757575757,-0.696969696969697,0.09090909090909091,2.393939393939394,1.0909090909090908,-0.48484848484848486
5,Alabama A&M,0.379,-13.47,-10.75,-0.037,79,-0.031,0.022,-3,0,0,0,0,0,0,0,0.3333333333333333,0.5454545454545454,0.25,0.2413793103448276,2.7241379310344827,-1.5517241379310345,1.1379310344827587,0.5862068965517241,0.1724137931034483,0.7931034482758621,-0.8620689655172413,0.5172413793103449,-0.27586206896551724,-0.7931034482758621,0.8275862068965517,-1.0
6,Alabama State,0.452,-13.11,-9.35,-0.052,78,-0.007,0.034,-3,0,0,0,0,0,0,0,0.5,0.7272727272727273,0.29411764705882354,0.7096774193548387,2.5161290322580645,-0.6451612903225806,5.612903225806452,-2.3548387096774195,-4.67741935483871,2.161290322580645,-0.5483870967741935,-1.032258064516129,-0.1935483870967742,0.03225806451612903,-0.9354838709677419,3.161290322580645
7,Albany (NY),0.727,0.93,-7.57,0.036,-163,0.015,0.0749999999999999,9,0,0,0,0,0,0,0,0.8125,0.9333333333333333,0.5555555555555556,-1.2424242424242424,-4.9393939393939394,1.4242424242424243,-1.4848484848484849,7.9393939393939394,9.030303030303031,2.3333333333333335,7.545454545454546,0.18181818181818182,1.1818181818181819,-2.393939393939394,-0.45454545454545453,-3.4545454545454546
8,Alcorn State,0.5,-16.01,-9.94,-0.039,-26,-0.0559999999999999,-0.0229999999999999,-5,0,0,0,0,0,0,0,0.7222222222222222,0.8181818181818182,0.4,-1.3666666666666667,-0.8666666666666667,-1.9,0.6333333333333333,0.16666666666666666,1.0,2.0,1.1333333333333333,-3.7333333333333334,-2.3666666666666667,0.5333333333333333,2.4,-1.1666666666666667
9,American,0.387,-14.18,-6.08,-0.0449999999999999,99,0.03,0.0289999999999999,-9,0,0,0,0,0,0,0,0.5,0.4166666666666667,0.3684210526315789,1.5483870967741935,3.193548387096774,-3.3548387096774195,-2.6129032258064515,-2.935483870967742,-5.064516129032258,-2.129032258064516,-3.806451612903226,-0.45161290322580644,-1.5806451612903225,-0.1935483870967742,1.8709677419354838,1.1612903225806452
10,Appalachian State,0.29,-7.91,-1.1,-0.061,246,-0.03,0.0209999999999999,-7,0,0,0,0,0,0,0,0.35,0.46153846153846156,0.14285714285714285,2.3548387096774195,7.935483870967742,-4.419354838709677,-1.8387096774193548,-0.3225806451612903,-1.1935483870967742,1.1612903225806452,-0.4838709677419355,-0.5161290322580645,-2.2580645161290325,-0.41935483870967744,3.6451612903225805,-0.22580645161290322
