Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,31,13,18,.419,-13.93,-7.53,,8,10,,10,5,,2,12,,2209,2272,,69.7,104.3,.442,.292,.565,51.0,47.5,7.3,8.6,.527,18.2,26.9,.313
2,Air Force,32,14,18,.438,-5.51,0.66,,5,13,,12,5,,2,13,,2189,2330,,68.9,104.0,.366,.462,.544,51.7,59.9,9.4,11.4,.510,16.9,28.4,.259
3,Akron,35,26,9,.743,5.55,-1.24,,13,5,,15,0,,6,8,,2682,2381,,69.2,98.0,.317,.332,.492,50.1,45.6,8.5,7.7,.459,14.4,30.0,.215
4,Alabama,33,18,15,.545,7.14,8.62,,8,10,,10,4,,5,8,,2193,2242,,66.1,102.0,.391,.342,.503,52.5,48.1,8.6,9.7,.466,15.3,34.6,.263
5,Alabama A&M,29,11,18,.379,-13.47,-10.75,,6,12,,6,5,,4,12,,1974,2042,,65.7,105.9,.398,.325,.537,50.6,48.3,8.9,8.1,.507,14.2,31.4,.264
6,Alabama State,31,14,17,.452,-13.11,-9.35,,9,9,,8,3,,5,12,,2217,2308,,69.5,105.4,.440,.326,.547,50.4,50.0,8.5,8.3,.519,15.9,29.8,.286
7,Albany (NY),33,24,9,.727,0.93,-7.57,,13,3,,14,1,,10,8,,2495,2180,,67.8,96.4,.272,.395,.508,44.6,50.4,7.8,10.4,.482,16.6,25.9,.184
8,Alcorn State,30,15,15,.500,-16.01,-9.94,,13,5,,9,2,,6,9,,2014,2164,,66.5,106.3,.386,.354,.547,49.2,51.3,10.1,8.4,.511,15.3,32.0,.271
9,American,31,12,19,.387,-14.18,-6.08,,9,9,,5,7,,7,12,,1785,2036,,62.0,105.1,.401,.302,.545,53.2,49.3,11.6,8.2,.516,16.5,30.2,.267
10,Appalachian State,31,9,22,.290,-7.91,-1.10,,7,13,,6,7,,2,12,,2187,2398,,70.8,109.2,.398,.256,.544,50.3,43.6,9.0,10.8,.512,13.7,32.3,.272
11,Arizona NCAA,34,25,9,.735,18.79,7.23,,12,6,,17,1,,5,5,,2735,2342,,69.8,96.6,.293,.313,.497,43.5,48.3,7.7,8.4,.462,14.1,24.7,.209
12,Arizona State,32,15,17,.469,8.28,8.96,,5,13,,11,6,,3,9,,2345,2367,,69.8,105.2,.381,.349,.553,49.6,58.2,8.3,12.9,.520,16.1,27.8,.267
13,Arkansas,32,16,16,.500,10.23,6.76,,9,9,,13,4,,3,8,,2501,2390,,71.3,102.7,.428,.349,.538,50.0,55.7,7.1,9.7,.498,17.0,30.0,.300
