Team_A, Team_B, Score_Differential
Fairleigh Dickinson,Florida Gulf Coast,31
Wichita State,Vanderbilt,-20
Holy Cross,Southern,-4
Tulsa,Michigan,5
Austin Peay,Kansas,26
Chattanooga,Indiana,25
Florida Gulf Coast,North Carolina,16
Hampton,Virginia,36
Buffalo,Miami (FL),7
Stony Brook,Kentucky,28
Little Rock,Purdue,-2
Fresno State,Utah,11
Wichita State,Arizona,-10
UNC Wilmington,Duke,8
Gonzaga,Seton Hall,-16
Yale,Baylor,-4
Iona,Iowa State,13
Butler,Texas Tech,-10
Connecticut,Colorado,-7
Providence,Southern California,-1
Middle Tennessee,Michigan State,-9
Holy Cross,Oregon,39
UNC Asheville,Villanova,30
Cal State Bakersfield,Oklahoma,14
Stephen F. Austin,West Virginia,-14
Weber State,Xavier,18
Green Bay,Texas A&M,27
South Dakota State,Maryland,5
Hawaii,California,-11
Temple,Iowa,2
Syracuse,Dayton,-19
Virginia Commonwealth,Oregon State,-8
Pittsburgh,Wisconsin,4
Northern Iowa,Texas,-3
Michigan,Notre Dame,7
Cincinnati,Saint Joseph's,2
Connecticut,Kansas,12
Indiana,Kentucky,-6
Providence,North Carolina,19
Butler,Virginia,8
Wichita State,Miami (FL),8
Gonzaga,Utah,-23
Yale,Duke,7
Little Rock,Iowa State,17
Saint Joseph's,Oregon,5
Iowa,Villanova,19
Virginia Commonwealth,Oklahoma,4
Wisconsin,Xavier,-3
Northern Iowa,Texas A&M,4
Hawaii,Maryland,13
Stephen F. Austin,Notre Dame,1
Middle Tennessee,Syracuse,25
Maryland,Kansas,16
Duke,Oregon,14
Miami (FL),Villanova,23
Texas A&M,Oklahoma,14
Indiana,North Carolina,15
Iowa State,Virginia,13
Wisconsin,Notre Dame,5
Gonzaga,Syracuse,3
Villanova,Kansas,-5
Oklahoma,Oregon,-12
Notre Dame,North Carolina,14
Syracuse,Virginia,-6
Syracuse,North Carolina,16
Villanova,Oklahoma,-44
Villanova,North Carolina,-3
