Rk,School,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,69.7,-2.8999999999999915,-0.059,0.043,-0.0169999999999999,-2.0,7.200000000000003,3.3999999999999995,-2.0,-0.013,-1.0,-0.8999999999999986,-0.0439999999999999
2,Air Force,68.9,-6.299999999999997,0.036,-0.123,-0.021,-3.4000000000000057,-4.0,-0.7000000000000011,-5.5,-0.025,-0.0999999999999978,-3.5,0.016
3,Akron,69.2,12.400000000000006,-0.005,0.174,0.061,-0.2000000000000028,10.1,-0.7000000000000002,2.1000000000000005,0.069,-0.8000000000000007,-1.0,-0.001
4,Alabama,66.1,-2.299999999999997,0.0159999999999999,0.0939999999999999,0.022,-5.0,-1.1000000000000014,0.0999999999999996,4.5,0.0299999999999999,2.0,-6.300000000000001,-0.001
5,Alabama A&M,65.7,-3.6000000000000085,-0.005,0.0419999999999999,-0.027,-1.2000000000000028,5.400000000000006,-0.5,-2.3999999999999995,-0.036,0.7000000000000011,0.1000000000000014,0.005
6,Alabama State,69.5,-4.1000000000000085,-0.1149999999999999,0.011,-0.046,-0.7999999999999972,-2.799999999999997,-0.1999999999999993,0.7999999999999989,-0.0519999999999999,-1.5,1.8000000000000007,-0.0639999999999999
7,Albany (NY),67.8,13.899999999999991,0.1679999999999999,-0.078,0.05,10.799999999999995,-2.1000000000000014,1.7000000000000002,-5.9,0.027,-1.0000000000000018,9.200000000000005,0.146
8,Alcorn State,66.5,-7.299999999999997,0.014,-0.0189999999999999,-0.047,1.5999999999999943,-11.9,-3.5,1.9000000000000004,-0.0509999999999999,2.3000000000000007,3.0,0.0
9,American,62.0,-12.899999999999991,-0.084,0.083,-0.023,-6.400000000000006,5.900000000000006,-2.5,-1.8999999999999997,-0.026,3.5,-6.699999999999999,-0.046
10,Appalachian State,70.8,-9.600000000000009,-0.007,0.145,-0.03,-0.5999999999999943,6.100000000000001,-3.2,-3.3000000000000007,-0.04,4.100000000000001,0.6000000000000014,0.003
11,Arizona,69.8,16.200000000000003,0.145,-0.019,0.0779999999999999,13.0,3.0,-0.9000000000000004,2.9000000000000004,0.074,1.5999999999999996,10.2,0.107
12,Arizona State,69.8,-1.0,-0.003,0.045,-0.035,0.7999999999999972,-7.300000000000004,-0.7000000000000011,-5.6000000000000005,-0.039,-1.6000000000000014,3.6999999999999993,-0.007
13,Arkansas,71.3,4.799999999999997,-0.0519999999999999,-0.0759999999999999,-0.005,0.0,3.0,2.9000000000000004,4.100000000000001,-0.001,-3.8000000000000007,0.8999999999999986,-0.0389999999999999
14,Arkansas State,72.7,-3.0999999999999943,0.0309999999999999,-0.065,0.012,-0.5999999999999943,-0.8999999999999986,-1.5999999999999996,3.6000000000000005,0.0,2.0,-2.5,0.0449999999999999
15,Arkansas-Pine Bluff,65.3,-21.0,-0.236,0.06,-0.07,-10.799999999999995,-12.0,-1.5999999999999996,1.4000000000000004,-0.0419999999999999,3.8000000000000007,-9.7,-0.197
16,Army,72.2,2.6000000000000085,-0.003,0.1419999999999999,0.009,4.200000000000003,10.6,-2.8999999999999995,-0.8999999999999986,0.007,1.3000000000000007,4.600000000000001,0.005
17,Auburn,72.5,-10.200000000000005,0.0089999999999999,0.084,-0.038,-5.599999999999994,-4.199999999999996,-0.9000000000000004,-1.5,-0.032,1.1999999999999993,-4.399999999999999,-0.021
18,Austin Peay,70.5,-1.0,0.148,-0.074,-0.009,3.5999999999999943,-2.0,-0.1000000000000014,0.0,-0.015,0.6000000000000014,3.5,0.088
19,Ball State,66.2,6.0,-0.026,0.069,0.045,3.4000000000000057,9.4,-1.5999999999999996,3.2,0.0579999999999999,2.5,1.6999999999999993,-0.022
20,Baylor,67.6,10.899999999999991,-0.001,-0.06,0.01,11.200000000000005,-8.100000000000009,2.0,1.799999999999999,0.008,-2.1000000000000014,11.900000000000002,0.009
21,Belmont,72.8,5.5,-0.015,0.155,0.0699999999999999,-1.4000000000000057,11.4,-3.6000000000000005,-4.6000000000000005,0.0829999999999999,2.9000000000000004,-4.599999999999998,-0.009
22,Bethune-Cookman,68.2,-3.299999999999997,-0.027,0.0579999999999999,-0.012,-3.0,-11.200000000000005,1.1000000000000003,7.800000000000001,-0.013,0.9000000000000004,-2.6000000000000014,-0.017
23,Binghamton,67.4,-11.400000000000006,0.018,0.009,-0.045,-4.0,-1.6000000000000014,-2.5,-1.9000000000000004,-0.0529999999999999,2.1000000000000014,-3.1999999999999997,0.009
24,Boise State,70.5,10.299999999999995,0.048,0.0449999999999999,0.015,2.5999999999999943,1.7000000000000028,1.799999999999999,-4.000000000000001,0.012,-4.200000000000001,3.6000000000000014,0.0379999999999999
25,Boston College,67.0,-13.799999999999995,-0.1119999999999999,0.0679999999999999,-0.056,-8.400000000000006,-1.5,-2.5,-2.5,-0.049,1.1000000000000014,-6.899999999999999,-0.086
