Team_Name,Mapped_Name
UConn,Connecticut
USC,Southern California
UCSB,UC Santa Barbara
Pitt,Pittsburgh
Saint Mary's,Saint Mary's (CA)
VCU,Virginia Commonwealth
BYU,Brigham Young
Ole Miss,Mississippi
UNC,North Carolina
SMU,Southern Methodist
LSU,Louisiana State
UC-Irvine,UC Irvine
UC-Davis,UC Davis
St. Joseph's,Saint Joseph's
ETSU,East Tennessee State
LIU,Long Island University
Penn,Pennsylvania
UMBC,Maryland-Baltimore County
UCF,Central Florida
St. Peter's,Saint Peter's
UMass,Massachusetts
UNLV,Nevada-Las Vegas
Central Connecticut,Central Connecticut State
UMass-Lowell,Massachusetts-Lowell
USC Upstate,South Carolina Upstate
SIU-Edwardsville,SIU Edwardsville
UT-Martin,Tennessee-Martin
UC-Riverside,UC Riverside
UC-San Diego,UC San Diego
Fort Wayne,Purdue Fort Wayne
Fla. Atlantic,Florida Atlantic
FAU,Florida Atlantic
Miami,Miami (FL)
S.DakotaState,South Dakota State
W. Kentucky,Western Kentucky
NC Central,North Carolina Central
Saint John's,St. John's (NY)
E. Kentucky,Eastern Kentucky
E. Washington,Eastern Washington
