Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,31,10,21,.323,-4.90,3.13,,1,15,,8,10,,0,10,,1773,1957,,59.6,96.0,.367,.394,.529,46.8,61.6,8.4,6.2,.504,19.0,24.2,.233
2,Akron,35,24,11,.686,2.82,-1.50,,12,4,,13,5,,7,4,,2472,2293,,65.9,104.8,.363,.343,.521,51.6,53.9,9.0,8.5,.491,16.4,37.2,.239
3,Alabama,32,17,15,.531,10.34,6.62,,6,10,,11,6,,3,6,,2192,2073,,65.7,104.2,.343,.279,.525,50.5,54.2,11.8,10.9,.490,16.4,35.0,.242
4,Alabama A&M,27,11,16,.407,-20.19,-13.71,,8,10,,8,5,,3,9,,1778,1881,,73.2,89.5,.474,.237,.463,46.8,48.1,12.5,12.7,.416,18.8,33.9,.301
5,Alabama State,31,16,15,.516,-14.41,-12.02,,12,6,,9,3,,6,11,,1998,2043,,67.8,94.7,.448,.356,.499,51.3,60.0,10.8,11.1,.462,20.0,35.6,.287
6,Albany (NY),32,7,25,.219,-11.94,-5.53,,2,14,,4,9,,3,15,,2007,2212,,65.7,94.8,.314,.337,.503,52.0,53.5,8.8,8.2,.465,20.6,36.0,.226
7,Alcorn State,31,2,29,.065,-30.36,-9.00,,2,16,,2,8,,0,18,,1880,2542,,75.3,80.2,.422,.255,.456,44.5,41.3,9.1,7.4,.418,23.7,29.2,.258
8,American,31,11,20,.355,-11.47,-6.89,,7,7,,7,8,,4,12,,1941,2083,,64.1,95.7,.356,.333,.518,52.4,65.6,5.4,6.6,.482,19.6,30.2,.246
9,Appalachian State,37,24,13,.649,1.80,-2.76,,13,5,,14,4,,8,8,,2766,2567,,67.5,110.0,.391,.350,.581,55.7,46.9,8.0,7.7,.545,18.6,35.3,.289
10,Arizona,31,16,15,.516,7.97,8.10,,10,8,,11,5,,4,7,,2229,2233,,68.4,102.6,.443,.322,.548,49.9,51.5,8.6,6.4,.501,17.6,29.6,.324
11,Arizona State,33,22,11,.667,13.80,5.83,,12,6,,16,4,,5,5,,2202,1938,,62.1,107.4,.380,.447,.567,49.9,62.0,10.5,7.2,.534,16.8,28.3,.271
12,Arkansas,32,14,18,.438,5.87,5.09,,7,9,,12,8,,2,7,,2391,2366,,71.3,103.6,.421,.311,.536,48.2,53.1,10.0,10.1,.500,16.4,30.7,.286
13,Arkansas State,31,17,14,.548,-4.01,-4.39,,11,7,,10,5,,5,8,,2160,2065,,67.6,102.3,.396,.286,.528,52.6,52.9,7.5,10.3,.496,17.4,33.8,.263
14,Arkansas-Pine Bluff NCAA,34,18,16,.529,-8.29,-7.68,,14,4,,8,1,,5,14,,2166,2187,,67.4,93.1,.484,.262,.495,54.2,58.1,9.8,10.2,.447,20.6,35.6,.323
15,Army,29,14,15,.483,-9.11,-7.96,,4,10,,10,4,,4,11,,1749,1768,,64.9,92.5,.314,.317,.495,49.3,52.4,12.6,9.8,.466,19.6,30.5,.205
16,Auburn,32,15,17,.469,5.49,4.68,,6,10,,12,5,,1,9,,2422,2373,,71.0,105.7,.360,.428,.541,49.6,49.3,11.0,7.5,.515,16.3,32.5,.236
17,Austin Peay,32,17,15,.531,-3.85,-1.68,,11,7,,11,4,,5,9,,2320,2317,,67.6,105.2,.457,.317,.552,49.2,54.6,8.6,8.6,.513,17.9,32.0,.317
18,Ball State,30,15,15,.500,-4.85,-1.48,,8,8,,11,6,,4,8,,1818,1871,,62.7,94.3,.461,.209,.502,51.0,53.8,7.9,8.4,.453,19.4,32.0,.317
19,Baylor NCAA,36,28,8,.778,17.97,8.03,,11,5,,15,1,,6,4,,2771,2362,,67.2,113.8,.358,.325,.580,54.4,51.2,9.7,17.4,.549,17.1,38.5,.260
20,Belmont,31,19,12,.613,1.30,-3.41,,14,6,,10,3,,8,8,,2266,2124,,70.1,103.5,.433,.417,.553,51.2,58.3,10.1,7.1,.521,20.0,34.9,.292
21,Bethune-Cookman,33,17,16,.515,-13.14,-8.40,,7,9,,10,4,,4,11,,2021,1996,,62.0,98.5,.361,.229,.499,50.8,46.3,11.1,10.8,.469,17.3,35.0,.232
22,Binghamton,31,13,18,.419,-10.60,-4.31,,8,8,,9,3,,3,12,,1909,2082,,63.2,96.7,.342,.333,.503,50.2,43.3,8.4,11.0,.471,18.8,34.2,.227
23,Boise State,32,15,17,.469,-1.11,0.68,,5,11,,9,7,,4,9,,2370,2331,,71.3,103.0,.298,.298,.535,50.8,57.6,10.6,8.9,.510,17.1,32.7,.201
24,Boston College,31,15,16,.484,9.58,7.21,,6,10,,11,6,,3,7,,2145,2048,,65.8,105.1,.305,.273,.524,53.5,58.3,7.6,8.6,.491,16.2,38.5,.218
25,Boston University,35,21,14,.600,0.57,-3.23,,11,5,,10,4,,9,8,,2528,2395,,70.1,102.3,.382,.405,.526,49.4,47.8,10.4,9.0,.484,16.5,30.1,.276
26,Bowling Green State,30,14,16,.467,-4.70,-0.94,,6,10,,9,5,,5,11,,1889,1976,,63.8,98.3,.352,.255,.517,51.2,56.5,10.6,10.1,.486,18.7,33.6,.236
27,Bradley,31,16,15,.516,3.74,4.11,,9,9,,10,5,,4,8,,2091,2089,,64.9,103.1,.378,.320,.540,48.5,51.3,9.6,8.2,.496,16.2,28.4,.282
28,Brigham Young NCAA,36,30,6,.833,18.82,3.00,,13,3,,15,1,,10,4,,2992,2392,,71.0,116.1,.388,.330,.596,53.0,55.3,11.9,9.1,.552,14.2,31.2,.307
29,Brown,31,11,20,.355,-10.68,-3.82,,5,9,,4,9,,6,10,,2073,2231,,66.5,99.8,.374,.380,.547,46.1,58.7,5.8,8.8,.507,17.5,22.5,.274
30,Bryant,30,1,29,.033,,,,1,17,,0,11,,1,16,,1503,2034,,62.8,79.5,.265,.370,.455,43.4,58.2,8.9,10.4,.424,22.9,23.9,.177
31,Bucknell,31,14,17,.452,-7.94,-6.84,,9,5,,8,5,,5,11,,2077,2107,,65.4,100.8,.347,.347,.510,49.4,51.6,7.4,9.9,.467,15.0,30.7,.253
32,Buffalo,30,18,12,.600,-2.03,-2.27,,9,7,,9,4,,8,6,,2170,2135,,69.0,104.0,.363,.343,.531,51.0,60.1,10.9,8.8,.493,17.1,34.9,.260
33,Butler NCAA,38,33,5,.868,14.37,5.08,,18,0,,15,0,,12,1,,2611,2258,,64.1,106.8,.469,.398,.559,52.1,54.9,10.9,6.5,.510,16.3,30.4,.346
34,Cal Poly,31,12,19,.387,-7.99,-2.31,,7,9,,6,6,,5,12,,2176,2335,,67.8,102.3,.383,.348,.520,51.1,49.3,8.0,6.8,.475,16.6,34.1,.279
35,Cal State Bakersfield,29,7,22,.241,,,,,,,5,6,,2,15,,1907,2163,,68.4,95.3,.435,.287,.482,48.9,41.4,9.0,6.9,.433,18.1,36.1,.299
36,Cal State Fullerton,31,16,15,.516,-2.87,-1.55,,8,8,,8,5,,7,6,,2303,2263,,69.3,103.4,.410,.341,.549,50.2,53.3,7.9,7.6,.510,17.8,29.7,.293
37,Cal State Northridge,32,11,21,.344,-5.81,-1.06,,6,10,,7,6,,2,13,,2282,2412,,72.6,97.1,.522,.279,.511,50.5,47.7,10.2,8.8,.463,20.1,35.9,.349
38,California NCAA,35,24,11,.686,17.29,8.26,,13,5,,15,1,,6,6,,2703,2387,,67.9,113.4,.354,.300,.571,52.5,51.8,8.3,6.3,.533,15.1,34.7,.268
39,Campbell,30,19,11,.633,-3.13,-4.96,,14,6,,12,3,,7,7,,2057,1900,,66.7,102.9,.456,.260,.536,50.6,61.3,15.7,7.1,.490,18.3,35.4,.323
40,Canisius,32,15,17,.469,-5.19,-4.09,,8,10,,7,5,,5,10,,2125,2160,,66.2,98.4,.337,.369,.507,51.0,54.2,8.9,9.2,.470,18.4,35.0,.236
41,Centenary (LA),29,8,21,.276,-17.16,-5.08,,3,15,,5,9,,3,11,,2056,2320,,71.9,97.3,.382,.391,.529,43.9,56.0,10.9,5.8,.485,18.5,25.9,.280
42,Central Arkansas,30,9,21,.300,,,,2,13,,2,8,,1,12,,1897,2009,,65.8,95.6,.456,.331,.500,49.4,46.2,9.8,8.9,.463,18.1,32.1,.291
43,Central Connecticut State,30,12,18,.400,-14.68,-9.68,,9,9,,8,4,,3,13,,1834,1935,,63.7,94.8,.342,.305,.493,48.7,51.0,10.3,7.8,.451,17.8,32.1,.245
44,Central Florida,32,15,17,.469,-0.03,2.19,,6,10,,9,6,,3,9,,2133,2184,,65.5,100.6,.375,.307,.527,49.2,62.5,11.7,8.6,.494,18.4,33.3,.256
45,Central Michigan,30,15,15,.500,-3.58,-3.58,,9,7,,10,3,,5,11,,1937,1924,,64.5,100.2,.385,.387,.516,50.8,49.3,12.7,8.9,.482,18.5,35.6,.256
46,Charleston Southern,30,13,17,.433,-13.25,-8.12,,7,11,,11,3,,2,14,,2062,2030,,67.6,100.0,.279,.312,.509,50.6,43.2,13.0,10.7,.484,18.0,36.0,.185
47,Charlotte,31,19,12,.613,3.96,3.00,,9,7,,10,5,,7,7,,2276,2205,,69.4,105.0,.425,.357,.524,51.7,54.1,8.4,10.5,.474,16.0,35.5,.312
48,Chattanooga,33,15,18,.455,-8.56,-3.68,,6,12,,11,5,,2,11,,2305,2379,,70.9,98.5,.334,.428,.527,50.8,58.7,8.5,8.3,.507,19.7,31.8,.206
49,Chicago State,32,9,23,.281,-21.80,-7.61,,4,8,,7,5,,0,17,,2010,2287,,68.9,90.7,.387,.280,.463,50.8,45.8,10.0,6.8,.420,19.1,36.1,.256
50,Cincinnati,35,19,16,.543,9.98,8.45,,7,11,,13,5,,2,9,,2408,2327,,66.4,102.2,.322,.330,.502,54.3,54.2,8.4,8.4,.476,16.0,38.3,.206
51,Clemson NCAA,32,21,11,.656,15.71,7.90,,9,7,,14,2,,5,6,,2350,2065,,70.1,104.8,.348,.336,.537,51.4,53.2,13.4,11.9,.511,18.0,36.5,.230
52,Cleveland State,33,16,17,.485,0.57,2.12,,10,8,,13,5,,3,9,,2283,2254,,66.3,104.4,.353,.341,.542,46.6,54.1,13.4,5.4,.501,16.1,29.4,.265
53,Coastal Carolina,35,28,7,.800,-0.78,-10.14,,15,3,,17,2,,9,4,,2584,2103,,67.4,109.5,.366,.253,.544,53.8,56.0,11.2,11.7,.523,16.0,38.3,.231
54,Colgate,29,10,19,.345,-11.34,-6.52,,6,8,,7,6,,3,11,,1955,2069,,66.8,99.2,.345,.325,.526,51.0,55.4,9.2,5.7,.494,18.9,32.1,.236
55,College of Charleston,34,22,12,.647,-0.81,-2.46,,14,4,,12,1,,8,9,,2549,2493,,69.0,108.2,.210,.424,.559,43.9,46.8,8.4,10.6,.537,14.4,25.6,.156
56,Colorado,31,15,16,.484,7.01,7.70,,6,10,,13,3,,1,10,,2313,2299,,69.2,107.0,.448,.325,.584,44.2,57.3,11.8,6.0,.536,17.1,23.7,.343
57,Colorado State,32,16,16,.500,1.35,3.61,,7,9,,11,4,,3,11,,2120,2134,,66.6,98.7,.483,.307,.527,51.8,48.3,10.8,7.5,.484,19.4,32.8,.327
58,Columbia,28,11,17,.393,-11.75,-6.04,,5,9,,7,6,,4,11,,1686,1828,,64.8,92.8,.381,.247,.492,50.2,47.3,11.5,5.9,.453,19.0,31.4,.256
59,Connecticut,34,18,16,.529,12.50,9.15,,7,11,,15,4,,2,9,,2380,2266,,68.3,102.5,.442,.215,.524,52.6,54.8,9.5,17.6,.482,18.2,38.7,.304
60,Coppin State,30,8,22,.267,-14.89,-6.81,,3,13,,7,6,,1,15,,1833,2029,,66.2,91.6,.304,.278,.477,46.3,46.5,9.2,6.3,.433,17.9,30.7,.224
61,Cornell NCAA,34,29,5,.853,8.76,-0.91,,13,1,,11,1,,13,3,,2596,2192,,64.7,117.1,.284,.401,.604,52.4,59.5,11.0,10.2,.568,16.1,33.0,.207
62,Creighton,34,18,16,.529,3.59,3.15,,10,8,,15,2,,3,10,,2374,2320,,65.9,105.1,.371,.399,.540,50.5,57.3,7.7,9.0,.501,15.8,30.8,.267
63,Dartmouth,28,5,23,.179,-18.46,-5.46,,1,13,,5,10,,0,13,,1513,1835,,63.8,84.7,.266,.230,.446,45.8,49.7,10.0,6.3,.415,18.1,28.6,.175
64,Davidson,31,16,15,.516,-2.26,-1.26,,11,7,,10,4,,5,5,,2240,2200,,67.0,106.2,.337,.431,.544,52.5,62.5,6.7,9.6,.506,17.0,33.1,.228
65,Dayton,37,25,12,.676,13.25,5.61,,8,8,,16,2,,6,7,,2599,2305,,67.3,103.3,.385,.363,.536,54.0,59.8,9.4,10.1,.506,18.1,34.2,.256
66,Delaware,31,7,24,.226,-7.86,1.37,,3,15,,5,10,,2,13,,1965,2251,,64.6,95.8,.344,.339,.482,49.4,52.7,7.6,6.6,.441,16.8,34.5,.240
67,Delaware State,29,17,12,.586,-9.08,-7.60,,11,5,,12,3,,4,8,,1697,1691,,59.0,98.4,.336,.299,.493,47.0,49.4,13.9,7.8,.458,16.2,34.6,.228
68,Denver,32,19,13,.594,-2.76,-4.89,,10,8,,15,1,,2,11,,2079,2012,,60.3,107.7,.448,.452,.610,44.6,67.5,9.4,9.2,.579,18.1,18.8,.320
