Team_A, Team_B, Score_Differential
Winthrop,Arkansas-Pine Bluff,17
Lehigh,Kansas,16
East Tennessee State,Kentucky,29
North Texas,Kansas State,20
Montana,New Mexico,5
Robert Morris,Villanova,3
UTEP,Butler,18
Ohio,Georgetown,-14
San Diego State,Tennessee,3
Florida,Brigham Young,7
Sam Houston,Baylor,9
Murray State,Vanderbilt,-1
Saint Mary's (CA),Richmond,-9
Old Dominion,Notre Dame,-1
Northern Iowa,Nevada-Las Vegas,-3
Washington,Marquette,-2
Wake Forest,Texas,-1
New Mexico State,Michigan State,3
Arkansas-Pine Bluff,Duke,29
Vermont,Syracuse,23
UC Santa Barbara,Ohio State,17
Morgan State,West Virginia,27
Siena,Purdue,8
Cornell,Temple,-13
Wofford,Wisconsin,4
Oakland,Pittsburgh,23
Houston,Maryland,12
Florida State,Gonzaga,7
Utah State,Texas A&M,16
Minnesota,Xavier,11
Missouri,Clemson,-8
Georgia Tech,Oklahoma State,-5
Louisville,California,15
Northern Iowa,Kansas,-2
Wake Forest,Kentucky,30
Brigham Young,Kansas State,12
Washington,New Mexico,-18
Saint Mary's (CA),Villanova,-7
Murray State,Butler,2
Ohio,Tennessee,15
Old Dominion,Baylor,8
Michigan State,Maryland,-2
California,Duke,15
Gonzaga,Syracuse,22
Georgia Tech,Ohio State,9
Missouri,West Virginia,9
Texas A&M,Purdue,2
Cornell,Wisconsin,-18
Xavier,Pittsburgh,-3
Butler,Syracuse,-4
Washington,West Virginia,13
Xavier,Kansas State,5
Cornell,Kentucky,17
Northern Iowa,Michigan State,7
Tennessee,Ohio State,-3
Saint Mary's (CA),Baylor,23
Purdue,Duke,13
Butler,Kansas State,-7
West Virginia,Kentucky,-7
Tennessee,Michigan State,1
Baylor,Duke,7
Butler,Michigan State,-2
West Virginia,Duke,21
Butler,Duke,2
