Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,31,10,21,.323,-4.90,3.13,,1,15,,8,10,,0,10,,1773,1957,,1240,665,1474,.451,225,648,.347,402,590,.681,276,966,398,180,87,365,518
2,Akron,35,24,11,.686,2.82,-1.50,,12,4,,13,5,,7,4,,2472,2293,,1430,787,1887,.417,177,553,.320,542,764,.709,401,1188,377,239,88,496,670
3,Alabama,32,17,15,.531,10.34,6.62,,6,10,,11,6,,3,6,,2192,2073,,1280,736,1734,.424,181,570,.318,420,633,.664,384,1102,358,186,131,446,533
4,Alabama A&M,27,11,16,.407,-20.19,-13.71,,8,10,,8,5,,3,9,,1778,1881,,1085,666,1570,.424,140,448,.313,409,653,.626,408,1141,378,225,136,511,561
5,Alabama State,31,16,15,.516,-14.41,-12.02,,12,6,,9,3,,6,11,,1998,2043,,1245,692,1591,.435,150,430,.349,509,762,.668,321,1046,340,247,109,486,646
6,Albany (NY),32,7,25,.219,-11.94,-5.53,,2,14,,4,9,,3,15,,2007,2212,,1290,778,1788,.435,222,609,.365,434,628,.691,355,1065,433,260,129,392,536
7,Alcorn State,31,2,29,.065,-30.36,-9.00,,2,16,,2,8,,0,18,,1880,2542,,1245,888,1912,.464,223,582,.383,543,855,.635,467,1329,566,334,168,488,629
8,American,31,11,20,.355,-11.47,-6.89,,7,7,,7,8,,4,12,,1941,2083,,1265,732,1709,.428,169,477,.354,450,664,.678,294,997,387,245,90,297,534
9,Appalachian State,37,24,13,.649,1.80,-2.76,,13,5,,14,4,,8,8,,2766,2567,,1490,908,2164,.420,288,840,.343,463,704,.658,382,1134,507,265,96,400,707
10,Arizona,31,16,15,.516,7.97,8.10,,10,8,,11,5,,4,7,,2229,2233,,1270,787,1800,.437,180,574,.314,479,689,.695,350,1067,395,181,108,399,621
11,Arizona State,33,22,11,.667,13.80,5.83,,12,6,,16,4,,5,5,,2202,1938,,1320,678,1687,.402,181,571,.317,401,587,.683,345,1056,405,184,81,426,581
12,Arkansas,32,14,18,.438,5.87,5.09,,7,9,,12,8,,2,7,,2391,2366,,1295,825,1910,.432,233,626,.372,483,668,.723,396,1187,415,212,148,469,654
13,Arkansas State,31,17,14,.548,-4.01,-4.39,,11,7,,10,5,,5,8,,2160,2065,,1250,738,1804,.409,161,550,.293,428,608,.704,354,1072,387,222,100,377,611
14,Arkansas-Pine Bluff NCAA,34,18,16,.529,-8.29,-7.68,,14,4,,8,1,,5,14,,2166,2187,,1380,698,1720,.406,170,528,.322,621,938,.662,321,1086,392,261,149,473,707
15,Army,29,14,15,.483,-9.11,-7.96,,4,10,,10,4,,4,11,,1749,1768,,1165,560,1358,.412,202,606,.333,446,636,.701,270,955,331,165,89,495,501
16,Auburn,32,15,17,.469,5.49,4.68,,6,10,,12,5,,1,9,,2422,2373,,1290,830,1818,.457,223,630,.354,490,687,.713,342,1137,428,212,118,484,586
17,Austin Peay,32,17,15,.531,-3.85,-1.68,,11,7,,11,4,,5,9,,2320,2317,,1305,828,1864,.444,226,613,.369,435,620,.702,391,1129,437,233,126,432,667
18,Ball State,30,15,15,.500,-4.85,-1.48,,8,8,,11,6,,4,8,,1818,1871,,1230,665,1660,.401,182,583,.312,359,522,.688,343,1010,393,202,100,355,599
19,Baylor NCAA,36,28,8,.778,17.97,8.03,,11,5,,15,1,,6,4,,2771,2362,,1450,816,2136,.382,249,749,.332,481,708,.679,470,1178,471,217,85,435,660
20,Belmont,31,19,12,.613,1.30,-3.41,,14,6,,10,3,,8,8,,2266,2124,,1250,753,1822,.413,161,531,.303,457,677,.675,403,1096,375,263,138,449,639
21,Bethune-Cookman,33,17,16,.515,-13.14,-8.40,,7,9,,10,4,,4,11,,2021,1996,,1325,668,1575,.424,191,520,.367,469,721,.650,332,1060,357,195,114,465,527
22,Binghamton,31,13,18,.419,-10.60,-4.31,,8,8,,9,3,,3,12,,1909,2082,,1250,740,1725,.429,219,620,.353,383,572,.670,378,1068,403,193,78,354,520
23,Boise State,32,15,17,.469,-1.11,0.68,,5,11,,9,7,,4,9,,2370,2331,,1290,864,1898,.455,205,563,.364,398,587,.678,350,1112,424,198,91,470,515
24,Boston College,31,15,16,.484,9.58,7.21,,6,10,,11,6,,3,7,,2145,2048,,1240,766,1758,.436,150,498,.301,366,545,.672,336,977,364,188,144,363,546
25,Boston University,35,21,14,.600,0.57,-3.23,,11,5,,10,4,,9,8,,2528,2395,,1410,806,1960,.411,222,689,.322,561,832,.674,403,1325,441,219,117,511,678
26,Bowling Green State,30,14,16,.467,-4.70,-0.94,,6,10,,9,5,,5,11,,1889,1976,,1205,689,1591,.433,224,613,.365,374,550,.680,318,963,445,214,96,392,520
27,Bradley,31,16,15,.516,3.74,4.11,,9,9,,10,5,,4,8,,2091,2089,,1250,725,1764,.411,223,724,.308,416,538,.773,367,1082,411,179,64,378,558
28,Brigham Young NCAA,36,30,6,.833,18.82,3.00,,13,3,,15,1,,10,4,,2992,2392,,1450,836,2049,.408,220,661,.333,500,733,.682,372,1181,445,217,105,565,668
29,Brown,31,11,20,.355,-10.68,-3.82,,5,9,,4,9,,6,10,,2073,2231,,1250,856,1932,.443,207,587,.353,312,460,.678,382,1157,427,214,110,313,575
30,Bryant,30,1,29,.033,,,,1,17,,0,11,,1,16,,1503,2034,,1165,694,1560,.445,195,531,.367,451,682,.661,358,1130,398,239,101,359,429
31,Bucknell,31,14,17,.452,-7.94,-6.84,,9,5,,8,5,,5,11,,2077,2107,,1260,722,1675,.431,208,535,.389,455,633,.719,319,1074,382,170,94,401,560
32,Buffalo,30,18,12,.600,-2.03,-2.27,,9,7,,9,4,,8,6,,2170,2135,,1210,745,1646,.453,197,516,.382,448,638,.702,318,1024,356,208,93,456,560
33,Butler NCAA,38,33,5,.868,14.37,5.08,,18,0,,15,0,,12,1,,2611,2258,,1525,805,1936,.416,194,612,.317,454,669,.679,335,1142,407,200,120,529,779
34,Cal Poly,31,12,19,.387,-7.99,-2.31,,7,9,,6,6,,5,12,,2176,2335,,1255,746,1637,.456,207,562,.368,636,886,.718,309,1052,428,177,105,383,551
35,Cal State Bakersfield,29,7,22,.241,,,,,,,5,6,,2,15,,1907,2163,,1170,777,1697,.458,165,498,.331,444,621,.715,375,1096,414,182,102,379,542
36,Cal State Fullerton,31,16,15,.516,-2.87,-1.55,,8,8,,8,5,,7,6,,2303,2263,,1285,791,1850,.428,195,556,.351,486,714,.681,368,1134,386,182,82,407,587
37,Cal State Northridge,32,11,21,.344,-5.81,-1.06,,6,10,,7,6,,2,13,,2282,2412,,1295,772,1824,.423,240,695,.345,628,875,.718,420,1188,477,254,109,521,728
38,California NCAA,35,24,11,.686,17.29,8.26,,13,5,,15,1,,6,6,,2703,2387,,1405,866,1993,.435,195,618,.316,460,663,.694,381,1123,435,193,132,447,608
39,Campbell,30,19,11,.633,-3.13,-4.96,,14,6,,12,3,,7,7,,2057,1900,,1200,644,1474,.437,192,578,.332,420,610,.689,312,955,425,196,156,552,596
40,Canisius,32,15,17,.469,-5.19,-4.09,,8,10,,7,5,,5,10,,2125,2160,,1306,783,1857,.422,210,644,.326,384,586,.655,400,1151,432,228,113,421,584
