Away,Home,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Coach W/L,Coach Team NCAA,Coach Team S16,Coach Team F4,Coach Team Champs,Coach C W/L,Coach C NCAA,Coach C S16,Coach C F4,Coach C Champs,OSRS,DSRS,DRtg,Score_Dif
Winthrop,Arkansas-Pine Bluff,-0.04699999999999993,0.39000000000000057,-0.3700000000000001,0.018999999999999902,45,0.0299999999999999,0.034,-1,0,0,0,0,0,0,0,0.11111111111111116,0.031746031746031744,-0.08978328173374611,0.8440285204991088,1.4188948306595366,-0.41800356506238867,-3.90017825311943,-1.1408199643493762,-2.840463458110517,0.1524064171122994,4.427807486631016,2.2468805704099823,-3.2442067736185383,-1.2174688057040997,6.005347593582888,0.9795008912655971,0.7000000000000028,-1.6000000000000085,-0.034,0.043,0.0279999999999999,6.400000000000006,11.199999999999994,-4.899999999999999,-4.500000000000002,0.028999999999999998,7.3000000000000025,4.599999999999998,-0.010000000000000002,-0.05900000000000005,-1.0,0.0,0.0,0.0,0.014999999999999958,-2.0,0.0,0.0,0,3.7,-3.31,0.0,17
Lehigh,Kansas,0.25,28.009999999999998,16.04,0.08299999999999991,87,0.020999999999999998,0.0029999999999999003,13,0,1,0,0,0,1,4,0.2232142857142857,0.11764705882352944,0.35151515151515156,1.4015151515151514,2.744949494949495,5.924242424242425,2.19949494949495,-0.3434343434343434,-0.41161616161616177,0.8585858585858586,5.5606060606060606,3.984848484848485,2.345959595959596,3.5984848484848486,-0.2222222222222222,0.9419191919191914,-0.5999999999999943,18.599999999999994,-0.023000000000000104,0.0359999999999999,0.0769999999999999,7.4000000000000075,2.399999999999999,3.4000000000000012,8.899999999999999,0.092,-0.5,6.399999999999999,-0.0180000000000001,0.2639999999999999,6.0,4.0,1.0,1.0,0.17399999999999993,11.0,7.0,1.0,1,11.21,16.799999999999997,0.0,16
East Tennessee State,Kentucky,0.3500000000000001,21.959999999999997,8.290000000000001,0.0859999999999999,121,0.041999999999999996,-0.017999999999999898,13,0,0,0,1,0,1,8,0.22499999999999998,0.3571428571428571,0.2777777777777778,2.0030075187969927,3.6511278195488726,3.4834586466165414,-4.0060150375939845,3.5744360902255643,5.761654135338347,0.7443609022556392,7.307518796992482,6.393233082706766,-0.5548872180451128,4.595488721804511,1.9842105263157894,-4.081203007518797,0.5999999999999943,17.8,0.12100000000000011,0.09199999999999989,0.1,9.799999999999995,19.099999999999994,-0.6999999999999993,9.4,0.108,2.3999999999999986,7.4999999999999964,0.077,0.30800000000000005,-2.0,1.0,0.0,0.0,0.18400000000000005,8.0,8.0,2.0,0,13.870000000000001,8.11,0.0,29
North Texas,Kansas State,0.05700000000000005,22.369999999999997,15.0,0.006999999999999999,72,0.0109999999999999,-0.046999999999999896,5,0,1,0,0,0,0,0,-0.03472222222222221,-0.044642857142857095,0.1777777777777778,0.8861588861588863,1.8935298935298936,4.914004914004915,10.13104013104013,-4.90990990990991,-5.044226044226043,2.9795249795249794,0.5061425061425071,2.0933660933660936,3.334971334971335,2.8845208845208847,-4.537264537264537,2.882882882882883,2.4000000000000057,7.9000000000000075,-0.172,-0.020999999999999897,-0.02,0.3999999999999915,-1.7999999999999972,4.800000000000002,9.2,0.005999999999999998,-6.100000000000001,3.200000000000003,-0.145,0.1379999999999999,0.0,1.0,0.0,0.0,0.1459999999999999,0.0,1.0,0.0,0,13.4,8.97,0.0,20
Montana,New Mexico,0.16900000000000004,8.56,6.1899999999999995,-0.056,-49,-0.0030000000000001,-0.0689999999999999,0,0,0,0,0,0,0,0,0.25,0.06944444444444442,0.33333333333333337,-0.39196428571428577,-1.4616071428571429,-1.3276785714285717,3.4482142857142857,3.3294642857142858,6.930357142857143,4.722321428571429,2.48125,-1.5491071428571428,0.21607142857142847,-0.09285714285714286,-2.0767857142857142,-5.161607142857143,4.300000000000004,-0.5,0.098,-0.051000000000000004,-0.0589999999999999,2.799999999999997,-4.600000000000001,0.20000000000000107,1.0000000000000018,-0.065,-3.599999999999999,7.099999999999994,0.04000000000000001,0.17600000000000005,0.0,0.0,0.0,0.0,0.061000000000000054,4.0,1.0,0.0,0,11.77,-3.21,0.0,5
Robert Morris,Villanova,0.10099999999999998,20.43,13.9,0.02,104,-0.0029999999999999957,0.09799999999999989,6,0,0,0,0,1,0,3,-0.11111111111111116,0.05714285714285705,0.0117647058823529,1.0493506493506493,2.9056277056277056,1.8995670995670992,1.2995670995670994,1.4640692640692639,-1.4277056277056277,0.974025974025974,3.095238095238096,-0.3679653679653679,0.6727272727272727,0.8718614718614719,-0.7471861471861471,-0.5696969696969696,4.300000000000011,8.5,-0.034,0.049999999999999996,0.0379999999999999,4.200000000000003,-5.100000000000001,0.9000000000000021,2.499999999999999,0.028,-0.8000000000000043,3.700000000000003,0.021,-0.029999999999999916,4.0,4.0,1.0,0.0,-0.06299999999999994,6.0,4.0,1.0,0,19.32,1.1099999999999999,0.0,3
UTEP,Butler,0.07999999999999996,1.709999999999999,3.12,-0.05599999999999991,190,-0.0049999999999999975,0.0539999999999999,-1,0,0,0,0,1,0,0,0.0625,0.11764705882352944,0.1230769230769232,1.5853269537480066,5.16347687400319,-4.523125996810208,-2.9306220095693782,6.053429027113238,7.064593301435407,2.0797448165869215,1.9082934609250397,-1.833333333333333,-1.2065390749601277,-2.1674641148325358,0.6244019138755978,-3.1403508771929824,-5.700000000000003,-0.7999999999999972,0.1589999999999999,0.11799999999999991,-0.008,3.200000000000003,3.0,-1.5,-8.1,-0.0380000000000001,0.2999999999999998,4.300000000000001,0.1329999999999998,0.244,2.0,1.0,1.0,0.0,0.244,2.0,1.0,1.0,0,-4.46,6.169999999999999,0.0,18
Ohio,Georgetown,0.08100000000000007,12.470000000000002,9.59,0.07,-146,-0.0010000000000000009,-0.026,2,0,0,0,0,1,0,1,0.11805555555555558,-0.014705882352941124,0.18831168831168832,-1.631160572337043,-4.1796502384737675,2.900635930047695,-1.8815580286168523,-1.942766295707472,-1.958664546899841,-0.5985691573926868,3.0262321144674087,2.021462639109698,-1.994435612082671,1.74483306836248,3.3370429252782197,-0.06041335453100194,-2.6000000000000085,3.799999999999999,-0.019999999999999997,-0.0649999999999999,0.0439999999999999,4.599999999999994,1.4999999999999927,-2.8000000000000007,5.1000000000000005,0.058,4.0000000000000036,2.200000000000003,-0.023999999999999903,0.15599999999999992,3.0,2.0,1.0,0.0,0.13,5.0,2.0,1.0,0,3.040000000000001,9.43,0.0,-14
San Diego State,Tennessee,0.02200000000000002,4.710000000000001,3.54,-0.009999999999999898,-15,0.0559999999999999,0.048,0,0,0,0,1,0,0,0,0.0,0.004166666666666763,-0.0625,1.028616852146264,-0.21939586645468978,1.2305246422893483,3.7766295707472177,-3.6629570747217803,-6.8171701112877585,-1.8672496025437202,-5.394276629570747,1.8282988871224166,0.3155802861685215,-2.0922098569157392,-2.945945945945946,2.7249602543720193,5.899999999999999,-1.2000000000000028,-0.1499999999999999,-0.026000000000000106,-0.008,-8.0,5.200000000000003,0.29999999999999893,-4.499999999999998,-0.0029999999999999957,-3.0000000000000036,-7.399999999999999,-0.08399999999999991,0.16200000000000003,2.0,3.0,0.0,0.0,0.09099999999999997,-3.0,0.0,-3.0,-1,4.37,0.33999999999999986,0.0,3
Florida,Brigham Young,0.21499999999999997,6.93,-4.16,0.062,34,0.09599999999999989,0.085,11,0,0,0,-1,0,0,-2,0.25,0.17279411764705888,0.2142857142857143,2.176470588235294,0.9362745098039216,3.8088235294117645,0.38398692810457535,1.0784313725490198,-1.3529411764705879,-1.8741830065359477,1.4003267973856208,2.212418300653595,2.0294117647058822,1.7892156862745097,-2.875816993464052,1.13562091503268,4.5,14.59999999999998,-0.0269999999999999,0.013000000000000001,0.0799999999999999,2.0,0.5,2.8000000000000007,4.3999999999999995,0.08,-2.900000000000004,-0.8000000000000043,0.016000000000000097,0.05600000000000005,-6.0,-4.0,-3.0,-2.0,0.06300000000000006,-6.0,-4.0,-3.0,-2,10.310000000000002,-3.38,0.0,7
Sam Houston,Baylor,0.020000000000000018,14.259999999999998,11.399999999999999,0.0719999999999999,-242,0.012000000000000004,0.024,1,0,1,0,0,0,0,1,-0.1875,0.008928571428571397,0.06153846153846154,-2.3484848484848486,-7.113636363636363,1.2803030303030312,-6.575757575757576,1.0883838383838385,0.9419191919191918,-2.810606060606061,2.146464646464647,-2.8813131313131315,-0.8686868686868687,4.633838383838383,3.616161616161617,-0.1287878787878789,-3.3999999999999915,2.700000000000003,0.0589999999999999,-0.0829999999999998,0.057999999999999996,2.799999999999997,-11.599999999999994,-1.200000000000001,12.1,0.059,4.899999999999999,-0.19999999999999574,0.049,-0.118,0.0,1.0,0.0,0.0,-0.10099999999999998,0.0,1.0,0.0,0,1.290000000000001,12.98,0.0,9
