Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
234,Pepperdine,33,13,20,.394,-1.94,0.90,,5,11,,9,8,,3,8,,2403,2443,,1320,868,1924,.451,225,624,.361,442,628,.704,334,1115,438,169,90,370,537
235,Pittsburgh,33,22,11,.667,14.79,6.82,,12,8,,13,5,,7,4,,2495,2232,,1320,873,1999,.437,317,887,.357,432,610,.708,376,1223,452,208,147,297,510
236,Portland,33,12,21,.364,-8.02,1.72,,5,11,,9,6,,2,11,,2360,2622,,1325,826,1891,.437,292,842,.347,416,581,.716,276,1112,446,136,72,394,490
237,Portland State,32,17,15,.531,-6.70,-4.49,,8,10,,11,2,,5,11,,2302,2299,,1289,809,1949,.415,237,730,.325,447,652,.686,375,1181,379,226,107,361,579
238,Prairie View,31,10,21,.323,-15.40,-6.91,,5,13,,5,6,,4,15,,2176,2368,,1240,770,1831,.421,149,489,.305,487,675,.721,303,952,373,283,87,396,626
239,Presbyterian,32,14,18,.438,-8.03,-5.48,,6,10,,8,7,,5,9,,2390,2331,,1285,866,1831,.473,204,605,.337,454,682,.666,300,1064,416,219,104,367,600
240,Princeton,28,24,4,.857,6.93,-1.80,,12,2,,12,0,,11,3,,2158,1848,,1120,746,1627,.459,292,817,.357,374,462,.810,237,943,407,160,53,229,378
241,Providence,34,21,13,.618,12.70,8.82,,10,10,,14,4,,4,7,,2477,2345,,1375,870,1959,.444,284,867,.328,453,630,.719,314,1226,469,219,156,412,539
242,Purdue,33,29,4,.879,24.77,11.53,,17,3,,16,0,,7,3,,2752,2315,,1335,941,1927,.488,275,674,.408,595,825,.721,401,1332,607,187,125,379,474
243,Purdue Fort Wayne,33,21,12,.636,-0.19,-6.22,,11,9,,11,5,,8,7,,2669,2355,,1330,961,2041,.471,314,865,.363,433,620,.698,274,1066,449,308,104,339,569
244,Queens (NC),33,14,19,.424,-8.49,-3.23,,7,9,,11,3,,2,16,,2643,2693,,1320,928,2095,.443,294,864,.340,493,694,.710,372,1220,435,230,91,377,573
245,Quinnipiac,33,24,9,.727,-2.78,-7.18,,15,5,,13,3,,10,5,,2567,2358,,1325,914,2025,.451,247,700,.353,492,631,.780,354,1216,465,250,122,407,539
246,Radford,33,16,17,.485,-5.49,-3.30,,5,11,,8,5,,4,12,,2377,2361,,1335,871,1907,.457,238,655,.363,397,537,.739,339,1143,366,183,116,357,561
247,Rhode Island,32,12,20,.375,-2.07,3.06,,6,12,,9,8,,3,8,,2322,2443,,1280,826,1800,.459,209,599,.349,461,713,.647,332,1178,408,151,99,403,541
248,Rice,32,11,21,.344,-2.94,2.26,,5,13,,6,10,,5,7,,2304,2421,,1295,833,1880,.443,251,744,.337,387,557,.695,330,1134,461,178,117,372,463
249,Richmond,32,23,9,.719,8.24,1.99,,15,3,,15,1,,7,5,,2314,2114,,1285,851,1828,.466,236,646,.365,376,513,.733,179,1052,424,217,94,277,451
250,Rider,32,15,17,.469,-5.45,-4.00,,12,8,,9,4,,6,12,,2309,2308,,1295,836,1921,.435,182,540,.337,455,608,.748,362,1202,427,210,124,398,560
251,Robert Morris,32,10,22,.313,-9.33,-4.06,,6,14,,7,9,,3,13,,2326,2425,,1300,833,1927,.432,273,812,.336,387,540,.717,391,1159,431,157,92,443,564
252,Rutgers,32,15,17,.469,7.67,8.82,,7,13,,12,5,,3,9,,2092,2129,,1285,750,1927,.389,175,610,.287,417,634,.658,392,1188,377,247,167,365,541
253,Sacramento State,34,10,24,.294,-10.38,-3.23,,4,14,,6,8,,2,13,,2282,2394,,1360,798,1855,.430,258,780,.331,428,598,.716,399,1209,444,178,93,495,577
254,Sacred Heart,32,16,16,.500,-9.82,-9.35,,10,6,,11,5,,4,11,,2372,2313,,1280,864,1898,.455,237,650,.365,407,586,.695,300,1079,440,279,161,373,540
255,Saint Francis (PA),30,8,22,.267,-18.48,-8.02,,3,13,,6,8,,2,14,,1955,2181,,1205,713,1682,.424,193,576,.335,336,551,.610,357,1038,367,178,107,412,532
256,Saint Joseph's,34,21,13,.618,6.76,1.61,,9,9,,14,3,,3,9,,2569,2394,,1365,898,2015,.446,341,958,.356,432,595,.726,344,1218,495,237,128,385,522
257,Saint Louis,33,13,20,.394,-1.39,4.33,,5,13,,8,8,,3,9,,2473,2620,,1320,845,1873,.451,259,705,.367,524,699,.750,287,1107,426,200,101,388,596
258,Saint Mary's (CA),33,26,7,.788,16.95,3.42,,15,1,,14,4,,9,0,,2450,1938,,1330,910,1940,.469,251,708,.355,379,559,.678,434,1305,534,216,129,334,535
259,Saint Peter's,32,19,13,.594,-4.13,-6.00,,12,8,,8,5,,8,8,,2091,2030,,1285,704,1775,.397,188,566,.332,495,694,.713,403,1140,347,231,136,408,618
260,Sam Houston,33,21,12,.636,-0.14,-1.50,,13,3,,12,2,,7,9,,2381,2282,,1330,828,1948,.425,245,697,.352,480,663,.724,393,1255,425,226,75,435,596
261,Samford,34,29,5,.853,6.25,-3.72,,15,3,,18,0,,8,5,,2923,2514,,1360,1024,2079,.493,335,852,.393,540,742,.728,357,1217,596,340,130,448,647
262,San Diego,33,18,15,.545,-5.09,0.55,,7,9,,12,6,,4,7,,2392,2550,,1320,849,1978,.429,233,677,.344,461,633,.728,331,1128,432,239,126,437,628
263,San Diego State,34,24,10,.706,15.30,8.46,,11,7,,14,1,,6,8,,2536,2263,,1385,880,1999,.440,236,755,.313,540,737,.733,399,1295,446,248,137,376,596
264,San Francisco,33,23,10,.697,9.69,-0.10,,11,5,,14,2,,6,5,,2571,2189,,1325,967,1978,.489,284,803,.354,353,466,.758,311,1119,534,272,114,379,608
265,San Jose State,32,9,23,.281,-3.37,3.73,,2,16,,6,9,,1,12,,2228,2403,,1290,832,1856,.448,267,778,.343,297,423,.702,252,986,433,165,106,336,547
266,Santa Clara,33,20,13,.606,5.61,1.95,,10,6,,11,4,,5,6,,2538,2384,,1325,912,1984,.460,271,766,.354,443,620,.715,397,1296,497,158,89,422,584
267,Seattle,33,19,14,.576,3.35,-1.34,,11,9,,14,4,,4,9,,2428,2223,,1350,853,1915,.445,252,731,.345,470,643,.731,329,1212,438,185,99,421,627
268,Seton Hall,32,20,12,.625,11.35,8.73,,13,7,,14,3,,5,7,,2329,2245,,1295,837,1869,.448,186,569,.327,469,607,.773,395,1192,402,238,147,408,497
269,Siena,32,4,28,.125,-18.93,-4.93,,3,17,,2,12,,2,13,,1934,2382,,1280,702,1758,.399,169,603,.280,361,541,.667,375,1132,342,164,130,505,491
270,South Alabama,32,16,16,.500,-5.64,-3.09,,8,10,,11,6,,5,9,,2367,2421,,1300,835,1886,.443,239,692,.345,458,611,.750,254,1057,341,216,88,362,532
271,South Carolina,33,26,7,.788,11.55,6.49,,13,5,,14,3,,8,3,,2377,2210,,1330,840,1914,.439,263,785,.335,434,608,.714,379,1184,507,159,105,333,528
272,South Carolina State,32,14,18,.438,-11.75,-6.08,,9,5,,9,4,,5,13,,2245,2390,,1290,784,1914,.410,200,620,.323,477,692,.689,477,1203,435,267,111,487,666
273,South Carolina Upstate,30,10,20,.333,-9.12,-2.78,,5,11,,6,7,,4,12,,2130,2188,,1215,780,1753,.445,230,691,.333,340,530,.642,262,950,375,217,96,346,589
274,South Dakota,32,12,20,.375,-12.23,-5.09,,5,11,,9,6,,2,12,,2434,2535,,1300,875,1916,.457,251,669,.375,433,583,.743,334,1198,391,115,56,411,511
