Rk,School,Conf,Unnamed: 3,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10,SOS,Unnamed: 12,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
218,Evansville,MVC,,,11,9,74.2,74.6,-0.45,,-0.19,,-0.72,-3.64,-4.35,99.83,105.94,-6.11
219,Oral Roberts,Summit,,,9,11,75.3,74.9,0.45,,-0.5,,0.71,-5.15,-4.44,105.28,111.71,-6.44
220,Norfolk State,MEAC,,,12,8,75.3,67.7,7.6,,-2.7,,-5.9,1.33,-4.57,100.78,107.33,-6.55
221,Cal State Northridge,Big West,,,13,7,77.2,72.6,4.65,,-6.06,,0.82,-5.54,-4.72,97.68,104.92,-7.24
222,Stony Brook,CAA,,,10,10,71.0,72.2,-1.25,,-1.3,,-2.03,-2.75,-4.78,102.72,109.1,-6.38
223,Austin Peay,A-Sun,,,10,11,70.9,68.7,2.14,,-1.85,,-5.53,0.68,-4.85,100.47,107.73,-7.26
224,Georgia State,Sun Belt,,,9,10,78.7,74.6,4.11,,-3.08,,-0.83,-4.07,-4.9,102.23,109.32,-7.09
225,Southern Utah,WAC,,,7,12,76.7,78.1,-1.37,,-0.35,,3.4,-8.34,-4.94,105.6,112.5,-6.9
226,The Citadel,Southern,,,9,11,71.3,68.7,2.6,,-3.53,,-6.99,2.04,-4.94,100.97,108.36,-7.39
227,DePaul,Big East,,,3,16,65.6,78.7,-13.16,,8.19,,-3.14,-1.83,-4.97,101.65,108.89,-7.24
228,Northeastern,CAA,,,8,12,70.1,73.0,-2.9,,-2.15,,-3.07,-1.97,-5.05,104.77,112.29,-7.52
229,Stetson,A-Sun,,,12,9,76.6,71.6,5.0,,-0.95,,-1.02,-4.09,-5.11,107.69,115.39,-7.71
230,Southern Mississippi,Sun Belt,,,12,8,70.3,70.2,0.1,,-2.34,,-4.41,-0.76,-5.17,99.36,106.88,-7.52
231,Canisius,MAAC,,,8,11,73.6,73.6,0.0,,-2.98,,-2.53,-2.68,-5.21,100.31,108.19,-7.89
232,Kennesaw State,A-Sun,,,13,7,84.3,78.4,5.9,,-4.8,,6.06,-11.28,-5.21,101.78,108.72,-6.95
233,Wofford,Southern,,,11,9,77.0,76.0,0.95,,-1.15,,2.07,-7.28,-5.21,106.68,114.39,-7.71
234,Columbia,Ivy,,,9,7,79.6,70.6,9.06,,-3.85,,-0.73,-4.5,-5.23,102.75,109.63,-6.88
235,Montana State,Big Sky,,,10,10,74.1,73.5,0.55,,-2.54,,-3.65,-1.6,-5.24,100.38,107.66,-7.28
236,Texas A&M-Corpus Christi,Southland,,,11,8,75.7,66.7,9.0,,-3.4,,-4.93,-0.33,-5.26,96.14,102.75,-6.61
237,UC Riverside,Big West,,,8,13,68.7,71.4,-2.67,,0.42,,-4.95,-0.37,-5.31,100.06,107.73,-7.67
238,Cal State Bakersfield,Big West,,,8,11,69.3,68.7,0.53,,-1.26,,-6.59,1.15,-5.44,98.27,106.9,-8.64
239,East Tennessee State,Southern,,,10,10,71.7,70.5,1.15,,-2.55,,-4.22,-1.44,-5.66,99.99,107.95,-7.95
240,Cal State Fullerton,Big West,,,10,10,66.9,68.2,-1.35,,0.25,,-7.77,2.07,-5.7,97.11,104.99,-7.88
241,Maine,AEC,,,10,10,69.0,67.3,1.75,,-4.92,,-8.0,2.19,-5.81,97.08,105.28,-8.2
242,Lamar,Southland,,,10,9,80.9,76.3,4.58,,-6.56,,1.78,-7.64,-5.85,103.77,111.78,-8.01
243,Ball State,MAC,,,10,9,75.0,70.0,5.0,,-5.52,,-3.74,-2.19,-5.93,102.45,111.1,-8.65
244,New Mexico State,CUSA,,,9,11,70.3,71.7,-1.4,,2.62,,-4.78,-1.22,-6.0,99.21,108.1,-8.89
245,North Florida,A-Sun,,,12,9,77.7,73.7,4.0,,-3.52,,-2.4,-3.67,-6.07,104.82,112.3,-7.48
246,Omaha,Summit,,,10,12,74.1,70.9,3.23,,-4.27,,-3.25,-2.86,-6.11,102.37,110.9,-8.53
247,Miami (OH),MAC,,,9,10,74.1,71.5,2.63,,-3.93,,-2.87,-3.35,-6.22,101.28,110.2,-8.92
248,Valparaiso,MVC,,,6,14,68.0,71.9,-3.9,,-0.07,,-5.56,-0.67,-6.23,98.17,107.07,-8.89
249,Milwaukee,Horizon,,,10,10,78.7,79.5,-0.8,,-2.83,,3.27,-9.59,-6.33,106.51,115.76,-9.26
250,Portland State,Big Sky,,,12,8,70.9,70.2,0.65,,-3.23,,-5.22,-1.18,-6.4,96.26,104.49,-8.23
251,Northern Illinois,MAC,,,6,12,77.1,80.1,-3.06,,2.96,,1.51,-7.99,-6.48,103.06,112.28,-9.22
252,Western Michigan,MAC,,,8,11,74.5,75.6,-1.05,,-2.27,,-1.14,-5.34,-6.49,100.86,110.27,-9.41
253,Albany (NY),AEC,,,10,10,78.4,77.2,1.2,,-5.77,,3.14,-9.69,-6.56,101.31,110.56,-9.26
254,Mount St. Mary's,MAAC,,,7,12,72.1,71.6,0.47,,-7.04,,-2.31,-4.26,-6.57,99.06,108.45,-9.39
255,Texas State,Sun Belt,,,7,13,69.9,72.0,-2.1,,0.82,,-8.19,1.63,-6.57,95.62,104.67,-9.05
256,Brown,Ivy,,,5,13,70.5,72.5,-2.0,,-2.07,,-4.21,-2.4,-6.6,98.13,107.77,-9.63
257,Florida International,CUSA,,,7,13,77.0,77.2,-0.15,,-1.66,,0.37,-6.98,-6.61,99.35,108.11,-8.75
258,Central Connecticut State,NEC,,,11,8,73.7,66.4,7.32,,-7.88,,-5.35,-1.3,-6.64,99.15,108.24,-9.09
259,Tennessee State,OVC,,,11,9,75.9,71.2,4.65,,-5.26,,-3.41,-3.23,-6.64,98.55,107.68,-9.13
260,Little Rock,OVC,,,10,10,79.7,79.8,-0.15,,-6.52,,3.69,-10.35,-6.67,104.9,114.01,-9.11
261,UTSA,AAC,,,8,12,80.9,83.5,-2.65,,-2.14,,6.14,-12.8,-6.67,105.51,114.69,-9.18
262,Mercer,Southern,,,8,12,69.8,71.2,-1.4,,-2.7,,-7.01,0.31,-6.7,97.34,107.04,-9.7
263,North Alabama,A-Sun,,,8,12,77.0,76.3,0.75,,-3.38,,0.27,-7.1,-6.82,101.7,111.07,-9.36
264,North Dakota State,Summit,,,9,12,77.4,75.6,1.81,,-0.63,,-0.24,-6.61,-6.85,104.92,115.09,-10.17
265,Southern,SWAC,,,9,9,74.7,72.9,1.78,,1.25,,-2.8,-4.09,-6.88,97.84,106.21,-8.37
266,Nicholls State,Southland,,,9,10,73.4,75.5,-2.16,,-1.09,,-1.86,-5.1,-6.97,98.1,107.76,-9.65
267,Tennessee-Martin,OVC,,,11,9,82.1,78.5,3.55,,-4.72,,4.53,-11.5,-6.97,101.64,111.62,-9.98
268,SIU Edwardsville,OVC,,,11,9,70.5,67.6,2.9,,-5.1,,-8.31,1.21,-7.1,98.32,108.49,-10.17
269,Old Dominion,Sun Belt,,,5,15,71.7,77.4,-5.75,,-0.4,,-2.19,-4.99,-7.19,99.27,109.16,-9.89
270,Robert Morris,Horizon,,,8,12,75.9,75.5,0.45,,-4.42,,-0.45,-6.75,-7.2,101.38,111.31,-9.93
271,American,Patriot,,,11,9,73.5,71.3,2.15,,-8.01,,-3.95,-3.32,-7.27,105.49,116.25,-10.76
272,South Alabama,Sun Belt,,,10,10,74.0,77.4,-3.45,,-2.04,,-0.99,-6.29,-7.27,101.59,112.05,-10.46
273,Marist,MAAC,,,9,8,64.1,62.2,1.88,,-9.17,,-12.52,5.23,-7.29,92.7,102.74,-10.04
274,Western Illinois,OVC,,,13,7,70.8,65.5,5.25,,-4.87,,-9.32,1.95,-7.37,95.78,105.76,-9.99
275,Howard,MEAC,,,8,12,75.2,76.6,-1.35,,-3.56,,0.1,-7.67,-7.56,103.38,114.12,-10.74
276,North Carolina Central,MEAC,,,10,8,76.1,67.7,8.33,,-3.3,,-6.03,-1.56,-7.59,98.08,109.41,-11.33
277,Florida Gulf Coast,A-Sun,,,8,13,69.8,73.1,-3.33,,-1.26,,-6.81,-0.84,-7.65,101.31,112.63,-11.32
278,Niagara,MAAC,,,10,9,75.9,74.4,1.47,,-6.49,,0.07,-7.73,-7.66,106.24,117.11,-10.87
279,Middle Tennessee,CUSA,,,7,13,63.1,66.6,-3.5,,-0.41,,-11.83,4.03,-7.8,91.01,102.79,-11.78
280,Jackson State,SWAC,,,8,10,70.3,77.4,-7.17,,-0.73,,-2.77,-5.12,-7.9,97.74,108.19,-10.45
281,Alabama State,SWAC,,,9,9,70.8,70.4,0.44,,-0.94,,-9.45,1.37,-8.08,91.31,102.0,-10.69
282,Central Michigan,MAC,,,10,9,67.1,72.1,-5.05,,-1.68,,-7.17,-1.18,-8.35,96.8,108.44,-11.64
283,Lehigh,Patriot,,,5,13,72.8,73.0,-0.22,,-3.28,,-3.25,-5.28,-8.53,94.9,106.87,-11.97
284,Kansas City,Summit,,,8,13,71.6,71.5,0.05,,-2.66,,-3.9,-4.65,-8.55,98.42,110.9,-12.48
285,Utah Tech,WAC,,,7,12,69.3,76.3,-6.95,,-0.6,,-3.73,-4.87,-8.6,95.35,107.28,-11.93
286,Bucknell,Patriot,,,7,13,65.7,71.1,-5.45,,-3.2,,-6.67,-1.98,-8.65,99.02,111.92,-12.89
287,Chicago State,Ind,,,11,15,68.9,69.5,-0.58,,-3.01,,-9.52,0.64,-8.88,95.1,108.13,-13.03
288,Navy,Patriot,,,8,10,67.6,65.4,2.22,,-7.94,,-8.91,-0.09,-9.0,94.47,107.93,-13.47
289,Idaho State,Big Sky,,,7,13,68.2,69.0,-0.75,,-3.38,,-7.91,-1.31,-9.22,98.97,112.36,-13.39
290,North Dakota,Summit,,,11,10,74.6,72.7,1.86,,-5.3,,-4.84,-4.52,-9.35,99.04,112.38,-13.34
291,Lafayette,Patriot,,,8,12,62.1,66.9,-4.8,,-3.64,,-11.58,2.05,-9.53,89.6,103.2,-13.59
292,Rider,MAAC,,,6,13,71.3,75.8,-4.58,,-2.18,,-3.8,-5.77,-9.57,96.91,110.22,-13.3
293,Presbyterian,Big South,,,9,12,76.5,73.9,2.62,,-5.59,,-4.08,-5.85,-9.93,98.47,112.6,-14.13
294,Sacred Heart,NEC,,,10,11,73.1,71.8,1.33,,-7.68,,-4.55,-5.5,-10.04,96.51,110.6,-14.09
295,Texas Southern,SWAC,,,5,12,66.1,72.8,-6.71,,-0.71,,-11.0,0.92,-10.08,89.42,103.41,-13.99
296,South Carolina Upstate,Big South,,,6,13,71.4,72.8,-1.42,,-1.39,,-5.52,-4.61,-10.14,98.22,112.81,-14.59
297,Texas-Rio Grande Valley,WAC,,,6,14,74.1,79.2,-5.1,,-0.6,,-0.89,-9.27,-10.16,95.27,108.46,-13.18
298,Portland,WCC,,,7,14,73.5,81.0,-7.48,,0.1,,-1.11,-9.16,-10.27,101.24,116.14,-14.9
299,Coastal Carolina,Sun Belt,,,5,14,74.5,77.8,-3.32,,-2.69,,-3.37,-6.91,-10.28,97.65,112.37,-14.71
300,Eastern Illinois,OVC,,,10,10,70.3,66.9,3.45,,-3.73,,-9.19,-1.16,-10.35,94.36,109.46,-15.1
301,Idaho,Big Sky,,,7,12,69.1,70.9,-1.84,,-3.27,,-7.36,-3.26,-10.63,97.28,113.22,-15.93
302,Queens (NC),A-Sun,,,8,13,79.4,82.5,-3.05,,-1.31,,0.82,-11.44,-10.63,97.58,111.72,-14.14
303,Sacramento State,Big Sky,,,6,14,69.4,71.8,-2.4,,-1.64,,-8.98,-1.82,-10.8,96.2,111.87,-15.67
304,Campbell,CAA,,,10,10,68.1,66.1,2.0,,-6.81,,-11.15,0.27,-10.87,92.81,108.65,-15.84
305,Elon,CAA,,,8,12,76.8,77.4,-0.6,,-4.38,,-1.82,-9.06,-10.88,101.53,117.33,-15.8
306,Texas A&M-Commerce,Southland,,,7,11,73.1,73.2,-0.11,,1.19,,-9.61,-1.27,-10.88,91.4,107.14,-15.73
307,Louisiana-Monroe,Sun Belt,,,6,12,68.6,72.8,-4.22,,-1.45,,-9.05,-1.9,-10.95,94.6,110.83,-16.23
308,Le Moyne,NEC,,,8,11,74.3,72.1,2.21,,-6.29,,-5.06,-5.92,-10.98,98.85,114.27,-15.43
309,Southeastern Louisiana,Southland,,,7,12,67.0,71.0,-4.0,,-0.77,,-10.83,-0.19,-11.02,95.35,110.56,-15.21
310,South Dakota,Summit,,,9,12,76.3,77.7,-1.38,,-3.57,,-1.43,-9.65,-11.07,97.99,113.41,-15.42
311,Boston University,Patriot,,,7,13,63.8,66.3,-2.55,,-6.53,,-10.83,-0.54,-11.37,91.3,108.06,-16.76
312,Grambling,SWAC,,,7,11,66.2,72.6,-6.39,,0.68,,-11.42,-0.04,-11.45,93.48,110.35,-16.87
313,Bellarmine,A-Sun,,,4,17,67.0,73.3,-6.29,,1.09,,-9.98,-1.49,-11.47,95.95,112.98,-17.03
314,Delaware State,MEAC,,,10,9,71.7,72.4,-0.74,,-6.04,,-6.82,-4.75,-11.57,90.98,107.12,-16.14
315,Wagner,NEC,,,9,9,63.5,62.4,1.11,,-7.62,,-14.33,2.71,-11.62,93.57,110.47,-16.9
316,Binghamton,AEC,,,8,10,73.6,74.2,-0.61,,-4.15,,-3.96,-7.75,-11.71,96.42,112.73,-16.32
317,Georgia Southern,Sun Belt,,,4,16,70.2,79.4,-9.2,,-2.52,,-3.87,-7.85,-11.72,97.64,114.06,-16.43
318,Maryland-Baltimore County,AEC,,,6,14,76.7,81.7,-4.95,,-5.69,,2.1,-14.0,-11.9,98.56,114.87,-16.32
319,William & Mary,CAA,,,7,13,72.4,72.5,-0.1,,-6.13,,-5.33,-6.69,-12.02,99.55,117.03,-17.49
320,Northern Arizona,Big Sky,,,10,10,66.3,75.3,-9.0,,-3.22,,-8.49,-3.74,-12.22,92.62,110.45,-17.83
321,Jacksonville,A-Sun,,,10,10,73.7,75.1,-1.4,,-3.14,,-5.32,-7.17,-12.49,96.76,113.59,-16.83
322,Prairie View,SWAC,,,7,11,70.4,77.1,-6.72,,-1.76,,-6.78,-5.92,-12.7,92.18,108.98,-16.79
323,Cal Poly,Big West,,,4,16,62.8,72.2,-9.45,,-1.95,,-11.41,-1.44,-12.84,89.64,108.51,-18.88
324,Army,Patriot,,,6,14,61.0,63.2,-2.15,,-8.21,,-15.57,2.58,-12.99,89.1,108.38,-19.28
325,Charleston Southern,Big South,,,6,13,70.5,75.8,-5.37,,-0.49,,-8.43,-4.69,-13.12,96.43,115.49,-19.06
326,Southern Indiana,OVC,,,5,16,67.3,71.9,-4.62,,-2.68,,-9.21,-4.03,-13.23,89.33,108.14,-18.81
327,Alcorn State,SWAC,,,3,15,69.2,83.7,-14.5,,1.99,,-2.77,-11.06,-13.83,100.79,119.69,-18.9
328,Eastern Michigan,MAC,,,8,11,66.9,74.9,-8.0,,-4.01,,-9.46,-4.55,-14.01,94.26,114.51,-20.25
329,South Carolina State,MEAC,,,5,14,71.4,81.8,-10.42,,-0.89,,-3.71,-10.3,-14.01,94.76,113.3,-18.55
330,Buffalo,MAC,,,2,16,67.2,79.6,-12.39,,-0.59,,-7.98,-6.08,-14.06,93.08,112.78,-19.7
331,Bethune-Cookman,SWAC,,,8,10,74.7,74.9,-0.28,,-7.02,,-5.41,-8.67,-14.09,92.22,111.61,-19.4
332,North Carolina A&T,CAA,,,6,14,70.0,81.0,-11.0,,-3.22,,-2.87,-11.35,-14.22,98.25,118.07,-19.83
333,NJIT,AEC,,,4,14,68.7,74.7,-6.0,,-3.46,,-9.25,-5.03,-14.28,92.67,113.3,-20.64
334,Incarnate Word,Southland,,,5,13,73.1,78.6,-5.44,,-5.1,,-5.19,-9.16,-14.35,95.36,114.55,-19.19
335,Tennessee Tech,OVC,,,7,13,69.1,75.8,-6.7,,-4.21,,-10.36,-4.38,-14.73,92.84,113.87,-21.02
336,Fairleigh Dickinson,NEC,,,9,12,77.2,78.9,-1.62,,-7.62,,-2.57,-12.2,-14.77,95.69,115.66,-19.97
337,Houston Christian,Southland,,,5,12,71.6,81.5,-9.82,,0.82,,-5.68,-9.43,-15.11,90.98,110.04,-19.06
338,New Orleans,Southland,,,7,12,75.2,78.5,-3.37,,-2.94,,-3.08,-12.2,-15.28,95.1,115.92,-20.82
339,Florida A&M,SWAC,,,3,13,68.6,82.8,-14.25,,2.43,,-8.0,-7.5,-15.5,94.07,116.07,-21.99
340,Northwestern State,Southland,,,5,14,70.9,78.7,-7.74,,-2.81,,-6.96,-8.67,-15.63,93.61,115.75,-22.14
341,Central Arkansas,A-Sun,,,7,15,72.8,78.0,-5.23,,-4.55,,-5.15,-10.6,-15.75,95.72,117.49,-21.77
342,Manhattan,MAAC,,,4,13,65.6,77.0,-11.41,,-2.98,,-8.91,-6.94,-15.85,90.41,112.31,-21.91
343,Dartmouth,Ivy,,,4,12,60.0,69.6,-9.63,,-1.56,,-15.55,-0.36,-15.91,85.9,109.46,-23.55
344,Arkansas-Pine Bluff,SWAC,,,8,10,83.8,85.7,-1.89,,-2.08,,3.23,-19.31,-16.08,101.52,122.5,-20.98
345,Loyola (MD),Patriot,,,3,17,64.9,74.3,-9.4,,-5.32,,-11.48,-5.53,-17.01,90.36,115.01,-24.65
346,Alabama A&M,SWAC,,,3,15,69.1,83.3,-14.22,,-3.3,,-6.96,-10.56,-17.52,91.13,114.8,-23.67
347,Hampton,CAA,,,4,16,76.7,79.7,-3.05,,-4.33,,-4.62,-13.0,-17.62,93.9,118.69,-24.79
348,Lindenwood,OVC,,,7,13,66.2,72.5,-6.25,,-5.87,,-10.89,-6.75,-17.64,89.75,114.81,-25.06
349,Saint Francis (PA),NEC,,,7,13,66.0,73.3,-7.3,,-5.84,,-12.12,-5.55,-17.67,90.49,116.63,-26.15
350,Maryland-Eastern Shore,MEAC,,,5,12,65.2,72.3,-7.12,,-3.01,,-11.23,-6.56,-17.79,88.38,114.6,-26.21
351,Pacific,WCC,,,6,15,65.0,76.9,-11.95,,-2.69,,-9.37,-8.43,-17.8,89.95,116.29,-26.34
352,Holy Cross,Patriot,,,5,15,66.7,76.2,-9.55,,-6.55,,-9.13,-8.95,-18.08,95.27,121.69,-26.41
353,VMI,Southern,,,4,16,70.7,79.4,-8.75,,-3.07,,-6.17,-12.37,-18.54,88.62,113.21,-24.59
354,Siena,MAAC,,,3,16,61.5,76.4,-14.95,,-3.74,,-14.1,-4.58,-18.68,85.98,112.8,-26.82
355,Morgan State,MEAC,,,5,14,72.1,79.0,-6.89,,-2.02,,-5.2,-13.51,-18.71,92.07,118.49,-26.41
356,Detroit Mercy,Horizon,,,0,21,63.4,80.9,-17.48,,-1.42,,-10.39,-8.5,-18.89,90.03,117.11,-27.08
357,Southeast Missouri State,OVC,,,7,13,68.0,73.7,-5.7,,-5.04,,-10.92,-8.5,-19.41,87.23,114.14,-26.91
358,IUPUI,Horizon,,,6,16,66.0,77.7,-11.68,,-4.01,,-11.81,-7.73,-19.54,90.34,118.84,-28.5
359,Long Island University,NEC,,,4,14,63.5,77.7,-14.17,,-5.47,,-10.74,-8.9,-19.64,87.82,114.87,-27.05
360,Coppin State,MEAC,,,2,15,56.4,72.1,-15.71,,-4.27,,-18.26,-1.72,-19.98,79.6,108.09,-28.49
361,Stonehill,NEC,,,2,20,62.9,77.3,-14.36,,-3.89,,-12.3,-7.91,-20.22,87.23,114.87,-27.64
362,Mississippi Valley State,SWAC,,,0,19,52.8,82.1,-29.32,,1.58,,-18.72,-9.02,-27.74,81.72,123.82,-42.09
