Rk,School,Conf,Unnamed: 3,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10,SOS,Unnamed: 12,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
51,Miami (FL),ACC,,,13,6,81.9,72.3,9.63,,3.41,,10.88,2.16,13.04,115.5,98.34,17.16
52,Nevada,MWC,,,16,4,77.0,65.5,11.5,,2.47,,5.16,7.68,12.84,112.39,94.08,18.3
53,Pittsburgh,ACC,,,12,7,76.3,66.6,9.63,,3.18,,3.49,9.33,12.82,112.45,94.93,17.52
54,Oregon,Pac-12,,,14,5,78.3,72.2,6.11,,6.3,,8.03,4.37,12.4,115.58,97.74,17.84
55,Boise State,MWC,,,14,5,73.5,65.2,8.32,,7.2,,3.07,9.13,12.2,111.57,93.61,17.97
56,Central Florida,Big 12,,,12,6,72.7,64.3,8.44,,3.57,,2.05,9.97,12.02,104.24,87.91,16.33
57,Kansas State,Big 12,,,14,5,74.1,67.8,6.26,,5.67,,4.1,7.83,11.93,109.73,92.8,16.94
58,Virginia Tech,ACC,,,12,7,73.8,68.3,5.58,,6.21,,4.91,6.88,11.79,112.91,95.56,17.35
59,Seton Hall,Big East,,,13,7,74.5,70.0,4.45,,7.17,,5.31,6.31,11.62,114.16,97.77,16.39
60,Memphis,AAC,,19.0,15,4,81.2,74.7,6.47,,4.91,,11.1,0.28,11.39,113.59,97.9,15.69
61,Drake,MVC,,,16,4,79.8,67.6,12.2,,-0.51,,6.99,4.3,11.28,114.98,98.94,16.03
62,Washington,Pac-12,,,11,9,80.3,76.9,3.4,,7.88,,11.5,-0.22,11.28,113.73,98.14,15.58
63,Florida State,ACC,,,12,7,77.0,73.3,3.74,,7.48,,6.64,4.57,11.21,109.63,94.58,15.05
64,South Carolina,SEC,,,16,3,73.3,64.5,8.79,,2.37,,0.73,10.44,11.16,112.01,95.78,16.23
65,San Francisco,WCC,,,15,6,78.6,63.7,14.95,,-1.14,,3.66,7.45,11.11,112.67,95.8,16.87
66,Virginia,ACC,,,14,5,65.2,57.9,7.21,,3.52,,-6.18,16.91,10.74,106.18,89.94,16.24
67,Northwestern,Big Ten,,,14,5,73.9,68.7,5.26,,5.38,,3.8,6.85,10.64,115.3,99.85,15.45
68,Mississippi,SEC,,,16,3,76.7,70.2,6.53,,3.59,,4.89,5.22,10.12,113.59,99.43,14.16
69,NC State,ACC,,,13,6,76.1,69.6,6.42,,3.61,,6.2,3.83,10.03,111.42,97.12,14.3
70,Bradley,MVC,,,15,5,75.3,66.4,8.9,,1.79,,3.94,6.06,10.0,112.35,97.95,14.4
71,Princeton,Ivy,,,15,1,78.2,63.2,15.0,,-1.37,,4.57,5.28,9.85,118.43,103.28,15.14
72,Georgia,SEC,,,14,5,76.2,71.6,4.58,,5.18,,4.98,4.78,9.76,108.78,95.0,13.79
73,Maryland,Big Ten,,,12,8,70.2,64.0,6.15,,3.57,,-1.62,11.34,9.72,105.8,92.7,13.1
74,Grand Canyon,WAC,,,18,2,80.2,67.0,13.15,,-1.58,,4.55,5.09,9.63,110.87,97.14,13.73
75,North Texas,AAC,,,12,6,67.5,58.7,8.78,,2.97,,-4.33,13.93,9.59,108.43,93.71,14.72
