Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Amir Abdur-Rahim,South Florida,AAC,,12,5,0.706,,,,,2023-24,12,5,0.706,,,,,,57,79,0.419,1.0,,,
Lennie Acuff,Lipscomb,A-Sun,,13,8,0.619,,,,,2019-20,78,68,0.534,,,,,,78,68,0.534,,,,
Griff Aldrich,Longwood,Big South,,14,8,0.636,,,,,2018-19,102,80,0.56,1.0,,,,,102,80,0.56,1.0,,,
Casey Alexander,Belmont,MVC,,11,9,0.55,,,,,2019-20,109,39,0.736,,,,,,246,159,0.607,1.0,,,
Steve Alford,Nevada,MWC,,16,4,0.8,,,,,2019-20,86,55,0.61,1.0,,,,,595,324,0.647,12.0,4.0,,
Dana Altman,Oregon,Pac-12,,14,5,0.737,,,,,2010-11,335,145,0.698,7.0,5.0,1.0,,,745,388,0.658,15.0,5.0,1.0,
Tommy Amaker,Harvard,Ivy,,10,6,0.625,,,,,2007-08,288,172,0.626,4.0,,,,,464,311,0.599,5.0,1.0,,
Tobin Anderson,Iona,MAAC,,9,10,0.474,,,,,2023-24,9,10,0.474,,,,,,30,26,0.536,1.0,,,
Adrian Autry,Syracuse,ACC,,13,6,0.684,,,,,2023-24,13,6,0.684,,,,,,13,6,0.684,,,,
Kevin Baggett,Rider,MAAC,,6,13,0.316,,,,,2012-13,183,179,0.506,,,,,,183,179,0.506,,,,
Jeremy Ballard,Florida International,CUSA,,7,13,0.35,,,,,2018-19,84,92,0.477,,,,,,84,92,0.477,,,,
Tony Barbee,Central Michigan,MAC,,10,9,0.526,,,,,2021-22,27,53,0.338,,,,,,158,180,0.467,1.0,,,
Rick Barnes,Tennessee,SEC,,14,4,0.778,9.0,,,,2015-16,189,96,0.663,5.0,2.0,,,,793,410,0.659,27.0,8.0,1.0,
Rod Barnes,Cal State Bakersfield,Big West,,8,11,0.421,,,,,2011-12,191,204,0.484,1.0,,,,,377,393,0.49,4.0,1.0,,
Brian Barone,SIU Edwardsville,OVC,,11,9,0.55,,,,,2019-20,58,84,0.408,,,,,,58,84,0.408,,,,
Chris Beard,Mississippi,SEC,,16,3,0.842,,,,,2023-24,16,3,0.842,,,,,,187,76,0.711,6.0,3.0,1.0,
John Becker,Vermont,AEC,,15,5,0.75,,,,,2011-12,295,118,0.714,5.0,,,,,295,118,0.714,5.0,,,
Randy Bennett,Saint Mary's (CA),WCC,,15,6,0.714,23.0,,,,2001-02,522,214,0.709,9.0,1.0,,,,522,214,0.709,9.0,1.0,,
Tony Bennett,Virginia,ACC,,14,5,0.737,,,,,2009-10,355,130,0.732,9.0,3.0,1.0,1.0,,424,163,0.722,11.0,4.0,1.0,1.0
Grant Billmeier,NJIT,AEC,,4,14,0.222,,,,,2023-24,4,14,0.222,,,,,,5,14,0.263,,,,
Kenneth Blakeney,Howard,MEAC,,8,12,0.4,,,,,2019-20,51,71,0.418,1.0,,,,,51,71,0.418,1.0,,,
Jeff Boals,Ohio,MAC,,10,10,0.5,,,,,2019-20,88,57,0.607,1.0,,,,,143,99,0.591,1.0,,,
Anthony Boone,Central Arkansas,A-Sun,,7,15,0.318,,,,,2019-20,41,88,0.318,,,,,,41,88,0.318,,,,
Chad Boudreau,Western Illinois,OVC,,13,7,0.65,,,,,2023-24,13,7,0.65,,,,,,13,7,0.65,,,,
Tad Boyle,Colorado,Pac-12,,15,5,0.75,,,,,2010-11,287,177,0.619,5.0,,,,,343,243,0.585,5.0,,,
