Rk,School,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,71.3,-1.4000000000000057,-0.015,-0.0569999999999999,-0.028,-4.599999999999994,3.299999999999997,2.1,-2.5,-0.041,-2.9000000000000004,-2.3999999999999986,0.0069999999999999
2,Air Force,63.4,-9.600000000000009,-0.095,0.1049999999999999,-0.0199999999999999,-7.599999999999994,12.1,1.1999999999999993,0.5,-0.004,1.599999999999998,-7.699999999999999,-0.0899999999999999
3,Akron,67.0,12.099999999999994,0.0469999999999999,0.0559999999999999,0.048,6.599999999999994,4.300000000000004,-0.5999999999999996,0.6999999999999993,0.044,-0.4000000000000003,5.599999999999998,0.0459999999999999
4,Alabama,74.2,12.899999999999991,-0.044,0.1,0.0559999999999999,6.0,7.0,-0.200000000000001,-2.1,0.063,0.0999999999999996,5.0,-0.0179999999999999
5,Alabama A&M,71.8,-9.799999999999995,0.0149999999999999,-0.0989999999999999,-0.035,-0.7999999999999972,-8.599999999999994,-2.5,2.1999999999999997,-0.0379999999999999,2.299999999999997,-1.0000000000000036,-0.003
6,Alabama State,69.7,-1.0999999999999943,-0.136,-0.0349999999999999,-0.066,0.2000000000000028,-8.699999999999996,3.5,0.3000000000000007,-0.059,-5.0,4.299999999999997,-0.1
7,Albany (NY),74.6,-0.1000000000000085,-0.095,0.072,-0.011,0.0,-1.5,1.299999999999999,-4.0,-0.003,0.0999999999999996,1.5,-0.069
8,Alcorn State,68.3,-8.100000000000009,0.012,-0.189,-0.0529999999999999,2.799999999999997,-14.1,0.8000000000000007,-3.8,-0.061,-0.5,3.3000000000000007,0.003
9,American,63.1,1.1999999999999886,-0.015,0.026,-0.002,3.200000000000003,5.5,1.1999999999999993,-2.6999999999999997,-0.005,-0.0999999999999996,3.1999999999999997,-0.002
10,Appalachian State,69.2,16.900000000000006,0.115,-0.011,0.091,7.200000000000003,9.5,-1.0999999999999996,10.0,0.092,0.5,3.6999999999999993,0.0769999999999999
11,Arizona,73.3,21.099999999999994,0.1099999999999999,-0.0559999999999999,0.0649999999999999,14.200000000000005,6.5,1.6999999999999993,0.4000000000000003,0.063,-2.5,13.199999999999996,0.081
12,Arizona State,70.6,-7.0,0.019,-0.015,-0.044,-10.0,-8.899999999999999,3.4000000000000004,2.999999999999999,-0.044,-3.6000000000000014,-7.900000000000002,-0.004
13,Arkansas,72.2,-2.800000000000012,0.063,-0.012,0.011,-2.5999999999999943,-2.0,-0.6000000000000014,7.5,0.001,1.5,-4.699999999999999,0.058
14,Arkansas State,70.0,2.200000000000003,-0.0299999999999999,0.1639999999999999,0.0,3.799999999999997,12.0,-2.1,-1.9000000000000004,0.013,1.299999999999999,5.199999999999999,-0.041
15,Arkansas-Pine Bluff,74.3,-2.299999999999997,0.0479999999999999,0.1109999999999999,0.0329999999999999,-5.0,1.6999999999999955,-1.6999999999999993,-5.9,0.026,2.6000000000000014,-7.199999999999999,0.0509999999999999
16,Army,63.1,-6.299999999999997,-0.0499999999999999,0.0539999999999999,-0.033,0.0,0.4000000000000057,-2.0,2.299999999999999,-0.016,1.5000000000000018,1.900000000000002,-0.065
17,Auburn,71.0,21.5,-0.0279999999999999,0.0419999999999999,0.0899999999999999,4.599999999999994,19.40000000000001,1.200000000000001,7.500000000000002,0.107,-2.799999999999999,2.5,-0.015
18,Austin Peay,65.6,3.0,-0.0559999999999999,-0.006,-0.009,-1.4000000000000057,-5.699999999999996,4.199999999999999,-0.8999999999999995,-0.004,-3.299999999999999,-0.1999999999999993,-0.041
19,Ball State,67.8,3.799999999999997,0.1079999999999999,0.018,0.024,1.7999999999999972,2.8999999999999986,-1.1999999999999993,-0.7000000000000011,0.007,0.3000000000000007,0.9000000000000021,0.0979999999999999
20,Baylor,66.9,13.599999999999994,0.097,0.023,0.0459999999999999,9.200000000000005,0.8000000000000043,-0.3999999999999986,-0.7999999999999989,0.043,-0.4000000000000003,8.600000000000001,0.0739999999999999
21,Bellarmine,66.8,-8.0,-0.0799999999999999,-0.061,-0.029,-6.200000000000003,1.8000000000000045,1.0,-2.4000000000000004,-0.029,-0.5,-5.599999999999998,-0.048
22,Belmont,72.0,3.200000000000003,0.0369999999999999,0.0179999999999999,0.0439999999999999,-2.799999999999997,0.9000000000000057,1.0999999999999996,-0.5,0.046,0.7000000000000011,-5.699999999999999,0.0269999999999999
23,Bethune-Cookman,71.7,0.5999999999999943,-0.0899999999999999,-0.0469999999999999,-0.009,-2.5999999999999943,-10.099999999999994,2.6000000000000014,2.499999999999999,-0.01,-2.8000000000000007,-2.299999999999997,-0.049
