Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
35,Butler,20,13,7,.650,13.20,5.99,,4,5,,9,2,,2,4,,1608,1445,,69.6,112.6,.297,.364,.562,50.4,53.0,9.4,9.3,.525,12.8,29.9,.234
36,Cal Poly,20,4,16,.200,-12.84,-1.95,,0,8,,3,6,,0,9,,1255,1444,,66.0,93.3,.320,.316,.488,45.1,42.4,8.6,10.3,.450,16.5,25.7,.225
37,Cal State Bakersfield,19,8,11,.421,-5.44,-1.26,,3,5,,6,2,,1,8,,1316,1306,,66.7,102.6,.315,.236,.500,50.3,40.2,11.0,11.1,.467,14.5,35.5,.215
38,Cal State Fullerton,20,10,10,.500,-5.70,0.25,,3,5,,4,3,,5,6,,1337,1364,,67.2,98.8,.405,.351,.522,48.3,40.2,10.1,7.9,.478,16.8,26.5,.290
39,Cal State Northridge,20,13,7,.650,-4.72,-6.06,,4,4,,7,3,,6,4,,1544,1451,,74.8,103.3,.376,.263,.533,55.7,49.2,11.2,10.9,.500,17.1,35.2,.255
40,California,20,8,12,.400,5.82,6.62,,4,5,,7,5,,1,3,,1510,1526,,69.5,106.0,.316,.414,.533,52.0,45.6,8.1,7.4,.500,14.0,29.9,.227
41,California Baptist,19,12,7,.632,-0.10,-3.98,,5,3,,9,3,,3,4,,1304,1211,,66.7,102.8,.403,.365,.506,54.5,45.6,7.0,7.0,.468,14.6,34.4,.270
42,Campbell,20,10,10,.500,-10.87,-6.81,,4,3,,8,3,,2,7,,1361,1321,,65.9,102.6,.361,.378,.552,49.0,52.1,10.1,7.6,.515,16.5,25.3,.262
43,Canisius,19,8,11,.421,-5.21,-2.98,,3,6,,5,2,,1,8,,1398,1398,,70.7,103.5,.317,.370,.530,51.7,49.9,8.8,7.4,.508,16.6,33.2,.203
44,Central Arkansas,22,7,15,.318,-15.75,-4.55,,3,3,,4,5,,3,10,,1602,1717,,71.2,102.2,.293,.387,.520,48.8,52.9,10.5,9.1,.485,15.9,30.1,.214
45,Central Connecticut State,19,11,8,.579,-6.64,-7.88,,5,1,,4,3,,7,5,,1400,1261,,69.3,106.3,.289,.337,.540,51.2,54.2,11.5,13.0,.511,14.1,29.5,.208
46,Central Florida,18,12,6,.667,12.02,3.57,,3,3,,9,3,,1,3,,1309,1157,,70.2,102.8,.385,.371,.512,54.1,48.9,12.8,16.6,.470,15.5,34.3,.271
47,Central Michigan,19,10,9,.526,-8.35,-1.68,,5,2,,6,2,,3,6,,1274,1370,,68.2,98.4,.269,.342,.514,48.8,47.9,9.1,9.5,.490,16.2,27.7,.179
48,Charleston Southern,19,6,13,.316,-13.12,-0.49,,2,4,,5,4,,1,9,,1339,1441,,68.5,102.9,.345,.366,.544,48.5,45.8,5.5,7.3,.500,15.8,25.8,.268
49,Charlotte,19,12,7,.632,5.86,3.58,,6,1,,9,1,,2,4,,1311,1223,,62.8,108.5,.315,.372,.551,49.6,55.5,10.0,10.2,.516,13.2,27.5,.235
50,Chattanooga,20,13,7,.650,-1.19,-4.47,,5,2,,8,2,,5,5,,1569,1404,,69.3,111.8,.297,.509,.580,52.1,50.5,9.5,11.0,.553,15.0,28.4,.218
