Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
109,Hawaii,34,20,14,.588,0.29,-2.22,,11,9,,13,6,,4,6,,2458,2337,,67.4,100.8,.330,.256,.522,48.5,36.9,9.1,7.7,.484,14.2,24.8,.239
110,High Point,33,25,8,.758,2.23,-5.09,,13,3,,16,2,,7,5,,2779,2449,,69.5,105.5,.367,.313,.535,43.6,44.5,7.0,8.0,.496,12.8,25.3,.265
111,Hofstra,33,20,13,.606,2.44,-1.84,,12,6,,11,2,,5,10,,2449,2259,,66.6,102.4,.286,.419,.524,51.8,53.9,8.3,8.1,.486,15.5,29.3,.217
112,Holy Cross,33,10,23,.303,-16.93,-7.68,,6,12,,5,8,,4,14,,2194,2462,,65.4,113.6,.299,.394,.561,52.0,52.8,10.0,9.0,.532,11.2,27.8,.216
113,Houston,34,30,4,.882,26.35,10.29,,15,3,,17,0,,7,3,,2483,1937,,64.2,88.2,.390,.409,.482,47.3,60.2,7.9,7.4,.440,21.2,30.3,.261
114,Houston Christian,29,6,23,.207,-18.89,-3.41,,4,14,,5,8,,1,15,,2074,2420,,73.4,113.2,.278,.338,.558,50.8,51.9,12.4,11.0,.532,12.2,32.1,.201
115,Howard,34,18,16,.529,-8.44,-7.84,,9,5,,9,4,,6,9,,2555,2529,,69.5,105.5,.392,.329,.538,47.3,46.9,10.9,10.5,.502,15.2,30.7,.274
116,Idaho,32,11,21,.344,-10.88,-4.28,,5,13,,6,10,,4,10,,2170,2278,,65.9,107.7,.366,.385,.559,51.8,53.5,9.8,10.6,.522,14.8,27.3,.267
117,Idaho State,34,14,20,.412,-7.04,-4.66,,7,11,,8,5,,4,13,,2397,2383,,64.9,106.1,.308,.310,.566,48.5,46.7,9.5,6.5,.534,16.5,25.5,.230
118,Illinois,34,26,8,.765,19.87,9.25,,14,6,,15,3,,6,5,,2870,2509,,70.5,103.9,.271,.279,.511,44.3,42.8,7.9,8.3,.480,10.8,26.1,.195
119,Illinois State,32,15,17,.469,-1.23,0.58,,9,11,,10,6,,4,8,,2128,2165,,65.3,103.7,.271,.393,.537,48.9,51.5,8.0,9.3,.506,14.6,25.7,.199
