Team,Game
Purdue,W1
Merrimack,W1
Saint Mary's (CA),W2
TCU,W2
Florida Atlantic,W3
Samford,W3
Duke,W4
Cornell,W4
Colorado State,W5
Nebraska,W5
Auburn,W6
UNC Wilmington,W6
Clemson,W7
Florida,W7
Kansas,W8
Eastern Washington,W8
Arizona,E1
North Dakota,E1
Virginia,E2
New Mexico,E2
Creighton,E3
Grand Canyon,E3
Baylor,E4
Akron,E4
Brigham Young,E5
Mississippi,E5
Wisconsin,E6
High Point,E6
Texas Tech,E7
Butler,E7
Tennessee,E8
Troy,E8
Connecticut,S1
Green Bay,S1
Michigan State,S2
Boise State,S2
South Carolina,S3
McNeese State,S3
Iowa State,S4
South Florida,S4
Kentucky,S5
Indiana State,S5
Illinois,S6
Vermont,S6
Texas,S7
Texas A&M,S7
North Carolina,S8
Colgate,S8
Houston,MW1
Eastern Kentucky,MW1
Utah,MW2
Northwestern,MW2
San Diego State,MW3
UC Irvine,MW3
Dayton,MW4
Louisiana Tech,MW4
Oklahoma,MW5
Washington State,MW5
Alabama,MW6
Morehead State,MW6
Utah State,MW7
Cincinnati,MW7
Marquette,MW8
Quinnipiac,MW8
