Rk,School,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G
1,Abilene Christian,0.5,-9.14,-6.82,0.026,-1,-0.001,-0.006,2,0,0,0,0,0,0,0,0.4444444444444444,0.6,0.4,-0.03125,-0.03125,3.125,3.59375,-3.71875,-5.125,-0.125,-0.4375,3.5,1.71875,1.15625,-1.59375,3.59375
2,Air Force,0.387,-4.31,1.72,-0.044,29,-0.066,0.022,-4,0,0,0,0,0,0,0,0.3333333333333333,0.5625,0.23076923076923078,-1.2258064516129032,0.9354838709677419,-1.5483870967741935,2.096774193548387,0.45161290322580644,0.0967741935483871,0.9032258064516129,-1.7741935483870968,-0.06451612903225806,0.8709677419354839,-0.9032258064516129,-1.4516129032258065,-0.8064516129032258
3,Akron,0.438,-6.82,-1.92,-0.026,131,0.001,-0.027,-4,0,0,0,0,0,0,0,0.3333333333333333,0.75,0.16666666666666666,1.5,4.09375,-1.09375,0.84375,-2.90625,-3.34375,0.25,-1.09375,-0.15625,-0.40625,-1.03125,0.9375,2.59375
4,Alabama,0.556,12.34,10.64,0.045,-97,-0.002,-0.015,1,0,0,0,1,0,0,0,0.4444444444444444,0.75,0.2,-0.9166666666666666,-2.6944444444444446,0.9166666666666666,-3.7222222222222223,0.7777777777777778,1.6388888888888888,-1.5,0.3611111111111111,0.8611111111111112,-0.25,1.6111111111111112,1.1111111111111112,-1.1666666666666667
5,Alabama A&M,0.097,-23.97,-8.04,-0.0809999999999999,6,-0.08,-0.04,-16,0,0,0,0,0,0,0,0.16666666666666666,0.18181818181818182,0.05263157894736842,-1.4838709677419355,0.1935483870967742,-6.709677419354839,-4.741935483870968,-1.032258064516129,-0.5161290322580645,-0.16129032258064516,-2.5806451612903225,-3.870967741935484,-3.6774193548387095,-3.2903225806451615,5.193548387096774,-0.7096774193548387
6,Alabama State,0.258,-18.56,-8.62,-0.045,7,-0.0489999999999999,-0.039,-10,0,0,0,0,0,0,0,0.4444444444444444,0.3333333333333333,0.23529411764705882,-0.9354838709677419,0.22580645161290322,-2.0,1.4193548387096775,-5.0,-6.096774193548387,0.06451612903225806,-3.2580645161290325,-3.3870967741935485,-1.2258064516129032,0.3548387096774194,1.1612903225806452,1.8709677419354838
7,Albany (NY),0.688,0.02,-5.4,0.011,-152,0.0379999999999999,0.052,6,0,0,0,0,0,0,0,0.625,0.8235294117647058,0.5333333333333333,-0.96875,-4.75,1.0,0.875,5.0,5.53125,3.625,7.0625,-0.875,-0.8125,-1.375,0.09375,-3.3125
8,Alcorn State,0.344,-18.07,-8.6,0.001,-69,-0.0039999999999999,0.003,-5,0,0,0,0,0,0,0,0.3888888888888889,0.6428571428571429,0.1111111111111111,-0.84375,-2.15625,-0.5625,-1.34375,-2.53125,-3.6875,-1.8125,-2.34375,-1.46875,-0.03125,-0.4375,1.25,1.75
9,American,0.2,-14.63,-6.16,-0.0549999999999999,190,-0.0459999999999999,-0.0499999999999999,-9,0,0,0,0,0,0,0,0.16666666666666666,0.3333333333333333,0.1111111111111111,1.3333333333333333,6.333333333333333,-2.6,0.6666666666666666,-4.6,-5.3,-1.3333333333333333,-6.333333333333333,-1.5,0.3,-0.3333333333333333,0.0,1.7
10,Appalachian State,0.455,-4.83,-2.67,-0.001,218,-0.0219999999999999,-0.0529999999999999,2,0,0,0,0,0,0,0,0.5,0.6923076923076923,0.26666666666666666,1.8181818181818181,6.606060606060606,0.30303030303030304,0.9090909090909091,-0.24242424242424243,1.3333333333333333,2.5757575757575757,3.484848484848485,0.15151515151515152,-0.6363636363636364,0.3939393939393939,0.8181818181818182,-1.7878787878787878
11,Arizona,0.771,15.67,6.84,0.069,-87,0.011,0.026,8,0,0,0,0,0,0,1,0.7777777777777778,0.9375,0.7272727272727273,-0.6857142857142857,-2.4857142857142858,3.4,-1.2571428571428571,2.7142857142857144,2.942857142857143,1.2285714285714286,7.4,2.5142857142857142,-1.1714285714285715,1.8857142857142857,0.5714285714285714,-2.3714285714285714
12,Arizona State,0.625,14.37,6.55,0.025,27,0.0209999999999999,0.015,7,0,0,0,0,0,0,0,0.4444444444444444,0.7647058823529411,0.4,0.8125,0.84375,1.46875,0.03125,4.0625,5.15625,-1.3125,-1.40625,-0.65625,1.15625,0.09375,-4.09375,-2.625
13,Arkansas,0.657,14.76,9.85,0.0439999999999999,-163,0.038,-0.0459999999999999,4,0,0,0,1,0,0,1,0.5555555555555556,0.8823529411764706,0.3,-0.9142857142857143,-4.6571428571428575,3.8,2.6,-1.7714285714285714,-1.0,-1.2285714285714286,-1.6,0.6857142857142857,1.457142857142857,1.0857142857142856,-3.1142857142857143,0.5714285714285714
14,Arkansas State,0.344,-9.65,-3.02,-0.0519999999999999,53,-0.0419999999999999,0.007,-5,0,0,0,0,0,0,0,0.3333333333333333,0.5,0.23529411764705882,-0.28125,1.65625,-2.1875,1.8125,-0.15625,-0.40625,1.28125,-1.90625,-3.96875,1.03125,-0.5625,-0.5625,-0.125
15,Arkansas-Pine Bluff,0.4,-14.84,-9.36,0.004,-30,0.0,-0.0359999999999999,-6,0,0,0,0,0,0,0,0.6666666666666666,0.7,0.3157894736842105,-0.2857142857142857,-0.8571428571428571,-0.45714285714285713,-1.6,-4.285714285714286,-5.057142857142857,-4.742857142857143,-8.657142857142857,-1.7714285714285714,0.02857142857142857,2.1714285714285713,-0.8857142857142857,2.142857142857143
16,Army,0.433,-8.62,-7.17,0.001,72,0.024,-0.0579999999999999,0,0,0,0,0,0,0,0,0.3333333333333333,0.5454545454545454,0.25,1.4666666666666666,2.4,2.1,4.533333333333333,-5.433333333333334,-6.4,0.7,-0.6333333333333333,3.1666666666666665,-1.0,-0.8333333333333334,-0.8,4.2
17,Auburn,0.765,15.97,7.29,0.004,131,0.006,0.052,8,0,0,0,1,0,0,0,0.7222222222222222,0.9375,0.6363636363636364,1.5,3.8529411764705883,2.0,4.147058823529412,3.176470588235294,2.6176470588235294,1.9411764705882353,2.4411764705882355,1.2352941176470589,1.3235294117647058,2.0294117647058822,-3.088235294117647,-0.8235294117647058
18,Austin Peay,0.559,-3.28,-2.5,-0.009,-69,-0.0219999999999999,-0.0649999999999999,1,0,0,0,0,0,0,0,0.6666666666666666,0.7222222222222222,0.35714285714285715,-1.1176470588235294,-2.0294117647058822,2.0588235294117645,5.617647058823529,-1.0588235294117647,0.47058823529411764,3.9705882352941178,3.0,1.3235294117647058,0.7352941176470589,-0.7941176470588235,-2.088235294117647,-1.4411764705882353
19,Ball State,0.594,-1.22,-2.0,0.027,12,-0.0239999999999999,-0.023,1,0,0,0,0,0,0,0,0.5555555555555556,0.875,0.3333333333333333,-0.40625,0.375,0.46875,-2.5625,0.96875,1.96875,-0.46875,1.5625,1.0625,-1.625,-0.03125,1.21875,-1.90625
20,Baylor,0.559,14.6,9.17,0.0539999999999999,-166,0.0199999999999999,0.018,5,0,1,0,0,0,0,1,0.4444444444444444,0.75,0.18181818181818182,-1.2941176470588236,-4.882352941176471,3.088235294117647,-0.2647058823529412,1.0,0.9117647058823529,0.9705882352941176,5.911764705882353,0.5,-0.35294117647058826,0.29411764705882354,1.8529411764705883,-0.14705882352941177
21,Belmont,0.727,5.54,-2.88,0.0559999999999999,325,0.0409999999999999,0.002,8,0,0,0,0,0,0,0,0.8333333333333334,0.875,0.6,4.545454545454546,9.848484848484848,1.9696969696969697,-2.727272727272727,-0.06060606060606061,-0.12121212121212122,-1.3333333333333333,1.9696969696969697,4.515151515151516,-1.2424242424242424,-0.24242424242424243,0.8484848484848485,-1.2424242424242424
22,Bethune-Cookman,0.563,-12.19,-12.46,0.018,59,-0.012,0.001,2,0,0,0,0,0,0,0,0.75,0.7692307692307693,0.4444444444444444,0.3125,1.84375,0.625,-1.28125,0.90625,1.25,0.875,3.34375,0.40625,-0.34375,0.28125,1.96875,-0.125
23,Binghamton,0.355,-10.27,-6.34,-0.003,55,-0.031,-0.0679999999999999,-2,0,0,0,0,0,0,0,0.125,0.5,0.2,0.0,1.7741935483870968,0.22580645161290322,0.8064516129032258,-1.5483870967741935,-0.5483870967741935,0.16129032258064516,-0.6129032258064516,-1.7419354838709677,-0.22580645161290322,1.5483870967741935,0.2903225806451613,0.8709677419354839
24,Boise State,0.719,11.21,3.05,0.034,128,0.0519999999999999,0.014,9,0,0,0,0,0,0,0,0.7222222222222222,0.9375,0.5,2.625,4.0,2.625,1.375,1.25,1.375,3.6875,8.125,0.625,-0.34375,-0.875,1.65625,0.15625
25,Boston College,0.543,9.0,7.2,0.005,-24,-0.002,-0.003,1,0,0,1,0,0,0,0,0.3888888888888889,0.8235294117647058,0.15384615384615385,-0.3142857142857143,-0.6857142857142857,0.2857142857142857,-0.11428571428571428,1.542857142857143,2.142857142857143,0.9428571428571428,2.3142857142857145,0.2571428571428571,-0.6285714285714286,0.05714285714285714,0.17142857142857143,-1.2571428571428571
26,Boston University,0.484,-8.33,-5.83,0.012,-97,0.019,-0.0889999999999999,-2,0,0,0,0,0,0,0,0.5555555555555556,0.46153846153846156,0.5,-0.7419354838709677,-3.129032258064516,0.22580645161290322,-1.032258064516129,-1.0,0.8387096774193549,-0.06451612903225806,0.0967741935483871,0.2903225806451613,1.0,0.3225806451612903,0.0,-0.3225806451612903
27,Bowling Green State,0.5,-6.38,-2.88,-0.037,-19,-0.019,0.011,-2,0,0,0,0,0,0,0,0.3888888888888889,0.6,0.4,-0.625,-0.59375,-2.0625,0.4375,2.84375,3.625,2.1875,1.8125,-1.0,-0.34375,-1.0,0.125,-2.625
28,Bradley,0.606,2.07,0.35,0.0249999999999999,-124,0.0239999999999999,-0.028,2,0,0,0,0,0,0,0,0.5,0.8666666666666667,0.3076923076923077,-0.7878787878787878,-3.757575757575758,1.5757575757575757,0.6060606060606061,0.2727272727272727,1.1515151515151516,1.0,2.5454545454545454,0.5151515151515151,0.15151515151515152,1.393939393939394,-0.18181818181818182,-0.030303030303030304
29,Brigham Young,0.686,8.05,1.53,0.0329999999999999,-97,0.0109999999999999,0.0939999999999999,6,0,0,0,0,0,0,0,0.6111111111111112,0.8125,0.5384615384615384,-0.7428571428571429,-2.7714285714285714,1.1714285714285715,-1.4285714285714286,4.914285714285715,4.571428571428571,-0.6,1.3142857142857143,2.257142857142857,0.34285714285714286,0.9142857142857143,-1.1714285714285715,-1.2285714285714286
30,Brown,0.407,-7.78,-4.67,-0.0499999999999999,31,-0.0519999999999999,0.049,-2,0,0,0,0,0,0,0,0.2857142857142857,0.6153846153846154,0.21428571428571427,-0.7037037037037037,1.1481481481481481,-1.7037037037037037,2.7037037037037037,2.1481481481481484,1.3333333333333333,2.3333333333333335,1.0740740740740742,-1.037037037037037,-0.2962962962962963,-1.6666666666666667,-0.8888888888888888,0.1111111111111111
31,Bryant,0.097,-18.75,-5.42,-0.083,-5,-0.062,0.004,-14,0,0,0,0,0,0,0,0.1111111111111111,0.08333333333333333,0.10526315789473684,-1.5806451612903225,-0.16129032258064516,-4.838709677419355,0.45161290322580644,-2.064516129032258,-3.032258064516129,-1.3548387096774193,-7.612903225806452,-2.6774193548387095,-0.3870967741935484,-2.870967741935484,0.22580645161290322,2.3225806451612905
32,Bucknell,0.714,4.49,-3.46,0.0449999999999999,127,0.0169999999999999,0.024,7,0,0,0,0,0,0,0,0.8888888888888888,0.9375,0.5555555555555556,1.6,3.6285714285714286,1.542857142857143,-2.5142857142857142,3.257142857142857,3.8285714285714287,-1.0,1.1714285714285715,1.6285714285714286,-1.0571428571428572,1.0285714285714285,-0.02857142857142857,-2.4857142857142858
33,Buffalo,0.75,7.99,0.25,0.0429999999999999,220,0.0419999999999999,-0.035,8,0,0,0,0,0,0,0,0.8333333333333334,0.9333333333333333,0.6153846153846154,3.111111111111111,6.111111111111111,4.694444444444445,4.305555555555555,-4.027777777777778,-4.583333333333333,1.1388888888888888,2.0833333333333335,5.055555555555555,0.5,0.3055555555555556,-1.3888888888888888,2.7222222222222223
34,Butler,0.6,16.92,10.55,0.0239999999999999,70,-0.016,0.033,6,0,0,0,0,1,0,0,0.5,0.8235294117647058,0.3,0.37142857142857144,2.0,4.085714285714285,5.742857142857143,-2.1714285714285713,-3.6285714285714286,1.3142857142857143,1.7428571428571429,1.4,1.5142857142857142,-0.5714285714285714,-2.657142857142857,1.6
35,Cal Poly,0.29,-11.56,-1.83,-0.059,152,-0.026,0.035,-8,0,0,0,0,0,0,0,0.25,0.5384615384615384,0.07142857142857142,1.2580645161290323,4.903225806451613,-3.064516129032258,0.8709677419354839,-2.225806451612903,-3.7096774193548385,-0.5161290322580645,-3.5161290322580645,-2.4516129032258065,-0.9032258064516129,0.3548387096774194,0.6129032258064516,2.3870967741935485
36,Cal State Bakersfield,0.4,-6.58,-0.73,-0.008,-80,-0.0499999999999999,-0.006,-3,0,0,0,0,0,0,0,0.35714285714285715,0.6666666666666666,0.2,-1.9666666666666666,-2.6666666666666665,0.6,2.433333333333333,-2.1333333333333333,-2.8666666666666667,1.7333333333333334,1.9666666666666666,-0.16666666666666666,0.06666666666666667,0.16666666666666666,0.3,0.7
37,Cal State Fullerton,0.625,-0.93,-1.03,0.054,-135,-0.0119999999999999,-0.027,2,0,0,0,0,0,0,0,0.625,0.6923076923076923,0.5,-1.65625,-4.21875,1.125,-4.375,1.6875,3.0625,-1.25,1.53125,0.21875,0.65625,-0.25,1.3125,-1.53125
38,Cal State Northridge,0.2,-13.5,-3.53,-0.031,-30,0.005,-0.015,-8,0,0,0,0,0,0,0,0.1875,0.3076923076923077,0.13333333333333333,-0.26666666666666666,-1.0,-2.3333333333333335,-1.2333333333333334,-2.5,-3.1333333333333333,-2.533333333333333,-5.466666666666667,-2.066666666666667,-0.9,-1.2,1.0666666666666667,1.5333333333333334
39,California,0.25,-3.4,6.05,-0.0649999999999999,-188,-0.113,-0.0459999999999999,-10,0,0,0,0,0,0,1,0.1111111111111111,0.29411764705882354,0.2727272727272727,-4.1875,-5.875,-2.65625,2.5,-0.40625,0.875,3.4375,0.75,-6.28125,0.84375,0.8125,0.84375,0.53125
40,Campbell,0.529,-5.68,-6.68,0.0319999999999999,112,0.0489999999999999,0.031,4,0,0,0,0,0,0,0,0.5555555555555556,0.7777777777777778,0.26666666666666666,2.2941176470588234,3.2941176470588234,0.8823529411764706,-1.9411764705882353,0.9117647058823529,0.4411764705882353,-2.264705882352941,-1.9411764705882353,1.6764705882352942,0.5588235294117647,1.3235294117647058,-0.7058823529411765,0.14705882352941177
41,Canisius,0.636,0.44,-4.8,0.016,229,0.0269999999999999,-0.022,5,0,0,0,0,0,0,0,0.8333333333333334,0.7857142857142857,0.5,2.9393939393939394,6.9393939393939394,2.515151515151515,3.5454545454545454,-2.727272727272727,-3.1818181818181817,0.06060606060606061,-0.6060606060606061,5.0606060606060606,1.7575757575757576,0.3333333333333333,-2.121212121212121,1.606060606060606
42,Central Arkansas,0.514,-5.83,-5.97,0.006,104,-0.004,0.0589999999999999,1,0,0,0,0,0,0,0,0.5555555555555556,0.6428571428571429,0.42105263157894735,0.9714285714285714,2.9714285714285715,0.14285714285714285,-0.6,0.2571428571428571,-1.542857142857143,-2.4571428571428573,-3.8285714285714287,1.8857142857142857,-0.5142857142857142,2.085714285714286,-0.8285714285714286,0.05714285714285714
43,Central Connecticut State,0.438,-11.62,-7.59,0.014,-157,-0.0349999999999999,-0.001,-5,0,0,0,0,0,0,0,0.3888888888888889,0.6666666666666666,0.3,-2.4375,-4.90625,-0.875,-3.75,0.15625,0.25,0.0625,3.15625,-0.875,-1.78125,0.90625,3.53125,-0.40625
44,Central Florida,0.594,4.76,3.76,0.0229999999999999,-70,-0.002,-0.0799999999999999,1,0,0,0,0,0,0,0,0.5,0.75,0.45454545454545453,-0.75,-2.1875,-0.875,-5.09375,3.5,7.28125,-0.5,0.71875,-1.9375,-1.03125,-0.34375,1.15625,-4.25
45,Central Michigan,0.583,-1.39,-3.24,-0.009,124,-0.0049999999999999,0.081,4,0,0,0,0,0,0,0,0.3888888888888889,0.7058823529411765,0.4,1.0555555555555556,3.4444444444444446,-0.3611111111111111,0.3888888888888889,4.5,4.0,0.8333333333333334,1.0,0.05555555555555555,0.7222222222222222,-0.3055555555555556,-1.3333333333333333,-2.1944444444444446
46,Charleston Southern,0.484,-8.16,-6.16,0.013,-111,-0.0529999999999999,-0.03,3,0,0,0,0,0,0,0,0.5,0.6,0.375,-2.4516129032258065,-3.5806451612903225,2.838709677419355,4.806451612903226,-0.03225806451612903,0.7096774193548387,2.3225806451612905,1.6129032258064515,-1.3548387096774193,1.2903225806451613,0.25806451612903225,-2.4516129032258065,-0.03225806451612903
47,Charlotte,0.207,-10.13,0.27,-0.0459999999999999,-62,-0.018,0.006,-9,0,0,0,0,0,0,0,0.1111111111111111,0.26666666666666666,0.14285714285714285,-1.1379310344827587,-2.1379310344827585,-4.689655172413793,-4.413793103448276,1.8620689655172413,2.4482758620689653,-0.6551724137931034,-1.8620689655172413,-3.206896551724138,-1.9655172413793103,-1.3103448275862069,2.0,-0.9310344827586207
48,Chattanooga,0.303,-11.09,-4.05,-0.0449999999999999,127,0.005,-0.036,-5,0,0,0,0,0,0,0,0.16666666666666666,0.5,0.06666666666666667,1.4545454545454546,3.8484848484848486,-3.5757575757575757,-2.303030303030303,1.606060606060606,3.0606060606060606,0.7272727272727273,-1.0,-0.6363636363636364,-2.121212121212121,-1.393939393939394,0.9090909090909091,-4.03030303030303
49,Chicago State,0.094,-21.53,1.17,-0.089,-194,-0.089,0.018,-19,0,0,0,0,0,0,0,0.07142857142857142,0.2727272727272727,0.0,-3.9375,-6.0625,-5.46875,-0.3125,-3.40625,-5.3125,-1.25,-6.5,-6.75,0.75,-2.0,0.90625,2.8125
50,Cincinnati,0.861,20.25,3.53,0.076,-5,0.0439999999999999,0.0079999999999998,16,0,0,0,0,0,0,2,0.8888888888888888,0.9375,0.8181818181818182,0.8611111111111112,-0.1388888888888889,5.694444444444445,3.5,4.472222222222222,6.305555555555555,3.2777777777777777,7.944444444444445,5.805555555555555,2.138888888888889,2.4444444444444446,-3.0555555555555554,-2.5833333333333335
51,Clemson,0.714,17.16,9.25,0.0499999999999999,25,0.014,0.054,7,0,0,1,0,0,0,0,0.6111111111111112,0.9375,0.4,0.5714285714285714,0.7142857142857143,2.085714285714286,-1.7714285714285714,3.1714285714285713,3.085714285714286,-0.5428571428571428,2.4,1.7714285714285714,-0.02857142857142857,1.2285714285714286,0.02857142857142857,-1.5142857142857142
52,Cleveland State,0.343,-10.82,-3.64,-0.022,50,-0.0139999999999999,-0.011,-7,0,0,0,0,0,0,0,0.3333333333333333,0.5,0.11764705882352941,0.14285714285714285,1.4285714285714286,-2.3714285714285714,-2.4857142857142858,-1.4285714285714286,-1.7428571428571429,-3.4285714285714284,-7.771428571428571,-2.057142857142857,1.3428571428571427,-0.7142857142857143,-0.9142857142857143,0.2
53,Coastal Carolina,0.438,-3.94,-2.42,0.0289999999999999,-149,-0.011,-0.004,1,0,0,0,0,0,0,0,0.4444444444444444,0.4375,0.4166666666666667,-1.8125,-4.65625,1.59375,-0.1875,0.40625,0.6875,2.28125,5.96875,-0.03125,-1.65625,1.46875,2.96875,-0.375
54,Colgate,0.576,-4.85,-5.72,-0.016,121,-0.006,0.037,2,0,0,0,0,0,0,0,0.6666666666666666,0.8125,0.35294117647058826,1.1818181818181819,3.6666666666666665,-0.06060606060606061,1.8484848484848484,1.3333333333333333,0.9696969696969697,0.42424242424242425,-1.3636363636363635,-0.3333333333333333,0.9696969696969697,0.2727272727272727,-2.0606060606060606,-0.5454545454545454
55,College of Charleston,0.765,1.83,-3.29,0.027,26,0.016,0.016,6,0,0,0,0,0,0,0,0.7777777777777778,1.0,0.5384615384615384,0.5882352941176471,0.7647058823529411,1.5,-0.058823529411764705,2.4411764705882355,2.8529411764705883,-1.0294117647058822,-0.5882352941176471,-0.6764705882352942,1.088235294117647,0.2647058823529412,-1.8823529411764706,-1.588235294117647
56,Colorado,0.531,6.06,7.0,0.017,-71,0.002,0.026,-1,0,0,0,0,0,0,0,0.4444444444444444,0.8,0.09090909090909091,-0.75,-2.21875,0.0625,-2.1875,-0.3125,-1.15625,0.375,3.40625,1.21875,-2.96875,-0.1875,3.5,0.78125
57,Colorado State,0.344,-3.86,3.79,-0.04,-158,-0.0299999999999999,0.012,-7,0,0,0,0,0,0,0,0.2222222222222222,0.5,0.23076923076923078,-2.40625,-4.9375,-2.125,0.71875,-0.3125,-0.8125,1.6875,1.0625,-2.9375,-0.28125,0.625,0.625,0.09375
58,Columbia,0.296,-5.63,-3.02,-0.008,18,-0.009,0.007,-1,0,0,0,0,0,0,0,0.35714285714285715,0.5833333333333334,0.06666666666666667,0.0,0.6666666666666666,0.8518518518518519,2.888888888888889,-2.5555555555555554,-3.6296296296296298,0.07407407407407407,-1.4074074074074074,-0.7777777777777778,0.5185185185185185,0.7777777777777778,-0.5925925925925926,2.6666666666666665
59,Connecticut,0.438,1.08,6.05,-0.017,-132,-0.0379999999999999,0.039,-5,0,0,0,0,1,0,5,0.3888888888888889,0.6875,0.18181818181818182,-2.28125,-4.125,-1.3125,-0.75,-0.0625,-1.125,-1.09375,-2.5,-3.3125,0.84375,0.6875,0.09375,1.53125
60,Coppin State,0.156,-20.96,-7.24,-0.067,137,-0.032,0.011,-14,0,0,0,0,0,0,0,0.3125,0.4,0.047619047619047616,0.5625,4.28125,-4.78125,-2.28125,-4.71875,-6.75,-3.3125,-7.8125,-3.46875,-0.28125,-0.625,1.8125,4.84375
61,Cornell,0.429,-8.8,-3.24,0.008,-24,-0.0489999999999999,0.005,-5,0,0,0,0,0,0,0,0.42857142857142855,0.6666666666666666,0.26666666666666666,-1.4642857142857142,-0.8571428571428571,-2.3214285714285716,-6.142857142857143,1.6071428571428572,2.0714285714285716,-3.0,-2.892857142857143,1.5,-1.5,-0.10714285714285714,2.0,-1.0714285714285714
62,Creighton,0.636,16.35,8.1,0.059,138,0.0399999999999999,0.027,9,0,0,0,0,1,0,0,0.5555555555555556,0.8888888888888888,0.36363636363636365,2.484848484848485,4.181818181818182,3.0606060606060606,-1.303030303030303,0.8484848484848485,0.5757575757575758,-1.6363636363636365,1.393939393939394,3.878787878787879,-0.3939393939393939,-0.3333333333333333,-0.48484848484848486,-0.8484848484848485
63,Dartmouth,0.259,-10.31,-4.0,-0.018,-74,0.01,-0.068,-5,0,0,0,0,0,0,0,0.21428571428571427,0.5,0.06666666666666667,-0.7407407407407407,-2.740740740740741,-2.7037037037037037,-3.6296296296296298,1.3703703703703705,3.2962962962962963,-0.9259259259259259,-2.0,-0.7037037037037037,-0.5555555555555556,0.2962962962962963,1.037037037037037,-1.3703703703703705
64,Davidson,0.636,11.02,2.57,0.0409999999999999,146,0.039,0.1129999999999999,8,0,0,0,0,0,0,0,0.7222222222222222,0.9166666666666666,0.42857142857142855,2.6363636363636362,4.424242424242424,2.9393939393939394,1.4545454545454546,-0.06060606060606061,-2.393939393939394,-0.8787878787878788,1.0909090909090908,4.0606060606060606,-0.09090909090909091,-0.5454545454545454,-1.121212121212121,-0.6666666666666666
65,Dayton,0.452,1.64,2.71,0.011,52,-0.0459999999999999,0.016,-2,0,0,0,0,0,0,0,0.4444444444444444,0.75,0.09090909090909091,-0.45161290322580644,1.6774193548387097,-0.6451612903225806,-2.7096774193548385,0.6774193548387096,0.5806451612903226,-1.1935483870967742,-0.3870967741935484,1.0,-0.7741935483870968,0.12903225806451613,1.2258064516129032,-0.967741935483871
66,Delaware,0.424,-6.93,-2.96,0.002,-156,-0.0409999999999999,-0.0739999999999999,-3,0,0,0,0,0,0,0,0.3333333333333333,0.4666666666666667,0.2857142857142857,-2.484848484848485,-4.7272727272727275,-0.30303030303030304,-0.8787878787878788,0.36363636363636365,2.515151515151515,0.5151515151515151,0.3333333333333333,-2.0303030303030303,-0.36363636363636365,-0.7272727272727273,0.48484848484848486,-1.5454545454545454
67,Delaware State,0.125,-24.57,-9.3,-0.047,-222,-0.06,-0.009,-14,0,0,0,0,0,0,0,0.125,0.3076923076923077,0.0,-3.78125,-6.9375,-3.25,-1.28125,-3.0,-4.0625,-0.84375,-2.5,-4.0625,-1.59375,-0.71875,2.46875,2.25
68,Denver,0.5,-5.21,-2.53,0.0389999999999999,-219,0.065,-0.029,0,0,0,0,0,0,0,0,0.5714285714285714,0.7142857142857143,0.25,-1.3,-7.3,1.9,-0.6666666666666666,-2.4,-2.6,2.033333333333333,5.933333333333334,4.066666666666666,-2.3333333333333335,-0.5,3.8666666666666667,0.23333333333333334
69,DePaul,0.355,6.55,8.45,-0.012,-144,-0.061,-0.034,-2,0,0,0,0,1,0,0,0.2222222222222222,0.375,0.36363636363636365,-2.967741935483871,-4.645161290322581,1.032258064516129,4.0,-1.0,-0.5161290322580645,2.5806451612903225,2.4838709677419355,0.06451612903225806,-0.6129032258064516,0.03225806451612903,-0.5483870967741935,-0.12903225806451613
70,Detroit Mercy,0.25,-12.47,-2.07,-0.0469999999999999,64,-0.052,0.046,-8,0,0,0,0,0,0,0,0.2222222222222222,0.3125,0.15384615384615385,-0.53125,2.0,-2.375,1.3125,-1.8125,-3.8125,-0.59375,-3.625,-2.75,0.0625,-1.625,0.03125,2.09375
71,Drake,0.5,-0.51,0.58,-0.014,11,0.0269999999999999,0.062,0,0,0,0,0,0,0,0,0.5555555555555556,0.7857142857142857,0.26666666666666666,0.7352941176470589,0.3235294117647059,-2.2058823529411766,-3.0588235294117645,4.0,4.0,-1.2647058823529411,-2.264705882352941,-0.14705882352941177,0.029411764705882353,-1.0588235294117647,-0.029411764705882353,-1.7647058823529411
72,Drexel,0.394,-7.2,-2.48,-0.021,27,-0.0409999999999999,0.017,-5,0,0,0,0,0,0,0,0.3333333333333333,0.6428571428571429,0.15384615384615385,-0.5757575757575758,0.8181818181818182,-2.0606060606060606,-1.8181818181818181,0.5454545454545454,0.30303030303030304,-0.06060606060606061,-0.21212121212121213,-2.787878787878788,-1.2424242424242424,0.9090909090909091,1.0606060606060606,-0.6666666666666666
