Team_A, Team_B, Score_Differential
Long Island University,Radford,10
St. Bonaventure,UCLA,-7
Texas Southern,North Carolina Central,-18
Syracuse,Arizona State,-4
Pennsylvania,Kansas,16
Radford,Villanova,26
Montana,Michigan,14
UNC Greensboro,Gonzaga,4
Iona,Duke,22
Buffalo,Arizona,-21
Wright State,Tennessee,26
Stephen F. Austin,Texas Tech,10
South Dakota State,Ohio State,8
Davidson,Kentucky,5
San Diego State,Houston,2
Loyola (IL),Miami (FL),-2
St. Bonaventure,Florida,15
Oklahoma,Rhode Island,5
NC State,Seton Hall,11
Alabama,Virginia Tech,-3
Bucknell,Michigan State,4
Maryland-Baltimore County,Virginia,-20
Texas Southern,Xavier,19
Georgia State,Cincinnati,15
Lipscomb,North Carolina,18
Cal State Fullerton,Purdue,26
Murray State,West Virginia,17
Marshall,Wichita State,-6
College of Charleston,Auburn,4
New Mexico State,Clemson,9
Texas,Nevada,4
Providence,Texas A&M,4
Butler,Arkansas,-17
Kansas State,Creighton,-10
Syracuse,TCU,-5
Florida State,Missouri,-13
Seton Hall,Kansas,4
Alabama,Villanova,23
Houston,Michigan,1
Ohio State,Gonzaga,6
Rhode Island,Duke,25
Loyola (IL),Tennessee,-1
Florida,Texas Tech,3
Buffalo,Kentucky,20
Syracuse,Michigan State,-2
Florida State,Xavier,-5
Nevada,Cincinnati,-2
Texas A&M,North Carolina,-21
Butler,Purdue,3
Marshall,West Virginia,23
Clemson,Auburn,-31
Maryland-Baltimore County,Kansas State,7
Texas A&M,Michigan,27
Florida State,Gonzaga,-15
Kansas State,Kentucky,-3
Loyola (IL),Nevada,-1
Clemson,Kansas,4
West Virginia,Villanova,12
Syracuse,Duke,4
Texas Tech,Purdue,-13
Florida State,Michigan,4
Loyola (IL),Kansas State,-16
Duke,Kansas,4
Texas Tech,Villanova,12
Kansas,Villanova,16
Loyola (IL),Michigan,12
Michigan,Villanova,17
