Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Bacari Alexander,Detroit Mercy,Horizon,,8,24,0.25,,,,,2016-17,16,47,0.254,,,,,,16,47,0.254,,,,
Casey Alexander,Lipscomb,A-Sun,,23,10,0.697,,,Lost First Round,,2013-14,84,76,0.525,1.0,,,,,108,112,0.491,1.0,,,
Steve Alford,UCLA,Pac-12,,21,12,0.636,21.0,,Lost First Four,,2013-14,117,57,0.672,4.0,3.0,,,,502,263,0.656,11.0,4.0,,
Jimmy Allen,Army,Patriot,,13,17,0.433,,,,,2016-17,26,36,0.419,,,,,,26,36,0.419,,,,
Dana Altman,Oregon,Pac-12,,23,13,0.639,,,,,2010-11,210,83,0.717,5.0,3.0,1.0,,,620,326,0.655,13.0,3.0,1.0,
Tommy Amaker,Harvard,Ivy,,18,14,0.562,,,,,2007-08,211,119,0.639,4.0,,,,,387,258,0.6,5.0,1.0,,
Mike Anderson Sr,Arkansas,SEC,,23,12,0.657,,,Lost First Round,,2011-12,151,86,0.637,3.0,,,,,351,184,0.656,9.0,2.0,,
Kevin Baggett,Rider,MAAC,,22,10,0.688,,,,,2012-13,107,89,0.546,,,,,,107,89,0.546,,,,
Mike Balado,Arkansas State,Sun Belt,,11,21,0.344,,,,,2017-18,11,21,0.344,,,,,,11,21,0.344,,,,
Pat Baldwin,Milwaukee,Horizon,,16,17,0.485,,,,,2017-18,16,17,0.485,,,,,,16,17,0.485,,,,
Rick Barnes,Tennessee,SEC,,26,9,0.743,,13.0,Lost Second Round,,2015-16,57,44,0.564,1.0,,,,,661,358,0.649,23.0,6.0,1.0,
Rod Barnes,Cal State Bakersfield,WAC,,12,18,0.4,,,,,2011-12,118,106,0.527,1.0,,,,,304,295,0.508,4.0,1.0,,
Steve Barnes,Colorado State,MWC,,0,2,0.0,,,,,2017-18,0,2,0.0,,,,,,39,53,0.424,,,,
Duggar Baucom,The Citadel,Southern,,11,21,0.344,,,,,2015-16,33,64,0.34,,,,,,184,223,0.452,,,,
Chris Beard,Texas Tech,Big 12,,27,10,0.73,,14.0,Lost Regional Final,,2016-17,45,24,0.652,1.0,1.0,,,,75,29,0.721,2.0,1.0,,
John Becker,Vermont,AEC,,27,8,0.771,,,,,2011-12,166,77,0.683,2.0,,,,,166,77,0.683,2.0,,,
John Beilein,Michigan,Big Ten,,33,8,0.805,,7.0,Lost National Final,,2007-08,248,143,0.634,8.0,4.0,2.0,,,541,318,0.63,12.0,6.0,2.0,
Justin Bell,UC Riverside,Big West,,4,13,0.235,,,,,2017-18,4,13,0.235,,,,,,4,13,0.235,,,,
Randy Bennett,Saint Mary's (CA),WCC,,30,6,0.833,22.0,25.0,,,2001-02,392,162,0.708,6.0,1.0,,,,392,162,0.708,6.0,1.0,,
Tony Bennett,Virginia,ACC,,31,3,0.912,,1.0,Lost First Round,,2009-10,219,86,0.718,6.0,2.0,,,,288,119,0.708,8.0,3.0,,
Rodney Billups,Denver,Summit,,15,15,0.5,,,,,2016-17,31,29,0.517,,,,,,31,29,0.517,,,,
Jeff Boals,Stony Brook,AEC,,13,19,0.406,,,,,2016-17,31,33,0.484,,,,,,31,33,0.484,,,,
Jim Boeheim *,Syracuse,ACC,,23,14,0.622,,,Lost Regional Semifinal,,1976-77,1027,371,0.735,33.0,19.0,5.0,1.0,,1027,371,0.735,33.0,19.0,5.0,1.0
Tad Boyle,Colorado,Pac-12,,17,15,0.531,,,,,2010-11,166,110,0.601,4.0,,,,,222,176,0.558,4.0,,,
Michael Boynton,Oklahoma State,Big 12,,21,15,0.583,,,,,2017-18,21,15,0.583,,,,,,21,15,0.583,,,,
Todd Bozeman *,Morgan State,MEAC,,13,18,0.419,,,,,2006-07,186,196,0.487,2.0,,,,,249,231,0.519,5.0,1.0,,
Glenn Braica,St. Francis (NY),NEC,,13,18,0.419,,,,,2010-11,115,136,0.458,,,,,,115,136,0.458,,,,
John Brannen,Northern Kentucky,Horizon,,22,10,0.688,,,,,2015-16,55,42,0.567,1.0,,,,,56,43,0.566,1.0,,,
Mike Brennan,American,Patriot,,6,24,0.2,,,,,2013-14,63,94,0.401,1.0,,,,,63,94,0.401,1.0,,,
Wayne Brent,Jackson State,SWAC,,12,20,0.375,,,,,2013-14,68,95,0.417,,,,,,68,95,0.417,,,,
Mike Brey,Notre Dame,ACC,,21,15,0.583,14.0,,,,2000-01,403,202,0.666,12.0,3.0,,,,502,254,0.664,14.0,3.0,,
Horace Broadnax *,Savannah State,MEAC,,15,17,0.469,,,,,2005-06,171,228,0.429,,,,,,213,316,0.403,,,,
Will Brown,Albany (NY),AEC,,22,10,0.688,,,,,2001-02,282,248,0.532,5.0,,,,,282,248,0.532,5.0,,,
Brad Brownell,Clemson,ACC,,25,10,0.714,,20.0,Lost Regional Semifinal,,2010-11,149,113,0.569,2.0,1.0,,,,316,198,0.615,5.0,1.0,,
Ken Burmeister,Incarnate Word,Southland,,7,21,0.25,,,,,2013-14,75,67,0.528,,,,,,187,182,0.507,1.0,,,
Mark Byington,Georgia Southern,Sun Belt,,21,12,0.636,,,,,2013-14,90,72,0.556,,,,,,90,72,0.556,,,,
Rick Byrd,Belmont,OVC,,24,9,0.727,,,,,1999-00,388,214,0.645,7.0,,,,,388,214,0.645,7.0,,,
Jerrod Calhoun,Youngstown State,Horizon,,8,24,0.25,,,,,2017-18,8,24,0.25,,,,,,8,24,0.25,,,,
John Calipari *,Kentucky,SEC,,26,11,0.703,5.0,18.0,Lost Regional Semifinal,,2009-10,275,64,0.811,8.0,7.0,4.0,1.0,,720,204,0.779,19.0,14.0,6.0,1.0
Joe Callero,Cal Poly,Big West,,9,22,0.29,,,,,2009-10,120,161,0.427,1.0,,,,,120,161,0.427,1.0,,,
Bill Carmody,Holy Cross,Patriot,,12,19,0.387,,,,,2015-16,42,56,0.429,1.0,,,,,326,291,0.528,3.0,,,
Chris Casey,Niagara,MAAC,,19,14,0.576,,,,,2013-14,51,110,0.317,,,,,,51,110,0.317,,,,
Patrick Chambers,Penn State,Big Ten,,26,13,0.667,,,,,2011-12,113,122,0.481,,,,,,155,150,0.508,1.0,,,
Scott Cherry,High Point,Big South,,14,16,0.467,,,,,2009-10,146,134,0.521,,,,,,146,134,0.521,,,,
Jamion Christian,Mount St. Mary's,NEC,,18,14,0.562,,,,,2012-13,101,95,0.515,2.0,,,,,101,95,0.515,2.0,,,
Jim Christian,Boston College,ACC,,19,16,0.543,,,,,2014-15,48,83,0.366,,,,,,290,237,0.55,2.0,,,
Tim Cluess,Iona,MAAC,,20,14,0.588,,,Lost First Round,,2010-11,182,92,0.664,5.0,,,,,182,92,0.664,5.0,,,
Bill Coen,Northeastern,CAA,,23,10,0.697,,,,,2006-07,201,186,0.519,1.0,,,,,201,186,0.519,1.0,,,
Jon Coffman,Purdue Fort Wayne,Summit,,18,15,0.545,,,,,2014-15,78,53,0.595,,,,,,78,53,0.595,,,,
