Team_A, Team_B, Score_Differential
Indiana,Wyoming,-8
Texas A&M-Corpus Christi,Texas Southern,9
Bryant,Wright State,11
Notre Dame,Rutgers,-2
Texas Southern,Kansas,27
Indiana,Saint Mary's (CA),29
Georgia State,Gonzaga,21
Norfolk State,Baylor,36
Longwood,Tennessee,32
Saint Peter's,Kentucky,-6
Akron,UCLA,4
South Dakota State,Providence,9
Richmond,Iowa,-4
Vermont,Arkansas,4
San Francisco,Murray State,5
New Mexico State,Connecticut,-7
Memphis,Boise State,-11
Michigan,Colorado State,-12
Marquette,North Carolina,32
Creighton,San Diego State,-3
Davidson,Michigan State,1
Wright State,Arizona,17
Delaware,Villanova,20
Jacksonville State,Duke,17
Yale,Purdue,22
Montana State,Texas Tech,35
Colgate,Wisconsin,7
UAB,Houston,14
Chattanooga,Illinois,1
Miami (FL),Southern California,-2
Virginia Tech,Texas,8
Loyola (IL),Ohio State,13
Notre Dame,Alabama,-14
Iowa State,Louisiana State,-5
TCU,Seton Hall,-27
Creighton,Kansas,7
Memphis,Gonzaga,4
North Carolina,Baylor,-7
Michigan,Tennessee,-8
Saint Mary's (CA),UCLA,16
Richmond,Providence,28
New Mexico State,Arkansas,5
Saint Peter's,Murray State,-10
Michigan State,Duke,9
TCU,Arizona,5
Ohio State,Villanova,10
Miami (FL),Auburn,-18
Texas,Purdue,10
Notre Dame,Texas Tech,6
Iowa State,Wisconsin,-5
Houston,Illinois,-15
Arkansas,Gonzaga,-6
Houston,Arizona,-12
Michigan,Villanova,8
Texas Tech,Duke,5
Providence,Kansas,5
Saint Peter's,Purdue,-3
North Carolina,UCLA,-7
Iowa State,Miami (FL),14
Houston,Villanova,6
Arkansas,Duke,9
Miami (FL),Kansas,26
Saint Peter's,North Carolina,20
Villanova,Kansas,16
North Carolina,Duke,-4
North Carolina,Kansas,3
