Team,Game
Indiana,Play-in
Wyoming,Play-in
Texas A&M-Corpus Christi,Play-in
Texas Southern,Play-in
Bryant,Play-in
Wright State,Play-in
Notre Dame,Play-in
Rutgers,Play-in
Texas Southern,MW1
Kansas,MW1
Indiana,E3
Saint Mary's (CA),E3
Georgia State,W1
Gonzaga,W1
Norfolk State,E1
Baylor,E1
Longwood,S6
Tennessee,S6
Saint Peter's,E8
Kentucky,E8
Akron,E4
UCLA,E4
South Dakota State,MW4
Providence,MW4
Richmond,MW3
Iowa,MW3
Vermont,W4
Arkansas,W4
San Francisco,E7
Murray State,E7
New Mexico State,W3
Connecticut,W3
Memphis,W2
Boise State,W2
Michigan,S5
Colorado State,S5
Marquette,E2
North Carolina,E2
Creighton,MW2
San Diego State,MW2
Davidson,W7
Michigan State,W7
Wright State,S1
Arizona,S1
Delaware,S8
Villanova,S8
Jacksonville State,MW8
Auburn,MW8
Cal State Fullerton,W8
Duke,W8
Yale,E6
Purdue,E6
Montana State,W6
Texas Tech,W6
Colgate,MW6
Wisconsin,MW6
UAB,S3
Houston,S3
Chattanooga,S4
Illinois,S4
Miami (FL),MW7
Southern California,MW7
Texas,E5
Virginia Tech,E5
Loyola (IL),S7
Ohio State,S7
Notre Dame,W5
Alabama,W5
Iowa State,MW5
Louisiana State,MW5
TCU,S2
Seton Hall,S2
