Rk,School,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G
1,Abilene Christian,0.694,2.25,-2.09,-0.001,52,-0.016,0.029,9,0,0,0,0,0,0,0,0.6111111111111112,0.8235294117647058,0.5,0.1388888888888889,1.4444444444444444,4.555555555555555,10.5,-0.1111111111111111,-1.0555555555555556,1.3611111111111112,-2.388888888888889,3.75,5.333333333333333,-1.75,-8.38888888888889,1.0277777777777777
2,Air Force,0.379,-5.67,1.33,-0.027,144,0.021,-0.1109999999999999,-7,0,0,0,0,0,0,0,0.23529411764705882,0.5384615384615384,0.16666666666666666,2.0,4.9655172413793105,-1.4482758620689655,-0.27586206896551724,-6.103448275862069,-6.103448275862069,-2.6551724137931036,-6.413793103448276,1.5517241379310345,0.06896551724137931,-0.3103448275862069,0.7586206896551724,1.2413793103448276
3,Akron,0.706,0.91,-3.93,0.038,90,0.0119999999999999,-0.017,8,0,0,0,0,0,0,0,0.7,0.8,0.6666666666666666,1.1764705882352942,2.6470588235294117,1.2941176470588236,-1.7058823529411764,4.235294117647059,6.5,1.1470588235294117,3.9705882352941178,2.2058823529411766,0.35294117647058826,0.9705882352941176,-0.35294117647058826,-3.1470588235294117
4,Alabama,0.576,14.62,11.59,0.003,262,-0.029,0.013,3,0,0,0,1,0,0,0,0.5,0.8125,0.3,1.8181818181818181,7.9393939393939394,0.7272727272727273,1.3333333333333333,-0.24242424242424243,-0.7272727272727273,1.9393939393939394,3.515151515151515,2.212121212121212,-0.7575757575757576,0.9696969696969697,1.3636363636363635,0.21212121212121213
5,Alabama A&M,0.4,-14.43,-8.86,-0.022,-265,-0.0489999999999999,0.0289999999999999,-6,0,0,0,0,0,0,0,0.5555555555555556,0.7,0.2222222222222222,-3.533333333333333,-8.833333333333334,-2.066666666666667,-1.9333333333333333,2.1,2.2666666666666666,-0.8,-1.8,-4.0,-0.5,0.3333333333333333,-0.03333333333333333,-0.8
6,Alabama State,0.323,-12.05,-5.45,-0.015,-122,0.003,-0.025,-6,0,0,0,0,0,0,0,0.4444444444444444,0.5384615384615384,0.16666666666666666,-1.2258064516129032,-3.935483870967742,-2.2903225806451615,-3.2580645161290325,0.25806451612903225,1.096774193548387,-1.2258064516129032,-2.3870967741935485,-2.193548387096774,-0.16129032258064516,-0.2903225806451613,1.2903225806451613,0.1935483870967742
7,Albany (NY),0.419,-9.8,-5.77,-0.029,-70,-0.0319999999999999,-0.018,-5,0,0,0,0,0,0,0,0.5,0.3333333333333333,0.47058823529411764,-1.3870967741935485,-2.2580645161290325,-0.1935483870967742,3.225806451612903,-2.2580645161290325,-2.774193548387097,0.5161290322580645,-2.161290322580645,-3.096774193548387,1.4838709677419355,-1.903225806451613,-1.2903225806451613,3.096774193548387
8,Alcorn State,0.5,-8.68,-4.12,-0.034,-95,-0.0279999999999999,-0.024,-5,0,0,0,0,0,0,0,0.7777777777777778,0.6666666666666666,0.4090909090909091,-1.4411764705882353,-2.7941176470588234,-0.7941176470588235,2.7058823529411766,-1.5294117647058822,-1.5,2.4705882352941178,1.5294117647058822,-3.5,0.5588235294117647,-1.3529411764705883,0.8235294117647058,0.6470588235294118
9,American,0.313,-15.38,-7.91,-0.0229999999999999,-127,-0.0159999999999999,0.002,-8,0,0,0,0,0,0,0,0.2777777777777778,0.5454545454545454,0.2,-1.625,-3.96875,-2.125,-1.78125,-1.59375,-2.34375,-0.84375,-2.4375,-1.34375,-0.21875,-0.15625,1.875,0.6875
10,Appalachian State,0.559,-1.45,-1.45,-0.001,112,0.026,-0.0949999999999999,3,0,0,0,0,0,0,0,0.6666666666666666,0.6875,0.46153846153846156,1.6470588235294117,3.2941176470588234,0.47058823529411764,1.2352941176470589,1.3823529411764706,3.823529411764706,1.3823529411764706,0.5882352941176471,-0.6176470588235294,0.4117647058823529,-0.5882352941176471,-1.6764705882352942,-2.3823529411764706
11,Arizona,0.892,22.75,6.84,0.1049999999999999,-18,0.0239999999999999,0.0649999999999999,15,0,0,0,0,0,0,1,0.9,1.0,0.75,0.3783783783783784,-0.4864864864864865,5.108108108108108,-3.5405405405405403,5.324324324324325,5.837837837837838,-0.32432432432432434,7.5675675675675675,7.783783783783784,-0.21621621621621623,2.7837837837837838,0.6756756756756757,-2.081081081081081
12,Arizona State,0.452,7.64,9.48,0.0139999999999999,-40,-0.004,-0.0599999999999999,-2,0,0,0,0,0,0,0,0.5,0.6,0.4166666666666667,-0.4838709677419355,-1.2903225806451613,1.8387096774193548,2.4516129032258065,-5.032258064516129,-5.903225806451613,-1.935483870967742,-4.258064516129032,0.06451612903225806,0.5483870967741935,1.096774193548387,-1.5806451612903225,2.935483870967742
13,Arkansas,0.757,16.27,8.62,0.022,-62,-0.02,0.029,7,0,0,0,1,0,0,1,0.7222222222222222,0.9444444444444444,0.5555555555555556,-0.972972972972973,-1.6756756756756757,2.4864864864864864,2.864864864864865,3.6486486486486487,4.108108108108108,1.7027027027027026,2.918918918918919,1.2972972972972974,1.0,0.6756756756756757,-2.6216216216216215,-2.6216216216216215
14,Arkansas State,0.621,-3.27,-3.5,0.023,-54,-0.018,0.043,2,0,0,0,0,0,0,0,0.5333333333333333,0.7857142857142857,0.46153846153846156,-0.9310344827586207,-1.8620689655172413,0.7931034482758621,-1.103448275862069,2.1379310344827585,1.896551724137931,0.10344827586206896,2.103448275862069,3.793103448275862,0.7931034482758621,0.10344827586206896,0.13793103448275862,-0.6206896551724138
15,Arkansas-Pine Bluff,0.226,-18.96,-4.58,-0.086,147,-0.059,-0.013,-12,0,0,0,0,0,0,0,0.2777777777777778,0.4166666666666667,0.10526315789473684,0.3548387096774194,4.741935483870968,-6.0,-2.4193548387096775,-0.3225806451612903,-0.0967741935483871,-2.2580645161290325,-8.387096774193548,-4.096774193548387,-0.3548387096774194,-0.8709677419354839,-0.1935483870967742,0.45161290322580644
16,Army,0.484,-10.53,-7.53,-0.005,-98,-0.0339999999999999,-0.04,0,0,0,0,0,0,0,0,0.5,0.7142857142857143,0.25,-1.8387096774193548,-3.161290322580645,-0.4838709677419355,-0.4838709677419355,2.838709677419355,5.354838709677419,1.7096774193548387,1.935483870967742,-1.8064516129032258,0.22580645161290322,-2.3225806451612905,-0.7096774193548387,-2.096774193548387
17,Auburn,0.824,19.2,8.17,0.0489999999999999,137,0.008,-0.002,11,0,0,0,1,0,0,0,0.8333333333333334,1.0,0.7272727272727273,1.4411764705882353,4.029411764705882,4.882352941176471,4.470588235294118,-0.17647058823529413,-0.17647058823529413,1.5588235294117647,3.911764705882353,3.5,0.8529411764705882,4.147058823529412,-2.411764705882353,0.9705882352941176
18,Austin Peay,0.414,-10.02,-3.39,-0.057,141,-0.022,0.0199999999999999,-5,0,0,0,0,0,0,0,0.4444444444444444,0.5454545454545454,0.35294117647058826,1.103448275862069,4.862068965517241,-1.7586206896551724,3.1724137931034484,-2.0344827586206895,-3.413793103448276,1.0,-1.896551724137931,0.13793103448275862,-0.6206896551724138,-1.4482758620689655,-0.3103448275862069,0.20689655172413793
19,Ball State,0.452,-7.99,-4.56,-0.003,-61,0.0,-0.024,-3,0,0,0,0,0,0,0,0.47368421052631576,0.6428571428571429,0.3076923076923077,-0.7096774193548387,-1.967741935483871,-1.3548387096774193,-2.6451612903225805,0.967741935483871,2.064516129032258,-0.3548387096774194,-0.5161290322580645,-0.16129032258064516,-1.3225806451612903,-0.4838709677419355,1.5483870967741935,-1.8064516129032258
20,Baylor,0.794,21.73,8.76,0.039,114,0.041,-0.006,12,0,1,0,0,0,0,1,0.7777777777777778,0.8823529411764706,0.7272727272727273,1.9705882352941178,3.3529411764705883,4.735294117647059,5.617647058823529,1.5294117647058822,2.323529411764706,3.0,4.794117647058823,2.764705882352941,2.323529411764706,0.6470588235294118,-3.4705882352941178,-0.6176470588235294
21,Bellarmine,0.606,-3.77,-1.28,0.0339999999999999,-80,0.001,0.044,2,0,0,0,0,0,0,0,0.6875,0.7333333333333333,0.5,-0.7878787878787878,-2.4242424242424243,2.696969696969697,1.7272727272727273,-1.6666666666666667,-3.090909090909091,-1.7575757575757576,-2.121212121212121,2.0303030303030303,0.6363636363636364,-0.5151515151515151,-2.3333333333333335,-0.2727272727272727
22,Belmont,0.758,6.49,-2.57,0.0579999999999999,74,-0.009,0.036,9,0,0,0,0,0,0,0,0.8333333333333334,0.9285714285714286,0.6666666666666666,0.5151515151515151,2.242424242424242,3.606060606060606,0.36363636363636365,1.9393939393939394,1.9393939393939394,-2.0303030303030303,-0.12121212121212122,4.666666666666667,2.3636363636363638,0.5151515151515151,-3.121212121212121,-0.7878787878787878
23,Bethune-Cookman,0.3,-14.7,-6.7,-0.032,-185,0.009,-0.048,-7,0,0,0,0,0,0,0,0.3888888888888889,0.4,0.23529411764705882,-1.9,-6.166666666666667,-0.8333333333333334,2.1666666666666665,-2.6,-2.466666666666667,0.3333333333333333,-2.3666666666666667,-2.566666666666667,1.1666666666666667,-2.2,-0.6,1.3333333333333333
24,Binghamton,0.414,-10.41,-6.18,0.012,-23,0.0239999999999999,-0.006,-1,0,0,0,0,0,0,0,0.4444444444444444,0.38461538461538464,0.4375,0.2413793103448276,-0.7931034482758621,0.8620689655172413,0.41379310344827586,-2.689655172413793,-3.896551724137931,-0.3103448275862069,0.7586206896551724,0.8275862068965517,-1.0,0.27586206896551724,1.5172413793103448,2.310344827586207
25,Boise State,0.771,11.93,5.22,0.018,133,0.0189999999999999,-0.0699999999999999,7,0,0,0,0,0,0,0,0.8333333333333334,0.8125,0.75,1.6571428571428573,3.8,1.6,1.5714285714285714,2.5428571428571427,5.4,3.257142857142857,4.685714285714286,1.542857142857143,0.8,0.5714285714285714,-1.1142857142857143,-4.171428571428572
26,Boston College,0.394,4.03,5.22,-0.021,-39,-0.0549999999999999,-0.039,-2,0,0,1,0,0,0,0,0.3,0.5625,0.16666666666666666,-1.4545454545454546,-1.1818181818181819,0.45454545454545453,3.6363636363636362,-0.6363636363636364,0.030303030303030304,2.484848484848485,1.2121212121212122,0.15151515151515152,0.45454545454545453,-1.0,-0.5151515151515151,-0.8181818181818182
27,Boston University,0.629,-5.07,-7.34,0.004,98,0.0179999999999999,0.01,2,0,0,0,0,0,0,0,0.6111111111111112,0.7333333333333333,0.5,1.3142857142857143,2.8,0.5428571428571428,0.7142857142857143,0.4857142857142857,0.45714285714285713,2.2285714285714286,4.371428571428571,-0.9714285714285714,-1.3428571428571427,-1.3714285714285714,1.0,-0.9428571428571428
28,Bowling Green State,0.419,-8.82,-4.44,-0.013,-100,-0.0089999999999999,-0.008,-1,0,0,0,0,0,0,0,0.3,0.5625,0.23076923076923078,-1.3548387096774193,-3.225806451612903,-0.0967741935483871,1.6129032258064515,1.3225806451612903,1.967741935483871,1.1935483870967742,0.45161290322580644,-1.8387096774193548,1.0,0.7741935483870968,-0.8709677419354839,-0.2903225806451613
29,Bradley,0.548,5.79,1.19,0.0389999999999999,58,0.018,-0.055,5,0,0,0,0,0,0,0,0.6111111111111112,0.8571428571428571,0.2727272727272727,1.0,1.8709677419354838,3.032258064516129,1.935483870967742,-1.7741935483870968,-1.1935483870967742,2.935483870967742,6.935483870967742,3.5483870967741935,-1.0,2.3548387096774195,1.1935483870967742,0.9032258064516129
30,Brigham Young,0.686,10.05,5.23,0.038,22,0.0469999999999999,0.0329999999999999,5,0,0,0,0,0,0,0,0.6,0.8235294117647058,0.5454545454545454,1.2571428571428571,0.6285714285714286,2.8,1.3142857142857143,-0.9428571428571428,-2.142857142857143,2.3714285714285714,6.942857142857143,2.7142857142857144,-1.3142857142857143,0.2857142857142857,1.8857142857142857,0.8571428571428571
31,Brown,0.448,-3.32,-1.91,-0.006,51,-0.024,0.013,1,0,0,0,0,0,0,0,0.35714285714285715,0.46153846153846156,0.46153846153846156,0.034482758620689655,1.7586206896551724,0.7241379310344828,2.4482758620689653,0.0,-0.3448275862068966,1.1379310344827587,0.9310344827586207,0.7586206896551724,0.3793103448275862,1.3793103448275863,-1.0,-0.27586206896551724
32,Bryant,0.688,-4.8,-7.41,0.023,156,-0.013,0.0449999999999999,4,0,0,0,0,0,0,0,0.8823529411764706,0.9333333333333333,0.5,1.1875,4.875,0.0,-3.375,3.46875,3.71875,-0.375,2.8125,-1.21875,-0.78125,0.125,1.71875,-1.0
33,Bucknell,0.281,-14.62,-6.37,-0.009,-107,0.003,0.016,-9,0,0,0,0,0,0,0,0.2777777777777778,0.5384615384615384,0.11764705882352941,-1.1875,-3.34375,-4.125,-7.75,1.1875,1.25,-3.75,-3.90625,-1.03125,-3.84375,0.21875,3.90625,0.0625
34,Buffalo,0.633,1.9,-3.21,0.032,136,0.026,0.005,7,0,0,0,0,0,0,0,0.6842105263157895,0.75,0.6,2.066666666666667,4.533333333333333,3.1333333333333333,2.433333333333333,-0.6666666666666666,-1.0666666666666667,3.3333333333333335,7.7,3.533333333333333,1.0,1.2333333333333334,1.1333333333333333,0.5
35,Butler,0.424,4.45,9.16,-0.018,52,-0.005,-0.016,-4,0,0,0,0,1,0,0,0.3,0.5625,0.2727272727272727,0.36363636363636365,1.5757575757575757,-1.606060606060606,-1.4848484848484849,-0.24242424242424243,0.030303030303030304,-0.09090909090909091,-1.1515151515151516,-1.0303030303030303,-0.48484848484848486,-1.8484848484848484,0.6666666666666666,-0.24242424242424243
36,Cal Poly,0.25,-10.6,-3.3,-0.005,-47,-0.069,-0.02,-6,0,0,0,0,0,0,0,0.25,0.36363636363636365,0.14285714285714285,-1.8571428571428572,-1.6785714285714286,-1.4642857142857142,-2.857142857142857,-1.0714285714285714,-0.9285714285714286,-0.03571428571428571,1.75,-0.6428571428571429,-1.5,-0.07142857142857142,3.0,0.0
37,Cal State Bakersfield,0.321,-7.57,-2.01,-0.013,-194,-0.064,-0.033,-2,0,0,0,0,0,0,0,0.125,0.46153846153846156,0.15384615384615385,-3.2857142857142856,-6.928571428571429,3.1785714285714284,9.035714285714286,-4.535714285714286,-5.357142857142857,4.142857142857143,3.6785714285714284,-1.25,0.75,0.14285714285714285,-2.1785714285714284,2.7142857142857144
38,Cal State Fullerton,0.656,-0.04,-2.28,0.005,-130,-0.0469999999999999,0.065,3,0,0,0,0,0,0,0,0.7058823529411765,0.8461538461538461,0.5,-2.3125,-4.0625,0.375,0.28125,5.0,5.3125,0.78125,1.40625,-2.09375,1.125,-1.375,-1.75,-3.375
39,Cal State Northridge,0.233,-12.02,-1.41,-0.0489999999999999,-126,-0.03,-0.0789999999999999,-10,0,0,0,0,0,0,0,0.16666666666666666,0.26666666666666666,0.21428571428571427,-1.9,-4.2,-2.2666666666666666,1.0666666666666667,-3.2333333333333334,-2.533333333333333,-0.7333333333333333,-5.466666666666667,-5.2,1.6333333333333333,-0.13333333333333333,-0.9,2.3
40,California,0.375,3.96,6.96,-0.001,-55,-0.001,-0.032,-3,0,0,0,0,0,0,1,0.25,0.5555555555555556,0.18181818181818182,-0.5625,-1.71875,0.25,0.625,-2.9375,-3.28125,0.6875,1.25,0.875,-0.9375,-0.78125,1.625,2.21875
41,California Baptist,0.529,-3.53,-3.34,0.022,162,0.015,-0.012,3,0,0,0,0,0,0,0,0.3888888888888889,0.7368421052631579,0.25,1.8823529411764706,4.764705882352941,0.35294117647058826,-2.176470588235294,0.8823529411764706,1.6470588235294117,0.35294117647058826,2.5294117647058822,3.3823529411764706,-1.088235294117647,0.6764705882352942,1.6176470588235294,-1.0588235294117647
42,Campbell,0.552,-4.84,-5.76,0.033,-23,-0.0259999999999999,0.027,4,0,0,0,0,0,0,0,0.5,0.6923076923076923,0.38461538461538464,-0.7931034482758621,-0.7931034482758621,2.103448275862069,0.7241379310344828,0.7586206896551724,0.5517241379310345,-1.0344827586206897,-0.3448275862068966,3.4482758620689653,0.27586206896551724,-0.6206896551724138,-1.7241379310344827,-1.7241379310344827
43,Canisius,0.344,-7.48,-2.25,-0.06,186,0.0,-0.034,-3,0,0,0,0,0,0,0,0.35,0.6666666666666666,0.0625,1.78125,5.8125,-2.09375,3.3125,-0.59375,0.03125,2.5,-1.0,-0.0625,0.8125,-1.78125,-1.125,0.3125
44,Central Arkansas,0.355,-13.83,-1.7,-0.0329999999999999,-28,-0.0459999999999999,0.04,-8,0,0,0,0,0,0,0,0.4375,0.6666666666666666,0.17647058823529413,-1.3225806451612903,-0.9032258064516129,-1.967741935483871,0.2903225806451613,-2.6774193548387095,-4.516129032258065,-0.5161290322580645,-1.967741935483871,-1.3548387096774193,-0.8709677419354839,-0.1935483870967742,1.2903225806451613,2.4516129032258065
45,Central Connecticut State,0.25,-17.43,-7.09,-0.068,-30,-0.0059999999999999,-0.002,-11,0,0,0,0,0,0,0,0.23529411764705882,0.36363636363636365,0.21052631578947367,-0.46875,-0.9375,-4.75,-2.28125,-0.375,-0.5,-1.28125,-4.625,-3.25,-0.84375,-1.5625,1.15625,0.8125
46,Central Florida,0.6,6.23,4.63,0.0,46,0.0379999999999999,-0.034,1,0,0,0,0,0,0,0,0.5,0.8125,0.3333333333333333,1.4333333333333333,1.5333333333333334,0.5333333333333333,1.1666666666666667,-0.8333333333333334,-0.36666666666666664,0.3,-0.36666666666666664,1.2333333333333334,-0.13333333333333333,0.36666666666666664,-1.1,-0.5666666666666667
47,Central Michigan,0.233,-12.56,-1.52,-0.048,-64,-0.0069999999999999,-0.011,-12,0,0,0,0,0,0,0,0.3333333333333333,0.18181818181818182,0.3125,-0.9,-2.1333333333333333,-3.6,-2.0,-2.933333333333333,-3.9,-1.7333333333333334,-4.833333333333333,-3.0,-0.1,-0.26666666666666666,2.1,2.8
48,Charleston Southern,0.194,-17.56,-4.21,-0.056,137,-0.0399999999999999,-0.0689999999999999,-8,0,0,0,0,0,0,0,0.0625,0.3076923076923077,0.07142857142857142,0.4838709677419355,4.419354838709677,-3.5161290322580645,-0.3548387096774194,-1.0,0.3225806451612903,1.8387096774193548,0.06451612903225806,-2.5806451612903225,-1.2580645161290323,0.0967741935483871,2.096774193548387,-0.8064516129032258
49,Charlotte,0.548,-1.62,-0.42,-0.001,37,-0.017,0.024,-2,0,0,0,0,0,0,0,0.5555555555555556,0.7333333333333333,0.5,0.06451612903225806,1.1935483870967742,-0.9354838709677419,-1.935483870967742,0.6129032258064516,0.3225806451612903,-1.1612903225806452,-1.2580645161290323,1.7741935483870968,-0.8064516129032258,-0.12903225806451613,0.1935483870967742,-0.7741935483870968
50,Chattanooga,0.771,6.12,-0.94,0.042,6,0.0479999999999999,0.058,9,0,0,0,0,0,0,0,0.7777777777777778,0.8,0.75,1.1428571428571428,0.17142857142857143,3.6,2.6857142857142855,1.457142857142857,0.8,1.8285714285714285,4.942857142857143,2.1142857142857143,1.6,-1.3142857142857143,-1.2857142857142858,0.9714285714285714
51,Chicago State,0.219,-14.24,-1.96,-0.072,148,-0.089,-0.0709999999999999,-13,0,0,0,0,0,0,0,0.16666666666666666,0.35714285714285715,0.11764705882352941,-0.34375,4.625,-3.65625,0.78125,-4.625,-4.78125,-0.125,-2.375,-5.0,-1.125,-1.1875,2.125,2.03125
52,Cincinnati,0.545,7.44,4.28,0.001,270,0.003,-0.0509999999999999,3,0,0,0,0,0,0,2,0.3888888888888889,0.6666666666666666,0.36363636363636365,2.6363636363636362,8.181818181818182,1.4545454545454546,3.484848484848485,-2.0606060606060606,-1.5757575757575757,0.9090909090909091,-0.3333333333333333,1.0,0.5757575757575758,0.45454545454545453,-1.9696969696969697,1.0606060606060606
53,Clemson,0.515,9.59,6.31,0.03,-86,0.0299999999999999,-0.027,3,0,0,1,0,0,0,0,0.4,0.6875,0.2727272727272727,-0.24242424242424243,-2.606060606060606,1.8181818181818181,0.30303030303030304,-0.12121212121212122,0.45454545454545453,0.21212121212121213,1.8484848484848484,2.121212121212121,0.5151515151515151,-1.393939393939394,-0.3333333333333333,-0.2727272727272727
54,Cleveland State,0.645,-1.78,-5.64,0.0569999999999999,-157,0.008,-0.0819999999999999,5,0,0,0,0,0,0,0,0.7142857142857143,0.8333333333333334,0.4166666666666667,-1.4516129032258065,-5.064516129032258,3.5806451612903225,0.6774193548387096,-0.2903225806451613,1.8709677419354838,0.2903225806451613,2.5483870967741935,3.5483870967741935,1.096774193548387,-0.22580645161290322,-1.8064516129032258,1.4193548387096775
55,Coastal Carolina,0.576,0.66,-2.41,0.061,-212,0.0529999999999999,-0.012,7,0,0,0,0,0,0,0,0.5,0.65,0.5,-0.8181818181818182,-6.424242424242424,3.0303030303030303,-1.393939393939394,2.272727272727273,3.515151515151515,1.1515151515151516,5.818181818181818,0.6363636363636364,-0.45454545454545453,0.8787878787878788,0.9696969696969697,-1.3333333333333333
56,Colgate,0.657,0.98,-6.37,0.0489999999999999,129,0.069,0.0199999999999999,8,0,0,0,0,0,0,0,0.8888888888888888,0.9375,0.4444444444444444,2.942857142857143,3.6857142857142855,2.3142857142857145,-1.2285714285714286,0.9142857142857143,0.8857142857142857,-0.3142857142857143,2.6285714285714286,3.6,-0.2571428571428571,0.7142857142857143,0.45714285714285713,-0.4
