Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Amir Abdur-Rahim,Kennesaw State,A-Sun,,13,18,0.419,,,,,2019-20,19,65,0.226,,,,,,19,65,0.226,,,,
Lennie Acuff,Lipscomb,A-Sun,,14,19,0.424,,,,,2019-20,45,47,0.489,,,,,,45,47,0.489,,,,
Mark Adams,Texas Tech,Big 12,,27,10,0.73,,12.0,Lost Regional Semifinal,,2021-22,27,10,0.73,1.0,1.0,,,,71,100,0.415,1.0,1.0,,
John Aiken,McNeese State,Southland,,11,22,0.333,,,,,2021-22,11,22,0.333,,,,,,11,22,0.333,,,,
Griff Aldrich,Longwood,Big South,,26,7,0.788,,,Lost First Round,,2018-19,68,60,0.531,1.0,,,,,68,60,0.531,1.0,,,
Casey Alexander,Belmont,OVC,,25,8,0.758,,,,,2019-20,77,19,0.802,,,,,,214,139,0.606,1.0,,,
Steve Alford,Nevada,MWC,,13,18,0.419,,,,,2019-20,48,40,0.545,,,,,,557,309,0.643,11.0,4.0,,
Jimmy Allen,Army,Patriot,,15,16,0.484,,,,,2016-17,81,96,0.458,,,,,,81,96,0.458,,,,
Dana Altman,Oregon,Pac-12,,20,15,0.571,13.0,,,,2010-11,300,125,0.706,7.0,5.0,1.0,,,710,368,0.659,15.0,5.0,1.0,
Tommy Amaker,Harvard,Ivy,,13,13,0.5,,,,,2007-08,264,152,0.635,4.0,,,,,440,291,0.602,5.0,1.0,,
Mike Anderson Sr,St. John's (NY),Big East,,17,15,0.531,,,,,2019-20,50,41,0.549,,,,,,419,241,0.635,9.0,2.0,,
Kevin Baggett,Rider,MAAC,,14,19,0.424,,,,,2012-13,161,152,0.514,,,,,,161,152,0.514,,,,
Mike Balado,Arkansas State,Sun Belt,,18,11,0.621,,,,,2017-18,69,80,0.463,,,,,,69,80,0.463,,,,
Pat Baldwin,Milwaukee,Horizon,,10,22,0.312,,,,,2017-18,57,92,0.383,,,,,,57,92,0.383,,,,
Jeremy Ballard,Florida International,CUSA,,15,17,0.469,,,,,2018-19,63,61,0.508,,,,,,63,61,0.508,,,,
Tony Barbee,Central Michigan,MAC,,7,23,0.233,,,,,2021-22,7,23,0.233,,,,,,138,150,0.479,1.0,,,
Rick Barnes,Tennessee,SEC,,27,8,0.771,18.0,5.0,Lost Second Round,,2015-16,150,81,0.649,4.0,1.0,,,,754,395,0.656,26.0,7.0,1.0,
Rod Barnes,Cal State Bakersfield,Big West,,9,19,0.321,,,,,2011-12,172,171,0.501,1.0,,,,,358,360,0.499,4.0,1.0,,
Brian Barone,SIU Edwardsville,OVC,,11,21,0.344,,,,,2019-20,28,61,0.315,,,,,,28,61,0.315,,,,
Richard Barron,Maine,AEC,,5,20,0.2,,,,,2018-19,21,76,0.216,,,,,,21,76,0.216,,,,
Clayton Bates,Western Michigan,MAC,,8,23,0.258,,,,,2020-21,13,39,0.25,,,,,,13,39,0.25,,,,
Duggar Baucom,The Citadel,Southern,,13,18,0.419,,,,,2015-16,77,136,0.362,,,,,,228,295,0.436,,,,
Chris Beard,Texas,Big 12,,22,12,0.647,5.0,25.0,Lost Second Round,,2021-22,22,12,0.647,1.0,,,,,164,72,0.695,5.0,2.0,1.0,
John Becker,Vermont,AEC,,28,6,0.824,,,Lost First Round,,2011-12,257,102,0.716,4.0,,,,,257,102,0.716,4.0,,,
Randy Bennett,Saint Mary's (CA),WCC,,26,8,0.765,,18.0,Lost Second Round,,2001-02,480,200,0.706,8.0,1.0,,,,480,200,0.706,8.0,1.0,,
Tony Bennett,Virginia,ACC,,21,14,0.6,25.0,,,,2009-10,316,117,0.73,8.0,3.0,1.0,1.0,,385,150,0.72,10.0,4.0,1.0,1.0
Kenneth Blakeney,Howard,MEAC,,16,13,0.552,,,,,2019-20,21,46,0.313,,,,,,21,46,0.313,,,,
Jeff Boals,Ohio,MAC,,25,10,0.714,,,,,2019-20,59,33,0.641,1.0,,,,,114,75,0.603,1.0,,,
Jim Boeheim *,Syracuse,ACC,,16,17,0.485,,,,,1976-77,1099,426,0.721,35.0,20.0,5.0,1.0,,1099,426,0.721,35.0,20.0,5.0,1.0
Anthony Boone,Central Arkansas,A-Sun,,11,20,0.355,,,,,2019-20,25,51,0.329,,,,,,25,51,0.329,,,,
Tad Boyle,Colorado,Pac-12,,21,12,0.636,,,,,2010-11,254,155,0.621,5.0,,,,,310,221,0.584,5.0,,,
Michael Boynton,Oklahoma State,Big 12,,15,15,0.5,,,,,2017-18,87,73,0.544,1.0,,,,,87,73,0.544,1.0,,,
Solomon Bozeman,Arkansas-Pine Bluff,SWAC,,7,24,0.226,,,,,2021-22,7,24,0.226,,,,,,7,24,0.226,,,,
Glenn Braica,St. Francis (NY),NEC,,10,20,0.333,,,,,2010-11,164,200,0.451,,,,,,164,200,0.451,,,,
Mike Brennan,American,Patriot,,10,22,0.312,,,,,2013-14,108,151,0.417,1.0,,,,,108,151,0.417,1.0,,,
Wayne Brent,Jackson State,SWAC,,11,19,0.367,,,,,2013-14,119,156,0.433,,,,,,119,156,0.433,,,,
Mike Brey,Notre Dame,ACC,,24,11,0.686,,,Lost Second Round,,2000-01,472,259,0.646,13.0,3.0,,,,571,311,0.647,15.0,3.0,,
Kevin Broadus,Morgan State,MEAC,,13,15,0.464,,,,,2019-20,42,39,0.519,,,,,,79,64,0.552,1.0,,,
Alvin Brooks,Lamar,WAC,,2,27,0.069,,,,,2021-22,2,27,0.069,,,,,,56,111,0.335,,,,
Isaac Brown,Wichita State,AAC,,15,13,0.536,,,,,2020-21,31,19,0.62,1.0,,,,,31,19,0.62,1.0,,,
Brad Brownell,Clemson,ACC,,17,16,0.515,,,,,2010-11,218,166,0.568,3.0,1.0,,,,385,251,0.605,6.0,1.0,,
Shane Burcar,Northern Arizona,Big Sky,,9,23,0.281,,,,,2019-20,31,53,0.369,,,,,,31,53,0.369,,,,
Brian Burg,Georgia Southern,Sun Belt,,13,16,0.448,,,,,2020-21,26,29,0.473,,,,,,26,29,0.473,,,,
Rashon Burno,Northern Illinois,MAC,,9,21,0.3,,,,,2021-22,9,21,0.3,,,,,,9,21,0.3,,,,
Landon Bussie,Alcorn State,SWAC,,17,17,0.5,,,,,2020-21,23,30,0.434,,,,,,23,30,0.434,,,,
Mark Byington,James Madison,CAA,,15,14,0.517,,,,,2020-21,28,21,0.571,,,,,,159,118,0.574,,,,
Jerrod Calhoun,Youngstown State,Horizon,,19,15,0.559,,,,,2017-18,72,86,0.456,,,,,,72,86,0.456,,,,
John Calipari *,Kentucky,SEC,,26,8,0.765,10.0,7.0,Lost First Round,,2009-10,365,101,0.783,10.0,8.0,4.0,1.0,,810,241,0.771,21.0,15.0,6.0,1.0
Jeff Capel III *,Pittsburgh,ACC,,11,21,0.344,,,,,2018-19,51,69,0.425,,,,,,226,179,0.558,3.0,1.0,,
Jamion Christian,George Washington,A-10,,12,18,0.4,,,,,2019-20,29,50,0.367,,,,,,147,161,0.477,2.0,,,
Austin Claunch,Nicholls State,Southland,,21,12,0.636,,,,,2018-19,74,46,0.617,,,,,,74,46,0.617,,,,
Zac Claus,Idaho,Big Sky,,9,22,0.29,,,,,2019-20,18,67,0.212,,,,,,18,67,0.212,,,,
Speedy Claxton,Hofstra,CAA,,21,11,0.656,,,,,2021-22,21,11,0.656,,,,,,21,11,0.656,,,,
Jase Coburn,Portland State,Big Sky,,14,17,0.452,,,,,2021-22,14,17,0.452,,,,,,14,17,0.452,,,,
Bill Coen,Northeastern,CAA,,9,22,0.29,,,,,2006-07,260,244,0.516,2.0,,,,,260,244,0.516,2.0,,,
Jon Coffman,Purdue Fort Wayne,Horizon,,21,12,0.636,,,,,2014-15,139,114,0.549,,,,,,139,114,0.549,,,,
Brian Collins,Tennessee State,OVC,,14,18,0.438,,,,,2018-19,45,73,0.381,,,,,,45,73,0.381,,,,
Chris Collins,Northwestern,Big Ten,,15,16,0.484,,,,,2013-14,133,150,0.47,1.0,,,,,133,150,0.47,1.0,,,
Ed Cooley,Providence,Big East,,27,6,0.818,,13.0,Lost Regional Semifinal,,2011-12,221,141,0.61,6.0,1.0,,,,313,210,0.598,6.0,1.0,,
Ron Cottrell,Houston Christian,Southland,,11,18,0.379,,,,,2008-09,137,286,0.324,,,,,,137,286,0.324,,,,
David Cox,Rhode Island,A-10,,15,16,0.484,,,,,2018-19,64,55,0.538,,,,,,64,55,0.538,,,,
Tim Craft,Gardner-Webb,Big South,,18,13,0.581,,,,,2013-14,156,134,0.538,1.0,,,,,156,134,0.538,1.0,,,
Jason Crafton,Maryland-Eastern Shore,MEAC,,11,16,0.407,,,,,2019-20,16,43,0.271,,,,,,16,43,0.271,,,,
Tom Crean,Georgia,SEC,,6,26,0.188,,,,,2018-19,47,75,0.385,,,,,,403,306,0.568,9.0,4.0,1.0,
Matt Crenshaw,IUPUI,Horizon,,3,26,0.103,,,,,2021-22,3,26,0.103,,,,,,3,26,0.103,,,,
Mick Cronin,UCLA,Pac-12,,27,8,0.771,2.0,11.0,Lost Regional Semifinal,,2019-20,68,30,0.694,2.0,2.0,1.0,,,433,201,0.683,13.0,3.0,1.0,
Scott Cross,Troy,Sun Belt,,20,12,0.625,,,,,2019-20,40,51,0.44,,,,,,265,212,0.556,1.0,,,
Rick Croy,California Baptist,WAC,,18,16,0.529,,,,,2018-19,68,51,0.571,,,,,,68,51,0.571,,,,
Carson Cunningham,Incarnate Word,Southland,,7,25,0.219,,,,,2018-19,30,86,0.259,,,,,,30,86,0.259,,,,
Dan D'Antoni II,Marshall,CUSA,,12,21,0.364,,,,,2014-15,140,120,0.538,1.0,,,,,140,120,0.538,1.0,,,
Keith Dambrot,Duquesne,A-10,,6,24,0.2,,,,,2017-18,71,71,0.5,,,,,,396,244,0.619,3.0,,,
Scott Davenport,Bellarmine,A-Sun,,20,13,0.606,,,,,2020-21,34,21,0.618,,,,,,34,21,0.618,,,,
Hubert Davis,North Carolina,ACC,,29,10,0.744,19.0,,Lost National Final,,2021-22,29,10,0.744,1.0,1.0,1.0,,,29,10,0.744,1.0,1.0,1.0,
Kermit Davis Jr,Mississippi,SEC,,13,19,0.406,,,,,2018-19,64,61,0.512,1.0,,,,,467,299,0.61,6.0,,,
Mike Davis,Detroit Mercy,Horizon,,14,16,0.467,,,,,2018-19,45,69,0.395,,,,,,397,310,0.562,9.0,1.0,1.0,
Nathan Davis,Bucknell,Patriot,,9,23,0.281,,,,,2015-16,117,95,0.552,2.0,,,,,117,95,0.552,2.0,,,
Johnny Dawkins Jr,Central Florida,AAC,,18,12,0.6,,,,,2016-17,112,72,0.609,1.0,,,,,268,187,0.589,2.0,1.0,,
Ed DeChellis,Navy,Patriot,,21,11,0.656,,,,,2011-12,150,180,0.455,,,,,,369,411,0.473,2.0,,,
Travis DeCuire,Montana,Big Sky,,18,14,0.562,,,,,2014-15,160,98,0.62,2.0,,,,,160,98,0.62,2.0,,,
Darian DeVries,Drake,MVC,,25,11,0.694,,,,,2018-19,95,40,0.704,1.0,,,,,95,40,0.704,1.0,,,
Dave Dickerson,South Carolina Upstate,Big South,,15,17,0.469,,,,,2018-19,39,81,0.325,,,,,,107,165,0.393,,,,
Jamie Dixon,TCU,Big 12,,21,13,0.618,,,Lost Second Round,,2016-17,117,84,0.582,2.0,,,,,445,207,0.683,13.0,3.0,,
Juan Dixon,Coppin State,MEAC,,9,23,0.281,,,,,2017-18,42,108,0.28,,,,,,42,108,0.28,,,,
Steve Donahue,Pennsylvania,Ivy,,12,16,0.429,,,,,2015-16,95,80,0.543,1.0,,,,,295,294,0.501,4.0,1.0,,
