Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,36,25,11,.694,2.25,-2.09,,11,7,,14,3,,6,6,,2761,2432,,71.9,92.7,.485,.405,.555,51.8,51.5,7.6,9.4,.507,25.6,29.6,.351
2,Air Force,29,11,18,.379,-5.67,1.33,,4,13,,7,6,,2,10,,1712,1915,,63.4,104.1,.389,.333,.559,55.4,47.4,8.5,11.9,.515,17.9,29.4,.296
3,Akron NCAA,34,24,10,.706,0.91,-3.93,,14,6,,12,3,,8,4,,2402,2130,,64.1,97.3,.258,.354,.511,47.0,41.0,8.5,7.3,.482,16.1,25.7,.183
4,Alabama NCAA,33,19,14,.576,14.62,11.59,,9,9,,13,3,,3,7,,2623,2523,,73.2,104.0,.348,.357,.534,47.7,46.3,10.6,11.3,.498,15.5,30.5,.249
5,Alabama A&M,30,12,18,.400,-14.43,-8.86,,10,8,,7,3,,4,14,,1843,2010,,68.3,96.5,.286,.389,.494,51.2,56.4,10.8,6.6,.463,16.7,30.9,.196
6,Alabama State,31,10,21,.323,-12.05,-5.45,,8,10,,7,6,,3,15,,2160,2332,,71.4,104.4,.339,.377,.539,51.7,53.6,10.7,10.2,.503,16.8,33.1,.245
7,Albany (NY),31,13,18,.419,-9.80,-5.77,,9,9,,4,8,,8,9,,1917,2042,,65.8,99.7,.318,.386,.541,51.6,53.9,8.0,11.5,.507,18.3,27.2,.230
8,Alcorn State,34,17,17,.500,-8.68,-4.12,,14,4,,6,3,,9,13,,2262,2417,,69.0,102.3,.367,.357,.544,48.9,55.8,9.9,9.8,.507,16.8,27.8,.263
9,American,32,10,22,.313,-15.38,-7.91,,5,13,,6,5,,4,16,,2031,2270,,66.8,105.3,.289,.342,.556,51.9,51.0,10.0,8.2,.533,15.2,24.8,.200
10,Appalachian State,34,19,15,.559,-1.45,-1.45,,12,6,,11,5,,6,7,,2281,2146,,65.5,96.0,.212,.381,.507,49.6,55.6,7.9,9.4,.478,16.1,25.0,.160
11,Arizona NCAA,37,33,4,.892,22.75,6.84,,18,2,,17,0,,9,3,,3107,2518,,72.7,92.9,.240,.347,.471,45.0,47.2,9.5,7.4,.444,15.0,28.6,.162
12,Arizona State,31,14,17,.452,7.64,9.48,,10,10,,9,6,,5,7,,2027,2084,,67.9,97.4,.323,.410,.503,52.8,57.4,8.9,8.2,.463,16.8,30.3,.233
13,Arkansas NCAA,37,28,9,.757,16.27,8.62,,13,5,,17,1,,5,4,,2810,2527,,72.0,94.3,.319,.388,.514,48.0,52.7,9.1,8.7,.475,18.3,25.1,.233
14,Arkansas State,29,18,11,.621,-3.27,-3.50,,8,7,,11,3,,6,7,,2055,1974,,69.5,97.5,.293,.332,.514,48.5,47.4,10.2,8.1,.483,17.2,28.0,.205
15,Arkansas-Pine Bluff,31,7,24,.226,-18.96,-4.58,,5,13,,5,7,,2,17,,2055,2426,,69.3,112.5,.332,.309,.580,56.2,53.9,10.8,10.4,.550,16.5,34.8,.242
16,Army,31,15,16,.484,-10.53,-7.53,,9,9,,10,4,,4,12,,2183,2182,,69.9,99.9,.224,.405,.532,48.7,54.3,10.8,11.0,.513,17.3,26.4,.150
17,Auburn NCAA,34,28,6,.824,19.20,8.17,,15,3,,16,0,,8,3,,2660,2285,,71.3,92.9,.343,.360,.488,47.5,49.2,10.4,10.0,.442,17.4,28.9,.251
18,Austin Peay,29,12,17,.414,-10.02,-3.39,,8,10,,6,5,,6,11,,1875,2004,,66.1,103.2,.346,.378,.556,51.4,53.9,10.5,11.1,.529,18.7,30.0,.237
19,Ball State,31,14,17,.452,-7.99,-4.56,,9,10,,9,5,,4,9,,2304,2380,,71.6,106.8,.323,.427,.553,50.4,49.8,10.3,8.6,.522,15.2,28.0,.232
20,Baylor NCAA,34,27,7,.794,21.73,8.76,,14,4,,15,2,,8,3,,2619,2178,,68.6,92.7,.277,.362,.509,46.6,55.9,9.3,7.4,.478,20.1,28.8,.195
21,Bellarmine,33,20,13,.606,-3.77,-1.28,,11,5,,11,4,,8,8,,2314,2217,,63.8,104.9,.280,.466,.546,51.7,52.1,7.8,6.6,.520,16.1,28.1,.199
22,Belmont,33,25,8,.758,6.49,-2.57,,15,3,,13,1,,10,5,,2583,2264,,70.3,96.8,.235,.398,.523,50.1,52.6,9.5,10.1,.498,18.5,27.6,.166
23,Bethune-Cookman,30,9,21,.300,-14.70,-6.70,,7,11,,4,6,,4,13,,1901,2086,,67.4,102.4,.343,.374,.547,51.8,54.3,10.0,10.9,.509,18.0,30.0,.253
24,Binghamton,29,12,17,.414,-10.41,-6.18,,8,10,,5,8,,7,9,,1962,1983,,67.3,101.1,.299,.372,.517,49.5,43.0,9.8,9.0,.490,14.4,27.0,.199
25,Boise State NCAA,35,27,8,.771,11.93,5.22,,15,3,,13,3,,9,3,,2389,2130,,64.9,92.8,.258,.328,.511,46.4,43.5,7.9,8.6,.481,18.1,22.1,.186
26,Boston College,33,13,20,.394,4.03,5.22,,6,14,,9,7,,2,10,,2209,2248,,65.5,102.5,.315,.367,.550,49.1,50.6,10.1,10.1,.515,16.7,25.8,.234
27,Boston University,35,22,13,.629,-5.07,-7.34,,11,7,,11,4,,8,8,,2470,2369,,65.3,102.5,.285,.332,.537,46.6,47.8,10.6,10.9,.506,15.0,24.4,.208
28,Bowling Green State,31,13,18,.419,-8.82,-4.44,,6,14,,9,7,,3,10,,2488,2495,,74.4,107.4,.292,.431,.555,49.7,50.6,8.4,6.4,.523,15.4,29.1,.218
29,Bradley,31,17,14,.548,5.79,1.19,,11,7,,12,2,,3,8,,2185,2021,,68.1,95.4,.310,.377,.506,45.1,43.8,10.8,6.4,.466,16.1,23.0,.230
30,Brigham Young,35,24,11,.686,10.05,5.23,,9,6,,14,3,,6,5,,2599,2392,,69.1,98.2,.307,.375,.508,45.2,48.5,8.8,7.7,.477,13.7,22.5,.210
31,Brown,29,13,16,.448,-3.32,-1.91,,5,9,,6,7,,6,7,,2058,2015,,69.7,99.7,.328,.379,.536,49.3,46.2,9.1,7.0,.505,17.9,27.2,.228
