Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
,,,,,,,,,,,,,,,,,,,,5,27,0.156,,,,
Amir Abdur-Rahim,Kennesaw State,A-Sun,,5.0,19.0,0.208,,,,,2019-20,6.0,47.0,0.113,,,,,,6,47,0.113,,,,
Lennie Acuff,Lipscomb,A-Sun,,15.0,12.0,0.556,,,,,2019-20,31.0,28.0,0.525,,,,,,31,28,0.525,,,,
Griff Aldrich,Longwood,Big South,,12.0,17.0,0.414,,,,,2018-19,42.0,53.0,0.442,,,,,,42,53,0.442,,,,
Casey Alexander,Belmont,OVC,,26.0,4.0,0.867,,,,,2019-20,52.0,11.0,0.825,,,,,,189,131,0.591,1.0,,,
Steve Alford,Nevada,MWC,,16.0,10.0,0.615,,,,,2019-20,35.0,22.0,0.614,,,,,,544,291,0.651,11.0,4.0,,
Jimmy Allen,Army,Patriot,,12.0,10.0,0.545,,,,,2016-17,66.0,80.0,0.452,,,,,,66,80,0.452,,,,
Dana Altman,Oregon,Pac-12,,21.0,7.0,0.75,20.0,,Lost Regional Semifinal,,2010-11,280.0,110.0,0.718,7.0,5.0,1.0,,,690,353,0.662,15.0,5.0,1.0,
Tommy Amaker,Harvard,Ivy,,0.0,0.0,,,,,,2007-08,251.0,139.0,0.644,4.0,,,,,427,278,0.606,5.0,1.0,,
Mike Anderson Sr,St. John's (NY),Big East,,16.0,11.0,0.593,,,,,2019-20,33.0,26.0,0.559,,,,,,402,226,0.64,9.0,2.0,,
Kevin Baggett,Rider,MAAC,,6.0,17.0,0.261,,,,,2012-13,147.0,133.0,0.525,,,,,,147,133,0.525,,,,
Mike Balado,Arkansas State,Sun Belt,,11.0,13.0,0.458,,,,,2017-18,51.0,69.0,0.425,,,,,,51,69,0.425,,,,
Pat Baldwin,Milwaukee,Horizon,,10.0,12.0,0.455,,,,,2017-18,47.0,70.0,0.402,,,,,,47,70,0.402,,,,
Jeremy Ballard,Florida International,CUSA,,9.0,17.0,0.346,,,,,2018-19,48.0,44.0,0.522,,,,,,48,44,0.522,,,,
Rick Barnes,Tennessee,SEC,,18.0,9.0,0.667,12.0,,Lost First Round,,2015-16,123.0,73.0,0.628,3.0,1.0,,,,727,387,0.653,25.0,7.0,1.0,
Rod Barnes,Cal State Bakersfield,Big West,,15.0,11.0,0.577,,,,,2011-12,163.0,152.0,0.517,1.0,,,,,349,341,0.506,4.0,1.0,,
Brian Barone,SIU Edwardsville,OVC,,9.0,17.0,0.346,,,,,2019-20,17.0,40.0,0.298,,,,,,17,40,0.298,,,,
Richard Barron,Maine,AEC,,2.0,7.0,0.222,,,,,2018-19,16.0,56.0,0.222,,,,,,16,56,0.222,,,,
Clayton Bates,Western Michigan,MAC,,5.0,16.0,0.238,,,,,2020-21,5.0,16.0,0.238,,,,,,5,16,0.238,,,,
Duggar Baucom,The Citadel,Southern,,13.0,12.0,0.52,,,,,2015-16,64.0,118.0,0.352,,,,,,215,277,0.437,,,,
Chris Beard,Texas Tech,Big 12,,18.0,11.0,0.621,14.0,21.0,Lost Second Round,,2016-17,112.0,55.0,0.671,3.0,2.0,1.0,,,142,60,0.703,4.0,2.0,1.0,
John Becker,Vermont,AEC,,10.0,5.0,0.667,,,,,2011-12,229.0,96.0,0.705,3.0,,,,,229,96,0.705,3.0,,,
