Team,Game
UCLA,Play-in
Michigan State,Play-in
Texas Southern,Play-in
Mount St. Mary's,Play-in
Drake,Play-in
Wichita State,Play-in
Appalachian State,Play-in
Norfolk State,Play-in
Drexel,MW1
Illinois,MW1
Hartford,S1
Baylor,S1
Cleveland State,MW8
Houston,MW8
Oral Roberts,S8
Ohio State,S8
Colgate,S6
Arkansas,S6
Liberty,MW4
Oklahoma State,MW4
Morehead State,MW6
West Virginia,MW6
Syracuse,MW5
San Diego State,MW5
Georgia Tech,MW2
Loyola (IL),MW2
Winthrop,S3
Villanova,S3
North Texas,S4
Purdue,S4
Utah State,S5
Texas Tech,S5
Virginia Tech,S7
Florida,S7
Oregon State,MW3
Tennessee,MW3
Wisconsin,S2
North Carolina,S2
Rutgers,MW7
Clemson,MW7
Eastern Kentucky,W6
Kansas,W6
Norfolk State,W1
Gonzaga,W1
Texas Southern,E1
Michigan,E1
Iona,E8
Alabama,E8
Grand Canyon,W8
Iowa,W8
Abilene Christian,E6
Texas,E6
UNC Greensboro,E4
Florida State,E4
Ohio,W4
Virginia,W4
UC Santa Barbara,W3
Creighton,W3
Georgetown,E3
Colorado,E3
Drake,W5
Southern California,W5
UCLA,E6
Brigham Young,E6
St. Bonaventure,E2
Louisiana State,E2
Maryland,E7
Connecticut,E7
Missouri,W2
Oklahoma,W2
Virginia Commonwealth,W7
Oregon,W7
