Team_A, Team_B, Score_Differential
UCLA,Michigan State,-6
Texas Southern,Mount St. Mary's,-8
Drake,Wichita State,-1
Appalachian State,Norfolk State,1
Drexel,Illinois,29
Hartford,Baylor,24
Cleveland State,Houston,31
Oral Roberts,Ohio State,-3
Colgate,Arkansas,17
Liberty,Oklahoma State,9
Morehead State,West Virginia,17
Syracuse,San Diego State,-16
Georgia Tech,Loyola (IL),11
Winthrop,Villanova,10
North Texas,Purdue,-9
Utah State,Texas Tech,12
Virginia Tech,Florida,5
Oregon State,Tennessee,-14
Wisconsin,North Carolina,-23
Rutgers,Clemson,-4
Eastern Washington,Kansas,9
Norfolk State,Gonzaga,43
Texas Southern,Michigan,16
Iona,Alabama,13
Grand Canyon,Iowa,12
Abilene Christian,Texas,-1
UNC Greensboro,Florida State,10
Ohio,Virginia,-4
UC Santa Barbara,Creighton,1
Georgetown,Colorado,23
Drake,Southern California,16
UCLA,Brigham Young,-11
St. Bonaventure,Louisiana State,15
Maryland,Connecticut,-9
Missouri,Oklahoma,4
Loyola (IL),Illinois,-13
Wisconsin,Baylor,13
Rutgers,Houston,3
Texas Tech,Arkansas,2
Oregon State,Oklahoma State,-10
Syracuse,West Virginia,-3
North Texas,Villanova,23
Oral Roberts,Florida,-3
Southern California,Kansas,-34
Oklahoma,Gonzaga,16
Louisiana State,Michigan,8
Maryland,Alabama,19
Oregon,Iowa,-15
Colorado,Florida State,18
Ohio,Creighton,14
Abilene Christian,UCLA,20
Villanova,Baylor,11
Syracuse,Houston,16
Oral Roberts,Arkansas,2
Oregon State,Loyola (IL),-7
Creighton,Gonzaga,18
Florida,Michigan,18
UCLA,Alabama,-10
Oregon,Southern California,14
Arkansas,Baylor,9
Oregon State,Houston,6
Southern California,Gonzaga,19
UCLA,Michigan,-2
UCLA,Gonzaga,3
Houston,Baylor,19
Baylor,Gonzaga,-16
