Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian NCAA,29,24,5,.828,6.27,-6.37,,13,2,,13,0,,5,4,,2196,1753,,1160,601,1488,.404,161,520,.310,390,573,.681,263,985,299,189,110,578,580
2,Air Force,25,5,20,.200,-12.98,0.22,,3,17,,3,8,,1,10,,1468,1798,,1000,654,1309,.500,194,530,.366,296,430,.688,258,865,368,150,53,348,418
3,Akron,23,15,8,.652,1.85,-1.96,,12,6,,9,1,,5,5,,1798,1660,,930,621,1435,.433,151,486,.311,267,375,.712,253,837,279,129,51,274,422
4,Alabama NCAA,33,26,7,.788,19.58,10.01,,16,2,,12,1,,7,3,,2629,2313,,1325,837,2053,.408,205,704,.291,434,630,.689,378,1254,368,261,161,506,599
5,Alabama A&M,15,6,9,.400,-18.86,-14.99,,4,9,,5,2,,1,7,,950,1008,,610,350,891,.393,84,297,.283,224,333,.673,172,582,188,121,40,192,251
6,Alabama State,18,4,14,.222,-24.28,-16.95,,4,14,,3,6,,1,8,,1156,1288,,720,456,1042,.438,108,332,.325,268,385,.696,188,677,227,139,75,268,388
7,Albany (NY),16,7,9,.438,-4.53,-5.22,,6,6,,4,5,,2,4,,1110,1099,,640,402,894,.450,114,330,.345,181,262,.691,139,522,196,90,64,233,295
8,Alcorn State,19,6,13,.316,-19.58,-10.06,,6,7,,4,3,,2,9,,1256,1437,,760,483,992,.487,134,387,.346,337,497,.678,175,663,280,128,79,299,338
9,American,10,4,6,.400,-6.32,-1.82,,4,5,,2,2,,2,4,,691,736,,420,268,584,.459,50,172,.291,150,224,.670,106,351,117,85,25,125,156
10,Appalachian State NCAA,29,17,12,.586,-5.84,-5.72,,7,8,,9,4,,4,7,,2039,1860,,1185,689,1648,.418,202,622,.325,280,394,.711,269,1020,346,164,125,405,507
11,Arizona,26,17,9,.654,15.02,8.18,,11,9,,12,4,,5,5,,1961,1783,,1050,631,1470,.429,184,539,.341,337,477,.706,220,812,292,140,72,322,524
12,Arizona State,25,11,14,.440,7.48,10.24,,7,10,,7,6,,2,6,,1858,1927,,1010,671,1460,.460,192,530,.362,393,527,.746,257,990,373,139,80,380,455
13,Arkansas NCAA,32,25,7,.781,17.80,7.18,,13,4,,16,1,,5,4,,2604,2264,,1285,813,1958,.415,248,738,.336,390,568,.687,313,1144,393,209,116,483,607
14,Arkansas State,24,11,13,.458,-7.97,-5.87,,7,8,,9,3,,1,9,,1741,1667,,965,608,1431,.425,160,479,.334,291,393,.740,239,806,294,163,101,301,425
15,Arkansas-Pine Bluff,25,4,21,.160,-22.67,-7.79,,3,12,,2,3,,2,17,,1549,1921,,1010,680,1434,.474,191,478,.400,370,549,.674,263,922,404,207,95,322,472
16,Army,22,12,10,.545,0.06,0.63,,7,7,,5,5,,5,3,,1578,1529,,885,560,1276,.439,184,518,.355,225,310,.726,185,775,283,154,74,303,375
17,Auburn,27,13,14,.481,10.02,9.28,,7,11,,8,5,,3,8,,2084,2064,,1090,748,1708,.438,198,606,.327,370,540,.685,329,980,340,236,101,369,535
18,Austin Peay,27,14,13,.519,-6.66,-8.22,,10,10,,8,5,,4,6,,2007,1890,,1090,687,1457,.472,194,541,.359,322,477,.675,249,856,312,210,70,436,489
19,Ball State,23,10,13,.435,-1.96,-1.22,,8,9,,7,4,,3,8,,1719,1736,,930,611,1419,.431,167,538,.310,347,506,.686,272,867,288,168,60,288,409
20,Baylor NCAA,30,28,2,.933,24.83,7.40,,13,1,,11,0,,7,1,,2487,1964,,1205,711,1642,.433,185,563,.329,357,514,.695,298,951,368,167,123,510,493
