Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian NCAA,29,24,5,.828,6.27,-6.37,,13,2,,13,0,,5,4,,2196,1753,,72.0,84.0,.385,.349,.498,48.5,49.8,9.1,9.9,.458,24.7,26.8,.262
2,Air Force,25,5,20,.200,-12.98,0.22,,3,17,,3,8,,1,10,,1468,1798,,63.9,112.5,.328,.405,.594,59.9,56.3,9.4,8.2,.574,18.7,35.4,.226
3,Akron,23,15,8,.652,1.85,-1.96,,12,6,,9,1,,5,5,,1798,1660,,70.1,101.8,.261,.339,.515,48.3,44.9,7.9,6.7,.485,14.5,28.6,.186
4,Alabama NCAA,33,26,7,.788,19.58,10.01,,16,2,,12,1,,7,3,,2629,2313,,74.7,93.5,.307,.343,.492,48.3,44.0,10.6,14.2,.458,17.7,28.8,.211
5,Alabama A&M,15,6,9,.400,-18.86,-14.99,,4,9,,5,2,,1,7,,950,1008,,70.1,94.3,.374,.333,.480,50.2,53.7,11.3,6.9,.440,15.5,29.2,.251
6,Alabama State,18,4,14,.222,-24.28,-16.95,,4,14,,3,6,,1,8,,1156,1288,,72.4,98.9,.369,.319,.526,50.9,49.8,10.7,11.4,.489,18.0,29.6,.257
7,Albany (NY),16,7,9,.438,-4.53,-5.22,,6,6,,4,5,,2,4,,1110,1099,,69.7,98.6,.293,.369,.540,52.1,48.8,8.1,11.0,.513,18.6,27.3,.202
8,Alcorn State,19,6,13,.316,-19.58,-10.06,,6,7,,4,3,,2,9,,1256,1437,,71.3,106.1,.501,.390,.585,52.2,58.0,9.5,10.8,.554,19.6,30.3,.340
9,American,10,4,6,.400,-6.32,-1.82,,4,5,,2,2,,2,4,,691,736,,67.5,103.8,.384,.295,.533,51.8,43.7,12.0,7.8,.502,15.3,29.9,.257
10,Appalachian State NCAA,29,17,12,.586,-5.84,-5.72,,7,8,,9,4,,4,7,,2039,1860,,66.8,94.0,.239,.377,.507,49.2,50.2,8.3,13.1,.479,18.1,26.8,.170
11,Arizona,26,17,9,.654,15.02,8.18,,11,9,,12,4,,5,5,,1961,1783,,68.4,99.3,.324,.367,.525,44.9,46.3,7.8,7.0,.492,16.0,24.1,.229
12,Arizona State,25,11,14,.440,7.48,10.24,,7,10,,7,6,,2,6,,1858,1927,,72.6,105.1,.361,.363,.563,55.4,55.6,7.6,8.2,.525,18.2,30.0,.269
13,Arkansas NCAA,32,25,7,.781,17.80,7.18,,13,4,,16,1,,5,4,,2604,2264,,75.1,93.9,.290,.377,.508,47.4,48.3,8.7,8.5,.479,17.8,26.0,.199
