Team_A, Team_B, Score_Differential
Fairleigh Dickinson,Texas Southern,-23
Nevada,Arizona State,25
Southeast Missouri State,Texas A&M-Corpus Christi,4
Pittsburgh,Mississippi State,-1
Howard,Kansas,28
Texas A&M-Corpus Christi,Alabama,21
Northern Kentucky,Houston,11
Colgate,Texas,20
UNC Asheville,UCLA,33
Princeton,Arizona,-4
Oral Roberts,Duke,23
Furman,Virginia,-1
Penn State,Texas A&M,-17
College of Charleston,San Diego State,6
Louisiana,Tennessee,3
Missouri,Utah State,-11
West Virginia,Maryland,2
Illinois,Arkansas,10
Auburn,Iowa,-8
Boise State,Northwestern,8
Kent State,Indiana,11
Southern California,Michigan State,10
Fairleigh Dickinson,Purdue,-5
Vermont,Marquette,17
Grand Canyon,Gonzaga,12
Iona,Connecticut,24
UC Santa Barbara,Baylor,18
Kennesaw State,Xavier,5
Montana State,Kansas State,12
Drake,Miami (FL),7
Virginia Commonwealth,Saint Mary's (CA),12
Arizona State,TCU,2
Florida Atlantic,Memphis,-1
Pittsburgh,Iowa State,-18
NC State,Creighton,9
Providence,Kentucky,8
Arkansas,Kansas,-1
Maryland,Alabama,22
Auburn,Houston,17
Penn State,Texas,5
Northwestern,UCLA,5
Duke,Tennessee,13
Furman,San Diego State,23
Princeton,Missouri,-15
Michigan State,Marquette,-9
Miami (FL),Indiana,-16
TCU,Gonzaga,3
Saint Mary's (CA),Connecticut,15
Creighton,Baylor,-9
Pittsburgh,Xavier,11
Kentucky,Kansas State,6
Fairleigh Dickinson,Florida Atlantic,8
Michigan State,Kansas State,5
Gonzaga,UCLA,-3
Arkansas,Connecticut,23
Florida Atlantic,Tennessee,-7
San Diego State,Alabama,-7
Miami (FL),Houston,-14
Xavier,Texas,12
Princeton,Creighton,11
Connecticut,Gonzaga,-28
Florida Atlantic,Kansas State,-3
Miami (FL),Texas,-7
Creighton,San Diego State,1
Miami (FL),Connecticut,13
Florida Atlantic,San Diego State,1
San Diego State,Connecticut,17
