Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,30,13,17,.433,-2.79,0.90,,5,11,,9,5,,4,8,,2249,2133,,1210,727,1526,.476,188,517,.364,491,687,.715,240,1008,374,167,98,530,573
2,Air Force,32,14,18,.438,2.00,2.12,,5,13,,10,9,,4,9,,2142,2146,,1295,764,1718,.445,166,566,.293,452,604,.748,293,1036,323,183,99,352,545
3,Akron,33,22,11,.667,4.19,-1.65,,13,5,,15,1,,5,6,,2463,2209,,1330,802,1873,.428,229,669,.342,376,512,.734,296,1081,370,190,99,407,608
4,Alabama NCAA,37,31,6,.838,23.19,9.65,,16,2,,15,0,,9,3,,3027,2526,,1510,885,2387,.371,202,715,.283,554,779,.711,452,1383,364,268,142,434,737
5,Alabama A&M,33,15,18,.455,-10.78,-7.71,,10,8,,9,8,,5,8,,2297,2340,,1336,781,1842,.424,251,735,.341,527,743,.709,399,1179,420,258,115,510,581
6,Alabama State,31,8,23,.258,-16.33,-6.29,,6,12,,5,5,,2,18,,1963,2252,,1245,801,1839,.436,216,635,.340,434,632,.687,375,1184,367,218,153,379,513
7,Albany (NY),31,8,23,.258,-14.36,-4.53,,3,13,,5,6,,2,16,,2086,2332,,1245,836,1704,.491,201,571,.352,459,630,.729,256,1040,450,203,111,364,507
8,Alcorn State,32,18,14,.563,-8.74,-5.81,,15,3,,7,2,,10,10,,2165,2259,,1301,778,1741,.447,233,707,.330,470,683,.688,322,1077,458,183,109,463,565
9,American,32,17,15,.531,-8.26,-7.73,,7,11,,8,6,,9,9,,2093,2110,,1300,754,1665,.453,216,561,.385,386,534,.723,275,931,394,264,75,390,486
10,Appalachian State,32,16,16,.500,-1.50,-0.98,,9,9,,10,7,,6,7,,2248,2067,,1290,753,1870,.403,235,729,.322,326,456,.715,322,1152,378,192,76,399,512
