Rk,School,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,70.9,5.400000000000006,-0.132,0.002,-0.0329999999999999,-1.7999999999999972,6.600000000000001,4.500000000000001,-1.3000000000000007,-0.028,-6.699999999999999,2.1000000000000014,-0.092
2,Air Force,63.6,-0.2000000000000028,-0.0399999999999999,0.119,0.0349999999999999,-4.599999999999994,22.60000000000001,0.0,0.0,0.049,2.299999999999999,-6.300000000000001,-0.037
3,Akron,67.2,11.399999999999991,0.066,0.088,0.037,4.200000000000003,6.399999999999999,0.4000000000000003,-2.2,0.035,-1.700000000000001,3.899999999999999,0.0489999999999999
4,Alabama,72.6,18.30000000000001,0.0399999999999999,0.172,0.099,8.799999999999997,13.199999999999996,-1.6000000000000014,-0.2999999999999989,0.108,2.3000000000000007,6.300000000000004,0.034
5,Alabama A&M,69.9,-1.7999999999999972,-0.056,-0.072,-0.005,-4.400000000000006,-2.8999999999999986,0.3000000000000007,2.9000000000000004,0.009,-0.2999999999999971,-4.899999999999999,-0.0579999999999999
6,Alabama State,68.6,-13.5,-0.0229999999999999,-0.0129999999999999,-0.0579999999999999,-3.0,-0.5999999999999943,-1.6999999999999993,-3.5,-0.068,1.4000000000000004,-1.5,-0.0099999999999999
7,Albany (NY),67.9,-11.600000000000009,-0.0569999999999999,0.0779999999999999,-0.0649999999999999,-0.4000000000000057,-3.799999999999997,-1.1999999999999993,-6.300000000000001,-0.069,1.5999999999999996,2.5,-0.043
8,Alcorn State,67.8,-4.299999999999997,-0.039,-0.109,-0.051,0.4000000000000057,-17.5,3.3999999999999986,-0.6000000000000005,-0.062,-2.700000000000001,2.3000000000000043,-0.016
9,American,62.6,-0.7999999999999972,-0.0419999999999999,0.0239999999999999,0.0169999999999999,2.0,3.200000000000003,-1.3000000000000007,4.2,0.026,2.6000000000000014,0.4000000000000021,-0.036
10,Appalachian State,67.3,8.299999999999997,0.0489999999999999,0.002,0.037,-0.4000000000000057,0.6999999999999957,0.5999999999999996,6.1000000000000005,0.0409999999999999,-1.8000000000000007,-1.599999999999998,0.024
11,Arizona,72.7,14.799999999999995,0.1029999999999999,-0.01,0.0899999999999999,8.400000000000006,15.700000000000005,-2.4000000000000004,-1.4000000000000004,0.0939999999999999,1.3999999999999986,4.599999999999998,0.071
12,Arizona State,69.0,4.400000000000006,-0.023,0.003,0.011,-2.4000000000000057,1.8000000000000045,1.5,5.100000000000001,0.0189999999999999,-2.6999999999999997,-2.3000000000000007,-0.0219999999999999
13,Arkansas,70.2,8.699999999999989,-0.002,-0.0279999999999999,0.029,3.4000000000000057,3.0,2.4000000000000004,6.199999999999999,0.037,-2.1999999999999997,2.8000000000000007,-0.0079999999999999
14,Arkansas State,64.8,-2.9000000000000057,-0.0119999999999999,-0.006,-0.02,0.5999999999999943,7.100000000000001,0.8999999999999986,-0.1000000000000014,-0.01,0.0,1.3999999999999986,-0.031
15,Arkansas-Pine Bluff,71.3,-4.0,-0.0829999999999999,0.076,-0.034,-2.5999999999999943,-2.700000000000003,-0.6000000000000014,-2.4000000000000004,-0.0349999999999999,-1.1999999999999993,-0.3000000000000007,-0.0519999999999999
16,Army,68.1,4.0,0.026,0.003,0.0319999999999999,6.0,-3.800000000000004,-2.6,-3.0,0.036,2.6,4.0,0.0139999999999999
17,Auburn,68.7,7.299999999999997,-0.026,0.007,0.028,0.7999999999999972,6.5,1.0,4.5,0.0379999999999999,-1.0999999999999996,0.3999999999999986,-0.023
18,Austin Peay,66.8,-8.399999999999991,-0.0859999999999999,0.029,-0.0639999999999999,-5.799999999999997,-1.5,1.4000000000000004,1.5000000000000009,-0.062,-2.5,-2.6000000000000014,-0.068
19,Ball State,68.5,7.0,0.125,0.0349999999999999,0.0339999999999999,4.200000000000003,13.0,-1.0,2.8000000000000007,0.035,0.5999999999999996,3.5,0.0749999999999999
20,Baylor,67.8,10.0,0.0549999999999999,0.07,0.0229999999999999,3.0,-5.100000000000001,0.5999999999999996,-2.1,0.016,-2.1999999999999997,3.5,0.049
21,Bellarmine,62.8,-1.3999999999999917,-0.0519999999999999,-0.085,-0.0019999999999998,-4.0,-0.1000000000000014,0.200000000000001,-1.3999999999999997,-0.001,-0.7999999999999989,-5.0,-0.0289999999999999
