Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Amir Abdur-Rahim,Kennesaw State,A-Sun,,26,9,0.743,,,Lost First Round,,2019-20,45,74,0.378,1.0,,,,,45,74,0.378,1.0,,,
Lennie Acuff,Lipscomb,A-Sun,,20,13,0.606,,,,,2019-20,65,60,0.52,,,,,,65,60,0.52,,,,
Mark Adams,Texas Tech,Big 12,,16,15,0.516,25.0,,,,2021-22,43,25,0.632,1.0,1.0,,,,87,115,0.431,1.0,1.0,,
John Aiken,McNeese State,Southland,,11,23,0.324,,,,,2021-22,22,45,0.328,,,,,,22,45,0.328,,,,
Griff Aldrich,Longwood,Big South,,20,12,0.625,,,,,2018-19,88,72,0.55,1.0,,,,,88,72,0.55,1.0,,,
Casey Alexander,Belmont,MVC,,21,11,0.656,,,,,2019-20,98,30,0.766,,,,,,235,150,0.61,1.0,,,
Steve Alford,Nevada,MWC,,22,11,0.667,,,Lost First Four,,2019-20,70,51,0.579,1.0,,,,,579,320,0.644,12.0,4.0,,
Jimmy Allen,Army,Patriot,,17,16,0.515,,,,,2016-17,98,112,0.467,,,,,,98,112,0.467,,,,
Dana Altman,Oregon,Pac-12,,21,15,0.583,21.0,,,,2010-11,321,140,0.696,7.0,5.0,1.0,,,731,383,0.656,15.0,5.0,1.0,
Tommy Amaker,Harvard,Ivy,,14,14,0.5,,,,,2007-08,278,166,0.626,4.0,,,,,454,305,0.598,5.0,1.0,,
Mike Anderson Sr,St. John's (NY),Big East,,18,15,0.545,,,,,2019-20,68,56,0.548,,,,,,437,256,0.631,9.0,2.0,,
Tobin Anderson,Fairleigh Dickinson,NEC,,21,16,0.568,,,Lost Second Round,,2022-23,21,16,0.568,1.0,,,,,21,16,0.568,1.0,,,
Adrian Autry,Syracuse,ACC,,0,0,,,,,,2022-23,0,0,,,,,,,0,0,,,,,
Kevin Baggett,Rider,MAAC,,16,14,0.533,,,,,2012-13,177,166,0.516,,,,,,177,166,0.516,,,,
Mike Balado,Arkansas State,Sun Belt,,13,20,0.394,,,,,2017-18,82,100,0.451,,,,,,82,100,0.451,,,,
Jeremy Ballard,Florida International,CUSA,,14,18,0.438,,,,,2018-19,77,79,0.494,,,,,,77,79,0.494,,,,
Tony Barbee,Central Michigan,MAC,,10,21,0.323,,,,,2021-22,17,44,0.279,,,,,,148,171,0.464,1.0,,,
Rick Barnes,Tennessee,SEC,,25,11,0.694,11.0,20.0,Lost Regional Semifinal,,2015-16,175,92,0.655,5.0,2.0,,,,779,406,0.657,27.0,8.0,1.0,
Rod Barnes,Cal State Bakersfield,Big West,,11,22,0.333,,,,,2011-12,183,193,0.487,1.0,,,,,369,382,0.491,4.0,1.0,,
Brian Barone,SIU Edwardsville,OVC,,19,14,0.576,,,,,2019-20,47,75,0.385,,,,,,47,75,0.385,,,,
Chris Beard,Texas,Big 12,,7,1,0.875,12.0,5.0,Lost Regional Final,,2021-22,29,13,0.69,2.0,1.0,,,,171,73,0.701,6.0,3.0,1.0,
John Becker,Vermont,AEC,,23,11,0.676,,,Lost First Round,,2011-12,280,113,0.712,5.0,,,,,280,113,0.712,5.0,,,
Randy Bennett,Saint Mary's (CA),WCC,,27,8,0.771,,19.0,Lost Second Round,,2001-02,507,208,0.709,9.0,1.0,,,,507,208,0.709,9.0,1.0,,
Tony Bennett,Virginia,ACC,,25,8,0.758,18.0,14.0,Lost First Round,,2009-10,341,125,0.732,9.0,3.0,1.0,1.0,,410,158,0.722,11.0,4.0,1.0,1.0
Kenneth Blakeney,Howard,MEAC,,22,13,0.629,,,Lost First Round,,2019-20,43,59,0.422,1.0,,,,,43,59,0.422,1.0,,,
