Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,30,13,17,.433,-2.79,0.90,,5,11,,9,5,,4,8,,2249,2133,,70.9,104.9,.318,.341,.543,49.1,58.0,12.3,7.0,.510,15.5,28.6,.230
2,Air Force,32,14,18,.438,2.00,2.12,,5,13,,10,9,,4,9,,2142,2146,,63.6,104.0,.312,.448,.570,47.7,64.9,8.9,11.0,.542,17.2,22.3,.226
3,Akron,33,22,11,.667,4.19,-1.65,,13,5,,15,1,,5,6,,2463,2209,,67.2,110.3,.339,.445,.559,52.1,52.5,8.9,7.2,.524,14.4,29.9,.250
4,Alabama NCAA,37,31,6,.838,23.19,9.65,,16,2,,15,0,,9,3,,3027,2526,,72.6,110.4,.366,.472,.557,54.4,54.3,8.2,11.3,.521,15.9,34.2,.266
5,Alabama A&M,33,15,18,.455,-10.78,-7.71,,10,8,,9,8,,5,8,,2297,2340,,69.9,98.9,.347,.327,.528,47.8,50.9,11.4,12.0,.501,18.6,30.0,.228
6,Alabama State,31,8,23,.258,-16.33,-6.29,,6,12,,5,5,,2,18,,1963,2252,,68.6,92.0,.321,.332,.468,48.5,45.2,8.5,9.1,.426,16.5,32.4,.226
7,Albany (NY),31,8,23,.258,-14.36,-4.53,,3,13,,5,6,,2,16,,2086,2332,,67.9,98.8,.313,.413,.517,49.8,50.0,8.4,4.5,.481,17.0,28.8,.226
8,Alcorn State,32,18,14,.563,-8.74,-5.81,,15,3,,7,2,,10,10,,2165,2259,,67.8,98.2,.353,.297,.496,50.2,41.4,11.7,7.7,.452,15.6,33.7,.254
9,American,32,17,15,.531,-8.26,-7.73,,7,11,,8,6,,9,9,,2093,2110,,62.6,102.9,.279,.361,.567,51.0,55.5,11.7,11.4,.544,19.5,28.3,.196
10,Appalachian State,32,16,16,.500,-1.50,-0.98,,9,9,,10,7,,6,7,,2248,2067,,67.3,103.6,.293,.392,.532,49.8,50.9,9.4,12.8,.507,14.3,25.8,.198
11,Arizona NCAA,35,28,7,.800,19.08,8.34,,14,6,,15,2,,6,4,,2866,2490,,72.7,112.6,.358,.377,.591,54.2,64.7,8.4,8.1,.565,16.2,30.7,.253
12,Arizona State NCAA,36,23,13,.639,11.29,8.18,,11,9,,10,5,,7,6,,2559,2447,,69.0,101.9,.312,.393,.515,48.8,56.6,10.2,13.3,.484,14.5,29.2,.215
13,Arkansas NCAA,36,22,14,.611,15.99,9.87,,8,10,,14,3,,2,8,,2666,2446,,70.2,105.1,.393,.277,.545,51.7,48.1,11.9,13.1,.509,15.8,30.7,.274
14,Arkansas State,33,13,20,.394,-8.07,-3.30,,4,14,,10,8,,2,11,,2169,2232,,64.8,101.0,.334,.330,.520,50.3,55.7,10.2,9.2,.490,15.6,29.0,.226
15,Arkansas-Pine Bluff,31,10,21,.323,-12.99,-5.36,,6,12,,8,5,,2,16,,2074,2162,,71.3,93.0,.328,.433,.501,48.7,56.5,11.2,7.9,.460,18.6,27.2,.238
16,Army,33,17,16,.515,-7.13,-7.58,,10,8,,10,5,,7,8,,2412,2322,,68.1,106.5,.308,.387,.568,53.0,48.8,7.4,6.0,.546,16.7,27.5,.210
17,Auburn NCAA,34,21,13,.618,14.35,9.29,,10,8,,14,2,,4,8,,2474,2302,,68.7,105.6,.363,.352,.530,50.4,54.7,11.2,13.6,.495,15.1,32.8,.253
18,Austin Peay,31,9,22,.290,-12.17,-2.60,,3,15,,7,8,,1,13,,2067,2241,,66.8,99.4,.277,.385,.510,47.1,52.1,10.6,8.8,.477,15.2,28.0,.201
19,Ball State,32,20,12,.625,-1.20,-3.50,,11,7,,12,2,,6,7,,2445,2292,,68.5,111.1,.425,.365,.570,52.1,50.2,8.0,9.8,.538,15.4,31.2,.293
20,Baylor NCAA,34,23,11,.676,17.30,10.54,,11,7,,14,3,,5,5,,2619,2389,,67.8,113.3,.368,.449,.570,51.5,54.9,9.6,6.9,.532,15.2,34.4,.274
21,Bellarmine,33,15,18,.455,-7.42,-1.35,,9,9,,8,6,,6,12,,2187,2216,,62.8,104.7,.251,.433,.562,48.0,58.6,8.8,5.4,.535,15.9,22.1,.189
22,Belmont,32,21,11,.656,1.88,-1.93,,14,6,,12,2,,7,7,,2447,2299,,69.0,109.9,.249,.416,.575,48.4,54.3,10.1,8.1,.553,14.6,25.2,.181
23,Bethune-Cookman,32,12,20,.375,-17.15,-7.82,,8,10,,8,5,,3,13,,2172,2401,,69.5,97.2,.315,.325,.507,46.2,46.9,10.3,7.7,.473,16.2,27.6,.220
24,Binghamton,31,13,18,.419,-10.44,-5.51,,8,8,,8,7,,5,11,,2133,2217,,67.0,101.0,.297,.302,.530,51.0,45.5,6.8,8.4,.499,16.7,29.0,.212
25,Boise State NCAA,34,24,10,.706,12.78,6.21,,13,5,,15,1,,5,6,,2451,2198,,66.8,106.8,.303,.378,.553,52.6,43.8,7.5,8.0,.521,14.6,27.4,.222
26,Boston College,33,16,17,.485,1.09,4.73,,9,11,,9,7,,4,7,,2197,2317,,66.7,99.0,.273,.315,.519,49.3,50.4,9.5,10.4,.487,16.1,27.5,.198
27,Boston University,32,15,17,.469,-8.10,-6.52,,8,10,,9,4,,6,11,,2147,2151,,66.3,99.7,.284,.391,.513,51.3,44.0,9.5,7.5,.477,15.5,28.6,.210
28,Bowling Green State,31,11,20,.355,-8.46,-3.81,,5,13,,7,9,,4,11,,2355,2434,,71.2,106.7,.335,.354,.547,50.8,51.0,8.5,8.1,.512,14.9,29.6,.243
29,Bradley,35,25,10,.714,6.51,-0.67,,16,4,,15,1,,8,6,,2473,2195,,65.9,106.8,.275,.391,.550,52.8,50.7,10.3,11.8,.530,15.4,29.2,.183
30,Brigham Young,34,19,15,.559,9.43,5.40,,7,9,,12,4,,2,7,,2568,2376,,70.9,106.1,.324,.404,.554,54.0,54.9,10.4,11.4,.523,17.2,31.8,.232
