Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,31,11,20,.355,-19.60,-4.12,,2,12,,9,5,,0,14,,2214,2228,,67.7,104.9,.455,.320,.558,49.8,53.6,9.7,12.0,.518,17.8,30.2,.323
2,Air Force,30,12,18,.400,-4.08,1.71,,6,12,,8,9,,3,8,,1980,2074,,65.4,104.8,.431,.406,.540,51.2,58.6,10.5,14.1,.499,15.6,29.4,.302
3,Akron,34,21,13,.618,1.16,-0.48,,12,6,,13,2,,6,8,,2332,2276,,65.5,101.1,.361,.277,.520,49.0,46.7,9.9,9.1,.479,16.7,32.5,.259
4,Alabama,32,13,19,.406,8.34,8.88,,7,11,,13,4,,0,11,,2170,2150,,64.4,103.1,.402,.331,.520,51.5,52.4,8.6,11.5,.470,16.5,34.5,.299
5,Alabama A&M,30,14,16,.467,-13.86,-10.58,,10,8,,7,4,,5,11,,1936,2010,,66.5,99.6,.524,.285,.508,52.9,45.3,9.8,8.9,.452,17.3,34.3,.365
6,Alabama State,32,19,13,.594,-12.84,-11.40,,12,6,,13,1,,5,10,,2265,2225,,68.1,100.5,.389,.297,.528,50.5,48.5,8.8,7.9,.490,18.4,33.3,.270
7,Albany (NY) NCAA,34,19,15,.559,-3.31,-5.22,,9,7,,10,3,,7,11,,2239,2174,,63.1,100.3,.291,.366,.517,47.5,54.1,9.1,8.0,.483,15.9,28.3,.210
8,Alcorn State,31,12,19,.387,-15.95,-9.27,,9,9,,9,3,,2,13,,1985,2101,,64.8,102.5,.396,.311,.525,52.7,52.3,8.2,6.5,.483,16.3,34.0,.281
9,American NCAA,33,20,13,.606,0.69,-3.25,,13,5,,11,3,,9,9,,2081,1951,,60.7,97.0,.407,.312,.504,49.4,50.1,11.6,8.1,.464,17.0,29.7,.276
10,Appalachian State,30,9,21,.300,-15.32,-7.13,,5,11,,7,7,,2,13,,2034,2152,,67.4,105.6,.408,.296,.548,49.4,50.9,8.3,10.6,.519,16.4,30.2,.272
11,Arizona NCAA,38,33,5,.868,23.36,9.04,,15,3,,18,0,,8,3,,2769,2225,,64.1,90.2,.342,.265,.469,44.9,44.7,7.2,7.6,.423,16.6,27.3,.245
12,Arizona State NCAA,33,21,12,.636,13.32,7.41,,10,8,,16,1,,4,7,,2486,2291,,69.0,98.8,.373,.273,.496,51.6,47.1,7.9,11.6,.463,14.6,30.2,.242
13,Arkansas,34,22,12,.647,14.34,5.57,,10,8,,17,2,,3,7,,2723,2425,,72.3,97.2,.430,.310,.508,52.3,48.3,7.4,7.5,.462,19.5,36.6,.300
14,Arkansas State,32,19,13,.594,-0.44,-3.18,,10,8,,11,4,,7,8,,2432,2299,,68.6,102.0,.353,.326,.522,51.5,44.4,8.7,8.6,.483,16.1,31.1,.253
15,Arkansas-Pine Bluff,31,13,18,.419,-15.39,-6.90,,11,7,,6,3,,6,12,,1957,2188,,68.0,103.8,.498,.363,.568,53.4,62.3,11.1,12.6,.531,21.1,33.7,.341
16,Army,31,15,16,.484,-6.16,-4.66,,10,8,,7,7,,7,8,,2244,2269,,68.2,106.5,.354,.308,.553,51.1,51.2,10.7,9.3,.519,17.1,33.2,.255
17,Auburn,30,14,16,.467,5.11,5.47,,6,12,,12,6,,2,8,,2144,2155,,67.7,106.1,.487,.350,.542,50.7,60.0,8.6,9.8,.498,16.1,33.1,.338
18,Austin Peay,30,12,18,.400,-10.50,-5.78,,6,10,,8,6,,3,11,,2287,2368,,71.9,108.5,.342,.358,.560,51.3,56.7,10.8,8.4,.526,16.9,34.2,.252
19,Ball State,30,5,25,.167,-10.17,0.65,,2,16,,5,9,,0,16,,1967,2214,,67.0,107.9,.442,.285,.548,47.3,53.6,12.6,11.3,.507,14.4,29.4,.310
20,Baylor NCAA,38,26,12,.684,15.80,10.11,,9,9,,13,4,,5,5,,2843,2577,,64.2,104.3,.316,.335,.514,45.2,61.1,8.2,7.8,.485,13.6,31.7,.213
21,Belmont,36,26,10,.722,3.29,-1.88,,14,2,,13,1,,10,8,,2876,2661,,69.5,106.3,.422,.356,.557,51.2,50.1,10.4,9.7,.522,17.8,32.9,.294
22,Bethune-Cookman,32,7,25,.219,-16.86,-7.53,,5,11,,5,6,,2,18,,2032,2252,,63.4,110.2,.530,.340,.561,52.8,57.8,9.6,13.4,.514,16.8,36.9,.376
23,Binghamton,30,7,23,.233,-16.15,-6.15,,4,12,,3,10,,4,12,,1840,2140,,65.6,107.4,.408,.396,.560,52.5,61.0,11.1,10.6,.528,17.1,32.4,.280
24,Boise State,34,21,13,.618,8.83,3.86,,9,9,,12,4,,5,7,,2591,2347,,65.9,103.2,.401,.347,.543,46.7,47.6,6.9,9.2,.506,15.5,25.6,.282
25,Boston College,32,8,24,.250,3.01,8.62,,4,14,,4,9,,3,11,,2197,2354,,62.7,115.1,.406,.278,.557,52.9,47.7,8.7,10.2,.517,12.5,34.2,.296
26,Boston University,35,24,11,.686,1.77,-2.40,,15,3,,11,6,,11,4,,2492,2346,,65.9,100.3,.315,.336,.530,50.9,53.0,7.7,8.9,.498,17.8,29.8,.223
27,Bowling Green State,32,12,20,.375,-3.45,-0.20,,6,12,,7,8,,4,11,,2007,2055,,67.0,95.1,.374,.328,.502,50.2,56.3,12.4,8.1,.469,18.0,30.8,.244
28,Bradley,32,12,20,.375,-2.72,-0.31,,7,11,,11,6,,1,11,,2036,2113,,63.8,103.4,.434,.391,.543,50.0,56.7,9.2,8.6,.500,17.5,31.1,.309
29,Brigham Young NCAA,35,23,12,.657,11.63,5.72,,13,5,,14,1,,5,7,,2931,2706,,73.5,103.3,.372,.351,.529,46.7,55.1,8.1,8.7,.489,14.7,28.3,.265
30,Brown,29,15,14,.517,-1.44,-4.04,,7,7,,8,6,,7,8,,2065,1951,,69.4,96.1,.368,.319,.488,48.1,51.1,9.1,10.8,.442,14.6,27.6,.262
31,Bryant,32,18,14,.563,-4.25,-4.89,,10,6,,11,4,,7,9,,2351,2304,,67.9,105.2,.329,.358,.528,51.5,50.7,9.9,12.1,.498,15.6,33.8,.224
32,Bucknell,30,16,14,.533,-1.30,-3.14,,11,7,,8,6,,8,8,,1977,1922,,63.7,100.6,.318,.327,.508,47.2,49.1,8.7,12.7,.479,12.7,24.4,.210
