Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,11,20,.355,-19.60,-4.12,,2,12,,9,5,,0,14,,2214,2228,,1255,759,1640,.463,181,524,.345,529,747,.708,305,1004,407,205,128,431,576
2,Air Force,30,12,18,.400,-4.08,1.71,,6,12,,8,9,,3,8,,1980,2074,,1210,690,1595,.433,212,647,.328,482,687,.702,295,1016,404,208,128,354,559
3,Akron,34,21,13,.618,1.16,-0.48,,12,6,,13,2,,6,8,,2332,2276,,1375,809,1868,.433,173,517,.335,483,675,.716,368,1128,378,223,106,439,644
4,Alabama,32,13,19,.406,8.34,8.88,,7,11,,13,4,,0,11,,2170,2150,,1295,727,1736,.419,177,575,.308,519,698,.744,384,1117,381,179,129,410,611
5,Alabama A&M,30,14,16,.467,-13.86,-10.58,,10,8,,7,4,,5,11,,1936,2010,,1215,642,1585,.405,148,452,.327,578,831,.696,373,1141,291,197,93,413,588
6,Alabama State,32,19,13,.594,-12.84,-11.40,,12,6,,13,1,,5,10,,2265,2225,,1300,789,1779,.444,166,529,.314,481,692,.695,375,1181,383,195,101,476,647
7,Albany (NY) NCAA,34,19,15,.559,-3.31,-5.22,,9,7,,10,3,,7,11,,2239,2174,,1375,775,1848,.419,236,676,.349,388,537,.723,329,1062,419,197,103,397,646
8,Alcorn State,31,12,19,.387,-15.95,-9.27,,9,9,,9,3,,2,13,,1985,2101,,1265,724,1684,.430,179,524,.342,474,667,.711,339,1069,379,168,79,390,542
9,American NCAA,33,20,13,.606,0.69,-3.25,,13,5,,11,3,,9,9,,2081,1951,,1325,671,1621,.414,161,505,.319,448,660,.679,319,962,336,234,79,396,579
10,Appalachian State,30,9,21,.300,-15.32,-7.13,,5,11,,7,7,,2,13,,2034,2152,,1210,763,1644,.464,179,486,.368,447,670,.667,303,1064,388,170,130,386,601
11,Arizona NCAA,38,33,5,.868,23.36,9.04,,15,3,,18,0,,8,3,,2769,2225,,1540,776,2041,.380,173,541,.320,500,698,.716,369,1181,347,178,118,471,699
12,Arizona State NCAA,33,21,12,.636,13.32,7.41,,10,8,,16,1,,4,7,,2486,2291,,1345,821,1961,.419,175,536,.326,474,732,.648,385,1251,387,184,135,394,658
13,Arkansas,34,22,12,.647,14.34,5.57,,10,8,,17,2,,3,7,,2723,2425,,1376,809,1983,.408,213,615,.346,594,852,.697,473,1340,391,185,105,579,688
