Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Ken Burmeister,Incarnate Word,Southland,,21,6,0.778,,,,,2013-14,21,6,0.778,,,,,,133,121,0.524,1.0,,,
Mark Byington,Georgia Southern,Southern,,15,19,0.441,,,,,2013-14,15,19,0.441,,,,,,15,19,0.441,,,,
Rick Byrd,Belmont,OVC,,26,10,0.722,,,,,1999-00,299,175,0.631,6.0,,,,,299,175,0.631,6.0,,,
Jeff Bzdelik,Wake Forest,ACC,,17,16,0.515,,,,,2010-11,51,76,0.402,,,,,,162,181,0.472,1.0,,,
John Calipari *,Kentucky,SEC,,29,11,0.725,1.0,,Lost National Final,,2009-10,152,37,0.804,4.0,4.0,3.0,1.0,,597,177,0.771,15.0,11.0,5.0,1.0
Joe Callero,Cal Poly,Big West,,14,20,0.412,,,Lost Second Round,,2009-10,77,83,0.481,1.0,,,,,77,83,0.481,1.0,,,
Jason Capel,Appalachian State,Southern,,9,21,0.3,,,,,2010-11,53,70,0.431,,,,,,53,70,0.431,,,,
David Carter,Nevada,MWC,,15,17,0.469,,,,,2009-10,89,75,0.543,,,,,,89,75,0.543,,,,
Chris Casey,Niagara,MAAC,,7,26,0.212,,,,,2013-14,7,26,0.212,,,,,,7,26,0.212,,,,
Patrick Chambers,Penn State,Big Ten,,16,18,0.471,,,,,2011-12,38,59,0.392,,,,,,80,87,0.479,1.0,,,
Scott Cherry,High Point,Big South,,16,15,0.516,,,,,2009-10,73,81,0.474,,,,,,73,81,0.474,,,,
Jamion Christian,Mount St. Mary's,NEC,,16,17,0.485,,,Lost First Round,,2012-13,34,31,0.523,1.0,,,,,34,31,0.523,1.0,,,
Jim Christian,Ohio,MAC,,25,12,0.676,,,,,2012-13,49,22,0.69,,,,,,242,154,0.611,2.0,,,
Tim Cluess,Iona,MAAC,,22,11,0.667,,,,,2010-11,92,45,0.672,2.0,,,,,92,45,0.672,2.0,,,
Bill Coen,Northeastern,CAA,,11,21,0.344,,,,,2006-07,122,133,0.478,,,,,,122,133,0.478,,,,
Chris Collins,Northwestern,Big Ten,,14,19,0.424,,,,,2013-14,14,19,0.424,,,,,,14,19,0.424,,,,
Ed Conroy,Tulane,CUSA,,17,17,0.5,,,,,2010-11,65,65,0.5,,,,,,114,141,0.447,,,,
Ed Cooley,Providence,Big East,,23,12,0.657,,,Lost Second Round,,2011-12,57,44,0.564,1.0,,,,,149,113,0.569,1.0,,,
John Cooper,Miami (OH),MAC,,13,18,0.419,,,,,2012-13,22,40,0.355,,,,,,65,92,0.414,,,,
Paul Cormier,Dartmouth,Ivy,,12,16,0.429,,,,,1984-85,118,178,0.399,,,,,,204,289,0.414,1.0,,,
Ron Cottrell,Houston Christian,Southland,,6,25,0.194,,,,,2008-09,52,134,0.28,,,,,,52,134,0.28,,,,
Bill Courtney,Cornell,Ivy,,2,26,0.071,,,,,2010-11,37,78,0.322,,,,,,37,78,0.322,,,,
Tim Craft,Gardner-Webb,Big South,,18,15,0.545,,,,,2013-14,18,15,0.545,,,,,,18,15,0.545,,,,
Gravelle Craig,Bethune-Cookman,MEAC,,7,25,0.219,,,,,2011-12,39,62,0.386,,,,,,39,62,0.386,,,,
Tom Crean,Indiana,Big Ten,,17,15,0.531,,,,,2008-09,101,97,0.51,2.0,2.0,,,,291,193,0.601,7.0,3.0,1.0,
Jim Crews,Saint Louis,A-10,,27,7,0.794,,25.0,Lost Third Round,,2012-13,55,14,0.797,2.0,,,,,408,363,0.529,6.0,,,
Mick Cronin,Cincinnati,AAC,,27,7,0.794,,15.0,Lost Second Round,,2006-07,162,107,0.602,4.0,1.0,,,,231,131,0.638,6.0,1.0,,
Scott Cross,UT Arlington,Sun Belt,,15,17,0.469,,,,,2006-07,137,113,0.548,1.0,,,,,137,113,0.548,1.0,,,
Phil Cunningham,Troy,Sun Belt,,11,20,0.355,,,,,2013-14,11,20,0.355,,,,,,11,20,0.355,,,,
Dennis Cutts,UC Riverside,Big West,,10,21,0.323,,,,,2013-14,10,21,0.323,,,,,,10,21,0.323,,,,
Keith Dambrot,Akron,MAC,,21,13,0.618,,,,,2004-05,231,107,0.683,3.0,,,,,251,141,0.64,3.0,,,
Keno Davis,Central Michigan,MAC,,10,21,0.323,,,,,2012-13,21,41,0.339,,,,,,95,96,0.497,1.0,,,
Kermit Davis Jr,Middle Tennessee,CUSA,,24,9,0.727,,,,,2002-03,232,148,0.611,1.0,,,,,303,198,0.605,3.0,,,
Mike Davis,Texas Southern,SWAC,,19,15,0.559,,,Lost First Round,,2012-13,36,29,0.554,1.0,,,,,273,181,0.601,6.0,1.0,1.0,
Johnny Dawkins Jr,Stanford,Pac-12,,23,13,0.639,,,Lost Regional Semifinal,,2008-09,117,87,0.574,1.0,1.0,,,,117,87,0.574,1.0,1.0,,
Ed DeChellis,Navy,Patriot,,9,21,0.3,,,,,2011-12,20,70,0.222,,,,,,239,301,0.443,2.0,,,
Tommy Dempsey,Binghamton,AEC,,7,23,0.233,,,,,2012-13,10,50,0.167,,,,,,129,155,0.454,,,,
Howie Dickenman,Central Connecticut State,NEC,,11,19,0.367,,,,,1996-97,273,260,0.512,3.0,,,,,273,260,0.512,3.0,,,
James Dickey,Houston,AAC,,17,16,0.515,,,,,2010-11,64,62,0.508,,,,,,230,186,0.553,2.0,1.0,,
Tracy Dildy,Chicago State,WAC,,13,19,0.406,,,,,2010-11,34,93,0.268,,,,,,34,93,0.268,,,,
Jamie Dixon,Pittsburgh,ACC,,26,10,0.722,,,Lost Third Round,,2003-04,288,96,0.75,10.0,3.0,,,,288,96,0.75,10.0,3.0,,
Cameron Dollar,Seattle,WAC,,13,17,0.433,,,,,2009-10,61,88,0.409,,,,,,61,88,0.409,,,,
Steve Donahue,Boston College,ACC,,8,24,0.25,,,,,2010-11,54,76,0.415,,,,,,200,214,0.483,3.0,1.0,,
Billy Donlon,Wright State,Horizon,,21,15,0.583,,,,,2010-11,76,61,0.555,,,,,,76,61,0.555,,,,
Billy Donovan,Florida,SEC,,36,3,0.923,10.0,1.0,Lost National Semifinal,,1996-97,451,169,0.727,14.0,8.0,4.0,2.0,,486,189,0.72,14.0,8.0,4.0,2.0
Joe Dooley,Florida Gulf Coast,A-Sun,,22,13,0.629,,,,,2013-14,22,13,0.629,,,,,,79,65,0.549,,,,
Bryce Drew,Valparaiso,Horizon,,18,16,0.529,,,,,2011-12,66,36,0.647,1.0,,,,,66,36,0.647,1.0,,,
Scott Drew,Baylor,Big 12,,26,12,0.684,25.0,23.0,Lost Regional Semifinal,,2003-04,206,150,0.579,4.0,3.0,,,,226,161,0.584,4.0,3.0,,
Chuck Driesell,The Citadel,Southern,,7,26,0.212,,,,,2010-11,31,94,0.248,,,,,,31,94,0.248,,,,
Matthew Driscoll,North Florida,A-Sun,,16,16,0.5,,,,,2009-10,73,88,0.453,,,,,,73,88,0.453,,,,
John Dunne,Saint Peter's,MAAC,,14,17,0.452,,,,,2006-07,86,160,0.35,1.0,,,,,86,160,0.35,1.0,,,
Fran Dunphy,Temple,AAC,,9,22,0.29,,,,,2006-07,167,97,0.633,6.0,,,,,477,260,0.647,15.0,,,
Pat Duquette,Massachusetts-Lowell,AEC,,10,18,0.357,,,,,2013-14,10,18,0.357,,,,,,10,18,0.357,,,,
Cliff Ellis,Coastal Carolina,Big South,,21,13,0.618,,,Lost Second Round,,2007-08,134,88,0.604,1.0,,,,,670,426,0.611,9.0,3.0,,
Andy Enfield,Southern California,Pac-12,,11,21,0.344,,,,,2013-14,11,21,0.344,,,,,,52,49,0.515,1.0,1.0,,
Jim Engles,NJIT,Ind,,13,16,0.448,,,,,2008-09,70,112,0.385,,,,,,70,112,0.385,,,,
Larry Eustachy,Colorado State,MWC,,16,16,0.5,,,,,2012-13,42,25,0.627,1.0,,,,,444,283,0.611,5.0,1.0,,
Anthony Evans,Florida International,CUSA,,15,16,0.484,,,,,2013-14,15,16,0.484,,,,,,114,110,0.509,1.0,,,
Bill Evans,Idaho State,Big Sky,,11,18,0.379,,,,,2012-13,17,42,0.288,,,,,,225,265,0.459,1.0,,,
Jim Ferry,Duquesne,A-10,,13,17,0.433,,,,,2012-13,21,39,0.35,,,,,,171,188,0.476,2.0,,,
Mark Few,Gonzaga,WCC,,29,7,0.806,15.0,,Lost Third Round,,1999-00,403,100,0.801,15.0,4.0,,,,403,100,0.801,15.0,4.0,,
Clarence Finley,Central Arkansas,Southland,,8,21,0.276,,,,,2013-14,8,21,0.276,,,,,,8,21,0.276,,,,
Steve Fisher *,San Diego State,MWC,,31,5,0.861,,13.0,Lost Regional Semifinal,,1999-00,312,176,0.639,7.0,2.0,,,,497,257,0.659,14.0,6.0,3.0,1.0
Bruiser Flint,Drexel,CAA,,16,14,0.533,,,,,2001-02,228,173,0.569,,,,,,314,245,0.562,2.0,,,
Tim Floyd *,UTEP,CUSA,,23,11,0.676,,,,,2010-11,81,52,0.609,,,,,,408,233,0.637,8.0,2.0,,
Geno Ford,Bradley,MVC,,12,20,0.375,,,,,2011-12,37,62,0.374,,,,,,105,99,0.515,,,,
Travis Ford,Oklahoma State,Big 12,,21,13,0.618,9.0,,Lost Second Round,,2008-09,125,77,0.619,4.0,,,,,248,192,0.564,5.0,,,
Lennox Forrester,SIU Edwardsville,OVC,,11,20,0.355,,,,,2008-09,53,119,0.308,,,,,,53,119,0.308,,,,
Mark Fox,Georgia,SEC,,20,14,0.588,,,,,2009-10,85,77,0.525,1.0,,,,,208,120,0.634,4.0,,,
John Gallagher,Hartford,AEC,,17,16,0.515,,,,,2010-11,54,72,0.429,,,,,,54,72,0.429,,,,
Eran Ganot,Saint Mary's (CA),WCC,,3,2,0.6,,,,,2013-14,3,2,0.6,,,,,,3,2,0.6,,,,
Murray Garvin,South Carolina State,MEAC,,9,21,0.3,,,,,2012-13,11,28,0.282,,,,,,11,28,0.282,,,,
Jayson Gee,Longwood,Big South,,8,24,0.25,,,,,2013-14,8,24,0.25,,,,,,8,24,0.25,,,,
Tyler Geving,Portland State,Big Sky,,17,15,0.531,,,,,2009-10,69,85,0.448,,,,,,69,85,0.448,,,,
Ray Giacoletti,Drake,MVC,,15,16,0.484,,,,,2013-14,15,16,0.484,,,,,,138,106,0.566,2.0,1.0,,
John Giannini,La Salle,A-10,,15,16,0.484,,,,,2004-05,158,154,0.506,1.0,1.0,,,,283,265,0.516,1.0,1.0,,
Joe Golding,Abilene Christian,Southland,,11,20,0.355,,,,,2013-14,11,20,0.355,,,,,,11,20,0.355,,,,
Max Good,Loyola Marymount,WCC,,13,19,0.406,,,,,2008-09,77,117,0.397,,,,,,186,255,0.422,,,,
Mark Gottfried,NC State,ACC,,22,14,0.611,,,Lost Second Round,,2011-12,70,38,0.648,3.0,1.0,,,,348,193,0.643,10.0,2.0,,
Anthony Grant,Alabama,SEC,,13,19,0.406,,,,,2009-10,99,71,0.582,1.0,,,,,175,96,0.646,3.0,,,
Matthew Graves,South Alabama,Sun Belt,,11,20,0.355,,,,,2013-14,11,20,0.355,,,,,,11,20,0.355,,,,
James Green,Jacksonville State,OVC,,10,21,0.323,,,,,2008-09,69,111,0.383,,,,,,236,273,0.464,1.0,,,
Brian Gregory,Georgia Tech,ACC,,16,17,0.485,,,,,2011-12,43,52,0.453,,,,,,215,146,0.596,2.0,,,
Bill Grier,San Diego,WCC,,18,17,0.514,,,,,2007-08,102,128,0.443,1.0,,,,,102,128,0.443,1.0,,,
John Groce,Illinois,Big Ten,,20,15,0.571,,,,,2012-13,43,28,0.606,1.0,,,,,128,84,0.604,3.0,1.0,,
Jerod Haase,UAB,CUSA,,18,13,0.581,,,,,2012-13,34,30,0.531,,,,,,34,30,0.531,,,,
Frank Haith,Missouri,SEC,,23,12,0.657,,,,,2011-12,76,28,0.731,2.0,,,,,205,129,0.614,3.0,,,
Leonard Hamilton *,Florida State,ACC,,22,14,0.611,,,,,2002-03,241,157,0.606,4.0,1.0,,,,441,367,0.546,7.0,2.0,,
Derrin Hansen,Omaha,Summit,,17,15,0.531,,,,,2012-13,28,35,0.444,,,,,,28,35,0.444,,,,
Ray Harper,Western Kentucky,Sun Belt,,20,12,0.625,,,,,2011-12,51,36,0.586,2.0,,,,,51,36,0.586,2.0,,,
Steve Hawkins,Western Michigan,MAC,,23,10,0.697,,,Lost Second Round,,2003-04,204,155,0.568,2.0,,,,,204,155,0.568,2.0,,,
Willie Hayes,Alabama A&M,SWAC,,14,16,0.467,,,,,2011-12,32,57,0.36,,,,,,32,57,0.36,,,,
Jim Hayford,Eastern Washington,Big Sky,,15,16,0.484,,,,,2011-12,40,54,0.426,,,,,,40,54,0.426,,,,
Stan Heath,South Florida,AAC,,12,20,0.375,,,,,2007-08,97,130,0.427,1.0,,,,,209,207,0.502,4.0,1.0,,
Mitch Henderson,Princeton,Ivy,,21,9,0.7,,,,,2011-12,58,32,0.644,,,,,,58,32,0.644,,,,
Greg Herenda,Fairleigh Dickinson,NEC,,10,21,0.323,,,,,2013-14,10,21,0.323,,,,,,10,21,0.323,,,,
Bill Herrion,New Hampshire,AEC,,6,24,0.2,,,,,2005-06,98,168,0.368,,,,,,335,337,0.499,3.0,,,
Tom Herrion,Marshall,CUSA,,11,22,0.333,,,,,2010-11,67,67,0.5,,,,,,147,105,0.583,,,,
Paul Hewitt,George Mason,A-10,,11,20,0.355,,,,,2011-12,57,45,0.559,,,,,,313,234,0.572,6.0,1.0,1.0,
B.J. Hill *,Northern Colorado,Big Sky,,18,14,0.562,,,,,2010-11,61,62,0.496,1.0,,,,,61,62,0.496,1.0,,,
Barry Hinson,Southern Illinois,MVC,,14,19,0.424,,,,,2012-13,28,36,0.438,,,,,,233,176,0.57,,,,
Dan Hipsher,Texas-Rio Grande Valley,WAC,,9,23,0.281,,,,,2013-14,9,23,0.281,,,,,,150,187,0.445,,,,
Bob Hoffman,Mercer,A-Sun,,27,9,0.75,,,Lost Third Round,,2008-09,126,82,0.606,1.0,,,,,194,159,0.55,1.0,,,
Fred Hoiberg,Iowa State,Big 12,,28,8,0.778,,9.0,Lost Regional Semifinal,,2010-11,90,47,0.657,3.0,1.0,,,,90,47,0.657,3.0,1.0,,
Jason Hooten,Sam Houston,Southland,,24,11,0.686,,,,,2010-11,72,60,0.545,,,,,,72,60,0.545,,,,
Todd Howard,IUPUI,Summit,,6,26,0.188,,,,,2011-12,26,70,0.271,,,,,,26,70,0.271,,,,
Bob Huggins,West Virginia,Big 12,,17,16,0.515,,,,,2007-08,150,91,0.622,5.0,2.0,1.0,,,668,277,0.707,20.0,6.0,2.0,
Dick Hunsaker,Utah Valley,WAC,,20,12,0.625,,,,,2004-05,171,129,0.57,,,,,,286,175,0.62,2.0,1.0,,
Larry Hunter,Western Carolina,Southern,,19,15,0.559,,,,,2005-06,140,152,0.479,,,,,,344,300,0.534,1.0,,,
Ron Hunter,Georgia State,Sun Belt,,25,9,0.735,,,,,2011-12,62,37,0.626,,,,,,283,216,0.567,1.0,,,
Bobby Hurley,Buffalo,MAC,,19,10,0.655,,,,,2013-14,19,10,0.655,,,,,,19,10,0.655,,,,
Dan Hurley,Rhode Island,A-10,,14,18,0.438,,,,,2012-13,22,39,0.361,,,,,,60,62,0.492,,,,
Brad Huse,Montana State,Big Sky,,14,17,0.452,,,,,2006-07,107,134,0.444,,,,,,107,134,0.444,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,13,18,0.419,,,,,2008-09,78,112,0.411,1.0,,,,,78,112,0.411,1.0,,,
Tom Izzo,Michigan State,Big Ten,,29,9,0.763,2.0,11.0,Lost Regional Final,,1995-96,468,187,0.715,17.0,12.0,6.0,1.0,,468,187,0.715,17.0,12.0,6.0,1.0
Greg Jackson,Delaware State,MEAC,,4,15,0.211,,,,,2000-01,200,216,0.481,1.0,,,,,200,216,0.481,1.0,,,
Lewis Jackson,Alabama State,SWAC,,19,13,0.594,,,,,2005-06,138,146,0.486,2.0,,,,,138,146,0.486,2.0,,,
Ben Jacobson,Northern Iowa,MVC,,16,15,0.516,,,,,2006-07,166,101,0.622,2.0,1.0,,,,166,101,0.622,2.0,1.0,,
Jason James,Tennessee-Martin,OVC,,8,23,0.258,,,,,2009-10,37,117,0.24,,,,,,37,117,0.24,,,,
Joey James,South Dakota,Summit,,12,18,0.4,,,,,2013-14,12,18,0.4,,,,,,12,18,0.4,,,,
Mike Jarvis,Florida Atlantic,CUSA,,10,22,0.312,,,,,2008-09,76,112,0.404,,,,,,439,314,0.583,9.0,2.0,,
Tony Jasick,Purdue Fort Wayne,Summit,,25,11,0.694,,,,,2011-12,52,47,0.525,,,,,,52,47,0.525,,,,
Rob Jeter,Milwaukee,Horizon,,21,14,0.6,,,Lost Second Round,,2005-06,150,141,0.515,2.0,,,,,150,141,0.515,2.0,,,
Clemon Johnson,Florida A&M,MEAC,,14,18,0.438,,,,,2011-12,32,64,0.333,,,,,,32,64,0.333,,,,
James Johnson,Virginia Tech,ACC,,9,22,0.29,,,,,2012-13,22,41,0.349,,,,,,22,41,0.349,,,,
Sydney Johnson,Fairfield,MAAC,,7,25,0.219,,,,,2011-12,48,56,0.462,,,,,,114,109,0.511,1.0,,,
Trent Johnson,TCU,Big 12,,9,22,0.29,,,,,2012-13,20,43,0.317,,,,,,246,229,0.518,5.0,2.0,,
Brian Jones,North Dakota,Big Sky,,17,17,0.5,,,,,2009-10,77,87,0.47,,,,,,77,87,0.47,,,,
Donnie Jones *,Central Florida,AAC,,13,18,0.419,,,,,2010-11,76,52,0.594,,,,,,131,93,0.585,,,,
James Jones,Yale,Ivy,,19,14,0.576,,,,,1999-00,209,222,0.485,,,,,,209,222,0.485,,,,
Jeff Jones,Old Dominion,CUSA,,18,18,0.5,,,,,2013-14,18,18,0.5,,,,,,375,305,0.551,7.0,2.0,,
Joe Jones,Boston University,Patriot,,24,11,0.686,,,,,2011-12,57,40,0.588,,,,,,143,148,0.491,,,,
Johnny Jones,Louisiana State,SEC,,20,14,0.588,,,,,2012-13,39,26,0.6,,,,,,244,188,0.565,2.0,,,
Mike Jones,Radford,Big South,,22,13,0.629,,,,,2011-12,41,58,0.414,,,,,,41,58,0.414,,,,
Robert Jones,Norfolk State,MEAC,,19,15,0.559,,,,,2013-14,19,15,0.559,,,,,,19,15,0.559,,,,
Eddie Jordan,Rutgers,AAC,,12,21,0.364,,,,,2013-14,12,21,0.364,,,,,,12,21,0.364,,,,
Edward Joyner Jr,Hampton,MEAC,,18,13,0.581,,,,,2009-10,82,78,0.512,1.0,,,,,82,78,0.512,1.0,,,
Greg Kampe,Oakland,Horizon,,13,20,0.394,,,,,1999-00,255,224,0.532,3.0,,,,,255,224,0.532,3.0,,,
Danny Kaspar,Texas State,Sun Belt,,8,23,0.258,,,,,2013-14,8,23,0.258,,,,,,254,164,0.608,1.0,,,
Brian Katz,Sacramento State,Big Sky,,14,16,0.467,,,,,2008-09,56,118,0.322,,,,,,56,118,0.322,,,,
Kerry Keating,Santa Clara,WCC,,14,19,0.424,,,,,2007-08,114,121,0.485,,,,,,114,121,0.485,,,,
Derek Kellogg,Massachusetts,A-10,,24,9,0.727,,,Lost Second Round,,2008-09,109,86,0.559,1.0,,,,,109,86,0.559,1.0,,,
Pat Kelsey,Winthrop,Big South,,20,13,0.606,,,,,2012-13,34,30,0.531,,,,,,34,30,0.531,,,,
Andy Kennedy,Mississippi,SEC,,19,14,0.576,,,,,2006-07,171,101,0.629,1.0,,,,,192,114,0.627,1.0,,,
Billy Kennedy,Texas A&M,SEC,,18,16,0.529,,,,,2011-12,50,49,0.505,,,,,,261,228,0.534,2.0,,,
Pat Knight,Lamar,Southland,,3,22,0.12,,,,,2011-12,29,62,0.319,1.0,,,,,79,123,0.391,1.0,,,
Tod Kowalczyk,Toledo,MAC,,27,7,0.794,,,,,2010-11,65,65,0.5,,,,,,201,177,0.532,,,,
Rob Krimmel,Saint Francis (PA),NEC,,10,21,0.323,,,,,2012-13,15,45,0.25,,,,,,15,45,0.25,,,,
Lon Kruger,Oklahoma,Big 12,,23,10,0.697,,21.0,Lost Second Round,,2011-12,58,38,0.604,2.0,,,,,537,342,0.611,15.0,3.0,1.0,
Larry Krystkowiak,Utah,Pac-12,,21,12,0.636,,,,,2011-12,42,55,0.433,,,,,,84,75,0.528,2.0,,,
Mike Krzyzewski,Duke,ACC,,26,9,0.743,4.0,8.0,Lost Second Round,,1980-81,910,247,0.787,30.0,21.0,11.0,4.0,,983,306,0.763,30.0,21.0,11.0,4.0
Matt Langel,Colgate,Patriot,,13,18,0.419,,,,,2011-12,32,61,0.344,,,,,,32,61,0.344,,,,
Greg Lansing,Indiana State,MVC,,23,11,0.676,,,,,2010-11,79,55,0.59,1.0,,,,,79,55,0.59,1.0,,,
Jim Larranaga,Miami (FL),ACC,,17,16,0.515,,,,,2011-12,66,36,0.647,1.0,1.0,,,,508,345,0.596,6.0,2.0,1.0,
Anthony Latina,Sacred Heart,NEC,,5,26,0.161,,,,,2013-14,5,26,0.161,,,,,,5,26,0.161,,,,
Steve Lavin,St. John's (NY),Big East,,20,13,0.606,,,,,2010-11,71,60,0.542,1.0,,,,,216,138,0.61,7.0,5.0,,
Dale Layer,Liberty,Big South,,11,21,0.344,,,,,2009-10,74,89,0.454,1.0,,,,,177,195,0.476,2.0,,,
Jeff Lebo,East Carolina,CUSA,,17,17,0.5,,,,,2010-11,73,61,0.545,,,,,,284,217,0.567,,,,
Jim Les,UC Davis,Big West,,9,22,0.29,,,,,2011-12,28,65,0.301,,,,,,182,205,0.47,1.0,1.0,,
Mike Lonergan,George Washington,A-10,,24,9,0.727,,,Lost Second Round,,2011-12,47,47,0.5,1.0,,,,,173,115,0.601,2.0,,,
