Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Casey Alexander,Lipscomb,A-Sun,,15,15,0.5,,,,,2013-14,15,15,0.5,,,,,,39,51,0.433,,,,
Cy Alexander,North Carolina A&T,MEAC,,9,23,0.281,,,,,2012-13,29,40,0.42,1.0,,,,,372,346,0.518,6.0,,,
Steve Alford,UCLA,Pac-12,,28,9,0.757,22.0,20.0,Lost Regional Semifinal,,2013-14,28,9,0.757,1.0,1.0,,,,413,215,0.658,8.0,2.0,,
Frankie Allen,Maryland-Eastern Shore,MEAC,,6,24,0.2,,,,,2008-09,42,139,0.232,,,,,,265,433,0.38,2.0,,,
Jerome Allen,Pennsylvania,Ivy,,8,20,0.286,,,,,2009-10,56,85,0.397,,,,,,56,85,0.397,,,,
Dana Altman,Oregon,Pac-12,,24,10,0.706,19.0,,Lost Third Round,,2010-11,97,47,0.674,2.0,1.0,,,,507,290,0.636,10.0,1.0,,
Tommy Amaker,Harvard,Ivy,,27,5,0.844,,,Lost Third Round,,2007-08,139,71,0.662,3.0,,,,,315,210,0.6,4.0,1.0,,
Mike Anderson Sr,Arkansas,SEC,,22,12,0.647,,,,,2011-12,59,39,0.602,,,,,,259,137,0.654,6.0,2.0,,
Gib Arnold *,Hawaii,Big West,,20,11,0.645,,,,,2010-11,72,55,0.567,,,,,,72,55,0.567,,,,
Kevin Baggett,Rider,MAAC,,14,17,0.452,,,,,2012-13,33,32,0.508,,,,,,33,32,0.508,,,,
Roman Banks,Southern,SWAC,,19,13,0.594,,,,,2011-12,59,37,0.615,1.0,,,,,59,37,0.615,1.0,,,
Tony Barbee,Auburn,SEC,,14,16,0.467,,,,,2010-11,49,75,0.395,,,,,,131,127,0.508,1.0,,,
Rick Barnes,Texas,Big 12,,24,11,0.686,,,Lost Third Round,,1998-99,382,166,0.697,15.0,5.0,1.0,,,584,300,0.661,21.0,6.0,1.0,
Rod Barnes,Cal State Bakersfield,WAC,,13,19,0.406,,,,,2011-12,43,50,0.462,,,,,,229,239,0.489,3.0,1.0,,
Jim Baron,Canisius,MAAC,,21,13,0.618,,,,,2012-13,41,27,0.603,,,,,,430,396,0.521,2.0,,,
Murry Bartow,East Tennessee State,A-Sun,,19,16,0.543,,,,,2003-04,208,151,0.579,3.0,,,,,311,234,0.571,4.0,,,
Duggar Baucom,VMI,Big South,,22,13,0.629,,,,,2005-06,140,140,0.5,,,,,,140,140,0.5,,,,
John Becker,Vermont,AEC,,22,11,0.667,,,,,2011-12,67,35,0.657,1.0,,,,,67,35,0.657,1.0,,,
John Beilein,Michigan,Big Ten,,28,9,0.757,7.0,7.0,Lost Regional Final,,2007-08,150,94,0.615,5.0,2.0,1.0,,,443,269,0.622,9.0,4.0,1.0,
Tony Benford,North Texas,CUSA,,16,16,0.5,,,,,2012-13,28,36,0.438,,,,,,28,36,0.438,,,,
Randy Bennett,Saint Mary's (CA),WCC,,20,10,0.667,,,,,2001-02,283,135,0.677,5.0,1.0,,,,283,135,0.677,5.0,1.0,,
Tony Bennett,Virginia,ACC,,30,7,0.811,24.0,3.0,Lost Regional Semifinal,,2009-10,106,60,0.639,2.0,1.0,,,,175,93,0.653,4.0,2.0,,
Dave Bezold,Northern Kentucky,A-Sun,,9,21,0.3,,,,,2012-13,20,37,0.351,,,,,,20,37,0.351,,,,
Jim Boeheim *,Syracuse,ACC,,28,6,0.824,8.0,14.0,Lost Third Round,,1976-77,948,320,0.748,31.0,17.0,4.0,1.0,,948,320,0.748,31.0,17.0,4.0,1.0
Ken Bone,Washington State,Pac-12,,10,21,0.323,,,,,2009-10,80,86,0.482,,,,,,157,135,0.538,2.0,,,
Jeff Bower,Marist,MAAC,,12,19,0.387,,,,,2013-14,12,19,0.387,,,,,,12,19,0.387,,,,
Tad Boyle,Colorado,Pac-12,,23,12,0.657,,,Lost Second Round,,2010-11,92,50,0.648,3.0,,,,,148,116,0.561,3.0,,,
Todd Bozeman *,Morgan State,MEAC,,15,16,0.484,,,,,2006-07,143,116,0.552,2.0,,,,,206,151,0.577,5.0,1.0,,
John Brady,Arkansas State,Sun Belt,,19,13,0.594,,,,,2008-09,99,91,0.521,,,,,,380,307,0.553,4.0,2.0,1.0,
Matt Brady,James Madison,CAA,,11,20,0.355,,,,,2008-09,99,102,0.493,1.0,,,,,172,152,0.531,1.0,,,
Glenn Braica,St. Francis (NY),NEC,,18,14,0.562,,,,,2010-11,60,62,0.492,,,,,,60,62,0.492,,,,
Ben Braun,Rice,CUSA,,7,23,0.233,,,,,2008-09,63,128,0.33,,,,,,466,415,0.529,8.0,2.0,,
Mike Brennan,American,Patriot,,20,13,0.606,,,Lost Second Round,,2013-14,20,13,0.606,1.0,,,,,20,13,0.606,1.0,,,
Wayne Brent,Jackson State,SWAC,,11,20,0.355,,,,,2013-14,11,20,0.355,,,,,,11,20,0.355,,,,
Mike Brey,Notre Dame,ACC,,15,17,0.469,21.0,,,,2000-01,300,159,0.654,9.0,1.0,,,,399,211,0.654,11.0,1.0,,
Horace Broadnax *,Savannah State,MEAC,,13,19,0.406,,,,,2005-06,118,157,0.429,,,,,,160,245,0.395,,,,
Larry Brown *,Southern Mississippi,AAC,,27,10,0.73,,,,,2012-13,42,27,0.609,,,,,,219,88,0.713,7.0,4.0,3.0,1.0
Milan Brown,Holy Cross,Patriot,,20,14,0.588,,,,,2010-11,55,67,0.451,,,,,,150,187,0.445,1.0,,,
Will Brown,Albany (NY),AEC,,19,15,0.559,,,Lost Second Round,,2001-02,191,206,0.481,4.0,,,,,191,206,0.481,4.0,,,
Brad Brownell,Clemson,ACC,,23,13,0.639,,,,,2010-11,74,58,0.561,1.0,,,,,241,143,0.628,4.0,,,
