Team_A, Team_B, Score_Differential
Albany (NY),Mount St. Mary's,-7
NC State,Xavier,-15
Cal Poly,Texas Southern,-12
Iowa,Tennessee,13
Delaware,Michigan State,15
Albany (NY),Florida,12
Manhattan,Louisville,7
Milwaukee,Villanova,20
Wofford,Michigan,17
American,Wisconsin,40
New Mexico State,San Diego State,4
Western Michigan,Syracuse,24
Harvard,Cincinnati,-4
Saint Joseph's,Connecticut,8
North Dakota State,Oklahoma,-5
Dayton,Ohio State,-1
NC State,Saint Louis,-3
Pittsburgh,Colorado,-29
Brigham Young,Oregon,19
Arizona State,Texas,2
Eastern Kentucky,Kansas,11
Cal Poly,Wichita State,27
Coastal Carolina,Virginia,11
Weber State,Arizona,9
Mercer,Duke,-7
North Carolina Central,Iowa State,18
Louisiana,Creighton,10
Stanford,New Mexico,-5
Providence,North Carolina,2
Tulsa,UCLA,17
Nebraska,Baylor,14
Stephen F. Austin,Virginia Commonwealth,-2
Tennessee,Massachusetts,-19
Oklahoma State,Gonzaga,8
George Washington,Memphis,5
Kansas State,Kentucky,7
Harvard,Michigan State,7
Pittsburgh,Florida,16
Saint Louis,Louisville,15
Connecticut,Villanova,-12
Texas,Michigan,14
Oregon,Wisconsin,8
North Dakota State,San Diego State,19
Dayton,Syracuse,-2
Stanford,Kansas,-3
Kentucky,Wichita State,-2
Memphis,Virginia,18
Gonzaga,Arizona,23
North Carolina,Iowa State,2
Baylor,Creighton,-30
Stephen F. Austin,UCLA,17
Mercer,Tennessee,20
UCLA,Florida,11
San Diego State,Arizona,6
Baylor,Wisconsin,17
Dayton,Stanford,-10
Michigan State,Virginia,-2
Kentucky,Louisville,-5
Tennessee,Michigan,2
Connecticut,Iowa State,-5
Dayton,Florida,10
Wisconsin,Arizona,-1
Connecticut,Michigan State,-6
Kentucky,Michigan,-3
Connecticut,Florida,-10
Kentucky,Wisconsin,-1
Kentucky,Connecticut,6
