Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Griff Aldrich,Longwood,Big South,,16,18,0.471,,,,,2018-19,16,18,0.471,,,,,,16,18,0.471,,,,
Casey Alexander,Lipscomb,A-Sun,,29,8,0.784,,,,,2013-14,113,84,0.574,1.0,,,,,137,120,0.533,1.0,,,
Steve Alford,UCLA,Pac-12,,7,6,0.538,21.0,,,,2013-14,124,63,0.663,4.0,3.0,,,,509,269,0.654,11.0,4.0,,
Jimmy Allen,Army,Patriot,,13,19,0.406,,,,,2016-17,39,55,0.415,,,,,,39,55,0.415,,,,
Dana Altman,Oregon,Pac-12,,25,13,0.658,14.0,,Lost Regional Semifinal,,2010-11,235,96,0.71,6.0,4.0,1.0,,,645,339,0.655,14.0,4.0,1.0,
Tommy Amaker,Harvard,Ivy,,19,12,0.613,,,,,2007-08,230,131,0.637,4.0,,,,,406,270,0.601,5.0,1.0,,
Mike Anderson Sr,Arkansas,SEC,,18,16,0.529,,,,,2011-12,169,102,0.624,3.0,,,,,369,200,0.649,9.0,2.0,,
Kevin Baggett,Rider,MAAC,,16,15,0.516,,,,,2012-13,123,104,0.542,,,,,,123,104,0.542,,,,
Mike Balado,Arkansas State,Sun Belt,,13,19,0.406,,,,,2017-18,24,40,0.375,,,,,,24,40,0.375,,,,
Pat Baldwin,Milwaukee,Horizon,,9,22,0.29,,,,,2017-18,25,39,0.391,,,,,,25,39,0.391,,,,
Jeremy Ballard,Florida International,CUSA,,20,14,0.588,,,,,2018-19,20,14,0.588,,,,,,20,14,0.588,,,,
Rick Barnes,Tennessee,SEC,,31,6,0.838,6.0,6.0,Lost Regional Semifinal,,2015-16,88,50,0.638,2.0,1.0,,,,692,364,0.655,24.0,7.0,1.0,
Rod Barnes,Cal State Bakersfield,WAC,,18,16,0.529,,,,,2011-12,136,122,0.527,1.0,,,,,322,311,0.509,4.0,1.0,,
Richard Barron,Maine,AEC,,5,27,0.156,,,,,2018-19,5,27,0.156,,,,,,5,27,0.156,,,,
Murry Bartow,UCLA,Pac-12,,10,10,0.5,21.0,,,,2018-19,10,10,0.5,,,,,,338,274,0.552,4.0,,,
Duggar Baucom,The Citadel,Southern,,12,18,0.4,,,,,2015-16,45,82,0.354,,,,,,196,241,0.449,,,,
Chris Beard,Texas Tech,Big 12,,31,7,0.816,,9.0,Lost National Final,,2016-17,76,31,0.71,2.0,2.0,1.0,,,106,36,0.746,3.0,2.0,1.0,
John Becker,Vermont,AEC,,27,7,0.794,,,Lost First Round,,2011-12,193,84,0.697,3.0,,,,,193,84,0.697,3.0,,,
John Beilein,Michigan,Big Ten,,30,7,0.811,19.0,8.0,Lost Regional Semifinal,,2007-08,278,150,0.65,9.0,5.0,2.0,,,571,325,0.637,13.0,7.0,2.0,
Tony Benford,Louisiana State,SEC,,3,2,0.6,23.0,12.0,Lost Regional Semifinal,,2018-19,3,2,0.6,1.0,1.0,,,,65,97,0.401,1.0,1.0,,
Randy Bennett,Saint Mary's (CA),WCC,,22,12,0.647,,,Lost First Round,,2001-02,414,174,0.704,7.0,1.0,,,,414,174,0.704,7.0,1.0,,
Tony Bennett,Virginia,ACC,,35,3,0.921,5.0,2.0,Won National Final,,2009-10,254,89,0.741,7.0,3.0,1.0,1.0,,323,122,0.726,9.0,4.0,1.0,1.0
Rodney Billups,Denver,Summit,,8,22,0.267,,,,,2016-17,39,51,0.433,,,,,,39,51,0.433,,,,
Jeff Boals,Stony Brook,AEC,,24,9,0.727,,,,,2016-17,55,42,0.567,,,,,,55,42,0.567,,,,
