Team_A, Team_B, Score_Differential
Fairleigh Dickinson,Prairie View,-6
Temple,Belmont,11
North Carolina Central,North Dakota State,4
St. John's (NY),Arizona State,9
Bradley,Michigan State,11
Northeastern,Kansas,34
Fairleigh Dickinson,Gonzaga,38
Gardner-Webb,Virginia,15
Iona,North Carolina,15
Colgate,Tennessee,7
Northern Kentucky,Texas Tech,15
Georgia State,Houston,29
Arizona State,Buffalo,17
Saint Louis,Virginia Tech,14
UC Irvine,Kansas State,-6
Oregon,Wisconsin,-18
Iowa,Cincinnati,-7
Ohio State,Iowa State,-3
Washington,Utah State,-17
Oklahoma,Mississippi State,-4
Central Florida,Virginia Commonwealth,-15
Minnesota,Michigan State,20
Auburn,Kansas,-14
Baylor,Gonzaga,12
Wofford,Kentucky,6
Florida,Michigan,15
Murray State,Florida State,28
Maryland,Louisiana State,2
Villanova,Purdue,26
Central Florida,Duke,1
Oklahoma,Virginia,12
Washington,North Carolina,22
Iowa,Tennessee,6
Buffalo,Texas Tech,20
Ohio State,Houston,15
Liberty,Virginia Tech,9
UC Irvine,Oregon,19
Oregon,Virginia,4
Florida State,Gonzaga,14
Purdue,Tennessee,-5
Texas Tech,Michigan,-19
Louisiana State,Michigan State,17
Virginia Tech,Duke,2
Auburn,North Carolina,-17
Houston,Kentucky,4
Purdue,Virginia,5
Texas Tech,Gonzaga,-6
Michigan State,Duke,-1
Auburn,Kentucky,-6
Texas Tech,Michigan State,-10
Auburn,Virginia,1
Texas Tech,Virginia,8
