Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Casey Alexander,Stetson,A-Sun,,15,16,0.484,,,,,2011-12,24,36,0.4,,,,,,24,36,0.4,,,,
Cy Alexander,North Carolina A&T,MEAC,,20,17,0.541,,,Lost Second Round,,2012-13,20,17,0.541,1.0,,,,,363,323,0.529,6.0,,,
Steve Alford,New Mexico,MWC,,29,6,0.829,,10.0,Lost Second Round,,2007-08,155,52,0.749,3.0,,,,,385,206,0.651,7.0,1.0,,
Frankie Allen,Maryland-Eastern Shore,MEAC,,2,26,0.071,,,,,2008-09,36,115,0.238,,,,,,259,409,0.388,2.0,,,
Jerome Allen,Pennsylvania,Ivy,,9,22,0.29,,,,,2009-10,48,65,0.425,,,,,,48,65,0.425,,,,
Dana Altman,Oregon,Pac-12,,28,9,0.757,,25.0,Lost Regional Semifinal,,2010-11,73,37,0.664,1.0,1.0,,,,483,280,0.633,9.0,1.0,,
Tommy Amaker,Harvard,Ivy,,20,10,0.667,,,Lost Third Round,,2007-08,112,66,0.629,2.0,,,,,288,205,0.584,3.0,1.0,,
Mike Anderson Sr,Arkansas,SEC,,19,13,0.594,,,,,2011-12,37,27,0.578,,,,,,237,125,0.655,6.0,2.0,,
Tevester Anderson,Jackson State,SWAC,,11,18,0.379,,,,,2003-04,149,170,0.467,1.0,,,,,252,222,0.532,3.0,,,
Gib Arnold,Hawaii,Big West,,17,15,0.531,,,,,2010-11,52,44,0.542,,,,,,52,44,0.542,,,,
Ronnie Arrow,South Alabama,Sun Belt,,5,5,0.5,,,,,1987-88,211,161,0.567,3.0,,,,,306,210,0.593,4.0,,,
Kevin Baggett,Rider,MAAC,,19,15,0.559,,,,,2012-13,19,15,0.559,,,,,,19,15,0.559,,,,
Roman Banks,Southern,SWAC,,23,10,0.697,,,Lost Second Round,,2011-12,40,24,0.625,1.0,,,,,40,24,0.625,1.0,,,
Tony Barbee,Auburn,SEC,,9,23,0.281,,,,,2010-11,35,59,0.372,,,,,,117,111,0.513,1.0,,,
Rick Barnes,Texas,Big 12,,16,18,0.471,,,,,1998-99,358,155,0.698,14.0,5.0,1.0,,,560,289,0.66,20.0,6.0,1.0,
Rod Barnes,Cal State Bakersfield,Ind,,14,16,0.467,,,,,2011-12,30,31,0.492,,,,,,216,220,0.495,3.0,1.0,,
Jim Baron,Canisius,MAAC,,20,14,0.588,,,,,2012-13,20,14,0.588,,,,,,409,383,0.516,2.0,,,
Murry Bartow,East Tennessee State,A-Sun,,10,22,0.312,,,,,2003-04,189,135,0.583,3.0,,,,,292,218,0.573,4.0,,,
Duggar Baucom,VMI,Big South,,14,17,0.452,,,,,2005-06,118,127,0.482,,,,,,118,127,0.482,,,,
John Becker,Vermont,AEC,,21,12,0.636,,,,,2011-12,45,24,0.652,1.0,,,,,45,24,0.652,1.0,,,
John Beilein,Michigan,Big Ten,,31,8,0.795,5.0,10.0,Lost National Final,,2007-08,122,85,0.589,4.0,1.0,1.0,,,415,260,0.615,8.0,3.0,1.0,
Tony Benford,North Texas,Sun Belt,,12,20,0.375,,,,,2012-13,12,20,0.375,,,,,,12,20,0.375,,,,
Randy Bennett,Saint Mary's (CA),WCC,,28,7,0.8,,,Lost Second Round,,2001-02,263,125,0.678,5.0,1.0,,,,263,125,0.678,5.0,1.0,,
Tony Bennett,Virginia,ACC,,23,12,0.657,,,,,2009-10,76,53,0.589,1.0,,,,,145,86,0.628,3.0,1.0,,
Dave Bezold,Northern Kentucky,A-Sun,,11,16,0.407,,,,,2012-13,11,16,0.407,,,,,,11,16,0.407,,,,
Eddie Biedenbach,UNC Asheville,Big South,,16,16,0.5,,,,,1996-97,256,258,0.498,3.0,,,,,285,309,0.48,3.0,,,
Dave Bike,Sacred Heart,NEC,,9,20,0.31,,,,,1999-00,154,255,0.377,,,,,,154,255,0.377,,,,
Jim Boeheim *,Syracuse,Big East,,30,10,0.75,9.0,16.0,Lost National Semifinal,,1976-77,920,314,0.746,30.0,17.0,4.0,1.0,,920,314,0.746,30.0,17.0,4.0,1.0
Ken Bone,Washington State,Pac-12,,13,19,0.406,,,,,2009-10,70,65,0.519,,,,,,147,114,0.563,2.0,,,
David Boots,South Dakota,Summit,,10,20,0.333,,,,,2009-10,60,63,0.488,,,,,,60,63,0.488,,,,
Tad Boyle,Colorado,Pac-12,,21,12,0.636,,,Lost Second Round,,2010-11,69,38,0.645,2.0,,,,,125,104,0.546,2.0,,,
Todd Bozeman *,Morgan State,MEAC,,17,15,0.531,,,,,2006-07,128,100,0.561,2.0,,,,,191,135,0.586,5.0,1.0,,
John Brady,Arkansas State,Sun Belt,,19,12,0.613,,,,,2008-09,80,78,0.506,,,,,,361,294,0.551,4.0,2.0,1.0,
Matt Brady,James Madison,CAA,,21,15,0.583,,,Lost Second Round,,2008-09,88,82,0.518,1.0,,,,,161,132,0.549,1.0,,,
Glenn Braica,St. Francis (NY),NEC,,12,18,0.4,,,,,2010-11,42,48,0.467,,,,,,42,48,0.467,,,,
Bobby Braswell,Cal State Northridge,Big West,,14,17,0.452,,,,,1996-97,251,258,0.493,2.0,,,,,251,258,0.493,2.0,,,
Ben Braun,Rice,CUSA,,5,26,0.161,,,,,2008-09,56,105,0.348,,,,,,459,392,0.539,8.0,2.0,,
Mike Brey,Notre Dame,Big East,,25,10,0.714,22.0,23.0,Lost Second Round,,2000-01,285,142,0.667,9.0,1.0,,,,384,194,0.664,11.0,1.0,,
Horace Broadnax,Savannah State,MEAC,,19,15,0.559,,,,,2005-06,105,138,0.432,,,,,,147,226,0.394,,,,
Larry Brown,Southern Mississippi,CUSA,,15,17,0.469,,,,,2012-13,15,17,0.469,,,,,,192,78,0.711,7.0,4.0,3.0,1.0
Matt Brown,Kansas City,Summit,,8,24,0.25,,,,,2007-08,64,122,0.344,,,,,,64,122,0.344,,,,
Milan Brown,Holy Cross,Patriot,,12,18,0.4,,,,,2010-11,35,53,0.398,,,,,,130,173,0.429,1.0,,,
Will Brown,Albany (NY),AEC,,24,11,0.686,,,Lost Second Round,,2001-02,172,191,0.474,3.0,,,,,172,191,0.474,3.0,,,
Brad Brownell,Clemson,ACC,,13,18,0.419,,,,,2010-11,51,45,0.531,1.0,,,,,218,130,0.626,4.0,,,
Mitch Buonaguro,Siena,MAAC,,8,24,0.25,,,,,2010-11,35,59,0.372,,,,,,107,162,0.398,2.0,,,
Rick Byrd,Belmont,OVC,,26,7,0.788,,,Lost Second Round,,1999-00,273,165,0.623,6.0,,,,,273,165,0.623,6.0,,,
Jeff Bzdelik,Wake Forest,ACC,,13,18,0.419,,,,,2010-11,34,60,0.362,,,,,,145,165,0.468,1.0,,,
John Calipari *,Kentucky,SEC,,21,12,0.636,3.0,,,,2009-10,123,26,0.826,3.0,3.0,2.0,1.0,,568,166,0.774,14.0,10.0,4.0,1.0
Joe Callero,Cal Poly,Big West,,18,14,0.562,,,,,2009-10,63,63,0.5,,,,,,63,63,0.5,,,,
Bob Cantu,Southern California,Pac-12,,7,8,0.467,,,,,2012-13,7,8,0.467,,,,,,7,8,0.467,,,,
Jason Capel,Appalachian State,Southern,,15,16,0.484,,,,,2010-11,44,49,0.473,,,,,,44,49,0.473,,,,
