Id,Year,Game,GameNum,Result
2023.Play-in,2023,Play-in,1,Game Play-in - Fairleigh Dickinson beats Texas Southern by 4.2
2023.Play-in,2023,Play-in,2,Game Play-in - Arizona State beats Nevada by 6.0
2023.Play-in,2023,Play-in,3,Game Play-in - Texas A&M-Corpus Christi beats Southeast Missouri State by 9.3
2023.Play-in,2023,Play-in,4,Game Play-in - Mississippi State beats Pittsburgh by 1.3
2023.MW1,2023,MW1,5,Game MW1 - Kansas beats Howard by 15.5
2023.W1,2023,W1,6,Game W1 - Alabama beats Texas A&M-Corpus Christi by 14.8
2023.S1,2023,S1,7,Game S1 - Houston beats Northern Kentucky by 12.5
2023.S8,2023,S8,8,Game S8 - Texas beats Colgate by 13.4
2023.MW8,2023,MW8,9,Game MW8 - UCLA beats UNC Asheville by 21.2
2023.W8,2023,W8,10,Game W8 - Arizona beats Princeton by 8.0
2023.E3,2023,E3,11,Game E3 - Duke beats Oral Roberts by 12.5
2023.W4,2023,W4,12,Game W4 - Virginia beats Furman by 7.1
2023.S7,2023,S7,13,Game S7 - Penn State beats Texas A&M by 2.6
2023.W3,2023,W3,14,Game W3 - San Diego State beats College of Charleston by 7.1
2023.E4,2023,E4,15,Game E4 - Tennessee beats Louisiana by 10.6
2023.W7,2023,W7,16,Game W7 - Utah State beats Missouri by 1.7
2023.W2,2023,W2,17,Game W2 - West Virginia beats Maryland by 2.2
2023.MW2,2023,MW2,18,Game MW2 - Arkansas beats Illinois by 7.9
2023.S2,2023,S2,19,Game S2 - Auburn beats Iowa by 7.4
2023.MW7,2023,MW7,20,Game MW7 - Northwestern beats Boise State by 5.9
2023.S4,2023,S4,21,Game S4 - Indiana beats Kent State by 6.0
2023.E7,2023,E7,22,Game E7 - Michigan State beats Southern California by 7.6
2023.E1,2023,E1,23,Game E1 - Purdue beats Fairleigh Dickinson by 9.6
2023.E8,2023,E8,24,Game E8 - Marquette beats Vermont by 12.5
2023.MW6,2023,MW6,25,Game MW6 - Gonzaga beats Grand Canyon by 10.6
2023.MW4,2023,MW4,26,Game MW4 - Connecticut beats Iona by 18.4
2023.W6,2023,W6,27,Game W6 - Baylor beats UC Santa Barbara by 12.7
2023.S6,2023,S6,28,Game S6 - Xavier beats Kennesaw State by 11.6
2023.E6,2023,E6,29,Game E6 - Kansas State beats Montana State by 15.0
2023.S3,2023,S3,30,Game S3 - Miami (FL) beats Drake by 5.9
2023.MW3,2023,MW3,31,Game MW3 - Saint Mary's (CA) beats Virginia Commonwealth by 8.5
2023.MW5,2023,MW5,32,Game MW5 - TCU beats Arizona State by 5.9
2023.E2,2023,E2,33,Game E2 - Florida Atlantic beats Memphis by 6.8
2023.S5,2023,S5,34,Game S5 - Iowa State beats Pittsburgh by 6.2
2023.W5,2023,W5,35,Game W5 - Creighton beats NC State by 8.7
2023.E5,2023,E5,36,Game E5 - Kentucky beats Providence by 6.2
2023.MW9,2023,MW9,37,Game MW9 - Kansas beats Arkansas by 4.8
2023.W9,2023,W9,38,Game W9 - Alabama beats West Virginia by 12.8
2023.S9,2023,S9,39,Game S9 - Houston beats Auburn by 13.0
2023.S12,2023,S12,40,Game S12 - Texas beats Penn State by 7.0
2023.MW12,2023,MW12,41,Game MW12 - UCLA beats Northwestern by 9.2
2023.W12,2023,W12,42,Game W12 - Arizona beats Utah State by 8.4
2023.E10,2023,E10,43,Game E10 - Tennessee beats Duke by 9.5
2023.W10,2023,W10,44,Game W10 - San Diego State beats Virginia by 4.8
2023.S10,2023,S10,45,Game S10 - Miami (FL) beats Indiana by 0.4
2023.E12,2023,E12,46,Game E12 - Michigan State beats Marquette by 1.3
2023.E9,2023,E9,47,Game E9 - Purdue beats Florida Atlantic by 9.2
2023.MW11,2023,MW11,48,Game MW11 - Gonzaga beats TCU by 4.9
2023.MW10,2023,MW10,49,Game MW10 - Connecticut beats Saint Mary's (CA) by 9.9
2023.W11,2023,W11,50,Game W11 - Baylor beats Creighton by 0.7
2023.S11,2023,S11,51,Game S11 - Xavier beats Iowa State by 3.7
2023.E11,2023,E11,52,Game E11 - Kansas State beats Kentucky by 2.8
2023.MW13,2023,MW13,53,Game MW13 - Connecticut beats Kansas by 6.5
2023.W13,2023,W13,54,Game W13 - Alabama beats San Diego State by 6.1
2023.S13,2023,S13,55,Game S13 - Houston beats Miami (FL) by 4.5
2023.S14,2023,S14,56,Game S14 - Texas beats Xavier by 8.4
2023.MW14,2023,MW14,57,Game MW14 - UCLA beats Gonzaga by 4.7
2023.W14,2023,W14,58,Game W14 - Baylor beats Arizona by 1.7
2023.E13,2023,E13,59,Game E13 - Purdue beats Tennessee by 1.6
2023.E14,2023,E14,60,Game E14 - Kansas State beats Michigan State by 0.4
2023.MW15,2023,MW15,61,Game MW15 - Connecticut beats UCLA by 2.4
2023.W15,2023,W15,62,Game W15 - Alabama beats Baylor by 8.0
2023.S15,2023,S15,63,Game S15 - Houston beats Texas by 5.2
2023.E15,2023,E15,64,Game E15 - Purdue beats Kansas State by 5.3
2023.F2,2023,F2,65,Game F2 - Connecticut beats Houston by 1.3
2023.F1,2023,F1,66,Game F1 - Alabama beats Purdue by 6.7
2023.Final,2023,Final,67,Game Final - Alabama beats Connecticut by 0.2
