Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Mike Adras,Northern Arizona,Big Sky,,2,7,0.222,,,,,1999-00,193,170,0.532,1.0,,,,,193,170,0.532,1.0,,,
Jesse Agel,Brown,Ivy,,8,23,0.258,,,,,2008-09,39,79,0.331,,,,,,39,79,0.331,,,,
Casey Alexander,Stetson,A-Sun,,9,20,0.31,,,,,2011-12,9,20,0.31,,,,,,9,20,0.31,,,,
Steve Alford,New Mexico,MWC,,28,7,0.8,,21.0,Lost Third Round,,2007-08,126,46,0.733,2.0,,,,,356,200,0.64,6.0,1.0,,
Frankie Allen,Maryland-Eastern Shore,MEAC,,7,23,0.233,,,,,2008-09,34,89,0.276,,,,,,257,383,0.402,2.0,,,
Jerome Allen,Pennsylvania,Ivy,,20,13,0.606,,,,,2009-10,39,43,0.476,,,,,,39,43,0.476,,,,
Dana Altman,Oregon,Pac-12,,24,10,0.706,,,,,2010-11,45,28,0.616,,,,,,455,271,0.627,8.0,,,
Tommy Amaker,Harvard,Ivy,,26,5,0.839,,,Lost Second Round,,2007-08,92,56,0.622,1.0,,,,,268,195,0.579,2.0,1.0,,
Mike Anderson Sr,Arkansas,SEC,,18,14,0.562,,,,,2011-12,18,14,0.562,,,,,,218,112,0.661,6.0,2.0,,
Tevester Anderson,Jackson State,SWAC,,7,24,0.226,,,,,2003-04,138,152,0.476,1.0,,,,,241,204,0.542,3.0,,,
Gib Arnold,Hawaii,WAC,,16,16,0.5,,,,,2010-11,35,29,0.547,,,,,,35,29,0.547,,,,
Ronnie Arrow,South Alabama,Sun Belt,,17,12,0.586,,,,,1987-88,206,156,0.569,3.0,,,,,301,205,0.595,4.0,,,
Roman Banks,Southern,SWAC,,17,14,0.548,,,,,2011-12,17,14,0.548,,,,,,17,14,0.548,,,,
Tony Barbee,Auburn,SEC,,15,16,0.484,,,,,2010-11,26,36,0.419,,,,,,108,88,0.551,1.0,,,
Rick Barnes,Texas,Big 12,,20,14,0.588,,,Lost Second Round,,1998-99,342,137,0.714,14.0,5.0,1.0,,,544,271,0.667,20.0,6.0,1.0,
Rod Barnes,Cal State Bakersfield,Ind,,16,15,0.516,,,,,2011-12,16,15,0.516,,,,,,202,204,0.498,3.0,1.0,,
Jim Baron,Rhode Island,A-10,,7,24,0.226,,,,,2001-02,183,167,0.523,,,,,,389,369,0.513,2.0,,,
Murry Bartow,East Tennessee State,A-Sun,,17,14,0.548,,,,,2003-04,179,113,0.613,3.0,,,,,282,196,0.59,4.0,,,
Duggar Baucom,VMI,Big South,,17,16,0.515,,,,,2005-06,104,110,0.486,,,,,,104,110,0.486,,,,
John Becker,Vermont,AEC,,24,12,0.667,,,Lost Second Round,,2011-12,24,12,0.667,1.0,,,,,24,12,0.667,1.0,,,
John Beilein,Michigan,Big Ten,,24,10,0.706,18.0,13.0,Lost Second Round,,2007-08,91,77,0.542,3.0,,,,,384,252,0.604,7.0,2.0,,
Randy Bennett,Saint Mary's (CA),WCC,,27,6,0.818,,24.0,Lost Second Round,,2001-02,235,118,0.666,4.0,1.0,,,,235,118,0.666,4.0,1.0,,
Tony Bennett,Virginia,ACC,,22,10,0.688,,,Lost Second Round,,2009-10,53,41,0.564,1.0,,,,,122,74,0.622,3.0,1.0,,
Eddie Biedenbach,UNC Asheville,Big South,,24,10,0.706,,,Lost Second Round,,1996-97,240,242,0.498,3.0,,,,,269,293,0.479,3.0,,,
Dave Bike,Sacred Heart,NEC,,14,18,0.438,,,,,1999-00,145,235,0.382,,,,,,145,235,0.382,,,,
Jim Boeheim *,Syracuse,Big East,,34,3,0.919,5.0,2.0,Lost Regional Final,,1976-77,890,304,0.745,29.0,16.0,3.0,1.0,,890,304,0.745,29.0,16.0,3.0,1.0
Ken Bone,Washington State,Pac-12,,19,18,0.514,,,,,2009-10,57,46,0.553,,,,,,134,95,0.585,2.0,,,
David Boots,South Dakota,Summit,,10,18,0.357,,,,,2009-10,50,43,0.538,,,,,,50,43,0.538,,,,
Tad Boyle,Colorado,Pac-12,,24,12,0.667,,,Lost Third Round,,2010-11,48,26,0.649,1.0,,,,,104,92,0.531,1.0,,,
Todd Bozeman *,Morgan State,MEAC,,9,20,0.31,,,,,2006-07,111,85,0.566,2.0,,,,,174,120,0.592,5.0,1.0,,
John Brady,Arkansas State,Sun Belt,,14,20,0.412,,,,,2008-09,61,66,0.48,,,,,,342,282,0.548,4.0,2.0,1.0,
Matt Brady,James Madison,CAA,,12,20,0.375,,,,,2008-09,67,67,0.5,,,,,,140,117,0.545,,,,
Glenn Braica,St. Francis (NY),NEC,,15,15,0.5,,,,,2010-11,30,30,0.5,,,,,,30,30,0.5,,,,
Bobby Braswell,Cal State Northridge,Big West,,7,21,0.25,,,,,1996-97,237,241,0.496,2.0,,,,,237,241,0.496,2.0,,,
Ben Braun,Rice,CUSA,,19,16,0.543,,,,,2008-09,51,79,0.392,,,,,,454,366,0.554,8.0,2.0,,
Mike Brey,Notre Dame,Big East,,22,12,0.647,,,Lost Second Round,,2000-01,260,132,0.663,8.0,1.0,,,,359,184,0.661,10.0,1.0,,
Horace Broadnax,Savannah State,MEAC,,21,12,0.636,,,,,2005-06,86,123,0.411,,,,,,128,211,0.378,,,,
Dave Brown,Northern Arizona,Big Sky,,3,17,0.15,,,,,2011-12,3,17,0.15,,,,,,3,17,0.15,,,,
Matt Brown,Kansas City,Summit,,10,21,0.323,,,,,2007-08,56,98,0.364,,,,,,56,98,0.364,,,,
Milan Brown,Holy Cross,Patriot,,15,14,0.517,,,,,2010-11,23,35,0.397,,,,,,118,155,0.432,1.0,,,
Will Brown,Albany (NY),AEC,,19,15,0.559,,,,,2001-02,148,180,0.451,2.0,,,,,148,180,0.451,2.0,,,
Brad Brownell,Clemson,ACC,,16,15,0.516,,,,,2010-11,38,27,0.585,1.0,,,,,205,112,0.647,4.0,,,
Mitch Buonaguro,Siena,MAAC,,14,17,0.452,,,,,2010-11,27,35,0.435,,,,,,99,138,0.418,2.0,,,
Robert Burke,Mount St. Mary's,NEC,,8,21,0.276,,,,,2010-11,19,42,0.311,,,,,,19,42,0.311,,,,
Bob Burton,Cal State Fullerton,Big West,,21,10,0.677,,,,,2003-04,155,122,0.56,1.0,,,,,155,122,0.56,1.0,,,
Rick Byrd,Belmont,A-Sun,,27,8,0.771,,,Lost Second Round,,1999-00,247,158,0.61,5.0,,,,,247,158,0.61,5.0,,,
