Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Jeff Bzdelik,Wake Forest,ACC,,13,18,0.419,,,,,2010-11,21,42,0.333,,,,,,132,147,0.473,1.0,,,
Jim Calhoun,Connecticut,Big East,,20,14,0.588,4.0,,Lost Second Round,,1986-87,629,245,0.72,18.0,13.0,4.0,3.0,,877,382,0.697,23.0,13.0,4.0,3.0
John Calipari *,Kentucky,SEC,,38,2,0.95,2.0,1.0,Won National Final,,2009-10,102,14,0.879,3.0,3.0,2.0,1.0,,547,154,0.78,14.0,10.0,4.0,1.0
Joe Callero,Cal Poly,Big West,,18,15,0.545,,,,,2009-10,45,49,0.479,,,,,,45,49,0.479,,,,
Jason Capel,Appalachian State,Southern,,13,18,0.419,,,,,2010-11,29,33,0.468,,,,,,29,33,0.468,,,,
Bill Carmody,Northwestern,Big Ten,,19,14,0.576,,,,,2000-01,179,191,0.484,,,,,,271,216,0.556,2.0,,,
David Carter,Nevada,WAC,,28,7,0.8,,,,,2009-10,62,39,0.614,,,,,,62,39,0.614,,,,
Tim Carter,South Carolina State,MEAC,,5,26,0.161,,,,,2007-08,63,96,0.396,,,,,,223,248,0.473,2.0,,,
Mo Cassara,Hofstra,CAA,,10,22,0.312,,,,,2010-11,31,34,0.477,,,,,,31,34,0.477,,,,
Patrick Chambers,Penn State,Big Ten,,12,20,0.375,,,,,2011-12,12,20,0.375,,,,,,54,48,0.529,1.0,,,
Scott Cherry,High Point,Big South,,13,18,0.419,,,,,2009-10,40,52,0.435,,,,,,40,52,0.435,,,,
Jim Christian,TCU,MWC,,18,15,0.545,,,,,2008-09,56,73,0.434,,,,,,193,132,0.594,2.0,,,
Tim Cluess,Iona,MAAC,,25,8,0.758,,,Lost First Round,,2010-11,50,20,0.714,1.0,,,,,50,20,0.714,1.0,,,
Bill Coen,Northeastern,CAA,,14,17,0.452,,,,,2006-07,91,99,0.479,,,,,,91,99,0.479,,,,
Charlie Coles,Miami (OH),MAC,,9,21,0.3,,,,,1996-97,266,226,0.541,3.0,1.0,,,,357,311,0.534,4.0,1.0,,
Ed Conroy,Tulane,CUSA,,15,16,0.484,,,,,2010-11,28,33,0.459,,,,,,77,109,0.414,,,,
Ed Cooley,Providence,Big East,,15,17,0.469,,,,,2011-12,15,17,0.469,,,,,,107,86,0.554,,,,
John Cooper,Tennessee State,OVC,,20,13,0.606,,,,,2009-10,43,52,0.453,,,,,,43,52,0.453,,,,
Paul Cormier,Dartmouth,Ivy,,5,25,0.167,,,,,1984-85,97,143,0.404,,,,,,183,254,0.419,1.0,,,
Ron Cottrell,Houston Christian,GWC,,10,20,0.333,,,,,2008-09,32,92,0.258,,,,,,32,92,0.258,,,,
Bill Courtney,Cornell,Ivy,,12,16,0.429,,,,,2010-11,22,34,0.393,,,,,,22,34,0.393,,,,
Gravelle Craig,Bethune-Cookman,MEAC,,18,17,0.514,,,,,2011-12,18,17,0.514,,,,,,18,17,0.514,,,,
Tom Crean,Indiana,Big Ten,,27,9,0.75,,16.0,Lost Regional Semifinal,,2008-09,55,75,0.423,1.0,1.0,,,,245,171,0.589,6.0,2.0,1.0,
Bobby Cremins,College of Charleston,Southern,,19,12,0.613,,,,,2006-07,132,72,0.647,,,,,,586,379,0.607,11.0,5.0,1.0,
Mick Cronin,Cincinnati,Big East,,26,11,0.703,21.0,,Lost Regional Semifinal,,2006-07,113,88,0.562,2.0,1.0,,,,182,112,0.619,4.0,1.0,,
Scott Cross,UT Arlington,Southland,,24,9,0.727,,,,,2006-07,103,82,0.557,1.0,,,,,103,82,0.557,1.0,,,
Keith Dambrot,Akron,MAC,,22,12,0.647,,,,,2004-05,184,87,0.679,2.0,,,,,204,121,0.628,2.0,,,
Doug Davalos,Texas State,Southland,,13,17,0.433,,,,,2006-07,80,101,0.442,,,,,,80,101,0.442,,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,,27,7,0.794,,,,,2002-03,180,133,0.575,,,,,,251,183,0.578,2.0,,,
Mike Davis,UAB,CUSA,,15,16,0.484,,,,,2006-07,122,73,0.626,1.0,,,,,237,152,0.609,5.0,1.0,1.0,
Johnny Dawkins Jr,Stanford,Pac-12,,26,11,0.703,,,,,2008-09,75,59,0.56,,,,,,75,59,0.56,,,,
Ed DeChellis,Navy,Patriot,,3,26,0.103,,,,,2011-12,3,26,0.103,,,,,,222,257,0.463,2.0,,,
Mike Dement,UNC Greensboro,Southern,,2,8,0.2,,,,,1991-92,124,181,0.407,,,,,,331,371,0.472,1.0,,,
Tommy Dempsey,Rider,MAAC,,13,19,0.406,,,,,2005-06,119,105,0.531,,,,,,119,105,0.531,,,,
Howie Dickenman,Central Connecticut State,NEC,,13,16,0.448,,,,,1996-97,249,224,0.526,3.0,,,,,249,224,0.526,3.0,,,
James Dickey,Houston,CUSA,,15,15,0.5,,,,,2010-11,27,33,0.45,,,,,,193,157,0.551,2.0,1.0,,
Tracy Dildy,Chicago State,GWC,,4,26,0.133,,,,,2010-11,10,52,0.161,,,,,,10,52,0.161,,,,
Jamie Dixon,Pittsburgh,Big East,,22,17,0.564,10.0,,,,2003-04,238,77,0.756,8.0,3.0,,,,238,77,0.756,8.0,3.0,,
Matt Doherty,Southern Mississippi,CUSA,,13,19,0.406,,,,,2006-07,80,109,0.423,,,,,,170,180,0.486,1.0,,,
Cameron Dollar,Seattle,Ind,,12,15,0.444,,,,,2009-10,40,49,0.449,,,,,,40,49,0.449,,,,
Steve Donahue,Boston College,ACC,,9,22,0.29,,,,,2010-11,30,35,0.462,,,,,,176,173,0.504,3.0,1.0,,
Billy Donlon,Wright State,Horizon,,13,19,0.406,,,,,2010-11,32,33,0.492,,,,,,32,33,0.492,,,,
Billy Donovan,Florida,SEC,,26,11,0.703,8.0,25.0,Lost Regional Final,,1996-97,386,158,0.71,12.0,6.0,3.0,2.0,,421,178,0.703,12.0,6.0,3.0,2.0
Bryce Drew,Valparaiso,Horizon,,22,12,0.647,,,,,2011-12,22,12,0.647,,,,,,22,12,0.647,,,,
Scott Drew,Baylor,Big 12,,30,8,0.789,12.0,9.0,Lost Regional Final,,2003-04,157,124,0.559,3.0,2.0,,,,177,135,0.567,3.0,2.0,,
Chuck Driesell,The Citadel,Southern,,6,24,0.2,,,,,2010-11,16,46,0.258,,,,,,16,46,0.258,,,,
Matthew Driscoll,North Florida,A-Sun,,16,16,0.5,,,,,2009-10,44,53,0.454,,,,,,44,53,0.454,,,,
John Dunne,Saint Peter's,MAAC,,5,26,0.161,,,,,2006-07,63,122,0.341,1.0,,,,,63,122,0.341,1.0,,,
Fran Dunphy,Temple,A-10,,24,8,0.75,,,Lost Second Round,,2006-07,134,65,0.673,5.0,,,,,444,228,0.661,14.0,,,
Jerry Eaves,North Carolina A&T,MEAC,,12,20,0.375,,,,,2003-04,99,180,0.355,,,,,,99,180,0.355,,,,
Cliff Ellis,Coastal Carolina,Big South,,19,12,0.613,,,,,2007-08,99,60,0.623,,,,,,635,398,0.615,8.0,3.0,,
Andy Enfield,Florida Gulf Coast,A-Sun,,15,17,0.469,,,,,2011-12,15,17,0.469,,,,,,15,17,0.469,,,,
Jim Engles,NJIT,GWC,,15,17,0.469,,,,,2008-09,41,83,0.331,,,,,,41,83,0.331,,,,
Larry Eustachy,Southern Miss,CUSA,,25,9,0.735,,,Lost Second Round,,2004-05,142,113,0.557,1.0,,,,,402,258,0.609,4.0,1.0,,
Anthony Evans,Norfolk State,MEAC,,26,10,0.722,,,Lost Third Round,,2007-08,78,82,0.487,1.0,,,,,78,82,0.487,1.0,,,
Ron Everhart,Duquesne,A-10,,16,15,0.516,,,,,2006-07,99,89,0.527,,,,,,273,261,0.511,,,,
Jim Ferry,Long Island University,NEC,,25,9,0.735,,,Lost Second Round,,2002-03,150,149,0.502,2.0,,,,,150,149,0.502,2.0,,,
Mark Few,Gonzaga,WCC,,26,7,0.788,23.0,,Lost Third Round,,1999-00,342,90,0.792,13.0,4.0,,,,342,90,0.792,13.0,4.0,,
Steve Fisher *,San Diego State,MWC,,26,8,0.765,,22.0,Lost Second Round,,1999-00,258,160,0.617,5.0,1.0,,,,443,241,0.648,12.0,5.0,3.0,1.0
Bruiser Flint,Drexel,CAA,,29,7,0.806,,,,,2001-02,199,141,0.585,,,,,,285,213,0.572,2.0,,,
Tim Floyd *,UTEP,CUSA,,15,17,0.469,,,,,2010-11,40,27,0.597,,,,,,367,208,0.638,8.0,2.0,,
Geno Ford,Bradley,MVC,,7,25,0.219,,,,,2011-12,7,25,0.219,,,,,,75,62,0.547,,,,
Travis Ford,Oklahoma State,Big 12,,15,18,0.455,,,,,2008-09,80,55,0.593,2.0,,,,,203,170,0.544,3.0,,,
Lennox Forrester,SIU Edwardsville,OVC,,10,17,0.37,,,,,2008-09,33,81,0.289,,,,,,33,81,0.289,,,,
Mark Fox,Georgia,SEC,,15,17,0.469,,,,,2009-10,50,46,0.521,1.0,,,,,173,89,0.66,4.0,,,
Don Friday,Saint Francis (PA),NEC,,6,23,0.207,,,,,2008-09,32,86,0.271,,,,,,32,86,0.271,,,,
John Gallagher,Hartford,AEC,,9,22,0.29,,,,,2010-11,20,42,0.323,,,,,,20,42,0.323,,,,
Tyler Geving,Portland State,Big Sky,,17,15,0.531,,,,,2009-10,44,50,0.468,,,,,,44,50,0.468,,,,
John Giannini,La Salle,A-10,,21,13,0.618,,,,,2004-05,119,128,0.482,,,,,,244,239,0.505,,,,
Mike Gillian,Longwood,Ind,,10,21,0.323,,,,,2004-05,80,167,0.324,,,,,,80,167,0.324,,,,
Billy Gillispie,Texas Tech,Big 12,,8,23,0.258,,,,,2011-12,8,23,0.258,,,,,,148,108,0.578,4.0,1.0,,
Max Good,Loyola Marymount,WCC,,21,13,0.618,,,,,2008-09,53,75,0.414,,,,,,162,213,0.432,,,,
Mark Gottfried,NC State,ACC,,24,13,0.649,,,Lost Regional Semifinal,,2011-12,24,13,0.649,1.0,1.0,,,,302,168,0.643,8.0,2.0,,
Anthony Grant,Alabama,SEC,,21,12,0.636,19.0,,Lost Second Round,,2009-10,63,39,0.618,1.0,,,,,139,64,0.685,3.0,,,
James Green,Jacksonville State,OVC,,15,18,0.455,,,,,2008-09,42,79,0.347,,,,,,209,241,0.464,1.0,,,
Seth Greenberg,Virginia Tech,ACC,,16,17,0.485,,,,,2003-04,170,123,0.58,1.0,,,,,383,293,0.567,3.0,,,
Brian Gregory,Georgia Tech,ACC,,11,20,0.355,,,,,2011-12,11,20,0.355,,,,,,183,114,0.616,2.0,,,
Bill Grier,San Diego,WCC,,13,18,0.419,,,,,2007-08,68,93,0.422,1.0,,,,,68,93,0.422,1.0,,,
John Groce,Ohio,MAC,,29,8,0.784,,,Lost Regional Semifinal,,2008-09,85,56,0.603,2.0,1.0,,,,85,56,0.603,2.0,1.0,,
Frank Haith,Missouri,Big 12,,30,5,0.857,25.0,3.0,Lost Second Round,,2011-12,30,5,0.857,1.0,,,,,159,106,0.6,2.0,,,
Leonard Hamilton *,Florida State,ACC,,25,10,0.714,,10.0,Lost Third Round,,2002-03,201,127,0.613,4.0,1.0,,,,401,337,0.543,7.0,2.0,,
Ray Harper,Western Kentucky,Sun Belt,,11,8,0.579,,,Lost Second Round,,2011-12,11,8,0.579,1.0,,,,,11,8,0.579,1.0,,,
Tony Harvey,Texas Southern,SWAC,,15,18,0.455,,,,,2008-09,58,72,0.446,,,,,,58,72,0.446,,,,
Steve Hawkins,Western Michigan,MAC,,14,20,0.412,,,,,2003-04,159,132,0.546,1.0,,,,,159,132,0.546,1.0,,,
Willie Hayes,Alabama A&M,SWAC,,7,21,0.25,,,,,2011-12,7,21,0.25,,,,,,7,21,0.25,,,,
Jim Hayford,Eastern Washington,Big Sky,,15,17,0.469,,,,,2011-12,15,17,0.469,,,,,,15,17,0.469,,,,
Stan Heath,South Florida,Big East,,22,14,0.611,,,Lost Third Round,,2007-08,73,91,0.445,1.0,,,,,185,168,0.524,4.0,1.0,,
Mitch Henderson,Princeton,Ivy,,20,12,0.625,,,,,2011-12,20,12,0.625,,,,,,20,12,0.625,,,,
Bill Herrion,New Hampshire,AEC,,13,16,0.448,,,,,2005-06,83,124,0.401,,,,,,320,293,0.522,3.0,,,
Tom Herrion,Marshall,CUSA,,21,14,0.6,,,,,2010-11,43,26,0.623,,,,,,123,64,0.658,,,,
Paul Hewitt,George Mason,CAA,,24,9,0.727,,,,,2011-12,24,9,0.727,,,,,,280,198,0.586,6.0,1.0,1.0,
B.J. Hill *,Northern Colorado,Big Sky,,9,19,0.321,,,,,2010-11,30,30,0.5,1.0,,,,,30,30,0.5,1.0,,,
Bob Hoffman,Mercer,A-Sun,,27,11,0.711,,,,,2008-09,75,61,0.551,,,,,,143,138,0.509,,,,
Fred Hoiberg,Iowa State,Big 12,,23,11,0.676,,,Lost Third Round,,2010-11,39,27,0.591,1.0,,,,,39,27,0.591,1.0,,,
Chris Holtmann,Gardner-Webb,Big South,,12,20,0.375,,,,,2010-11,23,41,0.359,,,,,,23,41,0.359,,,,
Jason Hooten,Sam Houston,Southland,,13,19,0.406,,,,,2010-11,31,32,0.492,,,,,,31,32,0.492,,,,
Darrin Horn,South Carolina,SEC,,10,21,0.323,,,,,2008-09,60,63,0.488,,,,,,171,111,0.606,1.0,1.0,,
Todd Howard,IUPUI,Summit,,14,18,0.438,,,,,2011-12,14,18,0.438,,,,,,14,18,0.438,,,,
Ben Howland,UCLA,Pac-12,,19,14,0.576,17.0,,,,2003-04,208,97,0.682,6.0,3.0,3.0,,,374,198,0.654,9.0,5.0,3.0,
Bob Huggins,West Virginia,Big East,,19,14,0.576,,,Lost Second Round,,2007-08,120,56,0.682,5.0,2.0,1.0,,,638,242,0.725,20.0,6.0,2.0,
Dick Hunsaker,Utah Valley,GWC,,20,13,0.606,,,,,2004-05,137,99,0.581,,,,,,252,145,0.635,2.0,1.0,,
Larry Hunter,Western Carolina,Southern,,17,18,0.486,,,,,2005-06,107,118,0.476,,,,,,311,266,0.539,1.0,,,
Ron Hunter,Georgia State,CAA,,22,12,0.647,,,,,2011-12,22,12,0.647,,,,,,243,191,0.56,1.0,,,
Dan Hurley,Wagner,NEC,,25,6,0.806,,,,,2010-11,38,23,0.623,,,,,,38,23,0.623,,,,
Brad Huse,Montana State,Big Sky,,12,17,0.414,,,,,2006-07,80,100,0.444,,,,,,80,100,0.444,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,11,22,0.333,,,,,2008-09,49,80,0.38,1.0,,,,,49,80,0.38,1.0,,,
Tom Izzo,Michigan State,Big Ten,,29,8,0.784,,5.0,Lost Regional Semifinal,,1995-96,412,169,0.709,15.0,10.0,6.0,1.0,,412,169,0.709,15.0,10.0,6.0,1.0
Greg Jackson,Delaware State,MEAC,,15,14,0.517,,,,,2000-01,181,183,0.497,1.0,,,,,181,183,0.497,1.0,,,
Jeff Jackson,Furman,Southern,,15,16,0.484,,,,,2006-07,78,107,0.422,,,,,,99,167,0.372,,,,
Lewis Jackson,Alabama State,SWAC,,12,19,0.387,,,,,2005-06,109,111,0.495,2.0,,,,,109,111,0.495,2.0,,,
Ben Jacobson,Northern Iowa,MVC,,20,14,0.588,,,,,2006-07,129,71,0.645,2.0,1.0,,,,129,71,0.645,2.0,1.0,,
Jason James,Tennessee-Martin,OVC,,4,27,0.129,,,,,2009-10,20,73,0.215,,,,,,20,73,0.215,,,,
Tim Jankovich,Illinois State,MVC,,21,14,0.6,,,,,2007-08,104,64,0.619,,,,,,157,121,0.565,,,,
Mike Jarvis,Florida Atlantic,Sun Belt,,11,19,0.367,,,,,2008-09,52,72,0.419,,,,,,415,274,0.602,9.0,2.0,,
Tony Jasick,Purdue Fort Wayne,Summit,,11,19,0.367,,,,,2011-12,11,19,0.367,,,,,,11,19,0.367,,,,
Rob Jeter,Milwaukee,Horizon,,20,14,0.588,,,,,2005-06,121,103,0.54,1.0,,,,,121,103,0.54,1.0,,,
Clemon Johnson,Florida A&M,MEAC,,10,23,0.303,,,,,2011-12,10,23,0.303,,,,,,10,23,0.303,,,,
Sydney Johnson,Fairfield,MAAC,,22,15,0.595,,,,,2011-12,22,15,0.595,,,,,,88,68,0.564,1.0,,,
Trent Johnson,Louisiana State,SEC,,18,15,0.545,,,,,2008-09,67,64,0.511,1.0,,,,,226,186,0.549,5.0,2.0,,
Brian Jones,North Dakota,GWC,,17,15,0.531,,,,,2009-10,44,53,0.454,,,,,,44,53,0.454,,,,
Donnie Jones *,Central Florida,CUSA,,22,11,0.667,,,,,2010-11,43,23,0.652,,,,,,98,64,0.605,,,,
James Jones,Yale,Ivy,,19,10,0.655,,,,,1999-00,176,191,0.48,,,,,,176,191,0.48,,,,
Jeff Jones,American,Patriot,,20,12,0.625,,,,,2000-01,201,163,0.552,2.0,,,,,347,267,0.565,7.0,2.0,,
Joe Jones,Boston University,AEC,,16,16,0.5,,,,,2011-12,16,16,0.5,,,,,,102,124,0.451,,,,
Johnny Jones,North Texas,Sun Belt,,18,14,0.562,,,,,2001-02,190,146,0.565,2.0,,,,,205,162,0.559,2.0,,,
Mike Jones,Radford,Big South,,6,26,0.188,,,,,2011-12,6,26,0.188,,,,,,6,26,0.188,,,,
Edward Joyner Jr,Hampton,MEAC,,12,21,0.364,,,,,2009-10,50,48,0.51,1.0,,,,,50,48,0.51,1.0,,,
Greg Kampe,Oakland,Summit,,20,16,0.556,,,,,1999-00,226,187,0.547,3.0,,,,,226,187,0.547,3.0,,,
Danny Kaspar,Stephen F. Austin,Southland,,20,12,0.625,,,,,2000-01,219,136,0.617,1.0,,,,,219,136,0.617,1.0,,,
Brian Katz,Sacramento State,Big Sky,,10,18,0.357,,,,,2008-09,28,87,0.243,,,,,,28,87,0.243,,,,
Kerry Keating,Santa Clara,WCC,,8,22,0.267,,,,,2007-08,74,90,0.451,,,,,,74,90,0.451,,,,
Derek Kellogg,Massachusetts,A-10,,25,12,0.676,,,,,2008-09,64,65,0.496,,,,,,64,65,0.496,,,,
Andy Kennedy,Mississippi,SEC,,20,14,0.588,,,,,2006-07,125,78,0.616,,,,,,146,91,0.616,,,,
Billy Kennedy,Texas A&M,Big 12,,14,18,0.438,20.0,,,,2011-12,14,18,0.438,,,,,,225,197,0.533,2.0,,,
Pat Knight,Lamar,Southland,,23,12,0.657,,,Lost First Round,,2011-12,23,12,0.657,1.0,,,,,73,73,0.5,1.0,,,
Tod Kowalczyk,Toledo,MAC,,19,17,0.528,,,,,2010-11,23,45,0.338,,,,,,159,157,0.503,,,,
Lon Kruger,Oklahoma,Big 12,,15,16,0.484,,,,,2011-12,15,16,0.484,,,,,,494,320,0.607,13.0,3.0,1.0,
Larry Krystkowiak,Utah,Pac-12,,6,25,0.194,,,,,2011-12,6,25,0.194,,,,,,48,45,0.516,2.0,,,
Mike Krzyzewski,Duke,ACC,,27,7,0.794,6.0,8.0,Lost Second Round,,1980-81,854,232,0.786,28.0,20.0,11.0,4.0,,927,291,0.761,28.0,20.0,11.0,4.0
Robbie Laing,Campbell,Big South,,17,15,0.531,,,,,2003-04,101,165,0.38,,,,,,101,165,0.38,,,,
Matt Langel,Colgate,Patriot,,8,22,0.267,,,,,2011-12,8,22,0.267,,,,,,8,22,0.267,,,,
Greg Lansing,Indiana State,MVC,,18,15,0.545,,,,,2010-11,38,29,0.567,1.0,,,,,38,29,0.567,1.0,,,
Jim Larranaga,Miami (FL),ACC,,20,13,0.606,,,,,2011-12,20,13,0.606,,,,,,462,322,0.589,5.0,1.0,1.0,
Steve Lavin,St. John's (NY),Big East,,13,19,0.406,,,,,2010-11,34,31,0.523,1.0,,,,,179,109,0.622,7.0,5.0,,
Dale Layer,Liberty,Big South,,14,18,0.438,,,,,2009-10,48,47,0.505,,,,,,151,153,0.497,1.0,,,
Jeff Lebo,East Carolina,CUSA,,15,16,0.484,,,,,2010-11,33,32,0.508,,,,,,244,188,0.565,,,,
Jim Les,UC Davis,Big West,,5,26,0.161,,,,,2011-12,5,26,0.161,,,,,,159,166,0.489,1.0,1.0,,
Mike Lonergan,George Washington,A-10,,10,21,0.323,,,,,2011-12,10,21,0.323,,,,,,136,89,0.604,1.0,,,
Dave Loos,Austin Peay,OVC,,12,20,0.375,,,,,1990-91,363,310,0.539,3.0,,,,,363,310,0.539,3.0,,,
Chris Lowery,Southern Illinois,MVC,,8,23,0.258,,,,,2004-05,145,116,0.556,3.0,1.0,,,,145,116,0.556,3.0,1.0,,
Paul Lusk,Missouri State,MVC,,16,16,0.5,,,,,2011-12,16,16,0.5,,,,,,16,16,0.5,,,,
Chris Mack,Xavier,A-10,,23,13,0.639,14.0,,Lost Regional Semifinal,,2009-10,73,30,0.709,3.0,2.0,,,,73,30,0.709,3.0,2.0,,
Mark Macon,Binghamton,AEC,,2,29,0.065,,,,,2009-10,23,70,0.247,,,,,,23,70,0.247,,,,
Don Maestri,Troy,Sun Belt,,10,18,0.357,,,,,1993-94,279,275,0.504,1.0,,,,,279,275,0.504,1.0,,,
