Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,29,13,16,.448,-0.45,2.14,,3,11,,9,7,,2,7,,1786,1798,,1170,606,1479,.410,199,621,.320,387,548,.706,299,993,369,189,75,407,519
2,Akron,34,22,12,.647,6.33,0.72,,13,3,,13,2,,8,8,,2456,2241,,1370,809,1926,.420,173,575,.301,450,651,.691,400,1133,423,218,116,476,637
3,Alabama NCAA,33,21,12,.636,13.76,7.18,,9,7,,12,3,,4,6,,2135,1918,,1330,666,1711,.389,164,568,.289,422,654,.645,373,1072,343,181,118,442,539
4,Alabama A&M,28,7,21,.250,-19.33,-10.79,,5,13,,6,5,,1,15,,1764,1964,,1130,667,1493,.447,133,380,.350,497,756,.657,318,1018,300,227,115,402,501
5,Alabama State,31,12,19,.387,-15.79,-9.96,,9,9,,7,4,,4,14,,1840,1995,,1265,709,1627,.436,148,493,.300,429,655,.655,345,1155,408,240,124,485,579
6,Albany (NY),34,19,15,.559,-3.92,-6.92,,9,7,,10,4,,6,10,,2453,2351,,1365,878,1910,.460,242,650,.372,353,534,.661,371,1108,476,190,107,445,623
7,Alcorn State,32,10,22,.313,-19.57,-10.61,,6,12,,7,5,,2,14,,1926,2148,,1250,746,1735,.430,169,512,.330,487,749,.650,403,1148,360,248,133,456,555
8,American,32,20,12,.625,-3.12,-5.24,,10,4,,13,2,,7,10,,2059,1991,,1285,711,1729,.411,181,583,.310,388,566,.686,334,1090,365,186,88,353,572
9,Appalachian State,31,13,18,.419,-6.93,-3.28,,7,11,,9,5,,3,11,,2121,2175,,1245,777,1785,.435,157,502,.313,464,693,.670,357,1097,378,213,78,359,565
10,Arizona,35,23,12,.657,10.91,4.62,,12,6,,14,4,,6,4,,2416,2196,,1410,799,1969,.406,170,596,.285,428,643,.666,380,1173,403,198,108,415,667
11,Arizona State,31,10,21,.323,-1.01,4.31,,6,12,,7,10,,2,7,,1891,2056,,1240,701,1626,.431,211,574,.368,443,623,.711,307,929,421,230,80,349,553
12,Arkansas,32,18,14,.563,5.76,3.63,,6,10,,17,3,,1,9,,2299,2231,,1280,793,1827,.434,190,585,.325,455,673,.676,416,1204,401,178,153,519,593
13,Arkansas State,34,14,20,.412,-3.18,-0.52,,6,10,,10,5,,2,14,,2198,2239,,1370,838,1847,.454,213,544,.392,350,508,.689,327,1068,399,232,131,443,628
14,Arkansas-Pine Bluff,33,11,22,.333,-16.77,-8.34,,9,9,,6,3,,3,15,,2013,2291,,1325,791,1787,.443,230,617,.373,479,756,.634,403,1194,434,249,113,472,604
15,Army,30,12,18,.400,-11.26,-7.16,,5,9,,9,6,,3,11,,2027,2091,,1215,736,1657,.444,217,639,.340,402,591,.680,307,1077,400,195,86,477,587
16,Auburn,31,15,16,.484,2.52,3.84,,5,11,,14,3,,1,10,,1942,1983,,1255,675,1651,.409,203,584,.348,430,627,.686,355,1093,382,221,120,440,548
17,Austin Peay,32,12,20,.375,-4.86,-0.66,,8,8,,8,5,,4,12,,2216,2324,,1290,839,1804,.465,214,572,.374,432,629,.687,389,1130,438,224,101,478,645
18,Ball State,30,15,15,.500,-2.93,-4.45,,6,10,,10,5,,5,9,,1901,1822,,1200,635,1555,.408,198,557,.355,354,509,.695,335,977,366,174,92,412,557
19,Baylor NCAA,38,30,8,.789,16.54,8.03,,12,6,,14,3,,8,3,,2839,2483,,1525,883,2114,.418,232,693,.335,485,706,.687,428,1181,495,263,125,535,697
20,Belmont NCAA,35,27,8,.771,11.81,-1.22,,16,2,,13,1,,10,6,,2831,2363,,1410,850,1981,.429,207,610,.339,456,694,.657,402,1163,452,226,148,506,665
21,Bethune-Cookman,35,18,17,.514,-9.11,-7.05,,11,5,,9,3,,5,12,,2276,2319,,1405,811,1752,.463,174,508,.343,523,753,.695,388,1169,387,178,148,555,636
