Team_A, Team_B, Score_Differential
Western Kentucky,Mississippi Valley State,-1
Iona,Brigham Young,6
Vermont,Lamar,-12
South Florida,California,-11
New Mexico State,Indiana,13
Western Kentucky,Kentucky,15
UNC Asheville,Syracuse,7
Loyola (MD),Ohio State,19
South Dakota State,Baylor,8
Brigham Young,Marquette,20
Colorado State,Murray State,17
Montana,Wisconsin,24
Davidson,Louisville,7
Virginia Commonwealth,Wichita State,-3
Harvard,Vanderbilt,9
Long Beach State,New Mexico,7
Colorado,Nevada-Las Vegas,-4
Southern Mississippi,Kansas State,6
West Virginia,Gonzaga,23
Connecticut,Iowa State,13
Long Island University,Michigan State,22
Detroit Mercy,Kansas,15
Norfolk State,Missouri,-2
Vermont,North Carolina,19
Lehigh,Duke,-5
St. Bonaventure,Florida State,3
Ohio,Michigan,-5
Belmont,Georgetown,15
Alabama,Creighton,1
NC State,San Diego State,-14
Purdue,Saint Mary's (CA),-3
Virginia,Florida,26
Texas,Cincinnati,6
Saint Louis,Memphis,-7
South Florida,Temple,-14
Xavier,Notre Dame,-4
Virginia Commonwealth,Indiana,2
Iowa State,Kentucky,16
Kansas State,Syracuse,16
Gonzaga,Ohio State,7
Colorado,Baylor,17
Murray State,Marquette,9
Vanderbilt,Wisconsin,3
New Mexico,Louisville,3
Saint Louis,Michigan State,4
Purdue,Kansas,3
Creighton,North Carolina,14
Cincinnati,Florida State,-6
NC State,Georgetown,-3
Norfolk State,Florida,34
Ohio,South Florida,-6
Lehigh,Xavier,12
Louisville,Michigan State,-13
Wisconsin,Syracuse,1
Cincinnati,Ohio State,15
Florida,Marquette,-10
Indiana,Kentucky,12
NC State,Kansas,3
Xavier,Baylor,5
Ohio,North Carolina,8
Florida,Louisville,4
Ohio State,Syracuse,-7
Kansas,North Carolina,-13
Baylor,Kentucky,12
Ohio State,Kansas,2
Louisville,Kentucky,8
Kansas,Kentucky,8
