Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,31,10,21,.323,-17.20,-6.34,,4,14,,7,6,,1,14,,1976,2186,,65.9,106.9,.473,.327,.573,55.4,50.1,8.8,11.6,.539,19.2,33.4,.325
2,Air Force,31,14,17,.452,-1.85,-0.71,,6,12,,11,5,,1,11,,2037,2017,,61.1,106.0,.349,.444,.551,50.6,64.3,9.6,11.3,.522,17.3,31.7,.240
3,Akron,35,21,14,.600,3.65,-0.47,,9,9,,15,3,,2,9,,2382,2203,,64.7,96.9,.410,.310,.498,49.5,48.8,10.6,9.2,.455,16.7,31.8,.278
4,Alabama,34,19,15,.559,10.52,8.09,,8,10,,14,5,,4,8,,2280,2180,,63.1,100.8,.392,.370,.513,50.3,54.3,8.1,8.0,.471,16.4,32.1,.277
5,Alabama A&M,29,9,20,.310,-17.15,-9.62,,8,10,,4,7,,5,12,,1797,1988,,64.5,105.7,.412,.293,.526,50.5,47.6,10.8,9.1,.499,15.4,36.3,.259
6,Alabama State,29,19,10,.655,-8.97,-12.71,,14,4,,9,3,,8,5,,2090,1937,,69.8,95.3,.356,.308,.500,46.5,49.6,10.3,6.8,.469,16.9,28.5,.230
7,Albany (NY) NCAA,33,24,9,.727,-0.34,-5.18,,15,1,,12,3,,12,5,,2156,1996,,61.2,98.5,.303,.416,.527,46.5,54.5,7.8,10.6,.496,17.7,26.1,.212
8,Alcorn State,32,6,26,.188,-20.75,-9.95,,4,14,,4,7,,1,15,,2066,2377,,68.2,108.9,.396,.290,.553,53.6,49.2,7.5,8.2,.523,15.6,35.8,.269
9,American,33,17,16,.515,-3.56,-3.71,,8,10,,8,3,,7,13,,1938,1933,,57.0,101.2,.331,.325,.538,54.3,51.1,8.7,10.0,.511,18.8,31.5,.224
10,Appalachian State,29,12,17,.414,-9.81,-3.18,,9,11,,7,5,,5,12,,1841,2033,,66.5,105.4,.375,.294,.538,50.1,49.5,9.3,9.2,.506,14.9,29.9,.256
