Team_A, Team_B, Score_Differential
Hampton,Manhattan,-10
Brigham Young,Mississippi,4
Robert Morris,North Florida,-4
Dayton,Boise State,-1
Hampton,Kentucky,23
Lafayette,Villanova,41
Texas Southern,Arizona,21
Northeastern,Notre Dame,4
UAB,Iowa State,-1
Harvard,North Carolina,2
Georgia State,Baylor,-1
UCLA,Southern Mississippi,-1
Stephen F. Austin,Utah,7
Wofford,Arkansas,3
Eastern Washington,Georgetown,10
Texas,Butler,8
Ohio State,Virginia Commonwealth,-3
Mississippi,Xavier,19
Purdue,Cincinnati,1
Louisiana State,NC State,1
New Mexico State,Kansas,19
Indiana,Wichita State,5
Georgia,Michigan State,7
Coastal Carolina,Wisconsin,14
Robert Morris,Duke,29
Belmont,Virginia,12
North Dakota State,Gonzaga,10
Wyoming,Northern Iowa,17
Valparaiso,Maryland,3
Albany (NY),Oklahoma,9
UC Irvine,Louisville,2
Buffalo,West Virginia,6
Oklahoma State,Oregon,6
Davidson,Iowa,31
St. John's (NY),San Diego State,12
Dayton,Providence,-13
Cincinnati,Kentucky,13
NC State,Villanova,-3
Ohio State,Arizona,15
Butler,Notre Dame,3
Arkansas,North Carolina,9
Utah,Georgetown,-11
UAB,UCLA,17
Georgia State,Xavier,8
Michigan State,Virginia,-6
Wichita State,Kansas,-13
Oregon,Wisconsin,7
San Diego State,Duke,19
Iowa,Gonzaga,19
Northern Iowa,Louisville,13
West Virginia,Maryland,-10
Dayton,Oklahoma,6
West Virginia,Kentucky,39
North Carolina,Wisconsin,7
Xavier,Arizona,8
Wichita State,Notre Dame,11
Michigan State,Oklahoma,-4
Utah,Duke,6
UCLA,Gonzaga,12
NC State,Louisville,10
Notre Dame,Kentucky,2
Arizona,Wisconsin,7
Michigan State,Louisville,-6
Gonzaga,Duke,14
Michigan State,Duke,20
Wisconsin,Kentucky,-7
Wisconsin,Duke,5
