Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,10,21,.323,-17.20,-6.34,,4,14,,7,6,,1,14,,1976,2186,,1240,748,1558,.480,183,509,.360,507,737,.688,313,1113,375,180,125,452,527
2,Air Force,31,14,17,.452,-1.85,-0.71,,6,12,,11,5,,1,11,,2037,2017,,1245,694,1571,.442,252,698,.361,377,548,.688,308,954,446,183,106,383,530
3,Akron,35,21,14,.600,3.65,-0.47,,9,9,,15,3,,2,9,,2382,2203,,1406,750,1853,.405,188,574,.328,515,759,.679,387,1223,366,242,96,443,591
4,Alabama,34,19,15,.559,10.52,8.09,,8,10,,14,5,,4,8,,2280,2180,,1371,735,1790,.411,215,663,.324,495,701,.706,377,1137,399,175,82,416,664
5,Alabama A&M,29,9,20,.310,-17.15,-9.62,,8,10,,4,7,,5,12,,1797,1988,,1165,714,1581,.452,151,464,.325,409,652,.627,360,1018,340,203,87,344,556
6,Alabama State,29,19,10,.655,-8.97,-12.71,,14,4,,9,3,,8,5,,2090,1937,,1165,691,1658,.417,173,510,.339,382,590,.647,304,999,343,210,85,394,537
7,Albany (NY) NCAA,33,24,9,.727,-0.34,-5.18,,15,1,,12,3,,12,5,,2156,1996,,1325,697,1657,.421,250,690,.362,352,502,.701,274,964,380,158,116,408,618
8,Alcorn State,32,6,26,.188,-20.75,-9.95,,4,14,,4,7,,1,15,,2066,2377,,1280,848,1809,.469,195,525,.371,486,716,.679,369,1200,417,164,107,396,567
9,American,33,17,16,.515,-3.56,-3.71,,8,10,,8,3,,7,13,,1938,1933,,1339,706,1552,.455,173,505,.343,348,513,.678,294,983,361,167,91,416,562
10,Appalachian State,29,12,17,.414,-9.81,-3.18,,9,11,,7,5,,5,12,,1841,2033,,1160,735,1604,.458,152,472,.322,411,602,.683,290,1014,364,180,93,332,556
11,Arizona NCAA,38,34,4,.895,24.33,7.41,,16,2,,17,0,,8,3,,2911,2268,,1525,777,1951,.398,206,615,.335,508,728,.698,285,1065,370,180,97,523,791
12,Arizona State,34,18,16,.529,9.52,6.66,,9,9,,15,3,,3,10,,2360,2263,,1385,821,1821,.451,188,519,.362,433,621,.697,274,1055,422,208,144,437,701
