Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Casey Alexander,Lipscomb,A-Sun,,12,21,0.364,,,,,2013-14,41,53,0.436,,,,,,65,89,0.422,,,,
Cy Alexander,North Carolina A&T,MEAC,,5,17,0.227,,,,,2012-13,43,80,0.35,1.0,,,,,386,386,0.5,6.0,,,
Steve Alford,UCLA,Pac-12,,15,17,0.469,,,,,2013-14,65,40,0.619,2.0,2.0,,,,450,246,0.647,9.0,3.0,,
Dana Altman,Oregon,Pac-12,,31,7,0.816,,5.0,Lost Regional Final,,2010-11,154,64,0.706,4.0,2.0,,,,564,307,0.648,12.0,2.0,,
Tommy Amaker,Harvard,Ivy,,14,16,0.467,,,,,2007-08,175,95,0.648,4.0,,,,,351,234,0.6,5.0,1.0,,
Kim Anderson,Missouri,SEC,,10,21,0.323,,,,,2014-15,19,44,0.302,,,,,,19,44,0.302,,,,
Mike Anderson Sr,Arkansas,SEC,,16,16,0.5,,,,,2011-12,102,64,0.614,1.0,,,,,302,162,0.651,7.0,2.0,,
Orlando Antigua,South Florida,AAC,,8,25,0.242,,,,,2014-15,17,48,0.262,,,,,,17,48,0.262,,,,
Kevin Baggett,Rider,MAAC,,13,20,0.394,,,,,2012-13,67,64,0.511,,,,,,67,64,0.511,,,,
Roman Banks,Southern,SWAC,,22,13,0.629,,,Lost First Four,,2011-12,99,67,0.596,2.0,,,,,99,67,0.596,2.0,,,
Rick Barnes,Tennessee,SEC,,15,19,0.441,,,,,2015-16,15,19,0.441,,,,,,619,333,0.65,22.0,6.0,1.0,
Rod Barnes,Cal State Bakersfield,WAC,,24,9,0.727,,,Lost First Round,,2011-12,81,78,0.509,1.0,,,,,267,267,0.5,4.0,1.0,,
Jim Baron,Canisius,MAAC,,14,19,0.424,,,,,2012-13,73,61,0.545,,,,,,462,430,0.518,2.0,,,
Duggar Baucom,The Citadel,Southern,,10,22,0.312,,,,,2015-16,10,22,0.312,,,,,,161,181,0.471,,,,
Chris Beard,Little Rock,Sun Belt,,30,5,0.857,,,Lost Second Round,,2015-16,30,5,0.857,1.0,,,,,30,5,0.857,1.0,,,
John Becker,Vermont,AEC,,23,14,0.622,,,,,2011-12,110,63,0.636,1.0,,,,,110,63,0.636,1.0,,,
John Beilein,Michigan,Big Ten,,23,13,0.639,25.0,,Lost First Round,,2007-08,189,123,0.606,6.0,2.0,1.0,,,482,298,0.618,10.0,4.0,1.0,
Tony Benford,North Texas,CUSA,,12,20,0.375,,,,,2012-13,54,73,0.425,,,,,,54,73,0.425,,,,
Randy Bennett,Saint Mary's (CA),WCC,,29,6,0.829,,,,,2001-02,333,151,0.688,5.0,1.0,,,,333,151,0.688,5.0,1.0,,
Tony Bennett,Virginia,ACC,,29,8,0.784,6.0,4.0,Lost Regional Final,,2009-10,165,72,0.696,4.0,2.0,,,,234,105,0.69,6.0,3.0,,
Jim Boeheim *,Syracuse,ACC,,19,9,0.679,,,Lost National Semifinal,,1976-77,985,342,0.742,32.0,18.0,5.0,1.0,,985,342,0.742,32.0,18.0,5.0,1.0
Tad Boyle,Colorado,Pac-12,,22,12,0.647,,,Lost First Round,,2010-11,130,80,0.619,4.0,,,,,186,146,0.56,4.0,,,
Todd Bozeman *,Morgan State,MEAC,,9,22,0.29,,,,,2006-07,159,162,0.495,2.0,,,,,222,197,0.53,5.0,1.0,,
John Brady,Arkansas State,Sun Belt,,11,20,0.355,,,,,2008-09,121,129,0.484,,,,,,402,345,0.538,4.0,2.0,1.0,
Matt Brady,James Madison,CAA,,21,11,0.656,,,,,2008-09,139,127,0.523,1.0,,,,,212,177,0.545,1.0,,,
Glenn Braica,St. Francis (NY),NEC,,15,17,0.469,,,,,2010-11,98,91,0.519,,,,,,98,91,0.519,,,,
John Brannen,Northern Kentucky,Horizon,,9,21,0.3,,,,,2015-16,9,21,0.3,,,,,,10,22,0.312,,,,
Mike Brennan,American,Patriot,,12,19,0.387,,,,,2013-14,49,48,0.505,1.0,,,,,49,48,0.505,1.0,,,
Wayne Brent,Jackson State,SWAC,,20,16,0.556,,,,,2013-14,42,57,0.424,,,,,,42,57,0.424,,,,
Mike Brey,Notre Dame,ACC,,24,12,0.667,19.0,,Lost Regional Final,,2000-01,356,177,0.668,11.0,3.0,,,,455,229,0.665,13.0,3.0,,
Horace Broadnax *,Savannah State,MEAC,,16,16,0.5,,,,,2005-06,143,195,0.423,,,,,,185,283,0.395,,,,
Will Brown,Albany (NY),AEC,,24,9,0.727,,,,,2001-02,239,224,0.516,5.0,,,,,239,224,0.516,5.0,,,
Brad Brownell,Clemson,ACC,,17,14,0.548,,,,,2010-11,107,87,0.552,1.0,,,,,274,172,0.614,4.0,,,
Ken Burmeister,Incarnate Word,Southland,,17,12,0.586,,,,,2013-14,56,29,0.659,,,,,,168,144,0.538,1.0,,,
Mark Byington,Georgia Southern,Sun Belt,,14,17,0.452,,,,,2013-14,51,45,0.531,,,,,,51,45,0.531,,,,
Rick Byrd,Belmont,OVC,,20,12,0.625,,,,,1999-00,341,198,0.633,7.0,,,,,341,198,0.633,7.0,,,
John Calipari *,Kentucky,SEC,,27,9,0.75,2.0,10.0,Lost Second Round,,2009-10,217,47,0.822,6.0,5.0,4.0,1.0,,662,187,0.78,17.0,12.0,6.0,1.0
Joe Callero,Cal Poly,Big West,,10,20,0.333,,,,,2009-10,100,119,0.457,1.0,,,,,100,119,0.457,1.0,,,
Bill Carmody,Holy Cross,Patriot,,15,20,0.429,,,Lost First Round,,2015-16,15,20,0.429,1.0,,,,,299,255,0.54,3.0,,,
Chris Casey,Niagara,MAAC,,7,25,0.219,,,,,2013-14,22,73,0.232,,,,,,22,73,0.232,,,,
Patrick Chambers,Penn State,Big Ten,,16,16,0.5,,,,,2011-12,72,91,0.442,,,,,,114,119,0.489,1.0,,,
Scott Cherry,High Point,Big South,,21,11,0.656,,,,,2009-10,117,102,0.534,,,,,,117,102,0.534,,,,
Jamion Christian,Mount St. Mary's,NEC,,14,19,0.424,,,,,2012-13,63,65,0.492,1.0,,,,,63,65,0.492,1.0,,,
Jim Christian,Boston College,ACC,,7,25,0.219,,,,,2014-15,20,44,0.312,,,,,,262,198,0.57,2.0,,,
Tim Cluess,Iona,MAAC,,22,11,0.667,,,Lost First Round,,2010-11,140,65,0.683,3.0,,,,,140,65,0.683,3.0,,,
Bill Coen,Northeastern,CAA,,18,15,0.545,,,,,2006-07,163,160,0.505,1.0,,,,,163,160,0.505,1.0,,,
Jon Coffman,Purdue Fort Wayne,Summit,,24,10,0.706,,,,,2014-15,40,25,0.615,,,,,,40,25,0.615,,,,
Bobby Collins,Maryland-Eastern Shore,MEAC,,10,22,0.312,,,,,2014-15,28,37,0.431,,,,,,130,175,0.426,1.0,,,
Chris Collins,Northwestern,Big Ten,,20,12,0.625,,,,,2013-14,49,48,0.505,,,,,,49,48,0.505,,,,
Ed Conroy,Tulane,AAC,,12,22,0.353,,,,,2010-11,92,103,0.472,,,,,,141,179,0.441,,,,
Ed Cooley,Providence,Big East,,24,11,0.686,,,Lost Second Round,,2011-12,103,67,0.606,3.0,,,,,195,136,0.589,3.0,,,
John Cooper,Miami (OH),MAC,,13,20,0.394,,,,,2012-13,48,79,0.378,,,,,,91,131,0.41,,,,
Paul Cormier,Dartmouth,Ivy,,10,18,0.357,,,,,1984-85,142,211,0.402,,,,,,228,322,0.415,1.0,,,
Ron Cottrell,Houston Christian,Southland,,17,17,0.5,,,,,2008-09,81,167,0.327,,,,,,81,167,0.327,,,,
Bill Courtney,Cornell,Ivy,,10,18,0.357,,,,,2010-11,60,113,0.347,,,,,,60,113,0.347,,,,
Tim Craft,Gardner-Webb,Big South,,17,16,0.515,,,,,2013-14,55,46,0.545,,,,,,55,46,0.545,,,,
Gravelle Craig,Bethune-Cookman,MEAC,,14,18,0.438,,,,,2011-12,64,101,0.388,,,,,,64,101,0.388,,,,
Tom Crean,Indiana,Big Ten,,27,8,0.771,15.0,14.0,Lost Regional Semifinal,,2008-09,148,119,0.554,4.0,3.0,,,,338,215,0.611,9.0,4.0,1.0,
Jim Crews,Saint Louis,A-10,,11,21,0.344,,,,,2012-13,77,56,0.579,2.0,,,,,430,405,0.515,6.0,,,
